,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.006911469404599634,5.377951492070777e-14,3.124589816893121e-11,-1
1,2,15,2020-02-03,-0.006588677275381133,4.689576718425984e-13,2.438579893581512e-10,-1
2,3,16,2020-02-04,-0.006215533538548823,2.352981597140638e-12,1.1294311666275062e-09,-1
3,4,17,2020-02-05,-0.005807696084021307,7.541754850184879e-12,3.4164149471337502e-09,-1
4,5,18,2020-02-06,-0.005382037261040658,1.747902472235343e-11,7.568417704779035e-09,-1
5,6,19,2020-02-07,-0.00495087986627678,3.616863413383863e-11,1.4901477263141514e-08,-1
6,7,20,2020-02-08,-0.004518288939151386,8.809554606526729e-11,3.470964514971531e-08,-1
7,8,21,2020-02-09,-0.004081022438481267,3.1642715808738893e-10,1.1486305838572218e-07,-1
8,9,22,2020-02-10,-0.0036326086533694756,1.8114418155013389e-09,5.995872409309431e-07,-1
9,10,23,2020-02-11,-0.003169526625152001,1.5342832140582273e-08,4.418735656487695e-06,-1
10,11,24,2020-02-12,-0.002691245734584305,1.7140498844015882e-07,4.1822817179398755e-05,-1
11,12,25,2020-02-13,-0.0021992708064386256,2.380771759003666e-06,0.0004904389823547552,-1
12,13,26,2020-02-14,-0.0016944225662597766,4.386397815329445e-05,0.006930508548220523,-1
13,14,27,2020-02-15,-0.0011759979408978052,0.0012056419385604894,0.13262061324165383,0
14,15,28,2020-02-16,-0.0006430767382281406,0.04329418149461696,1.0,0
15,16,29,2020-02-17,-9.549158438157541e-05,0.7459546199640001,1.0,0
16,17,30,2020-02-18,0.0004617825919875002,0.13527461959980283,1.0,0
17,18,31,2020-02-19,0.0010179063884903,0.003832325367730826,0.3755678860376209,0
18,19,32,2020-02-20,0.0015570865667825448,0.00011277238978747622,0.017141403247696384,1
19,20,33,2020-02-21,0.002064958909852021,4.866042754963662e-06,0.0009488783372179141,1
20,21,34,2020-02-22,0.0025319514975834395,2.750666101374959e-07,6.491571999244904e-05,1
21,22,35,2020-02-23,0.0029474811759693333,1.5858074620712698e-08,4.5159998768303545e-06,1
22,23,36,2020-02-24,0.0032961340169136337,6.561620026443947e-10,2.286021692895655e-07,1
23,24,37,2020-02-25,0.003555698243007259,1.3215098365012268e-11,5.761782887145349e-09,1
24,25,38,2020-02-26,0.0036996912560990315,1.6957465150973403e-13,9.309648367884398e-11,1
25,26,39,2020-02-27,0.00370613756209997,1.2350296252848186e-13,6.928516197847832e-11,1
26,27,40,2020-02-28,0.0035649965762467187,2.0472737504816985e-11,8.721386177052036e-09,1
27,28,41,2020-02-29,0.0032793375888239547,3.830183217355028e-09,1.229488812770964e-06,1
28,29,42,2020-03-01,0.0028638340822507856,3.091861138470013e-07,7.234955064019831e-05,1
29,30,43,2020-03-02,0.002345482653620645,1.3653633463544955e-05,0.0024303467565110017,1
30,31,44,2020-03-03,0.001756895960688426,0.0004251976633424793,0.05400010324449487,0
31,32,45,2020-03-04,0.0011326370349649297,0.010631064187383068,0.924902584302327,0
32,33,46,2020-03-05,0.0005091715984524721,0.18351504272129404,1.0,0
33,34,47,2020-03-06,-7.63540236207838e-05,0.8174919474073986,1.0,0
34,35,48,2020-03-07,-0.0005888321054428516,0.048985363027414096,1.0,0
35,36,49,2020-03-08,-0.0010045031940591968,0.0003646486230532087,0.04776896961997034,-1
36,37,50,2020-03-09,-0.001316819786510078,8.007932670142319e-07,0.00017697531201014524,-1
37,38,51,2020-03-10,-0.0015368648041004182,7.498939381916758e-10,2.5946330261431984e-07,-1
38,39,52,2020-03-11,-0.0016907042621283263,3.5203170480316825e-13,1.8657680354567917e-10,-1
39,40,53,2020-03-12,-0.0018096953314851554,3.630661332203749e-15,2.3345152366070106e-12,-1
40,41,54,2020-03-13,-0.0019258563398189608,1.6741703295121228e-13,9.207936812316676e-11,-1
41,42,55,2020-03-14,-0.0020708069050312727,2.3518517126662287e-11,9.901295710324822e-09,-1
42,43,56,2020-03-15,-0.0022711685225712767,8.636090114334657e-10,2.944906728988118e-07,-1
43,44,57,2020-03-16,-0.002544210756419834,8.525442025070602e-09,2.6002598176465336e-06,-1
44,45,58,2020-03-17,-0.0028966892101496755,2.7449213649823227e-08,7.411287685452271e-06,-1
45,46,59,2020-03-18,-0.003324042444382445,3.449129747238774e-08,9.209176425127526e-06,-1
46,47,60,2020-03-19,-0.0038098731400804066,2.0243188717363746e-08,5.6883360295792125e-06,-1
47,48,61,2020-03-20,-0.0043285863147720875,6.389440152168609e-09,1.9743370070201005e-06,-1
48,49,62,2020-03-21,-0.004850839581039526,1.2101678302946101e-09,4.0782655880928363e-07,-1
49,50,63,2020-03-22,-0.005348426491142878,1.471070373221285e-10,5.6047781219730954e-08,-1
50,51,64,2020-03-23,-0.005795559685374727,1.1265804258766082e-11,4.990751286633374e-09,-1
51,52,65,2020-03-24,-0.006167150615220115,4.607639701669356e-13,2.400580284569734e-10,-1
52,53,66,2020-03-25,-0.00643870793716731,7.305659742639566e-15,4.5587316794070895e-12,-1
53,54,67,2020-03-26,-0.006587425327072266,5.835694738336623e-17,4.1725217379106854e-14,-1
54,55,68,2020-03-27,-0.00659397286704597,4.07756424766459e-17,2.9440013868138337e-14,-1
55,56,69,2020-03-28,-0.006446838736504686,1.1141249627005089e-14,6.87415101986214e-12,-1
56,57,70,2020-03-29,-0.006145241015225485,2.4042475767858532e-12,1.1516345892804237e-09,-1
57,58,71,2020-03-30,-0.005700168357485292,1.8018342328148637e-10,6.73886003072759e-08,-1
58,59,72,2020-03-31,-0.005131291807441483,6.431072285189787e-09,1.980770263838454e-06,-1
59,60,73,2020-04-01,-0.004465261440689683,1.3654516198266848e-07,3.427283565764979e-05,-1
60,61,74,2020-04-02,-0.0037366386143799536,1.9452130335427336e-06,0.0004104399500775168,-1
61,62,75,2020-04-03,-0.0029854711825498827,1.9949031743342684e-05,0.003411284428111599,-1
62,63,76,2020-04-04,-0.002256838116472556,0.0001528588631007442,0.02262311173891014,-1
63,64,77,2020-04-05,-0.0015961750805440558,0.0008993390179354199,0.1031709300025846,0
64,65,78,2020-04-06,-0.0010413016875115222,0.004164551483894272,0.40396149393774433,0
65,66,79,2020-04-07,-0.0006172712950527557,0.015035649134529169,1.0,0
66,67,80,2020-04-08,-0.0003347680481786871,0.03934305095928364,1.0,0
67,68,81,2020-04-09,-0.00019239560771228503,0.06615079674346924,1.0,0
68,69,82,2020-04-10,-0.00017774661315125758,0.07136922367185959,1.0,0
69,70,83,2020-04-11,-0.0002714541507383039,0.032582469087794844,1.0,0
70,71,84,2020-04-12,-0.00045176165524118885,0.005824342843827335,0.5474882273197695,0
71,72,85,2020-04-13,-0.000695100203736601,0.0005512744684079699,0.06670421067736436,0
72,73,86,2020-04-14,-0.0009782559566950163,3.9303328398826415e-05,0.006367139200609879,-1
73,74,87,2020-04-15,-0.0012813419324868725,2.9363592458773493e-06,0.0005990172861589793,-1
74,75,88,2020-04-16,-0.001591313286750282,2.952229692756891e-07,6.937739777978694e-05,-1
75,76,89,2020-04-17,-0.0019034003459148735,4.752206475689628e-08,1.2593347160577515e-05,-1
76,77,90,2020-04-18,-0.0022213100853746485,1.250416798004818e-08,3.685737813105557e-06,-1
77,78,91,2020-04-19,-0.0025527093555576244,4.791096807993418e-09,1.5044043977099332e-06,-1
78,79,92,2020-04-20,-0.002902761296619943,2.276235395384698e-09,7.466052096861809e-07,-1
79,80,93,2020-04-21,-0.003273309239280214,1.1593194010598366e-09,3.918499575582248e-07,-1
80,81,94,2020-04-22,-0.003663890483813893,5.924846177658163e-10,2.0973955468909896e-07,-1
81,82,95,2020-04-23,-0.004072887557255439,3.012066665761515e-10,1.0963922663371915e-07,-1
82,83,96,2020-04-24,-0.0044993742529772455,1.5699790381556016e-10,5.95022055460973e-08,-1
83,84,97,2020-04-25,-0.004943186340861088,8.454825334318399e-11,3.3396560070557676e-08,-1
84,85,98,2020-04-26,-0.005405548790306078,4.5780410606685184e-11,1.863262711692087e-08,-1
85,86,99,2020-04-27,-0.0058864531853114205,2.4481434197549988e-11,1.0233239494575895e-08,-1
86,87,100,2020-04-28,-0.006383028799398383,1.2603731500833529e-11,5.520434397365086e-09,-1
87,88,101,2020-04-29,-0.00688858875436154,6.1175926495703704e-12,2.7871480483391488e-09,-1
88,89,102,2020-04-30,-0.007394501841213946,2.779112800842501e-12,1.3172994675993456e-09,-1
89,90,103,2020-05-01,-0.007890482496456484,1.1273304742573474e-12,5.625379066544163e-10,-1
90,91,104,2020-05-02,-0.008362159070645298,3.56706760421235e-13,1.886978762628333e-10,-1
91,92,105,2020-05-03,-0.008791134683437632,7.210507991816324e-14,4.146042095294386e-11,-1
92,93,106,2020-05-04,-0.00915212158278205,7.152574512142818e-15,4.470359070089261e-12,-1
93,94,107,2020-05-05,-0.009416567158883,2.741823306142847e-16,1.8754071414017072e-13,-1
94,95,108,2020-05-06,-0.009560840542013064,6.814973506118691e-18,5.083970235564544e-15,-1
95,96,109,2020-05-07,-0.009571208055587704,4.472957000648084e-18,3.368136621488007e-15,-1
96,97,110,2020-05-08,-0.009444217215412044,2.4310314031598146e-16,1.6749806367771123e-13,-1
97,98,111,2020-05-09,-0.009184537390931983,1.642173661987285e-14,1.0017259338122439e-11,-1
98,99,112,2020-05-10,-0.008798274412622133,4.901463015861357e-13,2.543859305232044e-10,-1
99,100,113,2020-05-11,-0.00829123470023843,7.962982624910566e-12,3.591305163834665e-09,-1
100,101,114,2020-05-12,-0.00766603458510618,9.595669449826336e-11,3.742311085432271e-08,-1
101,102,115,2020-05-13,-0.006926467454636627,1.0824882401981092e-09,3.66963513427159e-07,-1
102,103,116,2020-05-14,-0.00608159477930633,1.372812030153532e-08,3.994883007746778e-06,-1
103,104,117,2020-05-15,-0.005144192373166266,2.286970667808956e-07,5.4429901893853156e-05,-1
104,105,118,2020-05-16,-0.0041271058605105515,5.568559973242017e-06,0.0010580263949159833,-1
105,106,119,2020-05-17,-0.003043582669383764,0.00020501175106150805,0.02952169215285716,-1
106,107,120,2020-05-18,-0.0019010567961092,0.009972871186731415,0.8799464529887091,0
107,108,121,2020-05-19,-0.0007014152183857423,0.3078671076111324,1.0,0
108,109,122,2020-05-20,0.0005507991484978777,0.43701702376777685,1.0,0
109,110,123,2020-05-21,0.0018435421748645483,0.02151014804074784,1.0,0
110,111,124,2020-05-22,0.0031578418554977085,0.0006815908418708767,0.08042771934076344,0
111,112,125,2020-05-23,0.004469769434806831,2.7150121843789184e-05,0.0045883705916003725,1
112,113,126,2020-05-24,0.005756047456046884,1.5248501712115664e-06,0.0003278427868104868,1
113,114,127,2020-05-25,0.006996104998540299,1.1745915648741193e-07,2.983462574780263e-05,1
114,115,128,2020-05-26,0.008177163826698367,1.155303378760789e-08,3.454357102494759e-06,1
