,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.00259911111266411,1.1895756479015023e-11,5.388777684993805e-09,-1
1,2,15,2020-02-03,-0.0028086093137017643,2.3841669131510313e-12,1.1515526190519481e-09,-1
2,3,16,2020-02-04,-0.0030145491965868224,8.99061647616819e-13,4.62117686875045e-10,-1
3,4,17,2020-02-05,-0.0032230751906338613,6.63510442480996e-13,3.476794718600419e-10,-1
4,5,18,2020-02-06,-0.003439863542637447,7.945940648945828e-13,4.115997256153939e-10,-1
5,6,19,2020-02-07,-0.003670386545404006,1.1700716068311122e-12,5.920562330565428e-10,-1
6,7,20,2020-02-08,-0.003917667348750903,1.6886362972450778e-12,8.341863308390684e-10,-1
7,8,21,2020-02-09,-0.004180570954090425,1.9679525645667578e-12,9.642967566377113e-10,-1
8,9,22,2020-02-10,-0.004453458764553169,1.5889920888237696e-12,7.881400760565897e-10,-1
9,10,23,2020-02-11,-0.004724490197786565,7.691359407053348e-13,3.991815532260688e-10,-1
10,11,24,2020-02-12,-0.004975530485802671,1.9013763819999156e-13,1.059066644773953e-10,-1
11,12,25,2020-02-13,-0.00518464621278877,1.927374537725466e-14,1.1448604754089268e-11,-1
12,13,26,2020-02-14,-0.005328539322011075,7.245844777891877e-16,4.70979910562972e-13,-1
13,14,27,2020-02-15,-0.00538492655662718,5.2669982949050255e-17,3.765903780857093e-14,-1
14,15,28,2020-02-16,-0.005335409050209822,8.162808233739723e-16,5.281336927229601e-13,-1
15,16,29,2020-02-17,-0.005166784511203664,1.9826387503021082e-13,1.10036450641767e-10,-1
16,17,30,2020-02-18,-0.004873395114272332,2.6722633651752714e-11,1.1490732470253668e-08,-1
17,18,31,2020-02-19,-0.004458372797229407,1.5724597238081445e-09,5.33063846370961e-07,-1
18,19,32,2020-02-20,-0.003933158355271587,5.155023126252592e-08,1.2681356890581376e-05,-1
19,20,33,2020-02-21,-0.003317797966379775,1.1756182609635766e-06,0.00021748937827826168,-1
20,21,34,2020-02-22,-0.0026394595657574195,2.2387665001432424e-05,0.002870575361018868,-1
21,22,35,2020-02-23,-0.0019289888989603842,0.0004168101316242556,0.03630518937254415,-1
22,23,36,2020-02-24,-0.001218981475398677,0.008410560589041147,0.4794019535753454,0
23,24,37,2020-02-25,-0.000539826298085649,0.15882563197944455,1.0,0
24,25,38,2020-02-26,8.169474869089272e-05,0.802418214679082,1.0,0
25,26,39,2020-02-27,0.0006228914308465446,0.040023083325925614,1.0,0
26,27,40,2020-02-28,0.0010663654826966055,0.00034616716921982916,0.031501212399004455,1
27,28,41,2020-02-29,0.0014015122723402252,1.5013080098704715e-06,0.0002732380577964258,1
28,29,42,2020-03-01,0.001624864430996865,4.074664317010002e-09,1.2672206025901106e-06,1
29,30,43,2020-03-02,0.0017408203571345907,1.2763341279500042e-11,5.743503575775019e-09,1
30,31,44,2020-03-03,0.001760969203842725,2.7988822960272926e-12,1.3490612666851551e-09,1
31,32,45,2020-03-04,0.0017021136541641314,7.386693960932171e-11,3.013771136060326e-08,1
32,33,46,2020-03-05,0.00158462627665251,2.1341850965560812e-09,7.000127116703946e-07,1
33,34,47,2020-03-06,0.001430658995619947,2.3520938808478224e-08,6.256569723055208e-06,1
34,35,48,2020-03-07,0.0012634812537595332,9.601050823429954e-08,2.2466458926826095e-05,1
35,36,49,2020-03-08,0.0011071351728096162,1.2759178152021997e-07,2.875979274738207e-05,1
36,37,50,2020-03-09,0.000983183473526392,4.1192623443166135e-08,1.0380541107677866e-05,1
37,38,51,2020-03-10,0.0009096083269250364,3.7418442890381435e-09,1.1749391067579771e-06,1
38,39,52,2020-03-11,0.0008984940111876188,1.9109918330566366e-09,6.382712722409166e-07,1
39,40,53,2020-03-12,0.0009532406095317839,2.2213314616928704e-08,5.930955002719964e-06,1
40,41,54,2020-03-13,0.0010688617323565972,1.4785374512151468e-07,3.282353141697626e-05,1
41,42,55,2020-03-14,0.001234092895602375,2.3663677493248013e-07,5.0876906610483225e-05,1
42,43,56,2020-03-15,0.0014341317916535174,1.272557201211596e-07,2.875979274738207e-05,1
43,44,57,2020-03-16,0.0016526526169969068,3.1514683738017566e-08,8.099273720670514e-06,1
44,45,58,2020-03-17,0.001873622168598499,4.254267257635318e-09,1.3188228498669488e-06,1
45,46,59,2020-03-18,0.0020821275587198707,3.22440881260558e-10,1.1930312606640646e-07,1
