,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.009597774550044699,1.193610965220511e-07,2.8527302068770215e-05,-1
1,2,15,2020-02-03,-0.008032924223490641,9.363813149108268e-07,0.00018072159377778958,-1
2,3,16,2020-02-04,-0.006475642762593652,6.347213059695657e-06,0.0010409429417900878,-1
3,4,17,2020-02-05,-0.004991994481909577,3.8703129774798945e-05,0.005341031908922255,-1
4,5,18,2020-02-06,-0.0036443227068192613,0.00021470566231741422,0.024261739841867806,-1
5,6,19,2020-02-07,-0.0024870465266732525,0.0010830587217384204,0.10289057856514994,0
6,7,20,2020-02-08,-0.001557469230488359,0.004965285211824591,0.3723963908868443,0
7,8,21,2020-02-09,-0.0008714202276333038,0.0205984549662704,1.0,0
8,9,22,2020-02-10,-0.00042292392374890703,0.07357155272464816,1.0,0
9,10,23,2020-02-11,-0.00019237820988970945,0.18966596265289223,1.0,0
10,11,24,2020-02-12,-0.00015484357559329316,0.2354980303595469,1.0,0
11,12,25,2020-02-13,-0.0002815174314073854,0.10309762834344889,1.0,0
12,13,26,2020-02-14,-0.0005384009655628614,0.01958100682134071,1.0,0
13,14,27,2020-02-15,-0.0008865121603799487,0.002078926618269396,0.17462983593462925,0
14,15,28,2020-02-16,-0.0012861047292307536,0.00014699226494866718,0.016918783383498982,-1
15,16,29,2020-02-17,-0.0016998974017718657,7.897618758665445e-06,0.0012320285263518094,-1
16,17,30,2020-02-18,-0.002099093993816579,3.672492489633266e-07,8.00603362740052e-05,-1
17,18,31,2020-02-19,-0.002469010003633327,1.7459096277439364e-08,4.888546957683022e-06,-1
18,19,32,2020-02-20,-0.0028132704516806903,1.070458177626753e-09,3.682376131036031e-07,-1
19,20,33,2020-02-21,-0.0031473200887806724,1.1678347457960844e-10,4.8114791526798676e-08,-1
20,21,34,2020-02-22,-0.0034910005014818116,3.595902906078235e-11,1.5857931815805016e-08,-1
21,22,35,2020-02-23,-0.0038649005443540424,4.2574255862016925e-11,1.8477227044115346e-08,-1
22,23,36,2020-02-24,-0.004294676260583247,1.5294712379916814e-10,6.163769089106476e-08,-1
23,24,37,2020-02-25,-0.004813912428879533,8.519056082550273e-10,3.0157458532227965e-07,-1
24,25,38,2020-02-26,-0.005463963618021678,4.266021689282089e-09,1.337187870489808e-06,-1
25,26,39,2020-02-27,-0.006282656920431402,1.4632049842243539e-08,4.184766254881652e-06,-1
26,27,40,2020-02-28,-0.007298029897735492,3.165130300392259e-08,8.361743612788792e-06,-1
27,28,41,2020-02-29,-0.008525982958390202,4.428836363829106e-08,1.1470686182317384e-05,-1
28,29,42,2020-03-01,-0.009969600596728976,4.309574063364487e-08,1.1204892564747666e-05,-1
29,30,43,2020-03-02,-0.011620580763127131,3.1553749482221854e-08,8.361743612788792e-06,-1
30,31,44,2020-03-03,-0.013456857136843222,1.830501762392369e-08,5.107099917074709e-06,-1
31,32,45,2020-03-04,-0.015441580586350836,8.589946098600662e-09,2.516854206889994e-06,-1
32,33,46,2020-03-05,-0.01752543460735365,3.221244761397847e-09,1.0340195684087089e-06,-1
33,34,47,2020-03-06,-0.019647358131019112,9.444469390895682e-10,3.296119817422593e-07,-1
34,35,48,2020-03-07,-0.0217368234283918,2.1082974320850222e-10,8.348857831056689e-08,-1
35,36,49,2020-03-08,-0.02371800455450894,3.475912984514717e-11,1.5398294521400194e-08,-1
36,37,50,2020-03-09,-0.02552297256267468,4.050179447430067e-12,2.0088890059253133e-09,-1
37,38,51,2020-03-10,-0.027094543656477687,3.0944839655166274e-13,1.751477924482411e-10,-1
38,39,52,2020-03-11,-0.028384407052095408,1.3247507643125132e-14,8.557889937458834e-12,-1
39,40,53,2020-03-12,-0.02935302896511518,2.449679679998456e-16,1.7664578830412099e-13,-1
40,41,54,2020-03-13,-0.029965115435799876,1.6014396776304358e-18,1.2539272675846313e-15,-1
41,42,55,2020-03-14,-0.030198145196133612,3.125845025747006e-20,2.585073836292774e-17,-1
42,43,56,2020-03-15,-0.03004109011236098,5.531664093509353e-19,4.4087362825269547e-16,-1
43,44,57,2020-03-16,-0.02949132000855903,9.753643863743668e-17,7.129913664396622e-14,-1
44,45,58,2020-03-17,-0.02855897016216835,7.334133769798224e-15,4.8258600205272315e-12,-1
45,46,59,2020-03-18,-0.027265941173034998,2.4672644173445833e-13,1.4186770399731354e-10,-1
46,47,60,2020-03-19,-0.025634042391909483,5.03352777670203e-12,2.471462138360697e-09,-1
47,48,61,2020-03-20,-0.0236828494031266,7.769250574687655e-11,3.2708544919435026e-08,-1
48,49,62,2020-03-21,-0.02143543411655768,1.0358266087083328e-09,3.5839600661308313e-07,-1
49,50,63,2020-03-22,-0.01892262561898314,1.2924447078605992e-08,3.7351652057171317e-06,-1
50,51,64,2020-03-23,-0.016181812538036966,1.657343024547332e-07,3.828462386704337e-05,-1
51,52,65,2020-03-24,-0.013259687703819642,2.4197080411180905e-06,0.0004258686152367839,-1
52,53,66,2020-03-25,-0.010207499067029197,4.466507465376927e-05,0.00611911522756639,-1
53,54,67,2020-03-26,-0.007082412714655674,0.0011303299649318586,0.10512068673866284,0
