,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-1.5670043354581202e-06,7.75049622530254e-08,1.3020833658508268e-05,-1
1,2,15,2020-02-03,-1.8130169152377902e-06,3.552445525790971e-08,6.287828580650019e-06,-1
2,3,16,2020-02-04,-2.068748956138136e-06,9.723524828726564e-09,1.9641520154027657e-06,-1
3,4,17,2020-02-05,-2.3192140859261093e-06,1.5505572824766165e-09,3.7058319051191135e-07,-1
4,5,18,2020-02-06,-2.5465332360727313e-06,1.306427204538959e-10,3.697188988845254e-08,-1
5,6,19,2020-02-07,-2.73117290497985e-06,4.83017800492132e-12,1.6084492756387997e-09,-1
6,7,20,2020-02-08,-2.8541548856932794e-06,7.18287200713081e-14,2.995257626973548e-11,-1
7,8,21,2020-02-09,-2.8996368252821698e-06,3.3697537781467662e-15,1.6040027983978606e-12,-1
8,9,22,2020-02-10,-2.8568201691177678e-06,7.879393480791245e-14,3.246310114085993e-11,-1
9,10,23,2020-02-11,-2.7210108115771867e-06,1.9248602127990353e-11,6.002902184121104e-09,-1
10,11,24,2020-02-12,-2.494767407941726e-06,2.2815949113333435e-09,5.156404499613357e-07,-1
11,12,25,2020-02-13,-2.1886917612951698e-06,1.2500998454053426e-07,1.9847818857261737e-05,-1
12,13,26,2020-02-14,-1.822148463000909e-06,3.923490669618242e-06,0.0004512014270060979,-1
13,14,27,2020-02-15,-1.4212212846606655e-06,8.169846042311622e-05,0.006209082992156833,-1
14,15,28,2020-02-16,-1.0163363397819924e-06,0.0012239844608068907,0.06809116673064182,0
15,16,29,2020-02-17,-6.387993106545968e-07,0.01374105694661857,0.5221601639715057,0
16,17,30,2020-02-18,-3.1812226985810294e-07,0.1129899664883662,1.0,0
17,18,31,2020-02-19,-8.08622382972271e-08,0.5785884797794361,1.0,0
18,19,32,2020-02-20,5.2809092808582366e-08,0.615632251023249,1.0,0
19,20,33,2020-02-21,7.254852269995609e-08,0.45997780801508525,1.0,0
20,21,34,2020-02-22,-1.994909742745395e-08,0.8750570537533262,1.0,0
21,22,35,2020-02-23,-2.107201539880909e-07,0.21680328854743716,1.0,0
22,23,36,2020-02-24,-4.743346039142976e-07,0.027394706484563023,0.9314200204751428,0
23,24,37,2020-02-25,-7.772885221378401e-07,0.0020697675885742025,0.10590423426143636,0
24,25,38,2020-02-26,-1.0829454372314244e-06,9.698883661930377e-05,0.007221389613742278,-1
25,26,39,2020-02-27,-1.3543851426781202e-06,2.6552016100712204e-06,0.0003212793948186177,-1
26,27,40,2020-02-28,-1.5585483786413138e-06,3.890774741830968e-08,6.8088557982041935e-06,-1
27,28,41,2020-02-29,-1.6687502386909207e-06,6.405485813239163e-10,1.6590208256289432e-07,-1
28,29,42,2020-03-01,-1.6661480905031534e-06,7.360673591911047e-10,1.869611092345406e-07,-1
29,30,43,2020-03-02,-1.5392140958667724e-06,1.0503637458972707e-07,1.712092905812551e-05,-1
30,31,44,2020-03-03,-1.2830372568672187e-06,2.554468214926535e-05,0.0023501107577324123,-1
31,32,45,2020-03-04,-9.001411173135766e-07,0.0038840047816087486,0.182386491268373,0
32,33,46,2020-03-05,-3.984411881338781e-07,0.21735302852566596,1.0,0
33,34,47,2020-03-06,2.1119079012279472e-07,0.561729460921002,1.0,0
34,35,48,2020-03-07,9.179348290113052e-07,0.03928142289857084,1.0,0
35,36,49,2020-03-08,1.7137535990317855e-06,0.0020366198896430068,0.10590423426143636,0
36,37,50,2020-03-09,2.5952365835571266e-06,0.00014987899397325317,0.010641408572100976,1
37,38,51,2020-03-10,3.5625726499442467e-06,1.709068180316325e-05,0.001640705453103672,1
38,39,52,2020-03-11,4.618186223068901e-06,2.890820987208591e-06,0.00034400769747782237,1
39,40,53,2020-03-12,5.768928449323174e-06,6.85833853436968e-07,9.395923792086462e-05,1
40,41,54,2020-03-13,7.025076056660179e-06,2.14865074870604e-07,3.1800031080849395e-05,1
41,42,55,2020-03-14,8.39586385818168e-06,8.249072822117694e-08,1.3775951612936548e-05,1
42,43,56,2020-03-15,9.885217660524234e-06,3.560703039021429e-08,6.287828580650019e-06,1
43,44,57,2020-03-16,1.1491435797261019e-05,1.605893835836307e-08,3.0993751031640723e-06,1
