,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.006551468133856731,2.6790043007593e-10,6.788685755847179e-08,1
1,2,15,2020-02-03,0.007142977952141465,4.7520052960745206e-11,1.38758554645376e-08,1
2,3,16,2020-02-04,0.007689734568711116,5.312376932339113e-12,1.8965185648450634e-09,1
3,4,17,2020-02-05,0.00817460410302471,3.5686762835521714e-13,1.559511535912299e-10,1
4,5,18,2020-02-06,0.008586521376195803,1.3442859068537346e-14,6.963400997502346e-12,1
5,6,19,2020-02-07,0.00892109249479101,2.752432094139561e-16,1.6699505433188034e-13,1
6,7,20,2020-02-08,0.009181685723475901,3.4014930273511125e-18,2.3912495982278323e-15,1
7,8,21,2020-02-09,0.009377351649129739,3.4417313870259893e-20,2.6432497052359596e-17,1
8,9,22,2020-02-10,0.009515609125005623,3.5380972944624927e-22,2.887087392281394e-19,1
9,10,23,2020-02-11,0.009592967701537272,2.163081564796865e-24,1.858087064160507e-21,1
10,11,24,2020-02-12,0.009591964292214204,2.514904602556564e-24,2.157788148993532e-21,1
11,12,25,2020-02-13,0.009483496425395794,8.688604702602249e-20,6.612028178680311e-17,1
12,13,26,2020-02-14,0.009236798030713457,4.113337642379357e-16,2.4638892477852346e-13,1
13,14,27,2020-02-15,0.008830536786716003,2.2506124451153839e-13,1.0105249878568074e-10,1
14,15,28,2020-02-16,0.0082580685125601,3.047201987846336e-11,9.263494043052862e-09,1
15,16,29,2020-02-17,0.00752821017380737,1.594160209610787e-09,3.66656848210481e-07,1
16,17,30,2020-02-18,0.006664594187955724,4.191025281893065e-08,7.627666013045378e-06,1
17,18,31,2020-02-19,0.005702377961875937,6.572498603089127e-07,9.661572946541016e-05,1
18,19,32,2020-02-20,0.004684877787375681,6.939985292587925e-06,0.0008628073098145341,1
19,20,33,2020-02-21,0.0036610978122431134,5.429648415211027e-05,0.005483944899363137,1
20,21,34,2020-02-22,0.0026842479954820387,0.00034188788391541507,0.028034806481064035,1
21,22,35,2020-02-23,0.0018061831548953362,0.0018969613264752771,0.1327872928532694,0
22,23,36,2020-02-24,0.0010658131237768426,0.010782318897582955,0.5606805826743136,0
23,24,37,2020-02-25,0.0004760642329520434,0.08385551246008723,1.0,0
24,25,38,2020-02-26,1.8852456695827523e-05,0.9136808549748704,1.0,0
25,26,39,2020-02-27,-0.00035227180196892077,0.015443901501464005,0.7413072720702722,0
26,27,40,2020-02-28,-0.0006993161501797607,0.00022376520370225874,0.01946757272209651,-1
27,28,41,2020-02-29,-0.0010848873758670227,0.00010090995057598623,0.009687355255294678,-1
28,29,42,2020-03-01,-0.0015604966920357722,9.231139818889034e-05,0.008954205624322363,-1
29,30,43,2020-03-02,-0.002159931882618362,6.755180763443248e-05,0.006755180763443248,-1
30,31,44,2020-03-03,-0.002896520213545863,3.5062276573995474e-05,0.003681539040269525,-1
31,32,45,2020-03-04,-0.0037651604497493186,1.314816825507957e-05,0.0015310616042859475,-1
32,33,46,2020-03-05,-0.004747096780467828,3.6617395904548896e-06,0.0004870113655305003,-1
33,34,47,2020-03-06,-0.0058134263939756126,7.654465914836896e-07,0.000110989755765135,-1
34,35,48,2020-03-07,-0.006931984564712162,1.231912114528837e-07,2.008016746682004e-05,-1
35,36,49,2020-03-08,-0.008071210181550515,1.633318404484825e-08,3.2013040727902573e-06,-1
36,37,50,2020-03-09,-0.009205202820857109,2.0296454646455187e-09,4.586998750098872e-07,-1
37,38,51,2020-03-10,-0.010318408397412937,2.8186855303842736e-10,7.103087536568369e-08,-1
38,39,52,2020-03-11,-0.011402613060428397,5.173542913648054e-11,1.505500987871584e-08,-1
39,40,53,2020-03-12,-0.012449406170094724,1.3297643505250865e-11,4.4015200002380364e-09,-1
40,41,54,2020-03-13,-0.013448595642792365,4.377591492583005e-12,1.597820894792797e-09,-1
41,42,55,2020-03-14,-0.014392131909472758,1.5507915940332005e-12,6.079103048610146e-10,-1
42,43,56,2020-03-15,-0.015275908784905024,5.005812251580743e-13,2.137481831424977e-10,-1
43,44,57,2020-03-16,-0.01609490188737468,1.2714410507897696e-13,5.937629707188224e-11,-1
44,45,58,2020-03-17,-0.016838401309353424,2.1856542681891823e-14,1.114683676776483e-11,-1
45,46,59,2020-03-18,-0.01748855801136273,2.1169855683565548e-15,1.1749269904378879e-12,-1
46,47,60,2020-03-19,-0.018022814883269584,8.883188657596709e-17,5.605292042943523e-14,-1
47,48,61,2020-03-20,-0.018415711777265763,1.1604493538182839e-18,8.355235347491644e-16,-1
48,49,62,2020-03-21,-0.01864765080962344,4.562538709808089e-21,3.636343351717047e-18,-1
49,50,63,2020-03-22,-0.018710888528999152,2.508632827172005e-22,2.057078918281044e-19,-1
50,51,64,2020-03-23,-0.018612487240005443,1.0782368688499512e-20,8.485724157849115e-18,-1
51,52,65,2020-03-24,-0.018373691283079564,7.026167127946758e-19,5.129102003401134e-16,-1
52,53,66,2020-03-25,-0.018024644663999306,1.410138883487771e-17,9.532538852377332e-15,-1
53,54,67,2020-03-26,-0.017595939193215917,1.100320036616165e-16,6.910009829949516e-14,-1
54,55,68,2020-03-27,-0.01711478555615844,3.984726902279249e-16,2.3908361413675495e-13,-1
55,56,69,2020-03-28,-0.01660602727989493,7.169876971821389e-16,4.18003827457187e-13,-1
56,57,70,2020-03-29,-0.01609592387253404,6.577958441407025e-16,3.84810568822311e-13,-1
57,58,71,2020-03-30,-0.015610488503305991,3.0911489552202433e-16,1.867053968953027e-13,-1
58,59,72,2020-03-31,-0.01517129146998972,7.388581838687908e-17,4.695281190290871e-14,-1
59,60,73,2020-04-01,-0.014792141023622227,8.932625092842488e-18,6.118848188597105e-15,-1
60,61,74,2020-04-02,-0.014477042339704886,5.733956698410987e-19,4.2087242166336645e-16,-1
61,62,75,2020-04-03,-0.014219648876496726,2.4157482936378643e-20,1.872204927569345e-17,-1
62,63,76,2020-04-04,-0.014005145248216892,1.3454927101051627e-21,1.083121631634656e-18,-1
63,64,77,2020-04-05,-0.01381465277631808,4.365508338425751e-22,3.553523787478561e-19,-1
64,65,78,2020-04-06,-0.013630041146823754,1.6543375214924487e-21,1.3267786922369438e-18,-1
65,66,79,2020-04-07,-0.013436635021515172,1.948721983160636e-20,1.5200031468652962e-17,-1
66,67,80,2020-04-08,-0.013225360036132798,2.1203650147739902e-19,1.5839126660361707e-16,-1
67,68,81,2020-04-09,-0.012995568975824783,1.3116821529100523e-18,9.430994679423277e-16,-1
68,69,82,2020-04-10,-0.01275572474927278,3.7651955769161535e-18,2.64316729499514e-15,-1
69,70,83,2020-04-11,-0.01252271778738315,4.153246388171256e-18,2.9072724717198792e-15,-1
70,71,84,2020-04-12,-0.012320283699989486,1.3998153911464704e-18,1.0036676354520193e-15,-1
71,72,85,2020-04-13,-0.012177033243258544,1.3039656995752465e-19,9.831901374797358e-17,-1
72,73,86,2020-04-14,-0.012123396082868094,1.734312908278165e-20,1.354498381365247e-17,-1
73,74,87,2020-04-15,-0.01218998966081108,3.3816239459493533e-19,2.499020096056572e-16,-1
74,75,88,2020-04-16,-0.01240294231548787,6.330516589493877e-17,4.051530617276081e-14,-1
75,76,89,2020-04-17,-0.012779865401404817,4.156424127643863e-15,2.2361561806723986e-12,-1
76,77,90,2020-04-18,-0.013328657473075716,7.983390208792717e-14,3.832027300220504e-11,-1
77,78,91,2020-04-19,-0.014047998966440026,5.893404159895052e-13,2.481123151315817e-10,-1
78,79,92,2020-04-20,-0.014928662701045311,2.0872759492758418e-12,7.994266885726474e-10,-1
79,80,93,2020-04-21,-0.01595314181944407,4.128919135261719e-12,1.5111844035057892e-09,-1
80,81,94,2020-04-22,-0.017097109057054017,5.134679971829289e-12,1.8484847898585439e-09,-1
81,82,95,2020-04-23,-0.018332629594463103,4.427766695717284e-12,1.6117070772410913e-09,-1
82,83,96,2020-04-24,-0.01962972833963274,2.859726774714557e-12,1.0866961743915317e-09,-1
83,84,97,2020-04-25,-0.020957727061487342,1.4542489187738781e-12,5.729740739969079e-10,-1
84,85,98,2020-04-26,-0.022284076141154078,5.934815682774171e-13,2.4866877710823776e-10,-1
85,86,99,2020-04-27,-0.023575310652394234,1.9386563915817244e-13,8.820886581696846e-11,-1
86,87,100,2020-04-28,-0.024801117681506057,5.0642118077024956e-14,2.501720633005033e-11,-1
87,88,101,2020-04-29,-0.02593868745320628,1.0551460830925938e-14,5.50786255374334e-12,-1
