,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0,1.0,1.0,0
1,2,15,2020-02-03,-0.6596599544045841,0.10886430106296381,1.0,0
2,3,16,2020-02-04,-1.173360170076393,0.021765026424216415,1.0,0
3,4,17,2020-02-05,-1.5809726063495004,0.004606429236188064,1.0,0
4,5,18,2020-02-06,-1.8928519993120376,0.0010576669334346912,0.5394101360516925,0
5,6,19,2020-02-07,-2.1160193716124427,0.00029233318736161996,0.16224491898569907,0
6,7,20,2020-02-08,-2.2602089715795537,0.00011111412664093567,0.06366839456525614,0
7,8,21,2020-02-09,-1.6905511311615313,0.014292739136638942,1.0,0
8,9,22,2020-02-10,-1.1208932907435087,0.13249839731263577,1.0,0
9,10,23,2020-02-11,-0.5512354503254868,0.4761564551451525,1.0,0
10,11,24,2020-02-12,0.01842239009253532,0.9812114553328389,1.0,0
11,12,25,2020-02-13,0.5880802305105575,0.44647254328307673,1.0,0
12,13,26,2020-02-14,1.1577380709285798,0.11892426118008702,1.0,0
13,14,27,2020-02-15,1.7273959113466018,0.01170790602108754,1.0,0
14,15,28,2020-02-16,2.297053751764624,6.360736643641096e-05,0.036574235700936306,1
15,16,29,2020-02-17,2.1055654909465877,0.000227536849611035,0.12719309893256858,0
16,17,30,2020-02-18,1.863906766260116,0.000931450066148895,0.48066436651434596,0
17,18,31,2020-02-19,1.540808282298869,0.004345921432991509,1.0,0
18,19,32,2020-02-20,1.1281142697494526,0.02133533116350224,1.0,0
19,20,33,2020-02-21,0.6186677816671147,0.10886430106296381,1.0,0
20,21,34,2020-02-22,0.0,1.0,1.0,0
21,22,35,2020-02-23,0.0,1.0,1.0,0
22,23,36,2020-02-24,0.0,1.0,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
38,39,52,2020-03-11,0.0,1.0,1.0,0
39,40,53,2020-03-12,0.0,1.0,1.0,0
40,41,54,2020-03-13,0.0,1.0,1.0,0
41,42,55,2020-03-14,0.0,1.0,1.0,0
42,43,56,2020-03-15,0.0,1.0,1.0,0
43,44,57,2020-03-16,0.0,1.0,1.0,0
44,45,58,2020-03-17,0.0,1.0,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,0.0,1.0,1.0,0
52,53,66,2020-03-25,0.0,1.0,1.0,0
53,54,67,2020-03-26,0.0,1.0,1.0,0
54,55,68,2020-03-27,0.0,1.0,1.0,0
55,56,69,2020-03-28,0.0,1.0,1.0,0
56,57,70,2020-03-29,0.0,1.0,1.0,0
57,58,71,2020-03-30,0.0,1.0,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
