,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0045415517248419,2.3850262393105023e-11,8.228340525621233e-09,-1
1,2,15,2020-02-03,-0.00484517896101973,1.1454431865186706e-12,4.822315815243603e-10,-1
2,3,16,2020-02-04,-0.0050623003597379795,2.6077637194104395e-14,1.3612526615322493e-11,-1
3,4,17,2020-02-05,-0.005178842311476673,4.585096638009722e-16,2.874855592032096e-13,-1
4,5,18,2020-02-06,-0.005182494747882891,3.7588449691433323e-16,2.375590020498586e-13,-1
5,6,19,2020-02-07,-0.005064468476444929,4.447175181601132e-14,2.2502706418901728e-11,-1
6,7,20,2020-02-08,-0.004823081820416751,6.246320806466097e-12,2.3486166232312524e-09,-1
7,8,21,2020-02-09,-0.004464567936055931,3.649753698047991e-10,1.0328802965475814e-07,-1
8,9,22,2020-02-10,-0.004000359946380298,1.1179899032267195e-08,2.3142390996793093e-06,-1
9,10,23,2020-02-11,-0.003446612086634387,2.379751489911159e-07,3.712412324261408e-05,-1
10,11,24,2020-02-12,-0.002821618981387483,4.569242150954529e-06,0.0005483090581145435,-1
11,12,25,2020-02-13,-0.0021427406650677827,0.00010121587482374135,0.008906996984489239,-1
12,13,26,2020-02-14,-0.001424767467438305,0.003088458183368472,0.17913057463537138,0
13,14,27,2020-02-15,-0.0006804947500769102,0.10659880003266725,1.0,0
14,15,28,2020-02-16,8.004891076497853e-05,0.841454250770475,1.0,0
15,16,29,2020-02-17,0.0008492126906478057,0.051594104388338946,1.0,0
16,17,30,2020-02-18,0.001621808160880631,0.0014715698002184272,0.09565203701419776,0
17,18,31,2020-02-19,0.002393017867410643,6.256424375434777e-05,0.005755910425399994,1
18,19,32,2020-02-20,0.0031583507635335687,4.449179157433129e-06,0.0005383506780494086,1
19,20,33,2020-02-21,0.003913614336742855,4.4181016555275335e-07,6.494609433625475e-05,1
20,21,34,2020-02-22,0.004653187950485358,5.175852759586216e-08,9.420052022446914e-06,1
21,22,35,2020-02-23,0.005369522382138653,6.481056758917154e-09,1.4452756572385254e-06,1
22,23,36,2020-02-24,0.006055641739804222,8.254186290773724e-10,2.1873593670550368e-07,1
23,24,37,2020-02-25,0.006706140505308891,1.0767593597635215e-10,3.381024389657457e-08,1
24,25,38,2020-02-26,0.007317372415235681,1.490860378224467e-11,5.277645738914613e-09,1
25,26,39,2020-02-27,0.00788846634244703,2.3028200276705773e-12,9.37247751261925e-10,1
26,27,40,2020-02-28,0.008420036699426281,4.1760639899386465e-13,1.8875809234522681e-10,1
27,28,41,2020-02-29,0.008913310493369088,9.19608012058999e-14,4.450902778365555e-11,1
28,29,42,2020-03-01,0.009368305844713869,2.37361182568135e-14,1.2532670439597528e-11,1
29,30,43,2020-03-02,0.009783029615663942,6.3509731970476346e-15,3.5628959635437228e-12,1
30,31,44,2020-03-03,0.010154362983408901,1.4360424463881003e-15,8.659335951720244e-13,1
31,32,45,2020-03-04,0.010476335676743907,2.1671454511222226e-16,1.402143106876078e-13,1
32,33,46,2020-03-05,0.010740280690946038,1.7054413374683957e-17,1.1921034948904086e-14,1
33,34,47,2020-03-06,0.010935614665332168,5.426750521373039e-19,4.0646361405084063e-16,1
34,35,48,2020-03-07,0.011051669291534677,8.031924073716051e-21,6.409475410825409e-18,1
