,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0070524882295581156,1.7937318349972336e-15,1.1605444972432102e-12,-1
1,2,15,2020-02-03,-0.006800017347233767,3.547781540079147e-13,1.9477320655034517e-10,-1
2,3,16,2020-02-04,-0.006392332531322155,2.728876657795954e-11,1.2182325942266905e-08,-1
3,4,17,2020-02-05,-0.005851825463139845,9.027722484428865e-10,3.1235919796123874e-07,-1
4,5,18,2020-02-06,-0.005208135439958074,1.63526691277596e-08,4.676863370539245e-06,-1
5,6,19,2020-02-07,-0.004498362562807557,1.8670526329535555e-07,4.406244213770391e-05,-1
6,7,20,2020-02-08,-0.003764398744869359,1.4197249087955743e-06,0.0002825252568503193,-1
7,8,21,2020-02-09,-0.0030532229848786573,7.039659876036799e-06,0.001260099117810587,-1
8,9,22,2020-02-10,-0.002413018840676158,2.049033195128555e-05,0.003135020788546689,-1
9,10,23,2020-02-11,-0.0018859184525184477,2.8205269387444953e-05,0.0041179693305669635,-1
10,11,24,2020-02-12,-0.0015069447060290734,1.203629950754977e-05,0.0020220983172683613,-1
11,12,25,2020-02-13,-0.0013009089325284934,1.391588882908718e-06,0.0002783177765817436,-1
12,13,26,2020-02-14,-0.0012788198841487384,8.872588229306486e-07,0.00018188805870078298,-1
13,14,27,2020-02-15,-0.001440703085732519,6.5931608901808085e-06,0.0011867689602325455,-1
14,15,28,2020-02-16,-0.0017729339824173107,1.6844037420245827e-05,0.0026782019498190865,-1
15,16,29,2020-02-17,-0.002246217284194137,1.2376709721462653e-05,0.0020669105234842632,-1
16,17,30,2020-02-18,-0.0028234767597789157,4.189088598428144e-06,0.0007707923021107784,-1
17,18,31,2020-02-19,-0.0034589767341986905,8.376790411345547e-07,0.00017339956151485281,-1
18,19,32,2020-02-20,-0.004100377435748419,1.0648637457378464e-07,2.640862089429859e-05,-1
19,20,33,2020-02-21,-0.004697428214605516,8.446732622745748e-09,2.5424665194464702e-06,-1
20,21,34,2020-02-22,-0.0052060269699136606,3.818479117178783e-10,1.420474231590507e-07,-1
21,22,35,2020-02-23,-0.005591424928269705,8.40831592783629e-12,4.0107666975779105e-09,-1
22,23,36,2020-02-24,-0.005832456268391389,9.970725456019006e-14,5.7231964117549094e-11,-1
23,24,37,2020-02-25,-0.00591702274273908,6.544520438663382e-15,4.0968697946032766e-12,-1
24,25,38,2020-02-26,-0.005842918978641448,6.924515466725163e-14,4.043917032567495e-11,-1
25,26,39,2020-02-27,-0.005619982897138114,3.6802613823730925e-12,1.8290899070394269e-09,-1
26,27,40,2020-02-28,-0.005273742036364673,8.98786640914143e-11,3.667049494929703e-08,-1
27,28,41,2020-02-29,-0.004847436283090355,7.900562922585547e-10,2.7651970229049415e-07,-1
