,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0004307777586861776,0.008085474038727065,0.7034362413692546,0
1,2,15,2020-02-03,0.0006778890630883116,0.0006455822416169565,0.07940661571888565,0
2,3,16,2020-02-04,0.0009410733652982288,4.95885301686283e-05,0.008330873068329555,1
3,4,17,2020-02-05,0.0012124993588937586,3.6044438983822443e-06,0.0007785598820505648,1
4,5,18,2020-02-06,0.0014883259849648501,2.765083677060887e-07,7.521027601605613e-05,1
5,6,19,2020-02-07,0.001771157884877697,2.8858208480750976e-08,9.321201339282565e-06,1
6,7,20,2020-02-08,0.0020672108350629965,5.56728333047289e-09,2.065462115605442e-06,1
7,8,21,2020-02-09,0.0023826047289323827,2.3363965551624917e-09,9.111946565133718e-07,1
8,9,22,2020-02-10,0.0027211631138127396,1.8328834312364553e-09,7.239889553383999e-07,1
9,10,23,2020-02-11,0.0030834444822191477,1.7992900467767012e-09,7.143181485703503e-07,1
10,11,24,2020-02-12,0.0034640648882996367,1.5444705980447625e-09,6.193327098159498e-07,1
11,12,25,2020-02-13,0.0038506069007757378,9.024567432663921e-10,3.763244619420855e-07,1
12,13,26,2020-02-14,0.0042228226283483935,2.916539504722268e-10,1.3007766191061314e-07,1
13,14,27,2020-02-15,0.004550330739751132,4.1804678557671804e-11,2.0735120564605215e-08,1
14,15,28,2020-02-16,0.004793534456388784,2.2930163732391257e-12,1.2840891690139104e-09,1
15,16,29,2020-02-17,0.004910093753284077,1.3292604208224738e-13,8.307877630140461e-11,1
16,17,30,2020-02-18,0.0048641259618460286,6.238068937435496e-13,3.649270328399765e-10,1
17,18,31,2020-02-19,0.00463343351197399,1.1662781459376124e-10,5.411530597150521e-08,1
18,19,32,2020-02-20,0.0042145107895338995,1.7852142966361383e-08,5.947882646290687e-06,1
19,20,33,2020-02-21,0.0036242093686480255,1.2675425409020934e-06,0.00029533741203018775,1
20,21,34,2020-02-22,0.0028928824236149927,5.382780070184983e-05,0.008881587115805223,1
21,22,35,2020-02-23,0.0020595462395541523,0.0017417805256743555,0.18462873572148167,0
22,23,36,2020-02-24,0.0011675503544525726,0.04569151992579803,1.0,0
23,24,37,2020-02-25,0.0002587359018750231,0.6184830948441831,1.0,0
24,25,38,2020-02-26,-0.0006297430148896875,0.2024651970655604,1.0,0
25,26,39,2020-02-27,-0.0014668065084064306,0.004113784873724022,0.39492334787750605,0
26,27,40,2020-02-28,-0.0022299804899323424,4.5880979515013236e-05,0.007891528476582277,-1
27,28,41,2020-02-29,-0.002909382152595721,7.126767810019352e-07,0.0001803072255934896,-1
28,29,42,2020-03-01,-0.0035066699098501293,2.1619678640481056e-08,7.091254594077786e-06,-1
29,30,43,2020-03-02,-0.004029781025288418,1.3344899623118741e-09,5.418029246986209e-07,-1
30,31,44,2020-03-03,-0.004486937900740974,1.3745621393799576e-10,6.350477083935405e-08,-1
