,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.11816298328876743,0.00016509930877430185,0.09691329425051519,0
1,2,15,2020-02-03,-0.17943270010350484,0.00010679318651333497,0.06386232553497431,0
2,3,16,2020-02-04,0.35538868018352243,0.2929309132118386,1.0,0
3,4,17,2020-02-05,0.8149496684068479,0.06061232826303191,1.0,0
4,5,18,2020-02-06,1.198598515723034,0.013152970522892634,1.0,0
5,6,19,2020-02-07,1.5055813673118132,0.0029654704808938464,1.0,0
6,7,20,2020-02-08,1.7350115701616662,0.0007548893904911926,0.40990493903671754,0
7,8,21,2020-02-09,1.295809418713769,0.030052282858888228,1.0,0
8,9,22,2020-02-10,0.9035356533137637,0.15680801778517947,1.0,0
9,10,23,2020-02-11,0.5328142296387071,0.4198736336005523,1.0,0
10,11,24,2020-02-12,0.17305878065532582,0.7963553457737316,1.0,0
11,12,25,2020-02-13,-0.1832621915404693,0.7845767182657563,1.0,0
12,13,26,2020-02-14,-0.5428913797287164,0.4107511138625404,1.0,0
13,14,27,2020-02-15,-0.9130298973337613,0.1519950563876172,1.0,0
14,15,28,2020-02-16,-1.3032530612674194,0.028957964417682936,1.0,0
15,16,29,2020-02-17,-1.7331110711195652,0.0008192413116652998,0.4432095496109272,0
16,17,30,2020-02-18,-1.503634852580216,0.0031563026412965624,1.0,0
17,18,31,2020-02-19,-1.197223506084123,0.01370518288081831,1.0,0
18,19,32,2020-02-20,-0.8147682317998391,0.06186257568890496,1.0,0
19,20,33,2020-02-21,-0.356994719839589,0.2931602982885056,1.0,0
20,21,34,2020-02-22,0.1755253713842393,0.0006230737419691093,0.3408213368571028,0
21,22,35,2020-02-23,0.10156696451961846,0.0018283297209607718,0.9489031251786406,0
22,23,36,2020-02-24,0.05244220050918245,0.026531118232975087,1.0,0
23,24,37,2020-02-25,0.012450836583079694,0.5061252404115576,1.0,0
24,25,38,2020-02-26,-0.022499839652102345,0.2001015924678998,1.0,0
25,26,39,2020-02-27,-0.0540754302860571,0.0044681459381617095,1.0,0
26,27,40,2020-02-28,-0.08264359467211062,9.560936134261018e-05,0.05746122616690872,0
27,28,41,2020-02-29,-0.10725412930116429,2.605458674301777e-06,0.0016544662581816285,-1
28,29,42,2020-03-01,-0.12548571032080824,5.67872930036404e-08,3.747961338240266e-05,-1
29,30,43,2020-03-02,-0.13408387657404935,1.747729043227152e-09,1.197194394610599e-06,-1
30,31,44,2020-03-03,-0.13064325214307826,1.2938067232295877e-08,8.668505045638237e-06,-1
31,32,45,2020-03-04,-0.11475551709205063,5.933244085460173e-06,0.0037260772856689884,-1
32,33,46,2020-03-05,-0.08784320399406355,0.0013164652046356092,0.6898277672290593,0
33,34,47,2020-03-06,-0.05233409751089857,0.0687497700518431,1.0,0
34,35,48,2020-03-07,-0.0110866395292891,0.7122431413878241,1.0,0
35,36,49,2020-03-08,0.032888851659802626,0.29771985316014427,1.0,0
36,37,50,2020-03-09,0.0765554480313866,0.020382847653384644,1.0,0
37,38,51,2020-03-10,0.11691809880526936,0.0005184586376735567,0.28567070935812977,0
38,39,52,2020-03-11,0.15109159857612467,5.033911500857192e-06,0.0031713642455400313,1
39,40,53,2020-03-12,0.1764385346297949,1.4885738347734098e-08,9.943673216286377e-06,1
40,41,54,2020-03-13,0.1909584414941509,2.1580696206978664e-11,1.5451778484196723e-08,1
41,42,55,2020-03-14,0.19391966765520804,3.043628067910328e-12,2.22793574571036e-09,1
42,43,56,2020-03-15,0.18656140836869872,6.174810031110925e-11,4.384115122088757e-08,1
43,44,57,2020-03-16,0.17191684828011147,8.531494085953975e-10,5.895262413394197e-07,1
44,45,58,2020-03-17,0.1533719873642502,5.526319797374699e-09,3.741318502822671e-06,1
45,46,59,2020-03-18,0.13333861601150607,2.7758431800688712e-08,1.8403840283856615e-05,1
46,47,60,2020-03-19,0.11298574378793695,1.5174949700046104e-07,9.833367405629876e-05,1
47,48,61,2020-03-20,0.09270402339445176,1.1188514843658953e-06,0.000717183801478539,1
48,49,62,2020-03-21,0.07248016183746953,1.3305214780463292e-05,0.008289148808228631,1
49,50,63,2020-03-22,0.05206630419517436,0.00030416095724106407,0.17276342371292439,0
50,51,64,2020-03-23,0.031011517640621992,0.01368305994658959,1.0,0
51,52,65,2020-03-24,0.008583537907568994,0.4689406330143656,1.0,0
52,53,66,2020-03-25,-0.01648081400477237,0.22442637801694884,1.0,0
53,54,67,2020-03-26,-0.04671767174901001,0.011125996326944483,1.0,0
54,55,68,2020-03-27,-0.08908086908700247,0.0015776978418972805,0.8204028777865858,0
55,56,69,2020-03-28,0.3978414743270853,0.19662193784163445,1.0,0
56,57,70,2020-03-29,0.8138109374440492,0.0400263096882135,1.0,0
57,58,71,2020-03-30,1.1585053835906212,0.008552955048110112,1.0,0
58,59,72,2020-03-31,1.4315164246097742,0.0019114405139604629,0.9901261862315198,0
59,60,73,2020-04-01,1.6323481306026288,0.0004907199625912694,0.271368139312972,0
60,61,74,2020-04-02,1.7604008272566845,0.00017314600681937249,0.10146355999615228,0
61,62,75,2020-04-03,1.8149404184140927,0.00010502208249553575,0.06290822741482592,0
62,63,76,2020-04-04,1.7950543643638734,0.00012653575427503972,0.07528877379364864,0
63,64,77,2020-04-05,1.6995851167237281,0.000288059135567688,0.16448176640914985,0
64,65,78,2020-04-06,1.5270189036751496,0.0010131523112288647,0.5430496388186715,0
65,66,79,2020-04-07,1.2752824887297867,0.004458557924956459,1.0,0
66,67,80,2020-04-08,0.9413193449387559,0.021448934293531945,1.0,0
67,68,81,2020-04-09,0.5200022149602458,0.10886430106296377,1.0,0
68,69,82,2020-04-10,0.0,1.0,1.0,0
69,70,83,2020-04-11,0.0,1.0,1.0,0
70,71,84,2020-04-12,0.0,1.0,1.0,0
71,72,85,2020-04-13,0.0,1.0,1.0,0
72,73,86,2020-04-14,0.0,1.0,1.0,0
73,74,87,2020-04-15,0.0,1.0,1.0,0
74,75,88,2020-04-16,0.0,1.0,1.0,0
75,76,89,2020-04-17,0.0,1.0,1.0,0
76,77,90,2020-04-18,0.0,1.0,1.0,0
77,78,91,2020-04-19,0.0,1.0,1.0,0
78,79,92,2020-04-20,0.0,1.0,1.0,0
79,80,93,2020-04-21,0.0,1.0,1.0,0
80,81,94,2020-04-22,0.0,1.0,1.0,0
81,82,95,2020-04-23,0.0,1.0,1.0,0
