,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.04786516612172728,0.006649736009160039,1.0,0
1,2,15,2020-02-03,-0.07870205259053993,0.00030749072616188534,0.12299629046475413,0
2,3,16,2020-02-04,-0.11198986839084529,3.213273236358335e-05,0.01449186229597609,-1
3,4,17,2020-02-05,-0.1472932855258583,5.284961221378658e-06,0.0025367813862617558,-1
4,5,18,2020-02-06,-0.1795893289633492,6.305173895290865e-07,0.00032219438604936325,-1
5,6,19,2020-02-07,-0.1978562002037281,4.013880734672612e-08,2.203620523335264e-05,-1
6,7,20,2020-02-08,-0.19435980697635785,1.0661872529940148e-07,5.71476367604792e-05,-1
7,8,21,2020-02-09,-0.17001652278351884,2.5509428128263828e-05,0.01165780865461657,-1
8,9,22,2020-02-10,-0.1293279312707529,0.003466504063990446,1.0,0
9,10,23,2020-02-11,-0.07703739696109346,0.10304391156205782,1.0,0
10,11,24,2020-02-12,-0.017709000204806202,0.7209445781684607,1.0,0
11,12,25,2020-02-13,0.04415997164972865,0.3887759753233132,1.0,0
12,13,26,2020-02-14,0.10421376627015844,0.044570776662894725,1.0,0
13,14,27,2020-02-15,0.15817908601288755,0.0019309216128249188,0.7105791535195701,0
14,15,28,2020-02-16,0.2016674654556678,3.129455683205237e-05,0.014145139688087673,1
15,16,29,2020-02-17,0.23010063611636053,3.0139978298651645e-07,0.0001555222880210425,1
16,17,30,2020-02-18,0.23882573704251617,3.988452412535229e-08,2.193648826894376e-05,1
17,18,31,2020-02-19,0.22433656053567336,4.766250929684662e-07,0.00024498529778579166,1
18,19,32,2020-02-20,0.18829315754293643,9.887484379260987e-06,0.004657005142631925,1
19,20,33,2020-02-21,0.14069467302587887,0.0001401437963028996,0.058860394447217836,0
20,21,34,2020-02-22,0.09130966330794948,0.00288182954967581,1.0,0
21,22,35,2020-02-23,0.04284171023050867,0.0963447118663612,1.0,0
22,23,36,2020-02-24,-0.005819171655669145,0.81174684703944,1.0,0
23,24,37,2020-02-25,-0.05779458231387412,0.044162842067942805,1.0,0
24,25,38,2020-02-26,-0.122293048059015,0.002489169664767952,0.9010794186459986,0
25,26,39,2020-02-27,0.61226998161797,0.1894599395107862,1.0,0
26,27,40,2020-02-28,1.2405772390707048,0.03875724910841592,1.0,0
27,28,41,2020-02-29,1.7617226140922697,0.008288326359298985,1.0,0
28,29,42,2020-03-01,2.1747507808794326,0.0018484818499936986,0.6839382844976685,0
29,30,43,2020-03-02,2.478678693427397,0.00047271979042848116,0.18625159742882158,0
30,31,44,2020-03-03,2.67239838191592,0.00016619694460511797,0.06814074728809837,0
31,32,45,2020-03-04,2.7545744426292575,0.00010082104696436091,0.04325222914771083,1
32,33,46,2020-03-05,1.95361042497136,0.023315000349689915,1.0,0
33,34,47,2020-03-06,1.1804967029085311,0.20464397179806432,1.0,0
34,35,48,2020-03-07,0.42010566674288313,0.6616146386109731,1.0,0
35,36,49,2020-03-08,-0.3367561169532538,0.7252928190296493,1.0,0
36,37,50,2020-03-09,-1.0980771757678838,0.23574358728864597,1.0,0
37,38,51,2020-03-10,-1.873191620513555,0.02813530103154041,1.0,0
38,39,52,2020-03-11,-2.679007805587211,0.00011384786708528404,0.04837816121775493,-1
39,40,53,2020-03-12,-2.5882332059912394,0.00019925694301749849,0.08129683275113939,0
40,41,54,2020-03-13,-2.386307534009191,0.00059873790460772,0.23410652070161853,0
41,42,55,2020-03-14,-2.0746653378177737,0.0024502947705834525,0.8894570017217933,0
42,43,56,2020-03-15,-1.6545948510138768,0.011413714099555477,1.0,0
