,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.009633042538430985,7.741076791168249e-22,6.262531124055113e-19,-1
1,2,15,2020-02-03,-0.009762889811426784,6.197553170214056e-20,4.747325728383967e-17,-1
2,3,16,2020-02-04,-0.009927065553065948,1.544672574313002e-18,1.1353343421200564e-15,-1
3,4,17,2020-02-05,-0.010127420219068187,1.3797005123665782e-17,9.657903586566048e-15,-1
4,5,18,2020-02-06,-0.01035836487283489,4.707734338068986e-17,3.1824284125346346e-14,-1
5,6,19,2020-02-07,-0.010606466867940692,6.093931179700135e-17,4.07683995921939e-14,-1
6,7,20,2020-02-08,-0.010850203242000268,2.881360693918158e-17,1.9737320753339382e-14,-1
7,8,21,2020-02-09,-0.011062404166190571,4.444217513530935e-18,3.204280827255804e-15,-1
8,9,22,2020-02-10,-0.011215946007023216,2.0486852435226413e-19,1.5467573588595941e-16,-1
9,10,23,2020-02-11,-0.011287176816045925,9.781583753581788e-21,7.678543246561704e-18,-1
10,11,24,2020-02-12,-0.011258078385568382,4.952731758167483e-20,3.808650722030795e-17,-1
11,12,25,2020-02-13,-0.011121124346834895,5.413001666265309e-18,3.8811221947122265e-15,-1
12,13,26,2020-02-14,-0.010882548909084275,2.821237898789047e-16,1.788664827832256e-13,-1
13,14,27,2020-02-15,-0.010560830454098228,4.513761143690353e-15,2.6631190747773082e-12,-1
14,15,28,2020-02-16,-0.010181537222037344,2.6058862771126925e-14,1.4423622400552105e-11,-1
15,16,29,2020-02-17,-0.00977246626219779,6.142475705089704e-14,3.286224502222992e-11,-1
16,17,30,2020-02-18,-0.009360137058216448,6.287186424185293e-14,3.351070364090761e-11,-1
17,18,31,2020-02-19,-0.00896982180911646,2.7705275660187924e-14,1.5293312164423733e-11,-1
18,19,32,2020-02-20,-0.008623047946939823,4.862806970585886e-15,2.8641933056750867e-12,-1
19,20,33,2020-02-21,-0.008335589474403913,2.9169712708601917e-16,1.8464428144545013e-13,-1
20,21,34,2020-02-22,-0.008114100414730707,5.00368523676926e-18,3.597649685237098e-15,-1
21,22,35,2020-02-23,-0.007953584350974863,2.0131144069003664e-20,1.5702292373822858e-17,-1
22,23,36,2020-02-24,-0.007841656583711885,2.0085417983468626e-23,1.6891836524097115e-20,-1
23,24,37,2020-02-25,-0.007758743775872401,4.478374362504334e-25,3.8469235773912232e-22,-1
24,25,38,2020-02-26,-0.0076801753718257135,6.51972267134007e-23,5.424409262554938e-20,-1
25,26,39,2020-02-27,-0.00758202064391927,2.5832101206138017e-20,2.0097374738375378e-17,-1
26,27,40,2020-02-28,-0.007445986070614859,3.505696559484795e-18,2.5416300056264765e-15,-1
27,28,41,2020-02-29,-0.007259662980763927,1.8962626473705951e-16,1.2155043569645515e-13,-1
28,29,42,2020-03-01,-0.007017088904785929,5.200389726112423e-15,3.0526287692279924e-12,-1
29,30,43,2020-03-02,-0.006716465634032365,8.835025472636303e-14,4.664893449551968e-11,-1
30,31,44,2020-03-03,-0.0063597569562507264,1.0007260838359949e-12,4.793477941574416e-10,-1
31,32,45,2020-03-04,-0.005952697607207984,7.98936144115433e-12,3.403467973931745e-09,-1
32,33,46,2020-03-05,-0.005504731964830596,4.744213599879111e-11,1.8122895951538204e-08,-1
33,34,47,2020-03-06,-0.005028340628456803,2.2457101162576162e-10,7.770157002251352e-08,-1
34,35,48,2020-03-07,-0.004535344446660033,9.08674648686979e-10,2.8441516503902443e-07,-1
35,36,49,2020-03-08,-0.004034639814230707,3.337736960121363e-09,9.278908749137389e-07,-1
36,37,50,2020-03-09,-0.003534253494013719,1.2328216577829774e-08,3.0820541444574433e-06,-1
37,38,51,2020-03-10,-0.0030376852936724267,5.2318222222513984e-08,1.140467059778741e-05,-1
38,39,52,2020-03-11,-0.0025415629915335612,3.0688582014242954e-07,5.554633344577975e-05,-1
39,40,53,2020-03-12,-0.002036532337859167,3.316258436382529e-06,0.0004775412148390842,-1
40,41,54,2020-03-13,-0.001508756669257938,9.159276559695961e-05,0.009892018684471638,-1
41,42,55,2020-03-14,-0.0009400684456240114,0.0066434805298778024,0.43182623444205714,0
42,43,56,2020-03-15,-0.00031037903237921075,0.36082680701722325,1.0,0
43,44,57,2020-03-16,0.00039915748948777537,0.31271924206460733,1.0,0
44,45,58,2020-03-17,0.0011980019826920696,0.017973485514394764,0.988541703291712,0
45,46,59,2020-03-18,0.0020816647152573525,0.0011976226132038516,0.09580980905630812,0
46,47,60,2020-03-19,0.003032278625775287,0.00011024448965224645,0.011575671413485878,1
47,48,61,2020-03-20,0.00402014754198104,1.173048332437888e-05,0.0015015018655204966,1
48,49,62,2020-03-21,0.005007754635370645,1.202460613400527e-06,0.00019479861937088538,1
49,50,63,2020-03-22,0.005953652486758396,1.0173864434018381e-07,2.055120615671713e-05,1
50,51,64,2020-03-23,0.00681475778862892,6.094085306487585e-09,1.6271207768321851e-06,1
51,52,65,2020-03-24,0.007549851611932346,2.1590716223382326e-10,7.51356924573705e-08,1
52,53,66,2020-03-25,0.008125546683470933,3.598115257718148e-12,1.6083575202000122e-09,1
53,54,67,2020-03-26,0.008523196178447146,2.240535572174235e-14,1.247978313701049e-11,1
54,55,68,2020-03-27,0.008743294617633941,8.596148676158912e-17,5.673458126264882e-14,1
55,56,69,2020-03-28,0.008804575972022216,7.959951076118334e-18,5.651565264044017e-15,1
56,57,70,2020-03-29,0.008738807380978377,5.037248859528764e-17,3.390068482462858e-14,1
57,58,71,2020-03-30,0.008585538520877579,2.949938533086078e-16,1.8643611529104013e-13,1
58,59,72,2020-03-31,0.008387878364911096,4.634576402106707e-16,2.8873410985124785e-13,1
59,60,73,2020-04-01,0.008183397067326292,1.878769825254557e-16,1.2061702278134256e-13,1
60,61,74,2020-04-02,0.007996543931691559,2.0827410551368406e-17,1.43709132804442e-14,1
61,62,75,2020-04-03,0.007834595332912617,6.511666773094471e-19,4.844680079182286e-16,1
62,63,76,2020-04-04,0.007691299713414925,8.514634593682039e-21,6.692502790634082e-18,1
63,64,77,2020-04-05,0.00755009887323325,2.8341442365725556e-21,2.2673153892580444e-18,1
64,65,78,2020-04-06,0.00738493672100604,8.505453169207785e-19,6.302540798382968e-16,1
65,66,79,2020-04-07,0.007164646855899345,5.524693891411612e-16,3.4253102126751994e-13,1
66,67,80,2020-04-08,0.006858164725025973,1.330263933925778e-13,6.904069817074788e-11,1
67,68,81,2020-04-09,0.00644010358004659,1.3402303408147353e-11,5.575358217789299e-09,1
68,69,82,2020-04-10,0.005896367137016517,7.177088077737183e-10,2.2679598325649498e-07,1
69,70,83,2020-04-11,0.005223902326343347,2.571470983178012e-08,6.068671520300108e-06,1
70,71,84,2020-04-12,0.004426837918414792,7.610024926575424e-07,0.00012632641378115204,1
71,72,85,2020-04-13,0.003516671115355936,2.2193696471215884e-05,0.0027076309694883376,1
72,73,86,2020-04-14,0.002516774115476729,0.0007319281464154902,0.060750036152485684,0
73,74,87,2020-04-15,0.001459854953977397,0.026441528159106362,1.0,0
74,75,88,2020-04-16,0.0003820074302705859,0.5210632062032997,1.0,0
75,76,89,2020-04-17,-0.0006817577674818669,0.24878786213389084,1.0,0
76,77,90,2020-04-18,-0.0016988537264969225,0.00771907915899434,0.47858290785764906,0
77,78,91,2020-04-19,-0.002639522214822918,0.00015696183102017943,0.016010106764058302,-1
78,79,92,2020-04-20,-0.0034774341128409355,3.429166897540076e-06,0.0004903708663482308,-1
