,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.009489419120611272,2.083011336209361e-12,8.944634502388047e-10,1
1,2,15,2020-02-03,0.010110040166098216,1.3081858624743277e-12,5.782181512136529e-10,1
2,3,16,2020-02-04,0.010735363742075394,6.188778860185049e-13,2.8592158334054925e-10,1
3,4,17,2020-02-05,0.01135258584183912,2.2775202188960664e-13,1.1045973061645922e-10,1
4,5,18,2020-02-06,0.011952869606949888,6.7128776336564e-14,3.443706226065733e-11,1
5,6,19,2020-02-07,0.012531201310605651,1.686209496639735e-14,9.004358712056185e-12,1
6,7,20,2020-02-08,0.01308640697486229,4.195271094360842e-15,2.3745234394082364e-12,1
7,8,21,2020-02-09,0.013623312155959704,1.334659046231091e-15,8.06134063923579e-13,1
8,9,22,2020-02-10,0.014154001601637505,7.328958741095698e-16,4.507309625773854e-13,1
9,10,23,2020-02-11,0.014697370389895326,8.135721963410873e-16,4.979061841607454e-13,1
10,11,24,2020-02-12,0.015274430925002318,1.630350234630362e-15,9.700583896050653e-13,1
11,12,25,2020-02-13,0.0159003784832538,4.231212149717279e-15,2.3906348645902627e-12,1
12,13,26,2020-02-14,0.016578610973314457,1.0003606657288397e-14,5.474871074895324e-12,1
13,14,27,2020-02-15,0.017294665965570197,1.6113177814267164e-14,8.620550130632932e-12,1
14,15,28,2020-02-16,0.018009045617239164,1.352943258439588e-14,7.319423028158172e-12,1
15,16,29,2020-02-17,0.018648942451262376,4.32015730277173e-15,2.4365687187632557e-12,1
16,17,30,2020-02-18,0.01911719226921259,4.298895124287858e-16,2.6868094526799114e-13,1
17,18,31,2020-02-19,0.019319458805003086,4.3635653015363827e-17,2.87122596841094e-14,1
18,19,32,2020-02-20,0.01918147406167588,3.739093210637043e-16,2.348150536280063e-13,1
19,20,33,2020-02-21,0.018659093334698465,7.658386391017058e-14,3.898118673027682e-11,1
20,21,34,2020-02-22,0.017745764595273862,9.163148793819147e-12,3.601117475970925e-09,1
21,22,35,2020-02-23,0.016474110008990253,3.906622958715673e-10,1.1798001335321332e-07,1
22,23,36,2020-02-24,0.0149099370213335,7.1936013385434435e-09,1.7480451252660568e-06,1
23,24,37,2020-02-25,0.013144469299831206,6.82156191681889e-08,1.4120633167815103e-05,1
24,25,38,2020-02-26,0.01128743887432393,3.668351347129062e-07,6.896500532602636e-05,1
25,26,39,2020-02-27,0.00945357245545622,1.1518832576606193e-06,0.00018430132122569909,1
26,27,40,2020-02-28,0.007752146494238594,2.029379909556966e-06,0.0003084657462526588,1
27,28,41,2020-02-29,0.006276012274845985,1.7753475304711172e-06,0.00027340351969255204,1
28,29,42,2020-03-01,0.005089218224072819,6.200013675356297e-07,0.00010974024205380646,1
29,30,43,2020-03-02,0.004210097537330748,6.17715547659509e-08,1.3089962694910129e-05,1
30,31,44,2020-03-03,0.0036106314918448686,1.075060832814603e-09,3.063923373521619e-07,1
