,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.015749626665825335,4.031859869134605e-10,9.757100883305744e-08,1
1,2,15,2020-02-03,0.01732214065492263,9.278242429731947e-11,2.5051254560276255e-08,1
2,3,16,2020-02-04,0.018839869343920408,1.7282094616199894e-11,5.5129881825677665e-09,1
3,4,17,2020-02-05,0.02026813415875489,2.6958397739605977e-12,1.0287940405161627e-09,1
4,5,18,2020-02-06,0.02158153029984511,3.673880499623836e-13,1.6201813003341116e-10,1
5,6,19,2020-02-07,0.02276572379823763,4.5838702864519523e-14,2.2735996620801682e-11,1
6,7,20,2020-02-08,0.023818864289849948,5.5124905187290706e-15,3.0043073327073436e-12,1
7,8,21,2020-02-09,0.024749822020439256,6.839988401896405e-16,3.953513296296122e-13,1
8,9,22,2020-02-10,0.02557136552011296,9.308502358203477e-17,5.631643926713104e-14,1
9,10,23,2020-02-11,0.02629694784843171,1.4778995080334777e-17,9.473335846494593e-15,1
10,11,24,2020-02-12,0.026939118074196,2.832137475116806e-18,1.9201892081291946e-15,1
11,12,25,2020-02-13,0.02750343164009448,5.9633721642149055e-19,4.173215298103444e-16,1
12,13,26,2020-02-14,0.027986741511012252,1.0779810434622699e-19,7.75068370249372e-17,1
13,14,27,2020-02-15,0.02837335410837287,1.131971084088238e-20,8.455823998139137e-18,1
14,15,28,2020-02-16,0.028632838072587655,4.676828053183815e-22,3.6385722253770084e-19,1
15,16,29,2020-02-17,0.02871718270883641,4.454516225794707e-23,3.5190678183778185e-20,1
16,17,30,2020-02-18,0.028565417753220693,5.44302467219197e-21,4.109483627504937e-18,1
17,18,31,2020-02-19,0.02811741215717003,6.186104674704915e-18,4.095201294654654e-15,1
18,19,32,2020-02-20,0.027324892438918738,1.9152871202068722e-15,1.0725607873158484e-12,1
19,20,33,2020-02-21,0.02615941618970838,1.8342244054413457e-13,8.419090020975776e-11,1
20,21,34,2020-02-22,0.02461740424899543,7.60554466736345e-12,2.684757267579298e-09,1
21,22,35,2020-02-23,0.022722111956831777,1.7300143165526015e-10,4.4948708887680855e-08,1
22,23,36,2020-02-24,0.02051891096635927,2.5284829340963845e-09,5.309814161602407e-07,1
23,24,37,2020-02-25,0.018073876836641474,2.660484074410051e-08,4.762266493193991e-06,1
24,25,38,2020-02-26,0.01547132577856447,2.209180316858284e-07,3.335862278456009e-05,1
25,26,39,2020-02-27,0.01280338659264857,1.5740624586673335e-06,0.00020462811962675335,1
26,27,40,2020-02-28,0.010162804130179684,1.0601221431667365e-05,0.0011555331360517428,1
27,28,41,2020-02-29,0.007634351744964468,7.672662345727886e-05,0.006905396111155097,1
28,29,42,2020-03-01,0.005285407737359374,0.0007110315045715293,0.049061173815435524,1
29,30,43,2020-03-02,0.0031538550316714898,0.010123780079675217,0.44544632350570956,0
30,31,44,2020-03-03,0.001244201517155074,0.19551755515506386,1.0,0
31,32,45,2020-03-04,-0.00046458963023987673,0.5725318308131996,1.0,0
32,33,46,2020-03-05,-0.0020081013339348715,0.016429226161912922,0.6900274988003428,0
33,34,47,2020-03-06,-0.003426707733614607,0.00025089011403691097,0.019318538780842144,-1
34,35,48,2020-03-07,-0.004758586052712703,8.185459060267886e-06,0.0009249568738102711,-1
35,36,49,2020-03-08,-0.006037448318875177,6.258003569934119e-07,8.573464890809744e-05,-1
36,37,50,2020-03-09,-0.007291630779858526,8.878188824838129e-08,1.4027538343244243e-05,-1
37,38,51,2020-03-10,-0.008543576711110808,1.846281891554585e-08,3.3417702237137985e-06,-1
38,39,52,2020-03-11,-0.009808486556301909,4.778379609337774e-09,9.50897542258217e-07,-1
39,40,53,2020-03-12,-0.011096225489885616,1.4104808550140677e-09,3.145372306681371e-07,-1
40,41,54,2020-03-13,-0.012416322058708896,4.668964595692281e-10,1.1158825383704551e-07,-1
41,42,55,2020-03-14,-0.013779649365022732,1.7942841682879114e-10,4.629253154182811e-08,-1
42,43,56,2020-03-15,-0.015202455036832482,8.617204779484475e-11,2.3438797000197773e-08,-1
43,44,57,2020-03-16,-0.016700612348453638,5.350222195058617e-11,1.5408639921768818e-08,-1
44,45,58,2020-03-17,-0.018287488527538812,4.132021717744696e-11,1.2065503415814513e-08,-1
45,46,59,2020-03-18,-0.019974278587362494,3.615688955231752e-11,1.0666282417933668e-08,-1
46,47,60,2020-03-19,-0.021767353047694102,3.2226577037336635e-11,9.539066803051645e-09,-1
47,48,61,2020-03-20,-0.023661193442262744,2.6280993802637592e-11,8.015703109804466e-09,-1
48,49,62,2020-03-21,-0.025622694012947485,1.7320193987505156e-11,5.5129881825677665e-09,-1
49,50,63,2020-03-22,-0.02758389885392789,8.008641850942249e-12,2.803024647829787e-09,-1
50,51,64,2020-03-23,-0.029448150457609457,2.2449231758113797e-12,8.800098849180609e-10,-1
51,52,65,2020-03-24,-0.03110935809034048,3.296775214786581e-13,1.4670649705800285e-10,-1
52,53,66,2020-03-25,-0.0324702108018658,2.172720013493291e-14,1.1298144070165114e-11,-1
53,54,67,2020-03-26,-0.033456823762121495,5.802259285049581e-16,3.376914903898856e-13,-1
54,55,68,2020-03-27,-0.034027308238409625,1.0329613683768711e-17,6.724578508133431e-15,-1
55,56,69,2020-03-28,-0.034171748739162365,2.109826095516458e-18,1.4431210493332572e-15,-1
56,57,70,2020-03-29,-0.033911377863227954,2.3668117736017385e-17,1.4910914173690952e-14,-1
57,58,71,2020-03-30,-0.033286638002887906,5.299314994704338e-16,3.0947999569073334e-13,-1
58,59,72,2020-03-31,-0.03234713277524561,5.590298637875085e-15,3.0411224590040464e-12,-1
59,60,73,2020-04-01,-0.03114658227735799,2.7256255546063927e-14,1.4009715350676859e-11,-1
60,61,74,2020-04-02,-0.029741343856576112,7.786365464786549e-14,3.729669057632757e-11,-1
61,62,75,2020-04-03,-0.028184022569919892,1.847208930748027e-13,8.460216902825963e-11,-1
62,63,76,2020-04-04,-0.026510892402683194,5.455542329104898e-13,2.3240610321986865e-10,-1
63,64,77,2020-04-05,-0.02473423051754663,2.645333927733733e-12,1.0210988961052209e-09,-1
64,65,78,2020-04-06,-0.022845263269009472,2.0680705491043615e-11,6.4316994077145646e-09,-1
65,66,79,2020-04-07,-0.02082255778200732,2.160825343409479e-10,5.4884963722600766e-08,-1
66,67,80,2020-04-08,-0.0186481904925633,2.501508190653726e-09,5.278182282279363e-07,-1
67,68,81,2020-04-09,-0.016324553001657322,2.8472042628236137e-08,5.0395515451977965e-06,-1
68,69,82,2020-04-10,-0.013877598637605175,3.064794376707053e-07,4.5358956775264385e-05,-1
69,70,83,2020-04-11,-0.011356070587510883,3.1742693251080016e-06,0.0003809123190129602,-1
70,71,84,2020-04-12,-0.008829795789187658,3.3100052454972066e-05,0.0032769051930422346,-1
71,72,85,2020-04-13,-0.006381932772449393,0.00037244389318060725,0.027188404202184328,-1
72,73,86,2020-04-14,-0.004096618529159433,0.00487566816840691,0.2486590765887524,0
73,74,87,2020-04-15,-0.0020530753159229585,0.07160414741396501,1.0,0
74,75,88,2020-04-16,-0.00031794043746350136,0.7189760535841812,1.0,0
