,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0001932874318553686,0.1495747426087173,1.0,0
1,2,15,2020-02-03,3.200957773523596e-05,0.8463140072752199,1.0,0
2,3,16,2020-02-04,0.0003371590112270293,0.1031931769846259,1.0,0
3,4,17,2020-02-05,0.0007021277792036066,0.006421916566360633,0.46237799277796554,0
4,5,18,2020-02-06,0.0011026787955338347,0.0003863655401426531,0.040182016174835924,1
5,6,19,2020-02-07,0.0015077846266094445,2.4231243612212914e-05,0.0036104552982197244,1
6,7,20,2020-02-08,0.0018824087842830124,1.2549866376737084e-06,0.00025225231417241536,1
7,8,21,2020-02-09,0.0021887438325622504,4.1521239698070377e-08,1.1335298437573213e-05,1
8,9,22,2020-02-10,0.002390881857901231,8.519169394359278e-10,3.092458490152418e-07,1
9,10,23,2020-02-11,0.00245742558057552,8.49817841578649e-11,3.50974768571982e-08,1
10,11,24,2020-02-12,0.002366096586073818,2.5154561402946257e-09,8.451932631389943e-07,1
11,12,25,2020-02-13,0.0021037830952237,8.422370524882753e-07,0.00017518530691756126,1
12,13,26,2020-02-14,0.001662740445563097,0.00021820762233509206,0.024512777683826613,1
13,14,27,2020-02-15,0.0010381772929527974,0.027146189400212066,1.0,0
14,15,28,2020-02-16,0.00023482304447227165,0.6466681295901435,1.0,0
15,16,29,2020-02-17,-0.0007282608578904863,0.22619252103725412,1.0,0
16,17,30,2020-02-18,-0.0018160827369783203,0.012700817854315278,0.8509547962391236,0
17,18,31,2020-02-19,-0.002983322031475407,0.0006016499977415404,0.06076664977189558,0
18,19,32,2020-02-20,-0.004186190216001825,3.360055871497724e-05,0.004704078220096814,-1
19,20,33,2020-02-21,-0.0053932551593869615,2.3149635157891973e-06,0.00043752810448415827,-1
20,21,34,2020-02-22,-0.006586327935222614,1.9429694646397355e-07,4.5854079365497754e-05,-1
21,22,35,2020-02-23,-0.007755857691907962,1.9979689110958068e-08,5.79410984217784e-06,-1
22,23,36,2020-02-24,-0.008898090042356692,2.571677324572614e-09,8.615119037318257e-07,-1
23,24,37,2020-02-25,-0.010012124986190524,4.1995961317725143e-10,1.574848549414693e-07,-1
24,25,38,2020-02-26,-0.011096739716598478,9.010635638079645e-11,3.676339340336495e-08,-1
25,26,39,2020-02-27,-0.01215101056529724,2.5943198682744855e-11,1.1233405029628523e-08,-1
26,27,40,2020-02-28,-0.013176299222959155,9.521466142872105e-12,4.275138298149575e-09,-1
27,28,41,2020-02-29,-0.01418013696062959,4.0089162688053136e-12,1.8721638975320813e-09,-1
28,29,42,2020-03-01,-0.015171201192576408,1.7350766868333145e-12,8.345718863668242e-10,-1
29,30,43,2020-03-02,-0.016155860385545118,7.188069015853307e-13,3.6659151980851867e-10,-1
30,31,44,2020-03-03,-0.017138405884655115,2.8820121246593526e-13,1.5591685594407097e-10,-1
31,32,45,2020-03-04,-0.01812803171156255,1.260433224301061e-13,7.045821723842931e-11,-1
32,33,46,2020-03-05,-0.019140285187041053,7.267607838536827e-14,4.207944938512823e-11,-1
33,34,47,2020-03-06,-0.020195442891316716,6.379056103349315e-14,3.725368764356e-11,-1
34,35,48,2020-03-07,-0.02131242577711242,8.262905161318725e-14,4.7511704677582667e-11,-1
35,36,49,2020-03-08,-0.022507581515127332,1.336192082948616e-13,7.44258990202379e-11,-1
36,37,50,2020-03-09,-0.0237940349818734,2.247576320632686e-13,1.231671823706712e-10,-1
37,38,51,2020-03-10,-0.025181071527169363,3.4887064505472775e-13,1.8559918316911517e-10,-1
38,39,52,2020-03-11,-0.02667514436877639,4.666269456646411e-13,2.43112638691278e-10,-1
39,40,53,2020-03-12,-0.02827404322104593,5.130231689677271e-13,2.6574600152528264e-10,-1
40,41,54,2020-03-13,-0.029964655074588356,4.55461600195905e-13,2.382064169024583e-10,-1
41,42,55,2020-03-14,-0.03172601876668996,3.2465274297651656e-13,1.7336456474945984e-10,-1
42,43,56,2020-03-15,-0.03352459089877953,1.8407525106482557e-13,1.0124138808565407e-10,-1
43,44,57,2020-03-16,-0.03531626868712084,8.291054028188812e-14,4.756654459948716e-11,-1
44,45,58,2020-03-17,-0.03705857131146728,3.056240846785569e-14,1.8276320263777702e-11,-1
45,46,59,2020-03-18,-0.03872118954774534,9.553879300293969e-15,5.971174562683731e-12,-1
46,47,60,2020-03-19,-0.040283196626405046,2.5488964786958357e-15,1.6695271935457725e-12,-1
47,48,61,2020-03-20,-0.041729077824905106,5.632725973190928e-16,3.841519113716213e-13,-1
48,49,62,2020-03-21,-0.04304181033825435,9.895395557209989e-17,7.065312427847932e-14,-1
49,50,63,2020-03-22,-0.04420255436282888,1.3186388750161846e-17,9.955723506372194e-15,-1
50,51,64,2020-03-23,-0.045187357717484104,1.2191407729384222e-18,9.655594921672304e-16,-1
51,52,65,2020-03-24,-0.045970349853681855,6.574775180242928e-20,5.52281115140406e-17,-1
52,53,66,2020-03-25,-0.04651749315812668,1.4880510258025188e-21,1.2797238821901662e-18,-1
53,54,67,2020-03-26,-0.046783145541949483,2.4993046422766818e-23,2.1618985155693297e-20,-1
54,55,68,2020-03-27,-0.046714260803859764,1.2614705580103967e-22,1.0899105621209826e-19,-1
55,56,69,2020-03-28,-0.04625517279930485,8.96818740575547e-20,7.515341046023083e-17,-1
56,57,70,2020-03-29,-0.04535264998877297,3.049760746473096e-17,2.2385243879112526e-14,-1
57,58,71,2020-03-30,-0.04397020486932237,3.0852494260062058e-15,2.0054121269040337e-12,-1
58,59,72,2020-03-31,-0.042097960864001575,1.2683109446089555e-13,7.077175070917971e-11,-1
59,60,73,2020-04-01,-0.03975469274420218,2.732903390188372e-12,1.2899304001689116e-09,-1
60,61,74,2020-04-02,-0.03697570513017704,3.730176877873861e-11,1.5927855268521388e-08,-1
61,62,75,2020-04-03,-0.03381310557588408,3.6736699309000274e-10,1.3849735639493104e-07,-1
62,63,76,2020-04-04,-0.030340206158512052,2.8454911315775767e-09,9.447030556837555e-07,-1
63,64,77,2020-04-05,-0.02666034468450755,1.8184924980980636e-08,5.291813169465365e-06,-1
64,65,78,2020-04-06,-0.022898233396467873,9.850597616921176e-08,2.4823505994641365e-05,-1
65,66,79,2020-04-07,-0.019183267527685382,4.713683279155604e-07,0.00010275829548559217,-1
66,67,80,2020-04-08,-0.015627016490834797,2.1152038297563444e-06,0.0004082343391429745,-1
67,68,81,2020-04-09,-0.012316115281668398,9.573890854862928e-06,0.0015509703184877943,-1
