,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.005904252667233849,1.9995964567599919e-10,6.718644094713572e-08,-1
1,2,15,2020-02-03,-0.005327224026715233,8.370617784420169e-09,2.1010250638894624e-06,-1
2,3,16,2020-02-04,-0.00458304025957127,2.6237861100363524e-07,4.854004303567252e-05,-1
3,4,17,2020-02-05,-0.003693962396000401,8.593349744216107e-06,0.001048388668794365,-1
4,5,18,2020-02-06,-0.002681245784080762,0.00038921706560745705,0.03269423351102639,-1
5,6,19,2020-02-07,-0.0015617392122390628,0.023171483159262853,1.0,0
6,7,20,2020-02-08,-0.0003479771383786546,0.6022895538630955,1.0,0
7,8,21,2020-02-09,0.0009493301632857985,0.1994335377734225,1.0,0
8,9,22,2020-02-10,0.0023223542377324106,0.00874090526888196,0.47200888451962586,0
9,10,23,2020-02-11,0.0037581611235565247,0.00040414221141427787,0.033543803547385065,1
10,11,24,2020-02-12,0.005236332593063326,2.629678360872366e-05,0.00294523976417705,1
11,12,25,2020-02-13,0.006733315565980101,2.271003588827979e-06,0.00032248250961357304,1
12,13,26,2020-02-14,0.008224918390954402,2.3501928269798285e-07,4.441864442991876e-05,1
13,14,27,2020-02-15,0.009686762431031028,2.6561682989961804e-08,5.985601418987351e-06,1
14,15,28,2020-02-16,0.011094080630572154,3.1074333023711307e-09,8.296846917330919e-07,1
15,16,29,2020-02-17,0.012424233534475583,3.6590688367516826e-10,1.1672429589237868e-07,1
16,17,30,2020-02-18,0.013658158379144235,4.253067655070727e-11,1.539610491135603e-08,1
17,18,31,2020-02-19,0.014782128831599496,4.881450517913576e-12,2.0056823553253205e-09,1
18,19,32,2020-02-20,0.015792523852286675,5.604816631092432e-13,2.5501915671470563e-10,1
19,20,33,2020-02-21,0.01668876117552296,6.335093522183653e-14,3.344929379712969e-11,1
20,21,34,2020-02-22,0.017469296993207598,6.603790684418057e-15,3.777368271487129e-12,1
21,22,35,2020-02-23,0.01812805134660294,5.627562308325987e-16,3.500343755778764e-13,1
22,23,36,2020-02-24,0.01865600370267178,3.129525339466325e-17,2.0654867240477747e-14,1
23,24,37,2020-02-25,0.019042850533505247,8.481100833215231e-19,6.089430398248536e-16,1
24,25,38,2020-02-26,0.01928001560569971,1.0511145942758204e-20,8.25124956506519e-18,1
25,26,39,2020-02-27,0.019365984906808027,4.782702375712652e-22,3.85964081720011e-19,1
26,27,40,2020-02-28,0.019307490437394367,4.635250010302748e-21,3.671118008159776e-18,1
27,28,41,2020-02-29,0.01911604380646277,2.8908251596787697e-19,2.1131931917251807e-16,1
28,29,42,2020-03-01,0.018805387086143682,8.147230263885592e-18,5.572705500497745e-15,1
29,30,43,2020-03-02,0.01838881259828011,9.581365995420513e-17,6.179981067046231e-14,1
30,31,44,2020-03-03,0.017877717207137673,5.860139194963592e-16,3.6391464400723905e-13,1
31,32,45,2020-03-04,0.01728221908487956,2.281660737403263e-15,1.3621514602297481e-12,1
32,33,46,2020-03-05,0.016612387549752913,7.278055927230536e-15,4.155769934448636e-12,1
33,34,47,2020-03-06,0.015874606366578402,2.449222876312147e-14,1.3397249133427443e-11,1
34,35,48,2020-03-07,0.015071201715066406,1.0641514056504339e-13,5.459096710986726e-11,1
35,36,49,2020-03-08,0.014201281962060436,6.355147577809981e-13,2.853461262436682e-10,1
36,37,50,2020-03-09,0.013262061677546101,4.765663892967964e-12,1.972333581350086e-09,1
37,38,51,2020-03-10,0.012251542325887025,3.88455726479003e-11,1.425632516177941e-08,1
38,39,52,2020-03-11,0.011171344384792153,3.033678027036386e-10,9.829116807597891e-08,1
39,40,53,2020-03-12,0.01003245931348377,2.0667354841098717e-09,5.662855226461049e-07,1
40,41,54,2020-03-13,0.008857487697022014,1.1690061057544122e-08,2.875755020155854e-06,1
41,42,55,2020-03-14,0.007676829837271937,5.420504829400115e-08,1.1733354218354315e-05,1
42,43,56,2020-03-15,0.006525056862661114,2.0415009646465373e-07,3.899266842474886e-05,1
43,44,57,2020-03-16,0.005438101516774262,6.095816084677474e-07,0.00010270795459304496,1
44,45,58,2020-03-17,0.004451173305825595,1.3785437835491957e-06,0.00021367428645012535,1
45,46,59,2020-03-18,0.003593669597544871,2.204437986815454e-06,0.00031743907010142535,1
46,47,60,2020-03-19,0.002881615324961425,2.2526058599872444e-06,0.000322122637978176,1
47,48,61,2020-03-20,0.002316477803394272,1.276635568816495e-06,0.0001991551487353732,1
48,49,62,2020-03-21,0.0018888831932076214,3.181464236148915e-07,5.853894194514004e-05,1
49,50,63,2020-03-22,0.0015848789777093272,2.3297567057241533e-08,5.3463142478393585e-06,1
50,51,64,2020-03-23,0.0013879795960464816,2.7915211717359457e-10,9.072443808141824e-08,1
51,52,65,2020-03-24,0.001279545200831565,2.9751257250246747e-13,1.4191349708367697e-10,1
52,53,66,2020-03-25,0.00124168956723514,4.1548331826335954e-16,2.5926159059633636e-13,1
53,54,67,2020-03-26,0.001259788324249251,1.0282620435474294e-14,5.809680546042976e-12,1
54,55,68,2020-03-27,0.0013227464203068107,5.934532056311651e-13,2.682408489452866e-10,1
55,56,69,2020-03-28,0.001420731325363597,7.670747368308098e-12,3.060628199954931e-09,1
56,57,70,2020-03-29,0.001544777981526295,4.180186663438074e-11,1.517407758828021e-08,1
57,58,71,2020-03-30,0.0016868027426956667,1.1813966872198297e-10,4.0758185709084125e-08,1
58,59,72,2020-03-31,0.0018385360324482548,1.6026524576437146e-10,5.481071405141504e-08,1
59,60,73,2020-04-01,0.0019911415431444366,9.289402788229972e-11,3.24200157309226e-08,1
60,61,74,2020-04-02,0.00213518410856928,2.1552346307126497e-11,8.168339250400942e-09,1
61,62,75,2020-04-03,0.0022590137137036693,1.916719425678454e-12,8.165224753390215e-10,1
62,63,76,2020-04-04,0.0023547333281191104,7.067342081755466e-14,3.6820852245945976e-11,1
63,64,77,2020-04-05,0.0024212628543681543,1.3387774775193347e-15,8.166542612867941e-13,1
64,65,78,2020-04-06,0.0024600357670557277,3.2884895996903134e-17,2.160537666996536e-14,1
65,66,79,2020-04-07,0.0024717832521442195,9.105410974491007e-18,6.182574051679394e-15,1
