,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0047491946047227415,5.694744725181626e-07,0.00011769872566120094,1
1,2,15,2020-02-03,0.005651715145533284,3.139092884920377e-08,7.879123141150146e-06,1
2,3,16,2020-02-04,0.006478891374870293,1.9582967745413937e-09,6.031554065587492e-07,1
3,4,17,2020-02-05,0.0072254253437703435,1.4243964541210202e-10,5.1135832702944624e-08,1
4,5,18,2020-02-06,0.0078901362408886,1.2056024564009214e-11,4.870633923859722e-09,1
5,6,19,2020-02-07,0.00847049152132066,1.0762231347852264e-12,5.025962039447007e-10,1
6,7,20,2020-02-08,0.00896393705267222,8.774663785705882e-14,4.66812113399553e-11,1
7,8,21,2020-02-09,0.009372327963601034,5.683264804544102e-15,3.3985923531173732e-12,1
8,9,22,2020-02-10,0.009701400923851211,2.583713486331086e-16,1.6923323335468614e-13,1
9,10,23,2020-02-11,0.009958822987790956,7.337161251542385e-18,5.2313959723497205e-15,1
10,11,24,2020-02-12,0.010150567335394028,1.1035791242200082e-19,8.519630838978463e-17,1
11,12,25,2020-02-13,0.010279890364200543,7.37594365232449e-22,6.011394076644459e-19,1
12,13,26,2020-02-14,0.01035028088724341,2.1008576123918288e-24,1.7626195367967445e-21,1
13,14,27,2020-02-15,0.010360709129682639,4.068934845002511e-25,3.4301120743371164e-22,1
14,15,28,2020-02-16,0.010308256168737578,1.2145658250968931e-22,1.0032313715300337e-19,1
15,16,29,2020-02-17,0.010192369385816224,1.9853600096562774e-20,1.5684344076284593e-17,1
16,17,30,2020-02-18,0.010018723039784322,8.775997711422232e-19,6.503014304163874e-16,1
17,18,31,2020-02-19,0.009794601752997054,1.9164150987326524e-17,1.3472398144090546e-14,1
18,19,32,2020-02-20,0.009523914707792234,2.9791250259090797e-16,1.9304730167890836e-13,1
19,20,33,2020-02-21,0.009204033804197992,3.554097273168866e-15,2.150228850267164e-12,1
20,21,34,2020-02-22,0.008833910039483875,2.9726644641972e-14,1.661719435486235e-11,1
21,22,35,2020-02-23,0.008419901488225441,1.606132696391989e-13,8.239154957169735e-11,1
22,23,36,2020-02-24,0.007976102838146685,5.387023555647464e-13,2.601932377377725e-10,1
23,24,37,2020-02-25,0.007520298702298889,1.1565978249800078e-12,5.378179886157037e-10,1
24,25,38,2020-02-26,0.007069042627379323,1.676107946778793e-12,7.592768998907932e-10,1
25,26,39,2020-02-27,0.006633802828308655,1.7893682569138218e-12,8.070050838681336e-10,1
26,27,40,2020-02-28,0.0062176305423885,1.6545583941839421e-12,7.528240693536936e-10,1
27,28,41,2020-02-29,0.0058140221197701,1.6050302250571005e-12,7.318937826260378e-10,1
28,29,42,2020-03-01,0.005414055931652467,2.165794449733856e-12,9.63778530131566e-10,1
29,30,43,2020-03-02,0.005010300099356197,5.404630116533439e-12,2.2969677995267116e-09,1
30,31,44,2020-03-03,0.004595762888645802,2.8717864661810354e-11,1.1228685082767849e-08,1
31,32,45,2020-03-04,0.004162078003081567,2.9448099255564524e-10,1.0012353746891938e-07,1
32,33,46,2020-03-05,0.003702384594454897,4.243381212206263e-09,1.2263371703276099e-06,1
33,34,47,2020-03-06,0.003212599296424432,6.478312530514489e-08,1.541838382262448e-05,1
34,35,48,2020-03-07,0.0026985400574036436,8.763232030156423e-07,0.00017351199419709718,1
35,36,49,2020-03-08,0.0021794182285451505,9.18368418648441e-06,0.001524491574956412,1
36,37,50,2020-03-09,0.001682587524987129,6.96470947929913e-05,0.008845181038709895,1
37,38,51,2020-03-10,0.0012364327160710124,0.0003651196800663736,0.0387026860870356,1
38,39,52,2020-03-11,0.0008648372116525365,0.0012720682900909143,0.11870327772817181,0
39,40,53,2020-03-12,0.0005855630995320267,0.002636151862155131,0.2108921489724105,0
40,41,54,2020-03-13,0.00040940032296062334,0.002514214000590873,0.20365133404786073,0
41,42,55,2020-03-14,0.0003412177798022934,0.0014746254091210869,0.1329057073135716,0
42,43,56,2020-03-15,0.0003770095659680306,0.0019187730157685177,0.163095706340324,0
43,44,57,2020-03-16,0.0005038446443969665,0.0014605022781711166,0.1329057073135716,0
44,45,58,2020-03-17,0.0006989857617286503,0.0003882520002611731,0.040378208027162,1
45,46,59,2020-03-18,0.0009311430465453535,4.5574310385642374e-05,0.006152531902061721,1
46,47,60,2020-03-19,0.0011672409855919867,2.592751867109897e-06,0.00046928808794689136,1
47,48,61,2020-03-20,0.0013782509656501598,7.402740151454584e-08,1.7470466757432818e-05,1
48,49,62,2020-03-21,0.0015462009980797998,1.149449612093364e-09,3.643755270335964e-07,1
49,50,63,2020-03-22,0.0016669569849136197,1.0344078651941348e-11,4.251416325947894e-09,1
50,51,64,2020-03-23,0.0017440907670593932,7.181304231782464e-14,3.877904285162531e-11,1
51,52,65,2020-03-24,0.0017857627799385237,1.1982789661726441e-15,7.525191907564205e-13,1
52,53,66,2020-03-25,0.0018007581293535489,2.8763030310494656e-16,1.8695969701821526e-13,1
53,54,67,2020-03-26,0.0017985724170683378,3.065930406105286e-16,1.98365697275012e-13,1
54,55,68,2020-03-27,0.0017906162825124024,2.0260471451991246e-16,1.331112974395825e-13,1
55,56,69,2020-03-28,0.0017891999461481243,1.7176844425201544e-16,1.1371071009483422e-13,1
56,57,70,2020-03-29,0.0018054240625992428,1.1672669252722232e-15,7.353781629215006e-13,1
