,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.017707820777285204,3.313255231457359e-06,0.002001206159800245,1
1,2,15,2020-02-03,0.014911332460205784,6.516384981225568e-08,4.170486387984363e-05,1
2,3,16,2020-02-04,0.013834774108708914,1.7004112463682818e-09,1.1494780025449586e-06,1
3,4,17,2020-02-05,0.014136418620376633,3.76406709482968e-09,2.5219249535358857e-06,1
4,5,18,2020-02-06,0.015332919997027262,5.171054532227998e-09,3.4490933729960746e-06,1
5,6,19,2020-02-07,0.016926718960821548,1.1502707644812395e-09,7.787333075537991e-07,1
6,7,20,2020-02-08,0.018514918312200042,6.455650358856242e-11,4.525410901558226e-08,1
7,8,21,2020-02-09,0.019833670415381324,1.1702247435318466e-12,8.647960854700346e-10,1
8,9,22,2020-02-10,0.020744027695943027,6.9129941737848974e-15,5.371396473030865e-12,1
9,10,23,2020-02-11,0.021192942535439973,3.4744795654878345e-17,2.883818039354903e-14,1
10,11,24,2020-02-12,0.021177669849098694,4.5063945923077864e-17,3.7267883278385395e-14,1
11,12,25,2020-02-13,0.020729404268889355,5.1416261269160735e-15,4.015610005121453e-12,1
12,13,26,2020-02-14,0.019944856947803576,2.3434323669764287e-13,1.7622611399662744e-10,1
13,14,27,2020-02-15,0.01918633847392638,6.349435793240099e-13,4.730329665963874e-10,1
14,15,28,2020-02-16,0.018750248242712566,2.639194872873256e-13,1.979396154654942e-10,1
15,16,29,2020-02-17,0.01727370853980996,3.2402596525979005e-11,2.2908635743867156e-08,1
16,17,30,2020-02-18,0.015063383504037168,2.003809297328864e-08,1.3064836618584195e-05,1
17,18,31,2020-02-19,0.012395859603717387,3.2303422849116458e-06,0.0019543570823715457,1
18,19,32,2020-02-20,0.009364465054114831,0.00026577037716125657,0.14032675914114348,0
19,20,33,2020-02-21,0.00597498795609904,0.015213873574471931,1.0,0
20,21,34,2020-02-22,0.0022370654439010035,0.3591676650087269,1.0,0
21,22,35,2020-02-23,-0.001810847657375486,0.4875312165925788,1.0,0
22,23,36,2020-02-24,-0.006102021116546976,0.03915351223903038,1.0,0
23,24,37,2020-02-25,-0.010547794827443372,0.0017989627588931641,0.7987394649485648,0
24,25,38,2020-02-26,-0.015042368481076278,6.593735807315782e-05,0.037650231459773115,-1
25,26,39,2020-02-27,-0.019457689001935275,1.594761708177117e-06,0.0009712098802798643,-1
26,27,40,2020-02-28,-0.023592310761386515,1.5367953885643175e-08,1.0081377748981923e-05,-1
27,28,41,2020-02-29,-0.026918540943691716,1.3496451430634375e-10,9.366537292860256e-08,-1
28,29,42,2020-03-01,-0.02887640215582924,3.107550637851989e-11,2.2001458515992083e-08,-1
29,30,43,2020-03-02,-0.030721544900874576,1.9299025924058127e-12,1.4165485028258665e-09,-1
30,31,44,2020-03-03,-0.03222456068548653,2.276532952466442e-14,1.746100774541761e-11,-1
31,32,45,2020-03-04,-0.03315447791009178,7.663141822243221e-17,6.291439436061684e-14,-1
32,33,46,2020-03-05,-0.033471172334803095,2.1321622118622018e-18,1.816602204506596e-15,-1
33,34,47,2020-03-06,-0.033289416396420746,1.3650799752181659e-17,1.1439370192328231e-14,-1
34,35,48,2020-03-07,-0.03283523757598714,9.898629653810983e-17,8.097079056817384e-14,-1
35,36,49,2020-03-08,-0.03246521450182346,7.835898214263541e-17,6.425436535696104e-14,-1
36,37,50,2020-03-09,-0.03271401131535502,4.1884146475639887e-16,3.363296961993883e-13,-1
37,38,51,2020-03-10,-0.03433586540698527,2.720093632607153e-12,1.980228164538007e-09,-1
38,39,52,2020-03-11,-0.038301137445327156,4.377401972000727e-09,2.9241045172964855e-06,-1
39,40,53,2020-03-12,-0.04571742899914882,4.0159128869610904e-07,0.0002501913728576759,-1
40,41,54,2020-03-13,-0.05769647842973185,4.489888505190064e-06,0.0026984229916192284,-1
41,42,55,2020-03-14,-0.07527274711297025,1.3267432275797795e-05,0.007841052474996496,-1
42,43,56,2020-03-15,-0.09956078839074375,1.828875067113009e-05,0.010735496643953362,-1
43,44,57,2020-03-16,-0.13255112760391916,1.8098198534820154e-05,0.01064174073847425,-1
44,45,58,2020-03-17,-0.18053696083239146,2.2792949219501935e-05,0.013356668242628133,-1
45,46,59,2020-03-18,0.13929942827591293,0.4925089551541679,1.0,0
46,47,60,2020-03-19,0.41566168372114726,0.10971245306143883,1.0,0
47,48,61,2020-03-20,0.6484271441656614,0.025091314013439066,1.0,0
48,49,62,2020-03-21,0.837371826926211,0.005883967188094795,1.0,0
49,50,63,2020-03-22,0.9820846406597947,0.0015127818906730288,0.6807518508028629,0
50,51,64,2020-03-23,1.0818523645405222,0.0004903240533153027,0.24418137855102073,0
51,52,65,2020-03-24,1.135532191830541,0.00024486170238470647,0.13051128737104856,0
52,53,66,2020-03-25,1.1414515120257744,0.0002258903236541492,0.12107721347862398,0
53,54,67,2020-03-26,1.0973800246987755,0.0003994520663695078,0.20252219764934043,0
54,55,68,2020-03-27,1.000572180079415,0.001178203617364993,0.5490428856920867,0
55,56,69,2020-03-28,0.8477770297234599,0.004710471481202328,1.0,0
56,57,70,2020-03-29,0.6349871270231401,0.02173212290207144,1.0,0
57,58,71,2020-03-30,0.35638938861904756,0.10886430106296381,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,-0.3841134491062288,0.10886430106296381,1.0,0
60,61,74,2020-04-02,-0.6821399285398908,0.02179704082672373,1.0,0
61,62,75,2020-04-03,-0.91075060948643,0.004728667003271376,1.0,0
62,63,76,2020-04-04,-1.076445346185244,0.001174267802407691,0.5483830637243917,0
63,64,77,2020-04-05,-1.182955108530332,0.00039014369041700224,0.19858313842225414,0
64,65,78,2020-04-06,-1.232807388669524,0.00021440308257448192,0.11523362060517954,0
65,66,79,2020-04-07,-1.227886083484181,0.00022824711890197407,0.12211220861255613,0
