,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.08099662298704326,3.726983553780583e-11,1.5690600761416253e-08,1
1,2,15,2020-02-03,0.07434862439986674,1.0059736298052067e-11,4.4162242348448575e-09,1
2,3,16,2020-02-04,0.06887074656187758,2.958194121900359e-12,1.3400619372208628e-09,1
3,4,17,2020-02-05,0.06427924080475775,9.496342429461768e-13,4.3968065448407985e-10,1
4,5,18,2020-02-06,0.06037217781515411,3.343098101308376e-13,1.5779423038175536e-10,1
5,6,19,2020-02-07,0.057002640173262925,1.2943784684277297e-13,6.148297725031715e-11,1
6,7,20,2020-02-08,0.05406211388291049,5.4681335781978725e-14,2.6465766518477702e-11,1
7,8,21,2020-02-09,0.051469058542006896,2.4782017288622505e-14,1.2143188471425028e-11,1
8,9,22,2020-02-10,0.04916023957626704,1.1846073883854855e-14,5.970421237462847e-12,1
9,10,23,2020-02-11,0.04708605935315396,5.882916997006806e-15,3.0355851704555118e-12,1
10,11,24,2020-02-12,0.04520675553658072,3.020208407344772e-15,1.6188317063367979e-12,1
11,12,25,2020-02-13,0.04348924557397686,1.6365796328322027e-15,8.886627406278861e-13,1
12,13,26,2020-02-14,0.041905049973444033,9.771968726939185e-16,5.374582799816552e-13,1
13,14,27,2020-02-15,0.040427867989970605,6.708481446114309e-16,3.7366241654856697e-13,1
14,15,28,2020-02-16,0.03903478346691017,5.439249121858795e-16,3.056858006484643e-13,1
15,16,29,2020-02-17,0.03770846666019879,5.193156302070259e-16,2.928940154367626e-13,1
16,17,30,2020-02-18,0.03643635477724877,5.621438616494251e-16,3.153627063853275e-13,1
17,18,31,2020-02-19,0.035210341462328196,6.467079682256782e-16,3.615097542381541e-13,1
18,19,32,2020-02-20,0.034026895869216076,7.290495893480072e-16,4.0535157167749203e-13,1
19,20,33,2020-02-21,0.03288676808792329,7.436631583535295e-16,4.127330528862089e-13,1
20,21,34,2020-02-22,0.03179497150049953,6.492473758875194e-16,3.6228003574523586e-13,1
21,22,35,2020-02-23,0.030758539571378193,4.718268678383745e-16,2.6705400719651994e-13,1
22,23,36,2020-02-24,0.02978357684013929,2.8332211525005106e-16,1.6404350472977957e-13,1
23,24,37,2020-02-25,0.028875203613331995,1.436403977450519e-16,8.503511546507072e-14,1
