,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0027849233525906463,0.0002841804211776663,0.030407305066010294,1
1,2,15,2020-02-03,0.0037098601662558022,2.9709113836911333e-06,0.0004991131124601104,1
2,3,16,2020-02-04,0.004452366477983153,2.655476187691049e-08,6.8245738023659965e-06,1
3,4,17,2020-02-05,0.005008080744381875,1.6903570839350843e-10,6.068381931326952e-08,1
4,5,18,2020-02-06,0.005388978112466877,5.489708935227605e-13,2.8217103927069894e-10,1
5,6,19,2020-02-07,0.005617063229865143,7.111051861411489e-16,4.735960539700051e-13,1
6,7,20,2020-02-08,0.005719410680424286,1.8185457544177536e-18,1.3693649530765685e-15,1
7,8,21,2020-02-09,0.0057281268444514515,1.0000418517447523e-18,7.650320165847354e-16,1
8,9,22,2020-02-10,0.005673936346139138,6.2687143063647565e-18,4.613773729484461e-15,1
9,10,23,2020-02-11,0.005585880978741994,1.2135822858950788e-17,8.847014864175125e-15,1
10,11,24,2020-02-12,0.005492433068954279,4.512920549613149e-18,3.3530999683625697e-15,1
11,12,25,2020-02-13,0.005421555279975689,3.325991969027314e-19,2.5975997278103324e-16,1
12,13,26,2020-02-14,0.005395794339348716,3.719614619131024e-20,3.005448612257867e-17,1
13,14,27,2020-02-15,0.005431894679065811,1.1730343868068255e-18,8.926791683599942e-16,1
14,15,28,2020-02-16,0.005542976859442913,2.4039047630019676e-16,1.6514825721823516e-13,1
15,16,29,2020-02-17,0.005732913118678868,1.1762049155720569e-14,7.139563837522385e-12,1
16,17,30,2020-02-18,0.0059943657201901,1.374951961955705e-13,7.60348434961505e-11,1
17,18,31,2020-02-19,0.006310946501073936,5.232590829437602e-13,2.694784277160365e-10,1
18,19,32,2020-02-20,0.006664498928219969,8.35267336466996e-13,4.20974737579366e-10,1
19,20,33,2020-02-21,0.0070365058230676975,6.391039792505457e-13,3.2530392543852775e-10,1
20,21,34,2020-02-22,0.007407486170456684,2.4685628721866256e-13,1.3280868252364046e-10,1
21,22,35,2020-02-23,0.007758647357721194,4.702230970826194e-14,2.71788950113754e-11,1
22,23,36,2020-02-24,0.008072228433313771,4.071918648365385e-15,2.569380667118558e-12,1
23,24,37,2020-02-25,0.00833266742888636,1.3971236062408024e-16,9.807807715810433e-14,1
24,25,38,2020-02-26,0.00853173501195885,1.6467413879516392e-18,1.2432897479034875e-15,1
25,26,39,2020-02-27,0.008674236329600354,5.323594889111412e-21,4.4462204410752415e-18,1
26,27,40,2020-02-28,0.008778152643203582,5.665417510376165e-24,4.883589893944254e-21,1
27,28,41,2020-02-29,0.008872879012284443,2.1142510817788597e-24,1.824598683575156e-21,1
28,29,42,2020-03-01,0.00899338215422212,4.720938822217308e-21,3.956146733018104e-18,1
29,30,43,2020-03-02,0.009174314524165242,4.2148487608876685e-18,3.1358474781004252e-15,1
30,31,44,2020-03-03,0.009447779778526118,7.341846341243464e-16,4.87498597058566e-13,1
31,32,45,2020-03-04,0.009842234862955037,3.7898114097200184e-14,2.2170396746862107e-11,1
32,33,46,2020-03-05,0.01038084080808659,7.224102529951111e-13,3.6626199826852135e-10,1
33,34,47,2020-03-06,0.01107616509798286,5.772320138058965e-12,2.5917717419884755e-09,1
34,35,48,2020-03-07,0.011925753515879992,2.1278771152644703e-11,8.894526341805486e-09,1
35,36,49,2020-03-08,0.012909921641770464,3.914342777823911e-11,1.5735657966852123e-08,1
36,37,50,2020-03-09,0.013994862278268173,3.885448086326465e-11,1.5658355787895652e-08,1
37,38,51,2020-03-10,0.015134009560645045,2.223197009032462e-11,9.2409446985295e-09,1
38,39,52,2020-03-11,0.01627332124513552,7.631581470219586e-12,3.388422172777496e-09,1
