,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0017275955181874,5.519242689538365e-13,3.057660450004254e-10,-1
1,2,15,2020-02-03,-0.0016507291198364763,1.108954947667282e-12,5.777655277346539e-10,-1
2,3,16,2020-02-04,-0.0015754842211946711,7.279495338835835e-13,3.9649158163585435e-10,-1
3,4,17,2020-02-05,-0.0015090411552199762,1.276420549098609e-13,7.60746647262771e-11,-1
4,5,18,2020-02-06,-0.0014596133056022829,4.8952925324915346e-15,3.314113044496769e-12,-1
5,6,19,2020-02-07,-0.0014361107828768224,1.5846046476019928e-16,1.1678536252826687e-13,-1
6,7,20,2020-02-08,-0.0014459110844922548,9.496409451634678e-16,6.685472253950814e-13,-1
7,8,21,2020-02-09,-0.0014958566623418355,1.3668648762077083e-13,8.132846013435864e-11,-1
8,9,22,2020-02-10,-0.0015921448123906675,8.162165758664147e-12,3.836217906572149e-09,-1
9,10,23,2020-02-11,-0.0017407306168111076,1.5223032760244987e-10,6.01309794029677e-08,-1
10,11,24,2020-02-12,-0.0019440141799878861,1.1389142212609954e-09,3.963421489988264e-07,-1
11,12,25,2020-02-13,-0.002199885191060329,4.015392257393893e-09,1.272879345593864e-06,-1
12,13,26,2020-02-14,-0.0025030349063948167,7.491685357013572e-09,2.217538865676017e-06,-1
13,14,27,2020-02-15,-0.002846128384568417,7.992738989759928e-09,2.349865262989419e-06,-1
14,15,28,2020-02-16,-0.00322011078290322,5.105542121790666e-09,1.5725069735115253e-06,-1
15,16,29,2020-02-17,-0.003608814191634956,1.9487599819974316e-09,6.54783353951137e-07,-1
16,17,30,2020-02-18,-0.003988551558022663,4.1683019295155735e-10,1.5506083177797934e-07,-1
17,18,31,2020-02-19,-0.00433081746398627,4.397305512356289e-11,1.832541820927726e-08,-1
18,19,32,2020-02-20,-0.004604843019119018,1.9061205460160093e-12,9.644969962841006e-10,-1
19,20,33,2020-02-21,-0.004781994497022523,3.567984478018415e-14,2.2549661901076383e-11,-1
20,21,34,2020-02-22,-0.004839258783209273,3.2651246136299147e-15,2.2431406095637516e-12,-1
21,22,35,2020-02-23,-0.004762185030869777,8.423885451028816e-14,5.1132984687744915e-11,-1
22,23,36,2020-02-24,-0.004547378321982775,1.2230208403246395e-11,5.56474482347711e-09,-1
23,24,37,2020-02-25,-0.004203332436676465,8.548726143771038e-10,3.0518952333262604e-07,-1
24,25,38,2020-02-26,-0.0037478051323329795,2.8856210341995648e-08,7.675751950970842e-06,-1
25,26,39,2020-02-27,-0.0032050219002391776,5.992824165443024e-07,0.0001246507426412149,-1
26,27,40,2020-02-28,-0.002603525722911285,9.326583880313812e-06,0.00149225342085021,-1
27,28,41,2020-02-29,-0.0019724650099338997,0.00013136310627678656,0.01615766207204475,-1
28,29,42,2020-03-01,-0.0013418599428688947,0.0020090601958038154,0.1667519962517167,0
29,30,43,2020-03-02,-0.0007382588363942262,0.03653387783999805,1.0,0
30,31,44,2020-03-03,-0.00018132067224646442,0.5268748495365293,1.0,0
31,32,45,2020-03-04,0.0003157124174972566,0.2121106812461208,1.0,0
32,33,46,2020-03-05,0.0007460241257310327,0.003012018336097656,0.23794944855171485,0
33,34,47,2020-03-06,0.0011075348236617715,2.296602030669213e-05,0.0033071069241636664,1
34,35,48,2020-03-07,0.001401110364561688,2.3023312596645384e-07,5.157222021648566e-05,1
35,36,49,2020-03-08,0.0016329010458838698,3.1140307553028114e-09,1.0145499685871266e-06,1
36,37,50,2020-03-09,0.0018127834567399546,4.943176868442581e-11,2.041532046666786e-08,1
37,38,51,2020-03-10,0.001954337300904257,8.916699638862825e-13,4.725850808597297e-10,1
38,39,52,2020-03-11,0.0020736845553657943,2.3693884632404635e-14,1.5235167818636182e-11,1
39,40,53,2020-03-12,0.0021855580375552616,2.9002653815283854e-15,1.9982828478730576e-12,1
40,41,54,2020-03-13,0.0023003422338932597,5.6794956394384305e-15,3.827980060981502e-12,1
41,42,55,2020-03-14,0.002423890209503307,4.469360849324217e-14,2.802289252526284e-11,1
42,43,56,2020-03-15,0.0025576260620183665,2.8523982851184255e-13,1.6458338105133314e-10,1
43,44,57,2020-03-16,0.002699452563792779,8.867915920983651e-13,4.708863354042318e-10,1
44,45,58,2020-03-17,0.002845688733683081,1.2434370876232492e-12,6.453438484764663e-10,1
45,46,59,2020-03-18,0.002990173199882539,7.57354133282393e-13,4.0821387783920985e-10,1
46,47,60,2020-03-19,0.003125527562221349,1.8411992867987339e-13,1.0807839813508567e-10,1
47,48,61,2020-03-20,0.0032428547902524935,1.506261833311467e-14,9.911202863189452e-12,1
48,49,62,2020-03-21,0.0033307110908955824,3.6886815719434534e-16,2.6816715028028905e-13,1
49,50,63,2020-03-22,0.003379540242168411,6.253226220575212e-18,4.8650099996075154e-15,1
50,51,64,2020-03-23,0.0033834461560984285,3.9844903756955116e-18,3.107902493042499e-15,1
51,52,65,2020-03-24,0.0033406563917788385,1.1025041440529237e-16,8.191605790313223e-14,1
52,53,66,2020-03-25,0.0032531454944656085,3.043963830240108e-15,2.0942471152051943e-12,1
53,54,67,2020-03-26,0.003125536866145685,4.4137355639342675e-14,2.7762396697146544e-11,1
54,55,68,2020-03-27,0.0029646656798649434,4.383816603684691e-13,2.472472564478166e-10,1
55,56,69,2020-03-28,0.0027779749249024445,3.5282168480843905e-12,1.7429391229536889e-09,1
56,57,70,2020-03-29,0.0025717640837777996,2.5289117531137607e-11,1.097547700851372e-08,1
57,58,71,2020-03-30,0.002350065192600573,1.730919537177018e-10,6.71596780424683e-08,1
58,59,72,2020-03-31,0.0021162724919118535,1.1766179422893799e-09,4.082864259744148e-07,1
59,60,73,2020-04-01,0.0018718432801911639,8.223997121494866e-09,2.4096311565979956e-06,1
60,61,74,2020-04-02,0.0016159913151520956,6.57654123275804e-08,1.650711849422268e-05,1
61,62,75,2020-04-03,0.0013463771833092662,7.126966603693436e-07,0.00014610281537571544,1
62,63,76,2020-04-04,0.0010611038672664215,1.2011537040167149e-05,0.0018393222556184927,1
63,64,77,2020-04-05,0.000762415510145254,0.00033537715093275445,0.03487922369700646,1
64,65,78,2020-04-06,0.00045891323535246243,0.012961383896079044,0.8036058015569008,0
65,66,79,2020-04-07,0.00016093788684470018,0.32793744516367607,1.0,0
66,67,80,2020-04-08,-0.00012362024233578413,0.4383652370783999,1.0,0
67,68,81,2020-04-09,-0.0003919877053255094,0.020216435433012166,1.0,0
68,69,82,2020-04-10,-0.0006449421168772683,0.0004608496500839332,0.04562411535830938,-1
69,70,83,2020-04-11,-0.0008821764591678619,1.0278044936202629e-05,0.0016239310999200153,-1
70,71,84,2020-04-12,-0.0011030969748136931,2.6761868872878166e-07,5.887611152033197e-05,-1
71,72,85,2020-04-13,-0.0013058163773094762,8.313917287642282e-09,2.4276638479915464e-06,-1
72,73,86,2020-04-14,-0.0014877172827739067,3.437389834028403e-10,1.2890211877606512e-07,-1
73,74,87,2020-04-15,-0.0016482748124751014,2.643186497728571e-11,1.1418565670187426e-08,-1
74,75,88,2020-04-16,-0.0017905032696452316,5.077034815784422e-12,2.45728485083966e-09,-1
75,76,89,2020-04-17,-0.0019215510572680975,2.1824321112052665e-12,1.0955809198250439e-09,-1
76,77,90,2020-04-18,-0.002049568156255055,1.3676031438075084e-12,7.029480159170594e-10,-1
77,78,91,2020-04-19,-0.0021810212957473307,8.254127792551169e-13,4.4242124968074266e-10,-1
78,79,92,2020-04-20,-0.002317944121634785,4.2476260870151513e-13,2.3999087391635606e-10,-1
79,80,93,2020-04-21,-0.0024587722313292055,2.0375450668197144e-13,1.1899263190227131e-10,-1
80,81,94,2020-04-22,-0.0026012658804006935,1.1460564620072304e-13,6.853417642803238e-11,-1
81,82,95,2020-04-23,-0.0027440151632523173,8.288699254856234e-14,5.03952914695259e-11,-1
82,83,96,2020-04-24,-0.0028868714074507563,6.549702281666848e-14,4.021517200943445e-11,-1
83,84,97,2020-04-25,-0.0030284295382173474,4.500190932680603e-14,2.8171195238580573e-11,-1
84,85,98,2020-04-26,-0.003166705439054165,2.1306277855040035e-14,1.3785161772210902e-11,-1
85,86,99,2020-04-27,-0.0032956316209538255,5.7479519184548285e-15,3.8683716411200995e-12,-1
86,87,100,2020-04-28,-0.0034083085914021643,8.066975402856165e-16,5.711418585222165e-13,-1
87,88,101,2020-04-29,-0.0035009778758475214,5.491009386587962e-17,4.129239058714148e-14,-1
88,89,102,2020-04-30,-0.003570799869927014,1.5995341037381293e-18,1.262032407849384e-15,-1
89,90,103,2020-05-01,-0.0036140799151660576,2.0070689546633857e-20,1.6638601634159468e-17,-1
90,91,104,2020-05-02,-0.0036261087819124795,2.0618526260966507e-21,1.7402036164255732e-18,-1
91,92,105,2020-05-03,-0.003602097020112527,1.2672260770761193e-19,1.0327892528170372e-16,-1
92,93,106,2020-05-04,-0.003540497753547218,2.1267417448482762e-17,1.6290841765537796e-14,-1
93,94,107,2020-05-05,-0.0034433735850669823,1.0651843303770044e-15,7.477593999246571e-13,-1
94,95,108,2020-05-06,-0.0033182758331389934,1.6745347150973904e-14,1.0968202383887906e-11,-1
95,96,109,2020-05-07,-0.0031756467551210224,1.020058459016808e-13,6.140751923281184e-11,-1
96,97,110,2020-05-08,-0.0030246749739518274,2.9892514115141654e-13,1.7218088130321593e-10,-1
97,98,111,2020-05-09,-0.0028710543921958626,5.132984858927179e-13,2.869037066900355e-10,-1
98,99,112,2020-05-10,-0.0027167726719962335,6.541931891719803e-13,3.5910892536499787e-10,-1
99,100,113,2020-05-11,-0.0025611423972529555,7.024148288598886e-13,3.8422091138635906e-10,-1
100,101,114,2020-05-12,-0.002403212429912786,7.145710978742029e-13,3.9015581943931477e-10,-1
101,102,115,2020-05-13,-0.0022458881586009632,8.315598335059702e-13,4.4488451092569405e-10,-1
102,103,116,2020-05-14,-0.0020939909742701403,1.3523636903453555e-12,6.964673005278581e-10,-1
103,104,117,2020-05-15,-0.0019487792090665433,3.530449386152643e-12,1.7429391229536889e-09,-1
104,105,118,2020-05-16,-0.001808047317965445,1.4020079306585892e-11,6.323055767270237e-09,-1
105,106,119,2020-05-17,-0.001667016678199533,6.848372538430518e-11,2.7872876231412208e-08,-1
106,107,120,2020-05-18,-0.0015226371267165139,3.173400696615999e-10,1.1963720626242318e-07,-1
107,108,121,2020-05-19,-0.0013732985409225084,1.1834216526966652e-09,4.0946389183304615e-07,-1
108,109,122,2020-05-20,-0.0012213894919113593,3.295716857751209e-09,1.0645165450536404e-06,-1
109,110,123,2020-05-21,-0.001073174891717723,6.891397447576306e-09,2.0536364393777393e-06,-1
110,111,124,2020-05-22,-0.0009345159516792271,1.1983873053991204e-08,3.3914360742795107e-06,-1
111,112,125,2020-05-23,-0.0008096189686286649,1.913370245022759e-08,5.280901876262815e-06,-1
112,113,126,2020-05-24,-0.0007001106663553446,2.6284168750834833e-08,7.0967255627254045e-06,-1
113,114,127,2020-05-25,-0.0006064801155267302,2.6870757694799615e-08,7.228233819901096e-06,-1
114,115,128,2020-05-26,-0.0005283534890680631,1.482482521590486e-08,4.154852968108234e-06,-1
115,116,129,2020-05-27,-0.0004675904533587115,2.5436559633462583e-09,8.394064679042653e-07,-1
116,117,130,2020-05-28,-0.00042523615479420296,1.0031809907700525e-10,4.01272396308021e-08,-1
117,118,131,2020-05-29,-0.0003987744033217168,1.059296380298499e-12,5.550713032764135e-10,-1
118,119,132,2020-05-30,-0.00038545709957469085,1.3040361062043489e-14,8.619678662010747e-12,-1
119,120,133,2020-05-31,-0.00038375420694644754,6.3625762846820985e-15,4.269288687021688e-12,-1
120,121,134,2020-06-01,-0.00039418110456573976,1.0863190892074893e-13,6.517914535244936e-11,-1
121,122,135,2020-06-02,-0.00041724915314827695,2.6172926078701925e-12,1.3112635965429665e-09,-1
122,123,136,2020-06-03,-0.0004506955307355755,2.187849199882749e-11,9.590416381036587e-09,-1
123,124,137,2020-06-04,-0.0004882165029087647,3.1633094658413305e-11,1.3570597608459308e-08,-1
124,125,138,2020-06-05,-0.00051968557961109,7.499733120307311e-12,3.5398740327850506e-09,-1
125,126,139,2020-06-06,-0.0005331257009552926,9.819461281108969e-13,5.174856095144426e-10,-1
126,127,140,2020-06-07,-0.0005179157992577122,3.6685949334772536e-11,1.56282144166131e-08,-1
127,128,141,2020-06-08,-0.0004655229820864164,9.104927905858481e-08,2.212497481123611e-05,-1
128,129,142,2020-06-09,-0.00037098944556643033,0.00010476777971288618,0.013095972464110773,-1
129,130,143,2020-06-10,-0.00023124134113509706,0.02959728050419658,1.0,0
130,131,144,2020-06-11,-4.17841772966515e-05,0.7423864791611929,1.0,0
131,132,145,2020-06-12,0.00020091123130898302,0.21720175209151785,1.0,0
132,133,146,2020-06-13,0.0004950154190925981,0.017680156518656637,1.0,0
133,134,147,2020-06-14,0.0008317224190026772,0.001256238997888722,0.11054903181420753,0
134,135,148,2020-06-15,0.0011980924299427084,8.903660457468715e-05,0.011218612176410582,1
135,136,149,2020-06-16,0.00157977114099955,6.557617594297776e-06,0.0011082373734363242,1
136,137,150,2020-06-17,0.0019644335644353615,5.309065151250514e-07,0.00011149036817626079,1
137,138,151,2020-06-18,0.0023442620078262064,5.0027616380384616e-08,1.2857097409758847e-05,1
