,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0017925878729405029,1.297422625575657e-10,4.3333915694226945e-08,-1
1,2,15,2020-02-03,-0.001854588988250673,3.1046328554788283e-12,1.353619924988769e-09,-1
2,3,16,2020-02-04,-0.0018323723504328209,1.3947989145822026e-11,5.467611745162234e-09,-1
3,4,17,2020-02-05,-0.001727073438150748,9.038732187987707e-10,2.648348531080398e-07,-1
4,5,18,2020-02-06,-0.0015486176334700578,3.9866354062579934e-08,8.611132477517266e-06,-1
5,6,19,2020-02-07,-0.0013144317271838776,1.0362203281512817e-06,0.00016994013381681022,-1
6,7,20,2020-02-08,-0.001045228992447354,2.192468057214671e-05,0.0025432629463690184,-1
7,8,21,2020-02-09,-0.0007576797566033383,0.0004980970378260203,0.042338248215211725,-1
8,9,22,2020-02-10,-0.0004610532251981217,0.01394568168808999,0.6693927210283195,0
9,10,23,2020-02-11,-0.00015684870489055157,0.3392140844038066,1.0,0
10,11,24,2020-02-12,0.00015478345856599456,0.3405006599945264,1.0,0
11,12,25,2020-02-13,0.00047106398113952284,0.011031727032996295,0.5846815327488036,0
12,13,26,2020-02-14,0.0007887549124883527,0.00035242666738904743,0.032032922402046776,1
13,14,27,2020-02-15,0.0011074765544969102,2.129542284084721e-05,0.0025341553180608183,1
14,15,28,2020-02-16,0.001424805700155346,2.0752322248848187e-06,0.00031751053040737727,1
15,16,29,2020-02-17,0.001734677460331078,2.485178048497755e-07,4.647282950690802e-05,1
16,17,30,2020-02-18,0.0020288385201788013,2.9580976357760258e-08,6.596557727780538e-06,1
17,18,31,2020-02-19,0.00229864323654648,2.9162014626520724e-09,7.873743949160595e-07,1
18,19,32,2020-02-20,0.0025337206325763122,1.8594277455605815e-10,6.061734450527496e-08,1
19,20,33,2020-02-21,0.002718790190827464,5.377208163485732e-12,2.2638046368274935e-09,1
20,21,34,2020-02-22,0.0028366463700328598,6.276162866888477e-14,3.2008430621131233e-11,1
21,22,35,2020-02-23,0.0028706008215614097,5.427313402583891e-15,3.0501501322521464e-12,1
22,23,36,2020-02-24,0.0028087551579233975,3.470470276030846e-13,1.6380619702865594e-10,1
23,24,37,2020-02-25,0.0026466278273573544,9.143795833294221e-11,3.118034379153329e-08,1
24,25,38,2020-02-26,0.0023811777945412305,1.4291905235701338e-08,3.3157220146827106e-06,1
25,26,39,2020-02-27,0.0020094244944332852,1.6043083540721296e-06,0.00025348071994339645,1
26,27,40,2020-02-28,0.0015330038018368053,0.00016001150568728783,0.015841139063041496,1
27,28,41,2020-02-29,0.0009638134455024246,0.013136332043474796,0.6606873301712048,0
28,29,42,2020-03-01,0.00032063998813519607,0.4025904329471416,1.0,0
29,30,43,2020-03-02,-0.00037257484869573123,0.36254803312886386,1.0,0
30,31,44,2020-03-03,-0.0010856863750905881,0.01882693132546453,0.8848657722968328,0
31,32,45,2020-03-04,-0.0017836329211052368,0.0006056712592095908,0.049059371995976854,-1
32,33,46,2020-03-05,-0.002431047927593957,1.8225731513092544e-05,0.0021870877815711055,-1
33,34,47,2020-03-06,-0.0029965537113249003,4.718462404710651e-07,8.257309208243639e-05,-1
34,35,48,2020-03-07,-0.003452040899836675,8.076944208615796e-09,2.0030821637367176e-06,-1
35,36,49,2020-03-08,-0.0037741236560073187,6.692418689136459e-11,2.375808634643443e-08,-1
36,37,50,2020-03-09,-0.003944012431760177,5.01342289766579e-13,2.3512953390052553e-10,-1
37,38,51,2020-03-10,-0.0039522404789450955,3.5546101085515424e-13,1.6742213611277764e-10,-1
38,39,52,2020-03-11,-0.0038104216957886,2.0581563865495992e-11,7.882738960484965e-09,-1
39,40,53,2020-03-12,-0.003550695724882906,8.464319241621501e-10,2.488509857036721e-07,-1
40,41,54,2020-03-13,-0.0032185763075545312,1.0922143465621066e-08,2.6431587186802982e-06,-1
41,42,55,2020-03-14,-0.002859535624380105,5.0484048100975955e-08,1.0652134149305927e-05,-1
42,43,56,2020-03-15,-0.0025172943005984626,8.43948395592236e-08,1.7216547270081614e-05,-1
43,44,57,2020-03-16,-0.0022305318635225785,4.3559543117820414e-08,9.365301770331389e-06,-1
44,45,58,2020-03-17,-0.0020292124759169966,5.947546706478072e-09,1.5344670502713428e-06,-1
45,46,59,2020-03-18,-0.0019312260383707053,5.791039221925722e-10,1.7431028057996421e-07,-1
46,47,60,2020-03-19,-0.0019424421789037527,8.144744094606391e-10,2.4026995079088853e-07,-1
47,48,61,2020-03-20,-0.002058534327005542,6.065331945877459e-09,1.5527249781446296e-06,-1
48,49,62,2020-03-21,-0.002264199763270009,1.7384441988802205e-08,3.998421657424507e-06,-1
49,50,63,2020-03-22,-0.002533525071226986,1.286651617285325e-08,3.023631300620514e-06,-1
50,51,64,2020-03-23,-0.0028320004629595026,2.943001651882808e-09,7.916674443564753e-07,-1
51,52,65,2020-03-24,-0.0031152560505726644,2.2986947424355482e-10,7.401797070642465e-08,-1
52,53,66,2020-03-25,-0.0033372725357262746,6.1245988647616254e-12,2.547833127740836e-09,-1
53,54,67,2020-03-26,-0.003458171622896872,1.0447969037158921e-13,5.2030885805051425e-11,-1
54,55,68,2020-03-27,-0.0034480671314943306,1.797655129427545e-13,8.700650826429317e-11,-1
55,56,69,2020-03-28,-0.003280069353105944,9.186171988838996e-11,3.123298476205259e-08,-1
56,57,70,2020-03-29,-0.0029344314881777807,5.2062065313626116e-08,1.0933033715861485e-05,-1
57,58,71,2020-03-30,-0.002397283249096971,1.6210173077790332e-05,0.0019614309424126303,-1
58,59,72,2020-03-31,-0.001663636306724019,0.0031715396007327597,0.1966354552454311,0
59,60,73,2020-04-01,-0.0007405882794089289,0.2070310816500366,1.0,0
60,61,74,2020-04-02,0.00034763288330667987,0.5990622628943483,1.0,0
61,62,75,2020-04-03,0.0015582931268446805,0.04772156847242114,1.0,0
62,63,76,2020-04-04,0.0028361133588907044,0.00228797130054016,0.15558204843673087,0
63,64,77,2020-04-05,0.004120844528330991,0.00010339971858782313,0.010443371577370136,1
64,65,78,2020-04-06,0.00535307472990175,4.498433729894297e-06,0.0006477744571047788,1
65,66,79,2020-04-07,0.006480200975243918,1.694094725353275e-07,3.218779978171222e-05,1
66,67,80,2020-04-08,0.007455842624843579,4.696825418295958e-09,1.225871434175245e-06,1
67,68,81,2020-04-09,0.008244625214992035,7.574126853684841e-11,2.658518525643379e-08,1
68,69,82,2020-04-10,0.00882008537139666,5.106123417123915e-13,2.389665759213992e-10,1
69,70,83,2020-04-11,0.009165345521018891,1.1885904641528273e-15,7.012683738501681e-13,1
70,71,84,2020-04-12,0.00927239380610101,2.874902034021378e-17,1.9290592648283443e-14,1
71,72,85,2020-04-13,0.009147088675353523,1.4222099063940988e-15,8.319927952405477e-13,1
72,73,86,2020-04-14,0.008807486168300623,2.069902879942624e-13,9.976931881323448e-11,1
73,74,87,2020-04-15,0.008281547379238738,1.1850350033091107e-11,4.693243636897316e-09,1
74,75,88,2020-04-16,0.007600148240344975,3.4963937240637457e-10,1.0943712356319524e-07,1
75,76,89,2020-04-17,0.006795953591977084,6.623598243387753e-09,1.6757703555771014e-06,1
76,77,90,2020-04-18,0.005904329475001433,8.900961603142934e-08,1.7979942438348727e-05,1
77,78,91,2020-04-19,0.00496054946480819,9.230270240041779e-07,0.00015322248598469352,1
78,79,92,2020-04-20,0.004002262595616597,8.037342796933434e-06,0.0010689665919921467,1
79,80,93,2020-04-21,0.0030698869006841206,6.282328134467887e-05,0.006784914385225318,1
80,81,94,2020-04-22,0.0022007357053300636,0.00046765815192429766,0.040686259217413895,1
81,82,95,2020-04-23,0.0014262872909643095,0.0036412464567758987,0.21847478740655393,0
82,83,96,2020-04-24,0.0007665841497485403,0.033980079655009404,1.0,0
83,84,97,2020-04-25,0.00022899009952579992,0.36767197486991055,1.0,0
84,85,98,2020-04-26,-0.0001951049621658208,0.2923113032507759,1.0,0
85,86,99,2020-04-27,-0.000527634160644148,0.0012592622031947671,0.091926140833218,0
86,87,100,2020-04-28,-0.0008038012186052859,3.58162199767488e-06,0.0005306496401573884,-1
87,88,101,2020-04-29,-0.0010690522729825177,4.3398068738588225e-07,7.768254304207292e-05,-1
88,89,102,2020-04-30,-0.0013741540988463055,9.59941047200361e-07,0.00015839027278805956,-1
89,90,103,2020-05-01,-0.0017672004586881608,3.200925296524751e-06,0.00048013879447871265,-1
90,91,104,2020-05-02,-0.002285005675365924,6.764254420381637e-06,0.0009199386011719025,-1
91,92,105,2020-05-03,-0.002954782293301921,8.270514761250905e-06,0.0010917079484851194,-1
92,93,106,2020-05-04,-0.0037947163594222503,6.412891045023893e-06,0.0008878331214628011,-1
93,94,107,2020-05-05,-0.004816144690423664,3.619757358008848e-06,0.0005321043316273006,-1
94,95,108,2020-05-06,-0.006025468275118005,1.6834115093098404e-06,0.0002640768251648184,-1
95,96,109,2020-05-07,-0.007420428740262444,6.937757567467472e-07,0.00011863565440369377,-1
96,97,110,2020-05-08,-0.008990368769809,2.6117511660768275e-07,4.831739657242131e-05,-1
97,98,111,2020-05-09,-0.010719020276460057,9.266570532803433e-08,1.86258067709349e-05,-1
98,99,112,2020-05-10,-0.012584411201398629,3.1598853027777175e-08,6.9833465191387554e-06,-1
99,100,113,2020-05-11,-0.014556547803807489,1.0451981127923168e-08,2.5711873574690994e-06,-1
100,101,114,2020-05-12,-0.016597086091746514,3.3336441230282253e-09,8.767484043564233e-07,-1
101,102,115,2020-05-13,-0.018663045671119635,9.955410450500248e-10,2.887069030645072e-07,-1
102,103,116,2020-05-14,-0.020711235164391387,2.664262039738906e-10,8.49899590676711e-08,-1
103,104,117,2020-05-15,-0.02270541720432846,6.136888065640257e-11,2.197005927499212e-08,-1
104,105,118,2020-05-16,-0.024613271798679063,1.1821772385131779e-11,4.693243636897316e-09,-1
105,106,119,2020-05-17,-0.026408599969770078,1.9103368684416185e-12,8.481895695880786e-10,-1
106,107,120,2020-05-18,-0.02807345533096988,2.7420150812273756e-13,1.3106832088266854e-10,-1
107,108,121,2020-05-19,-0.02959800078699139,3.7900988234123075e-14,1.9935919811148738e-11,-1
108,109,122,2020-05-20,-0.030988954035390173,5.599044922770691e-15,3.1410642016743577e-12,-1
109,110,123,2020-05-21,-0.03226966754828983,1.0679162361807921e-15,6.343422442913905e-13,-1
110,111,124,2020-05-22,-0.03347495062357327,3.4663278175853437e-16,2.1456569190853278e-13,-1
111,112,125,2020-05-23,-0.03465040580709814,2.3145947159639283e-16,1.4605092657732387e-13,-1
112,113,126,2020-05-24,-0.03585029939240187,3.1232705977186056e-16,1.9426743117809728e-13,-1
113,114,127,2020-05-25,-0.03713725138211323,7.197373566405896e-16,4.3440688267753626e-13,-1
114,115,128,2020-05-26,-0.03857473406426157,2.292451036052407e-15,1.3158668946940816e-12,-1
115,116,129,2020-05-27,-0.040206867051838506,7.911750238742033e-15,4.391021382501828e-12,-1
116,117,130,2020-05-28,-0.04204860829030626,2.3862253569581047e-14,1.274244340615628e-11,-1
117,118,131,2020-05-29,-0.04409467824589439,5.5025196879599473e-14,2.822792599923453e-11,-1
118,119,132,2020-05-30,-0.04632719157343793,9.308330992450055e-14,4.691398820194828e-11,-1
119,120,133,2020-05-31,-0.04873393959213,1.1940417915886837e-13,5.886626032532211e-11,-1
120,121,134,2020-06-01,-0.0513206186017083,1.2574693540177266e-13,6.174174528227037e-11,-1
121,122,135,2020-06-02,-0.054101005992733625,1.2182837683322052e-13,5.99395614019445e-11,-1
122,123,136,2020-06-03,-0.057081919074836264,1.1830544957677534e-13,5.844289209092702e-11,-1
123,124,137,2020-06-04,-0.06025521747345255,1.1712987916312054e-13,5.797929018574467e-11,-1
124,125,138,2020-06-05,-0.06358855868790377,1.126058832259568e-13,5.585251808007457e-11,-1
125,126,139,2020-06-06,-0.06701360056126253,9.581581512521162e-14,4.809953919285623e-11,-1
126,127,140,2020-06-07,-0.07044030930212858,6.618005150869189e-14,3.3553286114906787e-11,-1
127,128,141,2020-06-08,-0.07377601173531138,3.425471264330469e-14,1.8086488275664877e-11,-1
128,129,142,2020-06-09,-0.07693129591043972,1.1975267611436787e-14,6.586397186290233e-12,-1
129,130,143,2020-06-10,-0.0798077620837863,2.4658557659459537e-15,1.4080036423551396e-12,-1
130,131,144,2020-06-11,-0.08230376031364614,2.544380448778695e-16,1.5953265413842418e-13,-1
131,132,145,2020-06-12,-0.08430670250818786,1.0342417715119919e-17,7.115583388002504e-15,-1
132,133,146,2020-06-13,-0.08568101029868357,1.2783015649786183e-19,9.574478721689851e-17,-1
133,134,147,2020-06-14,-0.08629262578161837,1.906414600587287e-21,1.5155996074668933e-18,-1
134,135,148,2020-06-15,-0.0860232291820482,1.9452527302032114e-20,1.4939540967960664e-17,-1
