,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0012698403696730185,1.1541277828503248e-06,0.00015234486733624287,1
1,2,15,2020-02-03,0.0015334525349162008,1.0405955260493955e-07,1.8730719468889117e-05,1
2,3,16,2020-02-04,0.0017886388597453773,1.1060211358193556e-08,2.5327884010263244e-06,1
3,4,17,2020-02-05,0.0020343611336815694,1.3890466063359614e-09,3.875440031677332e-07,1
4,5,18,2020-02-06,0.002270469985283091,2.1144174624027488e-10,6.808424228936851e-08,1
5,6,19,2020-02-07,0.0024977863803283163,4.0921130274647886e-11,1.4567922377774648e-08,1
6,7,20,2020-02-08,0.002718476672247315,1.0526949163136995e-11,4.105510173623428e-09,1
7,8,21,2020-02-09,0.002935432002939991,3.740151747400191e-12,1.5559031269184793e-09,1
8,9,22,2020-02-10,0.0031527750447799064,1.8819791730780943e-12,8.280708361543615e-10,1
9,10,23,2020-02-11,0.003374942938074999,1.3156357701232943e-12,5.907204607853592e-10,1
10,11,24,2020-02-12,0.0036056406112839803,1.1603226703425444e-12,5.256261696651726e-10,1
11,12,25,2020-02-13,0.0038467514202286156,1.1002608883136207e-12,5.006187041826974e-10,1
12,13,26,2020-02-14,0.0040983551794562595,9.844404668347102e-13,4.4988929334346256e-10,1
13,14,27,2020-02-15,0.004358456078015263,7.544523320567757e-13,3.4855697741023034e-10,1
14,15,28,2020-02-16,0.004621797507628189,4.57298337599388e-13,2.1584481534691114e-10,1
15,16,29,2020-02-17,0.0048800702972905995,2.0093109169265993e-13,9.966182147955932e-11,1
16,17,30,2020-02-18,0.005122354836445331,5.599005957137235e-14,2.950676139411323e-11,1
17,18,31,2020-02-19,0.005335152717115038,8.118573796254865e-15,4.603231342476508e-12,1
18,19,32,2020-02-20,0.005503052632612679,4.788271785762213e-16,3.0405525839590054e-13,1
19,20,33,2020-02-21,0.005610560479328449,1.1317481418871419e-17,8.04672928881758e-15,1
20,21,34,2020-02-22,0.005643948872828119,1.188946043605512e-18,8.869537485297119e-16,1
21,22,35,2020-02-23,0.0055930687020242864,3.858210624826778e-17,2.6274414355070356e-14,1
22,23,36,2020-02-24,0.005453737416007688,6.287342259657641e-15,3.615221799303144e-12,1
23,24,37,2020-02-25,0.005228231762316781,4.176880010659823e-13,1.979841125052756e-10,1
24,25,38,2020-02-26,0.00492477089296619,1.1165607570022898e-11,4.332255737168884e-09,1
25,26,39,2020-02-27,0.0045555593496105495,1.5055503682250676e-10,4.9984272225072245e-08,1
26,27,40,2020-02-28,0.004136478806492607,1.2135645813932313e-09,3.4707947027846414e-07,1
27,28,41,2020-02-29,0.0036866660229783357,6.515033209002227e-09,1.5701230033695367e-06,1
28,29,42,2020-03-01,0.0032265894147678574,2.4904231418837083e-08,5.030654746605091e-06,1
29,30,43,2020-03-02,0.002776093410291185,7.08400083432251e-08,1.303456153515342e-05,1
30,31,44,2020-03-03,0.0023523418275512346,1.5431404281150508e-07,2.638770132076737e-05,1
31,32,45,2020-03-04,0.0019679311437695835,2.627546672592276e-07,4.204074676147641e-05,1
32,33,46,2020-03-05,0.0016302600952746071,3.5625262130401866e-07,5.34378931956028e-05,1
