,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,1.2754222229296306,0.025266011875177165,1.0,0
1,2,15,2020-02-03,1.748102360372943,0.005771279045816647,1.0,0
2,3,16,2020-02-04,2.1233454065714867,0.0013498404786633903,0.719464975127587,0
3,4,17,2020-02-05,2.3976900012115228,0.0003621265510863879,0.20677426067032748,0
4,5,18,2020-02-06,2.569182103728302,0.00013483839110352494,0.08090303466211497,0
5,6,19,2020-02-07,2.6363116372986113,8.736775997066803e-05,0.05364380462199017,0
6,7,20,2020-02-08,2.59763005979003,0.00011262894400437384,0.06836576901065491,0
7,8,21,2020-02-09,2.4515380159897266,0.00027063149841866893,0.15723690058124665,0
8,9,22,2020-02-10,2.1960940145949195,0.000985021504116359,0.5353415713495471,0
9,10,23,2020-02-11,1.8287457140098582,0.004413388884377642,1.0,0
10,11,24,2020-02-12,1.3458069743108851,0.021397994240557643,1.0,0
11,12,25,2020-02-13,0.012829618783003283,0.9844420071720479,1.0,0
12,13,26,2020-02-14,-1.32353407483584,0.021385895710976648,1.0,0
13,14,27,2020-02-15,-1.7987513390354481,0.004408588195336902,1.0,0
14,15,28,2020-02-16,-2.1598742319862545,0.000984083770863138,0.5353415713495471,0
15,16,29,2020-02-17,-2.4105600779072884,0.0002708563329396343,0.15723690058124665,0
16,17,30,2020-02-18,-2.5534384465057527,0.00011319719996869078,0.06859750318102661,0
17,18,31,2020-02-19,-2.5906225122498827,8.830739180908178e-05,0.054132431178967134,0
18,19,32,2020-02-20,-2.5238946040389734,0.00013689323484985668,0.08199904767506415,0
19,20,33,2020-02-21,-2.354861089641239,0.0003680382814342411,0.20978182041751742,0
20,21,34,2020-02-22,-2.085159852102699,0.001368546802819452,0.7280668990999485,0
21,22,35,2020-02-23,-1.716844088444148,0.00582179783093627,1.0,0
22,23,36,2020-02-24,-1.2534287870135312,0.025311073442576423,1.0,0
23,24,37,2020-02-25,-0.7049014236017648,0.10622459222216557,1.0,0
24,25,38,2020-02-26,0.6898759937895087,0.11482327710078824,1.0,0
25,26,39,2020-02-27,1.2443609574803345,0.02682460862495435,1.0,0
26,27,40,2020-02-28,1.7109613709039064,0.006146845529982179,1.0,0
27,28,41,2020-02-29,2.08171832460271,0.0014444244737456906,0.7669893955589617,0
28,29,42,2020-03-01,2.3534706716051956,0.0003883761458854849,0.22059765086295544,0
29,30,43,2020-03-02,2.5243199246667145,0.00014405223524363613,0.08599918444045077,0
30,31,44,2020-03-03,2.5926987269079973,9.222801136419612e-05,0.05635131494352383,0
31,32,45,2020-03-04,2.5569898810968286,0.00011689262982687172,0.07048625578560365,0
32,33,46,2020-03-05,2.4153840315496926,0.00027644685768442247,0.1600627305992806,0
33,34,47,2020-03-06,2.1657222877985087,0.0009951147928765952,0.5393522177391146,0
34,35,48,2020-03-07,1.095117836037274,0.16597502259637023,1.0,0
35,36,49,2020-03-08,0.042960358366189805,0.9582591904121518,1.0,0
36,37,50,2020-03-09,-1.0102146703161827,0.19612774162287142,1.0,0
37,38,51,2020-03-10,-2.086080221795414,0.0010159647704457795,0.5476050112702752,0
38,39,52,2020-03-11,-2.3182390650123272,0.00029319912407186824,0.1688826954653961,0
39,40,53,2020-03-12,-2.4429136679481527,0.00013318901829051068,0.08004659999259692,0
40,41,54,2020-03-13,-2.4622891023237927,0.0001166021974811804,0.07042772727863296,0
41,42,55,2020-03-14,-2.378145908936554,0.00020461462050663082,0.11990416761688566,0
42,43,56,2020-03-15,-2.1919782555216965,0.0006141970727441507,0.3427219665912361,0
43,44,57,2020-03-16,-1.9050644951601063,0.002506116313596317,1.0,0
44,45,58,2020-03-17,-1.5185118469711085,0.011636743283721867,1.0,0
45,46,59,2020-03-18,-1.0332866243383647,0.0562227970343409,1.0,0
46,47,60,2020-03-19,-0.4502390742985232,0.2847897100844,1.0,0
47,48,61,2020-03-20,0.22987531762780056,3.2787124405017325e-07,0.0002183622485374154,1
48,49,62,2020-03-21,0.1870198926030355,4.069112933479454e-08,2.8280334887682205e-05,1
49,50,63,2020-03-22,0.15834704296483545,1.3620095152881482e-08,9.65664746339297e-06,1
50,51,64,2020-03-23,0.13633584135010351,7.51642103086788e-09,5.366724616039667e-06,1
51,52,65,2020-03-24,0.11831242312664146,5.8203436382578185e-09,4.179006732269114e-06,1
52,53,66,2020-03-25,0.10296066374201096,5.934005834692602e-09,4.2546821834745955e-06,1
53,54,67,2020-03-26,0.08951782840592441,7.799052578613286e-09,5.560724488551273e-06,1
54,55,68,2020-03-27,0.07749454196849062,1.3212926569050806e-08,9.381177864026073e-06,1
55,56,69,2020-03-28,0.06655496425704065,2.9131454638586464e-08,2.0508544065564872e-05,1
56,57,70,2020-03-29,0.05645935215165248,8.467364494279177e-08,5.800144678581236e-05,1
57,58,71,2020-03-30,0.04703540798545336,3.2934379253995555e-07,0.00021901362203907045,1
58,59,72,2020-03-31,0.0381649255216384,1.7501423337561585e-06,0.0011445930862765278,1
59,60,73,2020-04-01,0.029778492488545694,1.3140532274401991e-05,0.00831795692969646,1
60,61,74,2020-04-02,0.02184840817947398,0.000146549416917862,0.08719690306612789,0
61,62,75,2020-04-03,0.0143723853770057,0.002542414288083123,1.0,0
62,63,76,2020-04-04,0.007372549926794961,0.059615650928153595,1.0,0
63,64,77,2020-04-05,0.0009039620055934182,0.7870375385136825,1.0,0
64,65,78,2020-04-06,-0.004933067317348187,0.12049748592059105,1.0,0
65,66,79,2020-04-07,-0.009980100388517106,0.0021308770159285517,1.0,0
66,67,80,2020-04-08,-0.014011997921638332,2.1787452894366507e-05,0.013682520417662165,-1
67,68,81,2020-04-09,-0.016739373106789548,1.664127842533971e-07,0.00011232862937104305,-1
68,69,82,2020-04-10,-0.017829273368190957,4.394688929530515e-09,3.1641760292619707e-06,-1
69,70,83,2020-04-11,-0.01694805836451636,1.4579273548367472e-07,9.855588918696411e-05,-1
70,71,84,2020-04-12,-0.013822548370305056,0.00016216797890825945,0.09616561149259785,0
71,72,85,2020-04-13,-0.008305867976391497,0.050436186400545556,1.0,0
72,73,86,2020-04-14,-0.0004294703181899144,0.9344913383305331,1.0,0
73,74,87,2020-04-15,0.009572886812041688,0.1537239287159263,1.0,0
74,75,88,2020-04-16,0.021269914193891314,0.011880491863383764,1.0,0
75,76,89,2020-04-17,0.034053882825572014,0.0008160757504509185,0.44720951124710334,0
76,77,90,2020-04-18,0.047194105581298336,5.177901909353227e-05,0.03194765478070941,1
77,78,91,2020-04-19,0.059903684380902655,2.726208921969678e-06,0.001761130963592412,1
78,79,92,2020-04-20,0.07140848086357754,1.0190519960936546e-07,6.949934613358724e-05,1
79,80,93,2020-04-21,0.08101448685508342,2.203792513243728e-09,1.604360949641434e-06,1
80,81,94,2020-04-22,0.08816931192232481,2.143610725737631e-11,1.6227133193833868e-08,1
81,82,95,2020-04-23,0.09251083350153849,1.010674999250495e-13,8.075293244011456e-11,1
82,83,96,2020-04-24,0.09389336611973954,4.836357480620119e-15,3.951304061666637e-12,1
83,84,97,2020-04-25,0.09238237677066818,9.808742740739263e-14,7.84699419259141e-11,1
84,85,98,2020-04-26,0.08821529078668644,7.1249989642527604e-12,5.450624207653362e-09,1
85,86,99,2020-04-27,0.08173668637220392,2.6393338171102884e-10,1.966303693747165e-07,1
86,87,100,2020-04-28,0.07332479616605157,5.952988318050361e-09,4.262339635724058e-06,1
87,88,101,2020-04-29,0.06332658728974615,1.139368828450824e-07,7.724920656896586e-05,1
88,89,102,2020-04-30,0.052011056599724256,2.4559406657023285e-06,0.0015914495513751088,1
89,90,103,2020-05-01,0.03954277485809056,7.561372846114685e-05,0.046502443003605315,1
90,91,104,2020-05-02,0.02597542130099522,0.003719736017173326,1.0,0
91,92,105,2020-05-03,0.01125135650183781,0.1749372866022796,1.0,0
92,93,106,2020-05-04,-0.004812488940005448,0.581301793156127,1.0,0
93,94,107,2020-05-05,-0.022561941848563503,0.03317189555340266,1.0,0
94,95,108,2020-05-06,-0.042590260623624226,0.0016969931090614796,0.8909213822572768,0
95,96,109,2020-05-07,-0.06593570963463884,0.00017835207730741023,0.10504937353406463,0
96,97,110,2020-05-08,-0.09460922046874234,4.4038937943992244e-05,0.027304141525275192,-1
97,98,111,2020-05-09,-0.13349086039977534,2.965994607528022e-05,0.018537466297050137,-1
98,99,112,2020-05-10,-0.20615095584646936,0.00015755928599806623,0.09359021588285134,0
99,100,113,2020-05-11,0.41260143341333466,0.2892680256248274,1.0,0
100,101,114,2020-05-12,0.9432711670730307,0.0593624036266753,1.0,0
101,102,115,2020-05-13,1.3853372242433346,0.012821973883093753,1.0,0
102,103,116,2020-05-14,1.7381616503685717,0.002890928911644611,1.0,0
