,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.003580098408245056,2.8855975350941667e-08,7.069713960980708e-06,1
1,2,15,2020-02-03,0.0030621584008908454,3.056875743991014e-08,7.428208057898164e-06,1
2,3,16,2020-02-04,0.0026130863474615796,3.174804456526958e-08,7.683026784795238e-06,1
3,4,17,2020-02-05,0.0022208706107226454,3.7904231236079065e-08,9.059111265422896e-06,1
4,5,18,2020-02-06,0.0018696381456904583,6.997734067230123e-08,1.6164765695301583e-05,1
5,6,19,2020-02-07,0.0015436516426731094,2.8476807156367996e-07,5.780791852742703e-05,1
6,7,20,2020-02-08,0.0012301694347989598,2.9044610624776752e-06,0.0004705226921213834,1
7,8,21,2020-02-09,0.0009210676401128888,6.4705663425027e-05,0.0076999739475782135,1
8,9,22,2020-02-10,0.0006129104349084681,0.0024138275705697615,0.18934800749901715,0
9,10,23,2020-02-11,0.00030768110383960323,0.08632616170792953,1.0,0
10,11,24,2020-02-12,1.0510662432217464e-05,0.9501334786478736,1.0,0
11,12,25,2020-02-13,-0.0002703931707447147,0.11246703298530955,1.0,0
12,13,26,2020-02-14,-0.0005237827067773029,0.0032983560281241433,0.24737670210931076,0
13,14,27,2020-02-15,-0.0007401931887169476,5.177680316967725e-05,0.00621321638036127,-1
14,15,28,2020-02-16,-0.0009121881223916117,4.486314976195691e-07,8.748314203581597e-05,-1
15,16,29,2020-02-17,-0.0010348764147714627,1.7804960438605735e-09,5.323683171143115e-07,-1
16,17,30,2020-02-18,-0.0011050707238814447,5.1429583216317395e-12,2.031468537044537e-09,-1
17,18,31,2020-02-19,-0.001121311448797037,6.637112819777516e-13,2.873869850963664e-10,-1
18,19,32,2020-02-20,-0.001085661907351466,1.9485930019268347e-11,7.229280037148557e-09,-1
19,20,33,2020-02-21,-0.0010032251468169826,1.275174100601963e-09,3.863777524823948e-07,-1
20,21,34,2020-02-22,-0.0008809044431344158,5.937864569116747e-08,1.383522444604202e-05,-1
21,22,35,2020-02-23,-0.0007254253230062521,2.503126590031808e-06,0.0004080096341751847,-1
22,23,36,2020-02-24,-0.0005432501943683811,0.00013340900659949148,0.01440817271274508,-1
23,24,37,2020-02-25,-0.0003408683438563117,0.008827755783528853,0.5473208585787889,0
24,25,38,2020-02-26,-0.00012488707971067042,0.3132042263823966,1.0,0
25,26,39,2020-02-27,9.802960933165054e-05,0.45066362857045017,1.0,0
26,27,40,2020-02-28,0.0003229394619833681,0.027233775131472092,1.0,0
