,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0026741992335466746,0.0011169465166397403,0.09270656088109844,0
1,2,15,2020-02-03,0.003751683317988516,1.9387033955505294e-05,0.002384605176527151,1
2,3,16,2020-02-04,0.00467112917866267,3.2471526227914143e-07,5.2928587751500056e-05,1
3,4,17,2020-02-05,0.0054163565635230865,4.651813601122009e-09,1.0513098738535739e-06,1
4,5,18,2020-02-06,0.00598715751290438,4.648016503742495e-11,1.352572802589066e-08,1
5,6,19,2020-02-07,0.006397687935642443,2.416627162112719e-13,1.0608993241674836e-10,1
6,7,20,2020-02-08,0.006671118350586321,4.491107627352691e-16,2.5599313475910336e-13,1
7,8,21,2020-02-09,0.006835900972501686,2.673046749970591e-19,1.8497483509796488e-16,1
8,9,22,2020-02-10,0.006925445567317663,5.123043658875738e-22,4.057450577829585e-19,1
9,10,23,2020-02-11,0.006977276899467354,3.4677498764237315e-22,2.7603289016332904e-19,1
10,11,24,2020-02-12,0.007029857077354269,1.2824447078752331e-20,9.643984203221752e-18,1
11,12,25,2020-02-13,0.007117288672261626,2.0592687755566e-18,1.3570581230917995e-15,1
12,13,26,2020-02-14,0.007269661824340742,2.287014858024395e-16,1.3424777216603198e-13,1
13,14,27,2020-02-15,0.007510532506657681,8.510719920254421e-15,4.340467159329755e-12,1
14,15,28,2020-02-16,0.007850420590123475,1.1112403780607204e-13,5.0672561239568853e-11,1
15,16,29,2020-02-17,0.008287663020513567,6.314992955680672e-13,2.563887140006353e-10,1
16,17,30,2020-02-18,0.008813952627901231,1.860416181776555e-12,6.883539872573253e-10,1
17,18,31,2020-02-19,0.0094154537250878,3.223720617148693e-12,1.1283022160020426e-09,1
18,19,32,2020-02-20,0.010072190718372192,3.5163458646793867e-12,1.227204706773106e-09,1
19,20,33,2020-02-21,0.010757462360859503,2.449708770156814e-12,8.81895157256453e-10,1
