,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.006028088043128341,3.335522272897089e-18,2.278161712388712e-15,-1
1,2,15,2020-02-03,-0.005915552872539623,1.3610972845227405e-18,9.44601515458782e-16,-1
2,3,16,2020-02-04,-0.005817175771182951,2.1568481200586217e-19,1.550773798322149e-16,-1
3,4,17,2020-02-05,-0.005738840836849748,1.0857115899397452e-20,8.414264822033026e-18,-1
4,5,18,2020-02-06,-0.005682897744474432,1.4559330427393757e-22,1.1763938985334156e-19,-1
5,6,19,2020-02-07,-0.0056474086912402625,6.60456085479053e-25,5.494994631185721e-22,-1
6,7,20,2020-02-08,-0.005626162667224326,3.5831766092542786e-27,3.0313674114291197e-24,-1
7,8,21,2020-02-09,-0.005610863910710965,3.8236032535352238e-28,3.25006276550494e-25,-1
8,9,22,2020-02-10,-0.0055921827337634305,1.3440441540563433e-26,1.1357173101776101e-23,-1
9,10,23,2020-02-11,-0.005560796813920697,1.0386193178603317e-23,8.506292213276116e-21,-1
10,11,24,2020-02-12,-0.005508554225089918,4.932185567361706e-21,3.854019456600222e-18,-1
11,12,25,2020-02-13,-0.005427714209493333,8.159209958646819e-19,5.71960618101142e-16,-1
12,13,26,2020-02-14,-0.0053105073898238086,5.597429565316933e-17,3.515185767019034e-14,-1
13,14,27,2020-02-15,-0.0051507866850063555,1.9320544298475687e-15,1.0742222629952483e-12,-1
14,15,28,2020-02-16,-0.004944701355641898,4.0179648954398373e-14,1.8884435008567237e-11,-1
15,16,29,2020-02-17,-0.004691057764678423,5.816634734673779e-13,2.3441037980735326e-10,-1
16,17,30,2020-02-18,-0.004391991408949302,6.456063062496109e-12,2.3241827024985993e-09,-1
17,18,31,2020-02-19,-0.004052027577705821,6.153649842689398e-11,1.919938750919092e-08,-1
18,19,32,2020-02-20,-0.003674297892849773,5.774396573894351e-10,1.593733454394841e-07,-1
19,20,33,2020-02-21,-0.0032595702379458274,6.016466701825207e-09,1.3717544080161471e-06,-1
20,21,34,2020-02-22,-0.002806548840455492,7.838536957998236e-08,1.4893220220196648e-05,-1
21,22,35,2020-02-23,-0.0023134455862425236,1.4506507393857192e-06,0.00022340021386540077,-1
22,23,36,2020-02-24,-0.0017787500742581547,4.2709516622614026e-05,0.004954303928223227,-1
23,24,37,2020-02-25,-0.0012018333312758711,0.0020472368641205095,0.15559000167315873,0
24,25,38,2020-02-26,-0.0005829133444436184,0.10258680258919872,1.0,0
25,26,39,2020-02-27,7.776806548365675e-05,0.8294942974819817,1.0,0
26,27,40,2020-02-28,0.00077962676564419,0.060636953486720276,1.0,0
27,28,41,2020-02-29,0.001519185337720164,0.0024446919589164806,0.1760178210419866,0
