,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.007367351604922786,8.016214237015801e-23,6.517182174693846e-20,-1
1,2,15,2020-02-03,-0.007381348399908238,1.7982543336753886e-23,1.4727702992801433e-20,-1
2,3,16,2020-02-04,-0.007357383080123153,4.100688108219138e-22,3.296953239008187e-19,-1
3,4,17,2020-02-05,-0.0072859616104134235,1.0214177957922644e-19,7.752561070063287e-17,-1
4,5,18,2020-02-06,-0.007160112209004494,1.1996383461831748e-17,8.289500972125737e-15,-1
5,6,19,2020-02-07,-0.006976005713987753,5.089694048951452e-16,3.2166866389373175e-13,-1
6,7,20,2020-02-08,-0.0067341733931563005,9.83398997514487e-15,5.649878583280964e-12,-1
7,8,21,2020-02-09,-0.0064400315419884365,1.0615638857590396e-13,5.275972512222427e-11,-1
8,9,22,2020-02-10,-0.006102050581535902,7.407090007192322e-13,3.2146770631214677e-10,-1
9,10,23,2020-02-11,-0.005729640927911267,3.670218690377982e-12,1.4496703502604717e-09,-1
10,11,24,2020-02-12,-0.005333103571231843,1.3581024665591605e-11,4.8755878549473865e-09,-1
11,12,25,2020-02-13,-0.004924499776258997,3.836063882273019e-11,1.2850814005614613e-08,-1
12,13,26,2020-02-14,-0.004516990452914479,8.343904795034157e-11,2.5866104864605888e-08,-1
13,14,27,2020-02-15,-0.004124131310658204,1.3660321242679665e-10,4.0161344453478215e-08,-1
14,15,28,2020-02-16,-0.0037583084376623392,1.591033266834394e-10,4.582175808483054e-08,-1
15,16,29,2020-02-17,-0.003429899031383054,1.1854829728614908e-10,3.520884429398628e-08,-1
16,17,30,2020-02-18,-0.003146749364302911,4.904253862676851e-11,1.5938825053699766e-08,-1
17,18,31,2020-02-19,-0.002912387317907598,9.91546965490844e-12,3.629061893696489e-09,-1
18,19,32,2020-02-20,-0.0027249688775170065,9.067900159234542e-13,3.9173328687893223e-10,-1
19,20,33,2020-02-21,-0.002577066464009558,3.810058363299975e-14,2.0513288989167518e-11,-1
20,21,34,2020-02-22,-0.0024546884322818765,1.2774108631267163e-15,7.907173242754374e-13,-1
21,22,35,2020-02-23,-0.0023371313296196867,8.0452818709027315e-16,5.044391733056012e-13,-1
22,23,36,2020-02-24,-0.002198715871597961,1.508321064028637e-13,7.300273949898603e-11,-1
23,24,37,2020-02-25,-0.0020118631127989746,1.3828871596057913e-10,4.0518593776449685e-08,-1
24,25,38,2020-02-26,-0.0017522656341825453,8.106736508559428e-08,1.3781452064551026e-05,-1
25,26,39,2020-02-27,-0.0014035462536029788,2.6168871798337105e-05,0.0029047447696154186,-1
26,27,40,2020-02-28,-0.0009588836697031471,0.004471555627147683,0.24593555949312257,0
27,28,41,2020-02-29,-0.00042309344065704697,0.2238600418536531,1.0,0
28,29,42,2020-03-01,0.00018639044026490194,0.6242495690398226,1.0,0
29,30,43,2020-03-02,0.0008397245226964665,0.052787517145793494,1.0,0
30,31,44,2020-03-03,0.001497895069731715,0.002190493678909971,0.14380710074310468,0
31,32,45,2020-03-04,0.0021186027861492007,6.665382192682741e-05,0.006598728370755914,1
32,33,46,2020-03-05,0.0026601955016106417,1.4121319788585862e-06,0.00018781355318819198,1
33,34,47,2020-03-06,0.0030843507748250323,1.6679101644619395e-08,3.2691039223454016e-06,1
34,35,48,2020-03-07,0.0033604244558058686,1.0476637647237324e-10,3.1819268759581283e-08,1
35,36,49,2020-03-08,0.003470587930360902,2.6868704526298532e-12,1.0854956628624607e-09,1
36,37,50,2020-03-09,0.003412592340747855,2.123263485031915e-11,7.410189562761383e-09,1
37,38,51,2020-03-10,0.0031995116651303643,1.6863944325264407e-09,3.912435083461342e-07,1
38,39,52,2020-03-11,0.002856628465117332,8.00598823438492e-08,1.3690239880798213e-05,1
39,40,53,2020-03-12,0.0024176022924258076,2.016549849313117e-06,0.00026416803026001835,1
40,41,54,2020-03-13,0.0019207800027036732,3.404764664177927e-05,0.0036771458373121607,1
