,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-2.507565175678206,0.0003844360602077875,0.15223667984228384,0
1,2,15,2020-02-03,-2.312268813716675,0.0010185421745087593,0.37686060456824094,0
2,3,16,2020-02-04,-2.0161874582050205,0.0035319349823708926,1.0,0
3,4,17,2020-02-05,-1.6219103669448005,0.013788544405444324,1.0,0
4,5,18,2020-02-06,-1.134086405167545,0.05545291078443222,1.0,0
5,6,19,2020-02-07,-0.5683374107695706,0.2205376512869859,1.0,0
6,7,20,2020-02-08,0.8434026473126667,0.05735349516940138,1.0,0
7,8,21,2020-02-09,1.2658325411216262,0.023377000007943637,1.0,0
8,9,22,2020-02-10,1.7165565849903102,0.0056474097575310985,1.0,0
9,10,23,2020-02-11,2.0779917713117615,0.00136712820192898,0.4935332808963618,0
10,11,24,2020-02-12,2.3431816774929244,0.0003768708315497424,0.14961772012524774,0
11,12,25,2020-02-13,2.5093226821343393,0.00014308237150527183,0.06109617263275107,0
12,13,26,2020-02-14,2.574613847465708,9.336371969405288e-05,0.040613218066913,1
13,14,27,2020-02-15,2.5374804704305935,0.00011951539929597065,0.05163065249585932,0
14,15,28,2020-02-16,2.3962721808622067,0.00028265902886698486,0.11475956571999585,0
15,16,29,2020-02-17,2.1489517170867387,0.0010115774868367942,0.3758453345002158,0
16,17,30,2020-02-18,1.044101166424932,0.1927710122021724,1.0,0
17,18,31,2020-02-19,-0.008382929341058656,0.9919779253114804,1.0,0
18,19,32,2020-02-20,-1.056547059596056,0.18484870938920897,1.0,0
19,20,33,2020-02-21,-2.1323819894771265,0.0010946386361705062,0.4017323794745758,0
20,21,34,2020-02-22,-2.3646370078005514,0.0003282881389765435,0.13197460982008072,0
21,22,35,2020-02-23,-2.4896742859131287,0.00015350166291547434,0.0646242000874147,0
22,23,36,2020-02-24,-2.5097711187289184,0.0001345551694019363,0.057858722842832604,0
23,24,37,2020-02-25,-2.4266868917797044,0.00022851752049662586,0.0946062534856031,0
24,25,38,2020-02-26,-2.241891557631332,0.0006490225415363143,0.2479266108668721,0
25,26,39,2020-02-27,-1.9566876716019959,0.0024878426657616837,0.8657692476850659,0
26,27,40,2020-02-28,-1.5722924422140943,0.010865893716211777,1.0,0
27,28,41,2020-02-29,-1.0899411548989129,0.049502954488411556,1.0,0
28,29,42,2020-03-01,-0.5110132128143584,0.2365252224502177,1.0,0
29,30,43,2020-03-02,0.16262757896608243,0.004474263508619196,1.0,0
30,31,44,2020-03-03,0.06384072031521996,0.05042159004281096,1.0,0
31,32,45,2020-03-04,-0.010388143357258814,0.7521559129977364,1.0,0
32,33,46,2020-03-05,0.6281459764812038,0.129906583453945,1.0,0
33,34,47,2020-03-06,1.1742551057833708,0.027636674756355676,1.0,0
34,35,48,2020-03-07,1.6257384400114279,0.006046043891062143,1.0,0
35,36,49,2020-03-08,1.9813632853403336,0.0013802328514562554,0.49688382652425195,0
36,37,50,2020-03-09,2.2402495709172037,0.00036499668724600156,0.14526868152390862,0
37,38,51,2020-03-10,2.4016290650584016,0.0001348949565496357,0.057858722842832604,0
38,39,52,2020-03-11,2.464678633007851,8.720650169461713e-05,0.038022034738853065,1
39,40,53,2020-03-12,2.4284155080149277,0.00011250458354634054,0.04871448467556545,1
40,41,54,2020-03-13,2.291603812390494,0.0002706960866138876,0.11017330725185226,0
41,42,55,2020-03-14,2.052609412594921,0.0009859420838219282,0.36775639726557924,0
42,43,56,2020-03-15,1.7091904363315689,0.004417265550229763,1.0,0
43,44,57,2020-03-16,1.2579889667158906,0.021407391518548338,1.0,0
44,45,58,2020-03-17,0.6931389491473515,0.10886430106296413,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,0.0,1.0,1.0,0
52,53,66,2020-03-25,0.0,1.0,1.0,0
53,54,67,2020-03-26,0.0,1.0,1.0,0
54,55,68,2020-03-27,0.0,1.0,1.0,0
55,56,69,2020-03-28,0.0,1.0,1.0,0
56,57,70,2020-03-29,0.0,1.0,1.0,0
57,58,71,2020-03-30,0.0,1.0,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
67,68,81,2020-04-09,0.0,1.0,1.0,0
68,69,82,2020-04-10,0.0,1.0,1.0,0
69,70,83,2020-04-11,0.0,1.0,1.0,0
70,71,84,2020-04-12,0.0,1.0,1.0,0
71,72,85,2020-04-13,0.0,1.0,1.0,0
72,73,86,2020-04-14,0.0,1.0,1.0,0
73,74,87,2020-04-15,0.0,1.0,1.0,0
74,75,88,2020-04-16,0.0,1.0,1.0,0
75,76,89,2020-04-17,0.0,1.0,1.0,0
76,77,90,2020-04-18,0.0,1.0,1.0,0
77,78,91,2020-04-19,0.0,1.0,1.0,0
78,79,92,2020-04-20,0.0,1.0,1.0,0
79,80,93,2020-04-21,0.0,1.0,1.0,0
80,81,94,2020-04-22,0.0,1.0,1.0,0
81,82,95,2020-04-23,0.0,1.0,1.0,0
82,83,96,2020-04-24,0.0,1.0,1.0,0
83,84,97,2020-04-25,0.0,1.0,1.0,0
84,85,98,2020-04-26,0.0,1.0,1.0,0
85,86,99,2020-04-27,0.0,1.0,1.0,0
86,87,100,2020-04-28,0.0,1.0,1.0,0
87,88,101,2020-04-29,0.0,1.0,1.0,0
88,89,102,2020-04-30,0.0,1.0,1.0,0
89,90,103,2020-05-01,0.0,1.0,1.0,0
90,91,104,2020-05-02,0.0,1.0,1.0,0
91,92,105,2020-05-03,0.0,1.0,1.0,0
92,93,106,2020-05-04,0.0,1.0,1.0,0
93,94,107,2020-05-05,0.0,1.0,1.0,0
94,95,108,2020-05-06,0.0,1.0,1.0,0
95,96,109,2020-05-07,0.0,1.0,1.0,0
96,97,110,2020-05-08,0.0,1.0,1.0,0
97,98,111,2020-05-09,0.0,1.0,1.0,0
98,99,112,2020-05-10,0.0,1.0,1.0,0
99,100,113,2020-05-11,0.0,1.0,1.0,0
100,101,114,2020-05-12,0.0,1.0,1.0,0
101,102,115,2020-05-13,0.0,1.0,1.0,0
102,103,116,2020-05-14,0.0,1.0,1.0,0
103,104,117,2020-05-15,0.0,1.0,1.0,0
104,105,118,2020-05-16,0.0,1.0,1.0,0
105,106,119,2020-05-17,0.0,1.0,1.0,0
106,107,120,2020-05-18,0.0,1.0,1.0,0
107,108,121,2020-05-19,0.0,1.0,1.0,0
108,109,122,2020-05-20,0.0,1.0,1.0,0
109,110,123,2020-05-21,0.0,1.0,1.0,0
110,111,124,2020-05-22,0.0,1.0,1.0,0
111,112,125,2020-05-23,0.0,1.0,1.0,0
112,113,126,2020-05-24,0.0,1.0,1.0,0
113,114,127,2020-05-25,0.0,1.0,1.0,0
114,115,128,2020-05-26,0.0,1.0,1.0,0
115,116,129,2020-05-27,0.0,1.0,1.0,0
116,117,130,2020-05-28,0.0,1.0,1.0,0
117,118,131,2020-05-29,0.0,1.0,1.0,0
118,119,132,2020-05-30,-0.5652665258304973,0.10886430106296392,1.0,0
119,120,133,2020-05-31,-1.0125944714314032,0.021630269737323914,1.0,0
120,121,134,2020-06-01,-1.3624287998359645,0.004585799167332279,1.0,0
121,122,135,2020-06-02,-1.6220724982963655,0.0010833798997654008,0.3986838031136675,0
122,123,136,2020-06-03,-1.7956473168284908,0.00032934869092184483,0.13206882505965978,0
123,124,137,2020-06-04,-1.8859373475763122,0.00015927870103289084,0.06689705443381415,0
124,125,138,2020-06-05,-1.8950093220906328,0.00014725829274308546,0.062437516123068235,0
125,126,139,2020-06-06,-1.8244839580327934,0.0002657068543952427,0.10840839659325902,0
126,127,140,2020-06-07,-1.6756756240597261,0.0007967830915645,0.3019807917029455,0
127,128,141,2020-06-08,-1.4496750814818615,0.0031898529243033617,1.0,0
128,129,142,2020-06-09,-1.1473944647842798,0.014431712119143457,1.0,0
129,130,143,2020-06-10,-0.7695894434897549,0.0678731905855718,1.0,0
130,131,144,2020-06-11,-0.3168964250782476,0.3341532399122983,1.0,0
131,132,145,2020-06-12,0.21013856138930495,5.838896611323714e-06,0.0026800535445975844,1
132,133,146,2020-06-13,0.1588106087526992,3.3351301801938415e-07,0.00015875219657722687,1
133,134,147,2020-06-14,0.12971187103538678,7.446949117512448e-08,3.686239813168662e-05,1
134,135,148,2020-06-15,0.10915761497900942,2.6319665187816006e-08,1.337038991541053e-05,1
135,136,149,2020-06-16,0.0934903591334093,1.1087263927863038e-08,5.709940922849465e-06,1
136,137,150,2020-06-17,0.08115337925665123,4.702668117725514e-09,2.435982084981816e-06,1
137,138,151,2020-06-18,0.07136139223949721,1.7104573630167626e-09,9.082528597619009e-07,1
138,139,152,2020-06-19,0.0636721374519799,4.42855322629326e-10,2.4268471680087067e-07,1
139,140,153,2020-06-20,0.05780664818694192,6.515081131632295e-11,3.739656569556937e-08,1
140,141,154,2020-06-21,0.05356226575641692,4.158310696471499e-12,2.5823109425088007e-09,1
141,142,155,2020-06-22,0.05076408710022517,8.734495844653266e-14,5.869581207606995e-11,1
142,143,156,2020-06-23,0.04924591951919784,7.985291473251501e-16,5.949042147572368e-13,1
143,144,157,2020-06-24,0.048852502400101236,9.621361726058659e-17,7.369963082160933e-14,1
144,145,158,2020-06-25,0.04942535740719898,1.136633482743251e-15,8.399721437472625e-13,1
145,146,159,2020-06-26,0.050794434365715166,1.5956918447977083e-14,1.1217713668927889e-11,1
146,147,160,2020-06-27,0.05277806166497639,6.644024901614285e-14,4.4923224369660196e-11,1
147,148,161,2020-06-28,0.05519090515795836,9.52391245719317e-14,6.381021346319424e-11,1
148,149,162,2020-06-29,0.05784926417344789,6.165099222306427e-14,4.186102371946064e-11,1
149,150,163,2020-06-30,0.06058511712792379,2.3315894332164216e-14,1.6181230666521967e-11,1
150,151,164,2020-07-01,0.06327263156909173,6.5326524650308655e-15,4.657781207567007e-12,1
151,152,165,2020-07-02,0.06584514070852555,1.6704532549141845e-15,1.2261126891070114e-12,1
152,153,166,2020-07-03,0.06827784275861902,4.640415467181582e-16,3.48959243132055e-13,1
153,154,167,2020-07-04,0.07056807215204948,1.5580359798435757e-16,1.1903394886004917e-13,1
154,155,168,2020-07-05,0.07271919764947682,6.296568659577188e-17,4.854654436534012e-14,1
