,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.03621630078779517,8.914080594497204e-13,5.081025938863406e-10,-1
1,2,15,2020-02-03,-0.038402930576311535,2.626650367823512e-13,1.5461695237705268e-10,-1
2,3,16,2020-02-04,-0.04048383948971797,6.885383278881837e-14,4.248281483070093e-11,-1
3,4,17,2020-02-05,-0.042428316552888576,1.568891635483962e-14,1.0135039965226395e-11,-1
4,5,18,2020-02-06,-0.04421118627073851,3.016530313713723e-15,2.0301249011293356e-12,-1
5,6,19,2020-02-07,-0.045804903811020134,4.703694631200879e-16,3.2972899364718164e-13,-1
6,7,20,2020-02-08,-0.04717371562889773,5.3757745986259095e-17,3.913563907799662e-14,-1
7,8,21,2020-02-09,-0.04827537166803851,3.550684414717349e-18,2.7233749460882066e-15,-1
8,9,22,2020-02-10,-0.049059377927279324,9.71773427357456e-20,7.677010076123902e-17,-1
9,10,23,2020-02-11,-0.04945241353141635,1.8149902663444234e-21,1.479217067070705e-18,-1
10,11,24,2020-02-12,-0.04936241720137594,7.469436541106922e-21,6.0427741617555e-18,-1
11,12,25,2020-02-13,-0.04870304948215324,4.734232376472867e-18,3.616953535625271e-15,-1
12,13,26,2020-02-14,-0.047407920216479396,1.4898327687186726e-15,1.0160659482661347e-12,-1
13,14,27,2020-02-15,-0.04544119167996045,1.4530417181783538e-13,8.74731114343369e-11,-1
14,15,28,2020-02-16,-0.04281500342026768,5.938856228519741e-12,3.0406943890021076e-09,-1
15,16,29,2020-02-17,-0.03960251693548215,1.2525884167595182e-10,5.649173759585427e-08,-1
16,17,30,2020-02-18,-0.035910970583712315,1.5895084655481659e-09,6.310348608226219e-07,-1
17,18,31,2020-02-19,-0.03184785008824482,1.4115442860242963e-08,4.85571234392358e-06,-1
18,19,32,2020-02-20,-0.027507856178500847,1.0381307555467079e-07,3.1247735741955906e-05,-1
19,20,33,2020-02-21,-0.022985093741884434,7.450989035675388e-07,0.00019819630834896532,-1
20,21,34,2020-02-22,-0.01836395050812961,6.298326269125938e-06,0.0014045267580150842,-1
21,22,35,2020-02-23,-0.013721408192990421,7.783980654181832e-05,0.013154927305567296,-1
22,23,36,2020-02-24,-0.009135533598595109,0.0017009313605425192,0.1956071064623897,0
23,24,37,2020-02-25,-0.0046578983745207865,0.05786047386589303,1.0,0
24,25,38,2020-02-26,-0.000308763804158796,0.8903537565173903,1.0,0
25,26,39,2020-02-27,0.00391901048077667,0.09734354026316039,1.0,0
26,27,40,2020-02-28,0.008038671429744142,0.0029720330812954914,0.3230430268624038,0
27,28,41,2020-02-29,0.012063932105749542,0.00010583607472834953,0.016986245285841552,1
28,29,42,2020-03-01,0.01598405240514262,5.117222337517676e-06,0.0011641453941910523,1
29,30,43,2020-03-02,0.01973721349505384,2.94752740948161e-07,8.223601472453691e-05,1
30,31,44,2020-03-03,0.02322258245387141,1.801835222679846e-08,6.108221404884678e-06,1
31,32,45,2020-03-04,0.02633799548171725,1.0659691772683916e-09,4.2958557843916183e-07,1
32,33,46,2020-03-05,0.029012857164079614,5.390589278195154e-11,2.5335769607517224e-08,1
33,34,47,2020-03-06,0.031217988707110324,2.0874402030302824e-12,1.1272177096363525e-09,1
34,35,48,2020-03-07,0.032967136691136927,5.4201927334171254e-14,3.360519494718618e-11,1
35,36,49,2020-03-08,0.034316590115034386,8.047600512771233e-16,5.552844353812151e-13,1
36,37,50,2020-03-09,0.0353511920720239,6.3706093178194e-18,4.841663081542744e-15,1
