,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.12318024631707251,2.270340143865991e-11,1.0647895274731499e-08,-1
1,2,15,2020-02-03,-0.12153094940662253,9.768741440893043e-12,4.649920925865088e-09,-1
2,3,16,2020-02-04,-0.12892748256868528,1.4001295750636467e-09,5.894545511017953e-07,-1
3,4,17,2020-02-05,-0.1600114506566248,4.648733949607357e-06,0.0015108385336223909,-1
4,5,18,2020-02-06,0.4043987334172035,0.24279444823730828,1.0,0
5,6,19,2020-02-07,0.885153383304013,0.046673185982373896,1.0,0
6,7,20,2020-02-08,1.2819363980597134,0.009533671271430942,1.0,0
7,8,21,2020-02-09,1.5947060392369183,0.002062260545185354,0.4990670519348557,0
8,9,22,2020-02-10,1.8236528353959844,0.0005190558765899494,0.13806886317292655,0
9,10,23,2020-02-11,1.969012488926864,0.00018154072950743108,0.051514812911567544,0
10,11,24,2020-02-12,2.0308437729745292,0.00010979261346501914,0.03216923574525061,1
11,12,25,2020-02-13,2.008884312623689,0.00013177898954552645,0.03821590696820267,1
12,13,26,2020-02-14,1.9024111728925075,0.0002976329352175636,0.08214669012004755,0
13,14,27,2020-02-15,1.7101134291892397,0.0010360603673772533,0.2610872125790678,0
14,15,28,2020-02-16,1.429865522327588,0.0045145138537299265,1.0,0
15,16,29,2020-02-17,1.0581185334807164,0.02155198458502662,1.0,0
16,17,30,2020-02-18,0.588103366731389,0.10886430106296392,1.0,0
17,18,31,2020-02-19,0.0,1.0,1.0,0
18,19,32,2020-02-20,0.0,1.0,1.0,0
19,20,33,2020-02-21,0.0,1.0,1.0,0
20,21,34,2020-02-22,0.0,1.0,1.0,0
21,22,35,2020-02-23,0.0,1.0,1.0,0
22,23,36,2020-02-24,0.0,1.0,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,0.0,1.0,1.0,0
26,27,40,2020-02-28,0.0,1.0,1.0,0
27,28,41,2020-02-29,0.0,1.0,1.0,0
28,29,42,2020-03-01,0.0,1.0,1.0,0
29,30,43,2020-03-02,0.0,1.0,1.0,0
30,31,44,2020-03-03,0.0,1.0,1.0,0
31,32,45,2020-03-04,0.0,1.0,1.0,0
32,33,46,2020-03-05,0.0,1.0,1.0,0
33,34,47,2020-03-06,0.0,1.0,1.0,0
34,35,48,2020-03-07,0.0,1.0,1.0,0
35,36,49,2020-03-08,0.0,1.0,1.0,0
36,37,50,2020-03-09,0.0,1.0,1.0,0
37,38,51,2020-03-10,0.0,1.0,1.0,0
38,39,52,2020-03-11,0.0,1.0,1.0,0
39,40,53,2020-03-12,0.0,1.0,1.0,0
40,41,54,2020-03-13,0.0,1.0,1.0,0
41,42,55,2020-03-14,0.0,1.0,1.0,0
42,43,56,2020-03-15,0.0,1.0,1.0,0
43,44,57,2020-03-16,0.0,1.0,1.0,0
44,45,58,2020-03-17,0.0,1.0,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,0.0,1.0,1.0,0
52,53,66,2020-03-25,0.0,1.0,1.0,0
53,54,67,2020-03-26,0.0,1.0,1.0,0
54,55,68,2020-03-27,0.0,1.0,1.0,0
55,56,69,2020-03-28,0.0,1.0,1.0,0
56,57,70,2020-03-29,0.0,1.0,1.0,0
57,58,71,2020-03-30,0.0,1.0,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
67,68,81,2020-04-09,-0.4903790965126398,0.10886430106296381,1.0,0
68,69,82,2020-04-10,-0.8820992960105467,0.02155581758079324,1.0,0
69,70,83,2020-04-11,-1.1884486269185266,0.0045494668352052126,1.0,0
70,71,84,2020-04-12,-1.4154366412324826,0.0010701792100024363,0.26861498171061154,0
71,72,85,2020-04-13,-1.5667667027282823,0.00032461938753621954,0.08927033157246038,0
72,73,86,2020-04-14,-1.6450776578082058,0.0001572738999678349,0.044980335390800784,-1
73,74,87,2020-04-15,-1.652328216980586,0.0001463299551045198,0.042289357025206226,-1
74,75,88,2020-04-16,-1.5900224019505573,0.00026642466640492513,0.07406605726056918,0
75,76,89,2020-04-17,-1.4593568411446058,0.0008060945253914109,0.20474800944941837,0
76,77,90,2020-04-18,-1.261345907750887,0.00324976555665391,0.7831934991535923,0
77,78,91,2020-04-19,-0.9968270050052667,0.014774479623015079,1.0,0
78,79,92,2020-04-20,-0.666446156050427,0.06972290234767518,1.0,0
79,80,93,2020-04-21,-0.2707171811111694,0.3439472177306091,1.0,0
80,81,94,2020-04-22,0.1899259875895892,1.8749596159573158e-06,0.0006299864309616581,1
81,82,95,2020-04-23,0.1492624797164752,1.783248693364716e-07,6.455360269980272e-05,1
82,83,96,2020-04-24,0.12404219014653549,3.106742827271714e-08,1.1898825028450665e-05,1
83,84,97,2020-04-25,0.10621449667980688,5.9581445084941e-09,2.417066424458374e-06,1
84,85,98,2020-04-26,0.09294300281123591,1.1042700499825225e-09,4.7041904129255455e-07,1
85,86,99,2020-04-27,0.08278945819426112,2.0268339449632235e-10,9.059947733985609e-08,1
86,87,100,2020-04-28,0.07484356670690387,3.890020250208406e-11,1.801079375846492e-08,1
87,88,101,2020-04-29,0.06852155492842454,8.405201947604147e-12,4.009281329007178e-09,1
88,89,102,2020-04-30,0.06344246311252169,2.228161805775671e-12,1.1007119320531815e-09,1
89,90,103,2020-05-01,0.059341493620647744,7.700852827124027e-13,3.8812298248705095e-10,1
90,91,104,2020-05-02,0.05599069893307126,2.922902918607035e-13,1.511140808919837e-10,1
91,92,105,2020-05-03,0.05324832747111279,7.928673237713494e-14,4.2418401821767195e-11,1
92,93,106,2020-05-04,0.05108457306690256,9.611823996099557e-15,5.305726845846956e-12,1
93,94,107,2020-05-05,0.049530427181566104,3.34209736100721e-16,1.9618111509112324e-13,1
94,95,108,2020-05-06,0.04864550285784682,3.973301796709259e-18,2.6303257894215293e-15,1
95,96,109,2020-05-07,0.04851461755837439,1.273205018456703e-18,8.848774878274086e-16,1
96,97,110,2020-05-08,0.049171843759773896,8.412501671117676e-17,5.089563511026194e-14,1
97,98,111,2020-05-09,0.05061356114840856,5.1057257295167724e-15,2.8336777798818088e-12,1
98,99,112,2020-05-10,0.05281020280401874,9.214215194606072e-14,4.9019624835304307e-11,1
99,100,113,2020-05-11,0.055728892321918334,6.576201758941252e-13,3.3275580900242736e-10,1
100,101,114,2020-05-12,0.05929680207552034,2.285824759095704e-12,1.126911606234182e-09,1
101,102,115,2020-05-13,0.06339400986799773,4.2500508402109864e-12,2.0527745558219064e-09,1
102,103,116,2020-05-14,0.06784994725708236,4.425020161376315e-12,2.132859717783384e-09,1
103,104,117,2020-05-15,0.0724588334956493,2.7152472419987464e-12,1.3278919477594356e-09,1
104,105,118,2020-05-16,0.07700283493868455,1.0319650205379818e-12,5.159825102689909e-10,1
105,106,119,2020-05-17,0.0813130577192508,2.442751008101794e-13,1.267787773204831e-10,1
106,107,120,2020-05-18,0.08524457480127534,3.37904987492875e-14,1.841582181836169e-11,1
107,108,121,2020-05-19,0.08865018097505975,2.419142561827372e-15,1.3619772623088103e-12,1
108,109,122,2020-05-20,0.09137784717939916,7.542632423458809e-17,4.593463145886415e-14,1
109,110,123,2020-05-21,0.09333366175131579,7.652150671523432e-19,5.440679127453161e-16,1
110,111,124,2020-05-22,0.09446830832358012,2.5578985008561164e-21,1.9235396726437993e-18,1
111,112,125,2020-05-23,0.09478017645412574,1.3053955651362663e-22,9.9993300289438e-20,1
112,113,126,2020-05-24,0.09430304872345542,5.451525253277709e-21,4.083192414705004e-18,1
113,114,127,2020-05-25,0.09312821712341435,3.6700059665661145e-19,2.6497443078607345e-16,1
114,115,128,2020-05-26,0.09137335184789586,8.542111278171654e-18,5.595082887202433e-15,1
115,116,129,2020-05-27,0.08914563116158986,9.264916610134391e-17,5.577479799300903e-14,1
116,117,130,2020-05-28,0.08652574149735391,6.017940954107612e-16,3.4904057533824147e-13,1
117,118,131,2020-05-29,0.08358627632848625,2.6351247540298893e-15,1.4809401117647978e-12,1
118,119,132,2020-05-30,0.08039363027134433,8.24644968996426e-15,4.5685331282402e-12,1
119,120,133,2020-05-31,0.07703155864035979,1.9617171288833816e-14,1.075020986628093e-11,1
120,121,134,2020-06-01,0.07359515843696043,3.672710179083518e-14,1.9979543374214337e-11,1
121,122,135,2020-06-02,0.0701552367822756,5.721045337619019e-14,3.0836434369766513e-11,1
122,123,136,2020-06-03,0.06674804858209797,7.741357783125304e-14,4.149367771755163e-11,1
123,124,137,2020-06-04,0.06340194645633596,9.658414658080835e-14,5.118959768782842e-11,1
124,125,138,2020-06-05,0.060137221127356,1.18263953423637e-13,6.256163136110397e-11,1
125,126,139,2020-06-06,0.05696859771538349,1.4833978732243252e-13,7.80267281315995e-11,1
126,127,140,2020-06-07,0.05389868639298965,1.9527439950858194e-13,1.0193323654347977e-10,1
127,128,141,2020-06-08,0.050909772247991876,2.7964788605735265e-13,1.4485760497770868e-10,1
128,129,142,2020-06-09,0.047982507350300914,4.599352812226634e-13,2.35026928704781e-10,1
129,130,143,2020-06-10,0.04509443112795272,8.942717299924981e-13,4.4892440845623405e-10,1
130,131,144,2020-06-11,0.04220954829495954,2.0890585216446617e-12,1.0340839682141077e-09,1
131,132,145,2020-06-12,0.0392958853123593,5.876242785780116e-12,2.8147202943886756e-09,1
132,133,146,2020-06-13,0.03633144539647943,1.9177622216358633e-11,9.051837686121274e-09,1
133,134,147,2020-06-14,0.03330831177035118,6.892754751228624e-11,3.129310657057795e-08,1
134,135,148,2020-06-15,0.030236943808873054,2.7414135617693515e-10,1.2144462078638228e-07,1
135,136,149,2020-06-16,0.027110346067888282,1.2635611939371564e-09,5.357499462293543e-07,1
136,137,150,2020-06-17,0.023901346478265823,7.260780672298846e-09,2.9115730495918373e-06,1
137,138,151,2020-06-18,0.020584192924016347,5.512150634376761e-08,2.0615443372569085e-05,1
138,139,152,2020-06-19,0.017142132974878134,5.842516470891637e-07,0.00020624083142247476,1
139,140,153,2020-06-20,0.01356071774615586,9.665346791076487e-06,0.003102576319935552,1
140,141,154,2020-06-21,0.009814999470178396,0.00028928559665413866,0.0801321102731964,0
141,142,155,2020-06-22,0.005850720838467986,0.015073226334344082,1.0,0
142,143,156,2020-06-23,0.0015819417707281338,0.4916084644672102,1.0,0
143,144,157,2020-06-24,-0.0031103435419002493,0.23099682523234297,1.0,0
144,145,158,2020-06-25,-0.008396391930985236,0.01097293129088513,1.0,0
145,146,159,2020-06-26,-0.014505208828166926,0.0007721272193080563,0.19689244092355435,0
146,147,160,2020-06-27,-0.021743032142462877,0.00011337091422894805,0.03310430695485283,-1
147,148,161,2020-06-28,-0.030540632139983738,3.190237938479259e-05,0.009666420953592155,-1
148,149,162,2020-06-29,-0.04156224795012567,1.5384390362028543e-05,0.004769161012228848,-1
149,150,163,2020-06-30,-0.05593946906083989,1.184386999919586e-05,0.0037189751797475,-1
150,151,164,2020-07-01,-0.07580258324504978,1.4434039404248068e-05,0.004503420294125397,-1
151,152,165,2020-07-02,-0.10630980524062096,3.311361269861072e-05,0.010000311034980437,-1
152,153,166,2020-07-03,-0.17542119670589862,0.0004860483907214916,0.12977492032263827,0
153,154,167,2020-07-04,0.17819380346173688,0.4299969051492126,1.0,0
154,155,168,2020-07-05,0.4829245441448052,0.0945490490433319,1.0,0
155,156,169,2020-07-06,0.7384812276596356,0.021645222990336613,1.0,0
156,157,170,2020-07-07,0.9444960746766726,0.0051508418188184885,1.0,0
157,158,171,2020-07-08,1.1005024153673015,0.0013708239430229511,0.33722268998364596,0
158,159,172,2020-07-09,1.2059074535367704,0.0004709111301406264,0.12620418287768786,0
159,160,173,2020-07-10,1.2599533341180678,0.00025284060593061975,0.07054252905464291,0
160,161,174,2020-07-11,1.2616542168600047,0.00024772022630620597,0.06936166336573767,0
161,162,175,2020-07-12,1.2096935583413528,0.00044807336025363286,0.12053173390822725,0
162,163,176,2020-07-13,1.102238091416233,0.0013011928421207482,0.3213946320038248,0
163,164,177,2020-07-14,0.936572856917278,0.005022420740809064,1.0,0
164,165,178,2020-07-15,0.7082915260025204,0.02234095064561291,1.0,0
165,166,179,2020-07-16,0.4085303693723571,0.10886430106296377,1.0,0
166,167,180,2020-07-17,0.0,1.0,1.0,0
167,168,181,2020-07-18,0.0,1.0,1.0,0
168,169,182,2020-07-19,0.0,1.0,1.0,0
169,170,183,2020-07-20,0.0,1.0,1.0,0
170,171,184,2020-07-21,0.0,1.0,1.0,0
171,172,185,2020-07-22,0.0,1.0,1.0,0
172,173,186,2020-07-23,0.0,1.0,1.0,0
173,174,187,2020-07-24,0.0,1.0,1.0,0
174,175,188,2020-07-25,0.0,1.0,1.0,0
175,176,189,2020-07-26,0.0,1.0,1.0,0
176,177,190,2020-07-27,0.0,1.0,1.0,0
177,178,191,2020-07-28,0.0,1.0,1.0,0
178,179,192,2020-07-29,0.0,1.0,1.0,0
179,180,193,2020-07-30,0.0,1.0,1.0,0
180,181,194,2020-07-31,0.0,1.0,1.0,0
181,182,195,2020-08-01,0.0,1.0,1.0,0
182,183,196,2020-08-02,0.0,1.0,1.0,0
183,184,197,2020-08-03,0.0,1.0,1.0,0
184,185,198,2020-08-04,0.0,1.0,1.0,0
185,186,199,2020-08-05,0.0,1.0,1.0,0
186,187,200,2020-08-06,0.0,1.0,1.0,0
187,188,201,2020-08-07,0.0,1.0,1.0,0
188,189,202,2020-08-08,0.0,1.0,1.0,0
189,190,203,2020-08-09,0.0,1.0,1.0,0
190,191,204,2020-08-10,0.0,1.0,1.0,0
191,192,205,2020-08-11,0.0,1.0,1.0,0
192,193,206,2020-08-12,0.0,1.0,1.0,0
193,194,207,2020-08-13,0.0,1.0,1.0,0
194,195,208,2020-08-14,0.0,1.0,1.0,0
195,196,209,2020-08-15,0.0,1.0,1.0,0
196,197,210,2020-08-16,0.0,1.0,1.0,0
197,198,211,2020-08-17,0.0,1.0,1.0,0
198,199,212,2020-08-18,0.0,1.0,1.0,0
199,200,213,2020-08-19,0.0,1.0,1.0,0
200,201,214,2020-08-20,0.0,1.0,1.0,0
201,202,215,2020-08-21,0.0,1.0,1.0,0
202,203,216,2020-08-22,0.0,1.0,1.0,0
203,204,217,2020-08-23,0.0,1.0,1.0,0
204,205,218,2020-08-24,0.0,1.0,1.0,0
205,206,219,2020-08-25,0.0,1.0,1.0,0
206,207,220,2020-08-26,0.0,1.0,1.0,0
207,208,221,2020-08-27,0.0,1.0,1.0,0
208,209,222,2020-08-28,0.0,1.0,1.0,0
209,210,223,2020-08-29,0.0,1.0,1.0,0
210,211,224,2020-08-30,0.0,1.0,1.0,0
211,212,225,2020-08-31,0.0,1.0,1.0,0
212,213,226,2020-09-01,0.0,1.0,1.0,0
213,214,227,2020-09-02,0.0,1.0,1.0,0
214,215,228,2020-09-03,0.0,1.0,1.0,0
215,216,229,2020-09-04,0.0,1.0,1.0,0
216,217,230,2020-09-05,0.0,1.0,1.0,0
217,218,231,2020-09-06,0.0,1.0,1.0,0
218,219,232,2020-09-07,0.0,1.0,1.0,0
219,220,233,2020-09-08,0.0,1.0,1.0,0
220,221,234,2020-09-09,0.0,1.0,1.0,0
221,222,235,2020-09-10,0.0,1.0,1.0,0
222,223,236,2020-09-11,0.0,1.0,1.0,0
223,224,237,2020-09-12,0.0,1.0,1.0,0
224,225,238,2020-09-13,0.0,1.0,1.0,0
225,226,239,2020-09-14,0.0,1.0,1.0,0
226,227,240,2020-09-15,0.0,1.0,1.0,0
227,228,241,2020-09-16,0.0,1.0,1.0,0
228,229,242,2020-09-17,0.0,1.0,1.0,0
229,230,243,2020-09-18,0.0,1.0,1.0,0
230,231,244,2020-09-19,0.0,1.0,1.0,0
231,232,245,2020-09-20,0.0,1.0,1.0,0
232,233,246,2020-09-21,0.0,1.0,1.0,0
233,234,247,2020-09-22,0.0,1.0,1.0,0
234,235,248,2020-09-23,0.0,1.0,1.0,0
235,236,249,2020-09-24,0.0,1.0,1.0,0
236,237,250,2020-09-25,0.0,1.0,1.0,0
237,238,251,2020-09-26,0.0,1.0,1.0,0
238,239,252,2020-09-27,0.0,1.0,1.0,0
239,240,253,2020-09-28,0.0,1.0,1.0,0
240,241,254,2020-09-29,-0.26029569702002003,0.10886430106296381,1.0,0
241,242,255,2020-09-30,-0.44882368863889727,0.022482849299885303,1.0,0
242,243,256,2020-10-01,-0.5865674273426251,0.005254842902311777,1.0,0
243,244,257,2020-10-02,-0.6809189380312383,0.0015004693231029014,0.36611451483710794,0
244,245,258,2020-10-03,-0.7359929214621865,0.0006183549935579199,0.15994584757224956,0
245,246,259,2020-10-04,-0.7545217388330115,0.00044177542154937634,0.11927936381833161,0
246,247,260,2020-10-05,-0.7385236603206367,0.0005947037754615288,0.15581238917092055,0
247,248,261,2020-10-06,-0.6895988713830281,0.0013843011703176353,0.33915378672782065,0
248,249,262,2020-10-07,-0.6090629330161204,0.004601858285472648,1.0,0
249,250,263,2020-10-08,-0.49803221673194104,0.018148772226472324,1.0,0
250,251,264,2020-10-09,-0.3574703723896,0.0747508951280795,1.0,0
251,252,265,2020-10-10,-0.18821190891237732,0.2974704415866482,1.0,0
252,253,266,2020-10-11,0.009015614353078804,0.9499491192276652,1.0,0
253,254,267,2020-10-12,0.23356339889178754,1.3061250590871724e-06,0.0004453886451487258,1
254,255,268,2020-10-13,0.1845072478461115,2.18654817640769e-08,8.440075960933683e-06,1
255,256,269,2020-10-14,0.15821638736053992,1.5842780637559433e-09,6.653967867774962e-07,1
256,257,270,2020-10-15,0.1405019627732639,1.8559082714402186e-10,8.31446905605218e-08,1
