,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0,1.0,1.0,0
1,2,15,2020-02-03,0.0,1.0,1.0,0
2,3,16,2020-02-04,0.0,1.0,1.0,0
3,4,17,2020-02-05,0.0,1.0,1.0,0
4,5,18,2020-02-06,-0.39322920352528357,0.10886430106296381,1.0,0
5,6,19,2020-02-07,-0.6992025161405214,0.021772051770040428,1.0,0
6,7,20,2020-02-08,-0.9357789023830108,0.004690583733903427,1.0,0
7,8,21,2020-02-09,-1.1096624490031377,0.0011405734232461224,0.6478457044037975,0
8,9,22,2020-02-10,-1.2246112303141186,0.0003614664115759015,0.2172413133571168,0
9,10,23,2020-02-11,-1.2831539962981076,0.00018283613087165203,0.11372407340216756,0
10,11,24,2020-02-12,-1.287129536588097,0.00017402394391583415,0.1085909410034805,0
11,12,25,2020-02-13,-1.2379110058276361,0.0003136735757826861,0.19039986050009047,0
12,13,26,2020-02-14,-1.1365395572298738,0.0009143390202909597,0.5266592756875927,0
13,14,27,2020-02-15,-0.9837833095313756,0.003507695144942383,1.0,0
14,15,28,2020-02-16,-0.780155576184555,0.015164053698507091,1.0,0
15,16,29,2020-02-17,-0.525914741328066,0.06839818010840272,1.0,0
16,17,30,2020-02-18,-0.22106659260125025,0.32535692617872425,1.0,0
17,18,31,2020-02-19,0.13460991209074058,0.00025181096845632137,0.15410831269526867,0
18,19,32,2020-02-20,0.08776290691461765,8.683320769826778e-05,0.05522592009609831,0
19,20,33,2020-02-21,0.0629016250672672,3.700054649573268e-05,0.023791351396756113,1
20,21,34,2020-02-22,0.048592392481528086,6.14721077963693e-06,0.0040325702714418266,1
21,22,35,2020-02-23,0.041530994220484146,2.8140797321744303e-07,0.00018854334205568684,1
22,23,36,2020-02-24,0.04003572423153985,7.931867684485793e-08,5.35401068702791e-05,1
23,24,37,2020-02-25,0.0428238996194772,3.808816940300422e-07,0.0002544289716120682,1
24,25,38,2020-02-26,0.04872139846533008,8.360174550375533e-07,0.0005542795726898979,1
25,26,39,2020-02-27,0.05660209220586183,4.861531154896227e-07,0.0003237779749160887,1
26,27,40,2020-02-28,0.0653721505698369,9.86156101148389e-08,6.646692121740142e-05,1
27,28,41,2020-02-29,0.07400062270987717,7.944474690029078e-09,5.497576485500122e-06,1
28,29,42,2020-03-01,0.08157726720098593,2.428152650769155e-10,1.7361291452999456e-07,1
29,30,43,2020-03-02,0.08738538225445555,2.385173622391065e-12,1.757872959702215e-09,1
30,31,44,2020-03-03,0.09097390661061838,8.755472167896509e-15,6.8380237631271735e-12,1
