,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.00753101866654645,1.9913907082763984e-16,1.314317867462423e-13,-1
1,2,15,2020-02-03,-0.00773454002404902,1.688144252909826e-17,1.1783246885310587e-14,-1
2,3,16,2020-02-04,-0.00790217903197485,6.646515262627096e-19,5.064644630121847e-16,-1
3,4,17,2020-02-05,-0.008029128545897702,1.0274111860224515e-20,8.219289488179611e-18,-1
4,5,18,2020-02-06,-0.008113316800906614,5.476485409649758e-23,4.600247744105796e-20,-1
5,6,19,2020-02-07,-0.008156073892795157,1.675049279770813e-25,1.4304920849242743e-22,-1
6,7,20,2020-02-08,-0.008161139997934053,5.302121178082611e-26,4.538615728438715e-23,-1
7,8,21,2020-02-09,-0.008131825892170017,5.865907795214149e-24,4.980155718136813e-21,-1
8,9,22,2020-02-10,-0.008068742555437575,6.911359848796787e-22,5.681137795710959e-19,-1
9,10,23,2020-02-11,-0.007971639713227365,3.1127165286668506e-20,2.455933341118145e-17,-1
10,11,24,2020-02-12,-0.007841734731375864,6.4132960293586265e-19,4.893344870400632e-16,-1
11,12,25,2020-02-13,-0.007683924939286816,6.542117411329166e-18,4.697240301334341e-15,-1
12,13,26,2020-02-14,-0.007507308645872155,3.1050362702281226e-17,2.13315991764672e-14,-1
13,14,27,2020-02-15,-0.007324640426257525,6.571251142755922e-17,4.435594521360247e-14,-1
14,15,28,2020-02-16,-0.007150126145758917,5.829512803212033e-17,3.940750654971334e-14,-1
15,16,29,2020-02-17,-0.006997401097555283,1.9152433019217373e-17,1.3330093381375291e-14,-1
16,17,30,2020-02-18,-0.0068775030985323,2.0621119577391778e-18,1.5239007367692523e-15,-1
17,18,31,2020-02-19,-0.00679573879420285,8.416938159995001e-20,6.590462579276086e-17,-1
18,19,32,2020-02-20,-0.006749707855148776,3.421497303671408e-21,2.7714128159738404e-18,-1
19,20,33,2020-02-21,-0.00672900614263405,6.066600116521701e-22,5.0049450961304035e-19,-1
20,21,34,2020-02-22,-0.006715202328981429,3.553673197697642e-22,2.9459950808913453e-19,-1
21,22,35,2020-02-23,-0.00667929314362512,2.3370831071915822e-21,1.902385649253948e-18,-1
22,23,36,2020-02-24,-0.006586294237092283,2.351002621223022e-18,1.7326889318413672e-15,-1
23,24,37,2020-02-25,-0.00640319514487804,3.5158838067542183e-15,2.1200779354727936e-12,-1
24,25,38,2020-02-26,-0.006102475226299821,1.377285842411709e-12,6.913974928906779e-10,-1
25,26,39,2020-02-27,-0.005665473560154181,1.8098796838959215e-10,7.203321141905767e-08,-1
26,27,40,2020-02-28,-0.00508331536599846,1.1814602957668428e-08,3.4734932695545176e-06,-1
