,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0006286866125906381,4.951307846960072e-12,2.203331991897232e-09,-1
1,2,15,2020-02-03,-0.0006796442157076236,1.7896269014771516e-14,1.0344043490537936e-11,-1
2,3,16,2020-02-04,-0.00072163807055221,5.43751075899254e-15,3.219006369323584e-12,-1
3,4,17,2020-02-05,-0.0007601730782902651,5.285930873907354e-14,2.89669011890123e-11,-1
4,5,18,2020-02-06,-0.0008004240766023557,6.086110760656155e-13,3.012624826524797e-10,-1
5,6,19,2020-02-07,-0.0008462983039854531,3.2827959611694406e-12,1.4936721623320955e-09,-1
6,7,20,2020-02-08,-0.000899084774774933,7.1396279562393385e-12,3.0843192770953942e-09,-1
7,8,21,2020-02-09,-0.0009573819057473,6.52186255750282e-12,2.8435320750712296e-09,-1
8,9,22,2020-02-10,-0.0010180507087118413,2.637371447576539e-12,1.213190865885208e-09,-1
9,10,23,2020-02-11,-0.0010758789382866614,4.1055860516710973e-13,2.0733209560939042e-10,-1
10,11,24,2020-02-12,-0.00112240546245384,1.7609972498840354e-14,1.0196174076828565e-11,-1
11,12,25,2020-02-13,-0.001147837415807551,3.10942769086703e-16,2.0086902883001014e-13,-1
12,13,26,2020-02-14,-0.0011413549064029408,1.6569158718277324e-15,1.0239740087895386e-12,-1
13,14,27,2020-02-15,-0.0010919945736713853,3.903923300811488e-12,1.7606694086659812e-09,-1
14,15,28,2020-02-16,-0.0009899887590844893,5.743178517936502e-09,1.6999808413092046e-06,-1
15,16,29,2020-02-17,-0.0008261813162225784,3.7438412776576467e-06,0.000677635271256034,-1
16,17,30,2020-02-18,-0.0005918139959986877,0.0014216134466112224,0.1443651263873196,0
17,18,31,2020-02-19,-0.0002800860236638888,0.16143848915976264,1.0,0
18,19,32,2020-02-20,0.00011105448515679317,0.6415114885239557,1.0,0
19,20,33,2020-02-21,0.0005777964437309507,0.05696205946170812,1.0,0
20,21,34,2020-02-22,0.0011098816482222802,0.0037024475064454366,0.3295178280736439,0
21,22,35,2020-02-23,0.0016905311157593749,0.0002688879810391779,0.03334210964885806,1
22,23,36,2020-02-24,0.0022964623245644213,2.149259690025864e-05,0.0033958303102408654,1
23,24,37,2020-02-25,0.0029001985506481916,1.6959980466582973e-06,0.0003256316249583931,1
24,25,38,2020-02-26,0.0034730035811799363,1.1512704188257849e-07,2.7860744135583994e-05,1
25,26,39,2020-02-27,0.003986414132789419,5.798900007266747e-09,1.7106755021436903e-06,1
26,27,40,2020-02-28,0.004416620927376708,1.8262018463523936e-10,6.720422794576808e-08,1
27,28,41,2020-02-29,0.00474766806288232,2.866419418400582e-12,1.3128200936274666e-09,1
28,29,42,2020-03-01,0.004970545517695526,1.8310559930137443e-14,1.0555060394456627e-11,1
29,30,43,2020-03-02,0.005081957236487771,1.2507754123620103e-16,8.405210771072708e-14,1
30,31,44,2020-03-03,0.005084460681605837,1.0731350190606177e-16,7.286586779421594e-14,1
31,32,45,2020-03-04,0.004985818350676671,5.1087731917857356e-15,3.0397200491125127e-12,1
32,33,46,2020-03-05,0.004797635942700252,1.9450143708916475e-13,1.0159116543227629e-10,1
33,34,47,2020-03-06,0.004533177998237551,3.5539278771331348e-12,1.606375400464177e-09,1
34,35,48,2020-03-07,0.00420776320830991,3.874159433585976e-11,1.5612862517351483e-08,1
35,36,49,2020-03-08,0.003838751496393423,3.021464219121052e-10,1.0877271188835787e-07,1
36,37,50,2020-03-09,0.0034445292188765315,1.8482706195225575e-09,5.914465982472184e-07,1
37,38,51,2020-03-10,0.003042294164868321,9.219624320327856e-09,2.636812555613767e-06,1
38,39,52,2020-03-11,0.0026456839741292285,3.798091278949831e-08,9.875037325269562e-06,1
39,40,53,2020-03-12,0.002264378456398504,1.27766631059961e-07,3.0280691561210758e-05,1
40,41,54,2020-03-13,0.0019069980977101135,3.36252739592014e-07,7.46481081894271e-05,1
41,42,55,2020-03-14,0.0015825559615762874,6.491814451231661e-07,0.00013697728492098805,1
42,43,56,2020-03-15,0.001298789129055077,8.468758995321656e-07,0.00017191580760502961,1
43,44,57,2020-03-16,0.0010601927097012406,6.828081535016251e-07,0.0001413412877748364,1
44,45,58,2020-03-17,0.0008672372170469042,3.099952084323255e-07,6.912893148040859e-05,1
45,46,59,2020-03-18,0.0007164408677759893,7.714215173733488e-08,1.928553793433372e-05,1
46,47,60,2020-03-19,0.0005994003415967333,1.58768551949847e-08,4.397888889010761e-06,1
47,48,61,2020-03-20,0.0005034399624760623,9.829694913562754e-09,2.797456589726428e-06,1
48,49,62,2020-03-21,0.00041361021978438727,1.1890798500278493e-07,2.8537916400668384e-05,1
49,50,63,2020-03-22,0.00031472754807046303,2.4670442933616274e-05,0.0038239186547105223,1
50,51,64,2020-03-23,0.0001953552387656147,0.010156375461098122,0.7718845350434572,0
51,52,65,2020-03-24,4.916553340773066e-05,0.5694998879054516,1.0,0
52,53,66,2020-03-25,-0.00012647326144676503,0.24983368422820545,1.0,0
53,54,67,2020-03-26,-0.00033250531779720823,0.01954028655251749,1.0,0
54,55,68,2020-03-27,-0.0005675960224927556,0.0015190275110243414,0.14886469608038547,0
55,56,69,2020-03-28,-0.0008279482169942491,0.0001353174488616219,0.01786190324973409,-1
56,57,70,2020-03-29,-0.0011089041503460184,1.3611209003478423e-05,0.00224584948557394,-1
57,58,71,2020-03-30,-0.0014051793719223665,1.498957418749121e-06,0.00029379565407482773,-1
58,59,72,2020-03-31,-0.0017085430427326571,1.730646067242426e-07,4.0041847855254434e-05,-1
