,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.015149359127418221,2.8579420548927616e-10,8.716723267422922e-08,1
1,2,15,2020-02-03,0.016621435376592497,6.919187437451902e-11,2.324846978983839e-08,1
2,3,16,2020-02-04,0.01804616157776168,1.385813507948529e-11,5.169084384648013e-09,1
3,4,17,2020-02-05,0.019396723492171614,2.4096635137118003e-12,9.879620406218382e-10,1
4,5,18,2020-02-06,0.02065600407659058,3.8340992977514483e-13,1.7521833790724118e-10,1
5,6,19,2020-02-07,0.021815785506221066,5.961028269629363e-14,2.949772274912785e-11,1
6,7,20,2020-02-08,0.022876066266957287,9.806394901031647e-15,5.2366148771509e-12,1
7,8,21,2020-02-09,0.023843403982550176,1.858387329090604e-15,1.0518472282652818e-12,1
8,9,22,2020-02-10,0.024728939334759937,4.3684031480418254e-16,2.5642526479005517e-13,1
9,10,23,2020-02-11,0.025545339541713317,1.3205481858014372e-16,8.042138451530752e-14,1
10,11,24,2020-02-12,0.02630030913882215,4.721737078315271e-17,2.984137833495251e-14,1
11,12,25,2020-02-13,0.02698686560545457,1.5409666940008655e-17,1.0293657515925782e-14,1
12,13,26,2020-02-14,0.027573239055938205,2.9653166478411286e-18,2.099444186671519e-15,1
13,14,27,2020-02-15,0.02799697427563981,2.0305707813512797e-19,1.5269892275761623e-16,1
14,15,28,2020-02-16,0.028168939095201205,1.4041298073949568e-20,1.0938171199606713e-17,1
15,16,29,2020-02-17,0.027988416180068372,6.157500130140421e-19,4.494975095002508e-16,1
16,17,30,2020-02-18,0.027360077962925753,8.00482348351006e-16,4.634792796952325e-13,1
17,18,31,2020-02-19,0.02621390437319599,3.29727618955011e-13,1.5200443233826007e-10,1
18,19,32,2020-02-20,0.02452375999038141,4.032323848860253e-11,1.3951840517056476e-08,1
19,20,33,2020-02-21,0.02231344373453442,2.0700963114077365e-09,5.320147520317883e-07,1
20,21,34,2020-02-22,0.01965364039531456,5.734469329208666e-08,1.1296904578541072e-05,1
21,22,35,2020-02-23,0.016654002034054954,1.0198200782798654e-06,0.00016419103260305833,1
22,23,36,2020-02-24,0.0134531913704233,1.330858652067184e-05,0.0016502647285633082,1
23,24,37,2020-02-25,0.010207831972032523,0.0001438939261612011,0.0132382412068305,1
24,25,38,2020-02-26,0.007078592503222851,0.0014593344005167177,0.10069407363565352,0
25,26,39,2020-02-27,0.00421232524136934,0.015766674475323615,0.7380445636556389,0
26,27,40,2020-02-28,0.001722218796897128,0.18510722961673212,1.0,0
27,28,41,2020-02-29,-0.0003280058262569407,0.7327632278840822,1.0,0
28,29,42,2020-03-01,-0.0019317081629362882,0.014236652082732483,0.7049711840037711,0
29,30,43,2020-03-02,-0.003135665864534308,1.8658617648686414e-05,0.0022390341178423695,-1
30,31,44,2020-03-03,-0.00402973247322446,2.3268140335446238e-08,4.969253158964188e-06,-1
31,32,45,2020-03-04,-0.0047271909485385455,2.5560634477946477e-10,7.898236053685461e-08,-1
32,33,46,2020-03-05,-0.005339732697674892,9.889902300617997e-11,3.263667759203939e-08,-1
33,34,47,2020-03-06,-0.005961371841814306,2.868559695867011e-10,8.720421475435713e-08,-1
34,35,48,2020-03-07,-0.006660005488561502,1.0458347811197741e-09,2.886503995890577e-07,-1
35,36,49,2020-03-08,-0.007475862780322699,2.552832207821724e-09,6.458665485788961e-07,-1
36,37,50,2020-03-09,-0.008425050369161136,3.728834063613017e-09,9.098355115215761e-07,-1
37,38,51,2020-03-10,-0.009504275295275642,3.379684079991111e-09,8.280225995978223e-07,-1
38,39,52,2020-03-11,-0.010694223191522873,2.0546870906759093e-09,5.301092693943845e-07,-1
39,40,53,2020-03-12,-0.011965959594298768,9.151939542565714e-10,2.5442391928332686e-07,-1
40,41,54,2020-03-13,-0.013291880501189013,3.2858782730445465e-10,9.857634819133639e-08,-1
41,42,55,2020-03-14,-0.014653949241434806,1.0692720929693271e-10,3.4965197440096994e-08,-1
42,43,56,2020-03-15,-0.016041046445892305,3.5578132751284706e-11,1.2416768330198363e-08,-1
43,44,57,2020-03-16,-0.017446642175050295,1.334866827807627e-11,5.005750604278602e-09,-1
44,45,58,2020-03-17,-0.018858071080604426,5.666133367332671e-12,2.238122680096405e-09,-1
45,46,59,2020-03-18,-0.020243383543050504,2.366315160464219e-12,9.72555530950794e-10,-1
46,47,60,2020-03-19,-0.0215520900335106,7.823837471593002e-13,3.38772162519977e-10,-1
47,48,61,2020-03-20,-0.02272066195622361,1.6191808760623724e-13,7.626341926253774e-11,-1
48,49,62,2020-03-21,-0.023678880460348103,1.6676895064582138e-14,8.722016118776458e-12,-1
49,50,63,2020-03-22,-0.02436145774352147,7.575167460155491e-16,4.393597126890185e-13,-1
50,51,64,2020-03-23,-0.024719159706461574,3.1373495082150377e-17,2.001628986241194e-14,-1
51,52,65,2020-03-24,-0.024725402872116078,2.8913176776013455e-17,1.856225949020064e-14,-1
52,53,66,2020-03-25,-0.02437785058187516,9.77243530676313e-16,5.599605430775273e-13,-1
53,54,67,2020-03-26,-0.023698165330149488,3.89498790415224e-14,1.9708638795010332e-11,-1
54,55,68,2020-03-27,-0.022731379213669505,6.140014826439556e-13,2.695466508806965e-10,-1
55,56,69,2020-03-28,-0.02154561770605462,3.8108193941376076e-12,1.5167061188667678e-09,-1
