,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.007745462164252586,9.517879074934081e-21,7.776107204221144e-18,1
1,2,15,2020-02-03,0.007633265805137827,6.550232037481903e-19,5.089530293123439e-16,1
2,3,16,2020-02-04,0.007484833019878571,1.793065204450006e-17,1.3483850337464046e-14,1
3,4,17,2020-02-05,0.007296203703219408,2.479493030714229e-16,1.8050709263599587e-13,1
4,5,18,2020-02-06,0.007064625312304243,2.1564323451233993e-15,1.500876912205886e-12,1
5,6,19,2020-02-07,0.006788583064171879,1.4615941455581287e-14,9.631905419228068e-12,1
6,7,20,2020-02-08,0.006467377540030324,9.485450231756018e-14,5.956862745542779e-11,1
7,8,21,2020-02-09,0.006099655129628333,7.164582453747822e-13,4.255761977526206e-10,1
8,9,22,2020-02-10,0.0056823634753569085,7.03995459425409e-12,3.7804556171144465e-09,1
9,10,23,2020-02-11,0.005212895526873,8.780252368118455e-11,4.0828173511750816e-08,1
10,11,24,2020-02-12,0.00469115152345034,1.2598771526068836e-09,4.787533179906158e-07,1
11,12,25,2020-02-13,0.004121039773180539,1.865094269159428e-08,6.092250987964564e-06,1
12,13,26,2020-02-14,0.0035118607331147485,2.621833081685187e-07,7.026512658916301e-05,1
13,14,27,2020-02-15,0.0028795356805237783,3.3461475137035764e-06,0.0007160755679325654,1
14,15,28,2020-02-16,0.00224587044665389,3.848415562130771e-05,0.006927148011835388,1
15,16,29,2020-02-17,0.001636023939698457,0.0004066151914727214,0.05611289642323555,0
16,17,30,2020-02-18,0.0010766574576994473,0.004092683582131574,0.3969903074667626,0
17,18,31,2020-02-19,0.0005927979457479721,0.03960305288506276,1.0,0
18,19,32,2020-02-20,0.00020424501828285871,0.3278010005323253,1.0,0
19,20,33,2020-02-21,-7.85377452228878e-05,0.5894378949469629,1.0,0
20,21,34,2020-02-22,-0.0002553720825995767,0.015768857922161966,1.0,0
21,22,35,2020-02-23,-0.0003374743582006359,0.0001356187251229164,0.02115652111917496,-1
22,23,36,2020-02-24,-0.0003470482591356714,6.757570432744683e-05,0.011623021144320855,-1
23,24,37,2020-02-25,-0.000312802272791095,0.00032040502194487447,0.04549751311617217,-1
24,25,38,2020-02-26,-0.0002652735848756871,0.0009150373894463555,0.1152947110702408,0
25,26,39,2020-02-27,-0.00023343445074721,0.0010098720183264534,0.12528011468389988,0
26,27,40,2020-02-28,-0.000240895389018108,0.001118943480966121,0.1342732177159345,0
27,28,41,2020-02-29,-0.00030391619692930023,0.002001171180340553,0.21212414511609864,0
28,29,42,2020-03-01,-0.0004322998422209809,0.0018300519017860476,0.2031357610982513,0
29,30,43,2020-03-02,-0.0006283880675465927,0.0007893871854654194,0.10104155973957368,0
30,31,44,2020-03-03,-0.0008866246676502578,0.00020040878199019301,0.029660499734548568,-1
31,32,45,2020-03-04,-0.0011935974676620426,3.465963796281258e-05,0.006342713747194702,-1
32,33,46,2020-03-05,-0.0015309703231094383,4.522186172579294e-06,0.0009496590962416517,-1
33,34,47,2020-03-06,-0.001878736287923999,4.679963158629993e-07,0.00011653108264988683,-1
34,35,48,2020-03-07,-0.0022163051867172654,3.864293324138459e-08,1.2017952238070607e-05,-1
35,36,49,2020-03-08,-0.0025240319758082904,2.438665944143928e-09,8.925517355566777e-07,-1
36,37,50,2020-03-09,-0.002785524108396286,1.0390786490912243e-10,4.748589426346895e-08,-1
37,38,51,2020-03-10,-0.002988471034749553,2.399318089980347e-12,1.3508160846589354e-09,-1
38,39,52,2020-03-11,-0.003125473011599959,2.5351038685947184e-14,1.645282410717972e-11,-1
39,40,53,2020-03-12,-0.0031961466200173703,2.689736748680555e-16,1.9554386162907636e-13,-1
40,41,54,2020-03-13,-0.0032056383035363825,1.1311448131410894e-16,8.279980032192775e-14,-1
41,42,55,2020-03-14,-0.003163660888836697,1.6580127164077369e-15,1.1572928760526003e-12,-1
42,43,56,2020-03-15,-0.003084800727654269,1.7955652338880613e-14,1.1778907934305682e-11,-1
43,44,57,2020-03-16,-0.002987062023374867,5.3816170117858104e-14,3.4280900365075614e-11,-1
44,45,58,2020-03-17,-0.0028895055449417507,3.982489693163031e-14,2.564723362396992e-11,-1
45,46,59,2020-03-18,-0.002809664782758212,6.906476886886086e-15,4.6480589448743354e-12,-1
46,47,60,2020-03-19,-0.002764798334703292,5.642606519193967e-16,4.0401062677428804e-13,-1
47,48,61,2020-03-20,-0.002771387356912751,9.95443726395671e-16,7.057696020145307e-13,-1
48,49,62,2020-03-21,-0.0028431547534069398,7.094746877453113e-14,4.498069520305274e-11,-1
49,50,63,2020-03-22,-0.0029874903006879587,3.1709204887946995e-12,1.772544553236237e-09,-1
50,51,64,2020-03-23,-0.0032036946032211245,3.5030375843528723e-11,1.734003604254672e-08,-1
51,52,65,2020-03-24,-0.0034823941463384815,1.2051278994057884e-10,5.437427210852537e-08,-1
52,53,66,2020-03-25,-0.003807333295313035,1.7136035420770244e-10,7.522719549718138e-08,-1
53,54,67,2020-03-26,-0.004159535857515331,1.2161432413492587e-10,5.472644586071664e-08,-1
54,55,68,2020-03-27,-0.00451770825619229,4.675688579492189e-11,2.2723846496332038e-08,-1
55,56,69,2020-03-28,-0.00485816709887696,9.547571922108594e-12,5.002927687184903e-09,-1
56,57,70,2020-03-29,-0.005156106544142723,9.370637775588493e-13,5.509935012046034e-10,-1
57,58,71,2020-03-30,-0.005387713433134715,3.695862278659411e-14,2.38383116973532e-11,-1
58,59,72,2020-03-31,-0.005531649330857531,6.480035344220678e-16,4.626745235773565e-13,-1
59,60,73,2020-04-01,-0.005571446028992017,8.535930460901796e-17,6.282444819223722e-14,-1
60,61,74,2020-04-02,-0.00549796411359211,2.7582907740604362e-15,1.9059789248757615e-12,-1
61,62,75,2020-04-03,-0.0053107600452883255,2.916981389263039e-13,1.7647737405041386e-10,-1
62,63,76,2020-04-04,-0.005017564196215252,1.3539852258237161e-11,6.986563765250375e-09,-1
63,64,77,2020-04-05,-0.00463284005623676,2.9184504927781244e-10,1.2286676574595905e-07,-1
64,65,78,2020-04-06,-0.004178203164766899,3.524892113857528e-09,1.247811808305565e-06,-1
65,66,79,2020-04-07,-0.003681546345991362,2.621819455518294e-08,8.311167673992992e-06,-1
66,67,80,2020-04-08,-0.003174932460526191,1.2092437673219097e-07,3.4463447368674426e-05,-1
67,68,81,2020-04-09,-0.0026919353303372644,3.2813248904056927e-07,8.498631466150744e-05,-1
68,69,82,2020-04-10,-0.0022621793209004716,4.706187537699765e-07,0.00011671345093495418,-1
69,70,83,2020-04-11,-0.0019061222653661619,2.970994729739506e-07,7.784006191917506e-05,-1
70,71,84,2020-04-12,-0.0016344177863718205,6.206855301448774e-08,1.8868840116404273e-05,-1
71,72,85,2020-04-13,-0.001449239230832056,3.088209604704223e-09,1.1024908288794076e-06,-1
72,73,86,2020-04-14,-0.0013461507262821587,4.937816390575046e-11,2.3899031330383224e-08,-1
73,74,87,2020-04-15,-0.0013168657412097797,6.987197512525146e-12,3.7591122617385285e-09,-1
74,75,88,2020-04-16,-0.0013496132215102253,3.20763240227454e-11,1.5974009363327207e-08,-1
75,76,89,2020-04-17,-0.0014296430127298662,9.55971177600102e-11,4.3974674169604686e-08,-1
76,77,90,2020-04-18,-0.0015386059599869597,6.091791837884033e-11,2.8875093311570315e-08,-1
77,78,91,2020-04-19,-0.0016559669249641747,9.755914685159894e-12,5.092587465653465e-09,-1
78,79,92,2020-04-20,-0.0017632867250576521,4.847717845328596e-13,2.8892398358158433e-10,-1
79,80,93,2020-04-21,-0.0018476983874834466,8.688101308470186e-15,5.812339775366554e-12,-1
80,81,94,2020-04-22,-0.0019045457917458777,7.082611561268414e-17,5.219884720654821e-14,-1
81,82,95,2020-04-23,-0.001936910249372481,5.052251851697095e-19,3.950860948027128e-16,-1
82,83,96,2020-04-24,-0.0019510545316416537,1.6808371046564826e-20,1.3665205660857203e-17,-1
83,84,97,2020-04-25,-0.0019525440563069383,1.1718795020057606e-20,9.562536736367006e-18,-1
84,85,98,2020-04-26,-0.00194523756992247,3.1228404237089426e-20,2.5170093815094077e-17,-1
85,86,99,2020-04-27,-0.0019335833707630245,3.561849510027045e-20,2.863727006061744e-17,-1
86,87,100,2020-04-28,-0.0019265023486116507,1.246879279019168e-20,1.016206612400622e-17,-1
87,88,101,2020-04-29,-0.0019362339283493248,2.028976724202938e-19,1.600862635396118e-16,-1
88,89,102,2020-04-30,-0.001974454875139392,2.0063516743837608e-16,1.4626303706257616e-13,-1
89,90,103,2020-05-01,-0.002050923157463587,5.893991025735622e-14,3.74268430134212e-11,-1
90,91,104,2020-05-02,-0.0021736582050318797,3.2207375773708572e-12,1.7971715681729384e-09,-1
91,92,105,2020-05-03,-0.0023496805789473972,5.227824990681864e-11,2.5145838205179766e-08,-1
92,93,106,2020-05-04,-0.0025840823904495222,3.514775403649201e-10,1.4621465679180676e-07,-1
93,94,107,2020-05-05,-0.0028767259940982726,1.1477904814874547e-09,4.384559639282077e-07,-1
94,95,108,2020-05-06,-0.003221159138474776,1.954639516154818e-09,7.232166209772826e-07,-1
95,96,109,2020-05-07,-0.003605250040951704,1.7952984395380673e-09,6.67851019508161e-07,-1
96,97,110,2020-05-08,-0.004009602568748989,8.936646341692293e-10,3.476355426918302e-07,-1
97,98,111,2020-05-09,-0.00440850555791956,2.3504642271948154e-10,1.0083491534665758e-07,-1
98,99,112,2020-05-10,-0.004772117254432634,3.074089165155237e-11,1.5370445825776186e-08,-1
99,100,113,2020-05-11,-0.0050713134268129435,1.834896924763632e-12,1.042221453265743e-09,-1
100,101,114,2020-05-12,-0.00528186351468763,4.818916585926126e-14,3.079287698406795e-11,-1
101,102,115,2020-05-13,-0.005385483672322941,1.5418472739550958e-15,1.0792930917685671e-12,-1
102,103,116,2020-05-14,-0.0053703210416124175,3.034413270202333e-15,2.087676329899205e-12,-1
103,104,117,2020-05-15,-0.005230673824983882,2.107098430147532e-13,1.2895442392502895e-10,-1
104,105,118,2020-05-16,-0.004967205208520524,1.3598351892401978e-11,6.9895528726946164e-09,-1
105,106,119,2020-05-17,-0.004588653449948527,4.2505645981642994e-10,1.7512326144436912e-07,-1
106,107,120,2020-05-18,-0.004111367220313134,7.94016513959461e-09,2.6917159823225728e-06,-1
107,108,121,2020-05-19,-0.003554546345097081,1.1685355214022367e-07,3.353696946424419e-05,-1
108,109,122,2020-05-20,-0.002936152859400883,1.7572181317042195e-06,0.00040064573402856204,-1
109,110,123,2020-05-21,-0.002272258593558058,3.426215496320549e-05,0.00630423651322981,-1
110,111,124,2020-05-22,-0.0015751221109657806,0.0010362989323250223,0.12746476867597772,0
111,112,125,2020-05-23,-0.0008530153872970707,0.04285551299322683,1.0,0
112,113,126,2020-05-24,-0.0001116694307038358,0.7774978233971888,1.0,0
113,114,127,2020-05-25,0.0006436294965781415,0.12940648777554162,1.0,0
114,115,128,2020-05-26,0.0014077463922656294,0.004382276127601514,0.4041868304833149,0
115,116,129,2020-05-27,0.002175336440417715,0.00016891071052149684,0.026012249420310513,1
116,117,130,2020-05-28,0.0029397188052056053,9.58477105266889e-06,0.0019457085236917848,1
117,118,131,2020-05-29,0.0036923209755663922,7.382240767101089e-07,0.00017791200248713624,1
118,119,132,2020-05-30,0.004424312917337159,6.906788343585682e-08,2.065129714732119e-05,1
119,120,133,2020-05-31,0.005128080837919163,7.280322725364036e-09,2.475309726623772e-06,1
120,121,134,2020-06-01,0.00579649904154663,8.357953729210964e-10,3.276317861850698e-07,1
121,122,135,2020-06-02,0.0064236129802225945,1.0363594880893035e-10,4.74652645544901e-08,1
122,123,136,2020-06-03,0.00700568834999938,1.3829595203991246e-11,7.09458233964751e-09,1
123,124,137,2020-06-04,0.007538624192973045,1.9469365045548218e-12,1.1039129980825839e-09,1
124,125,138,2020-06-05,0.008017159407154712,2.709634141623004e-13,1.6447479239651634e-10,1
125,126,139,2020-06-06,0.008435292755921354,3.288912299867552e-14,2.127926258014306e-11,1
126,127,140,2020-06-07,0.00878486929368946,2.866659008128837e-15,1.9779947156088974e-12,1
127,128,141,2020-06-08,0.0090558147533926,1.3626215047064115e-16,9.960763199403867e-14,1
128,129,142,2020-06-09,0.009237401860712867,2.8060647564091878e-18,2.1438334738966196e-15,1
129,130,143,2020-06-10,0.00931976012335645,7.702959795994204e-20,6.123853037815393e-17,1
130,131,144,2020-06-11,0.009295197171783431,3.1995597329793474e-19,2.514853950121767e-16,1
131,132,145,2020-06-12,0.009159180024420038,4.3389810140318515e-17,3.2325408554537295e-14,1
132,133,146,2020-06-13,0.008913001830081927,3.395321584737295e-15,2.3291906071297844e-12,1
133,134,147,2020-06-14,0.008564706982268981,9.792239851765208e-14,6.12994214720502e-11,1
134,135,148,2020-06-15,0.008128428953641834,1.277647485509263e-12,7.370395191602465e-10,1
135,136,149,2020-06-16,0.007624872710069053,8.785356608465435e-12,4.629882932661284e-09,1
136,137,150,2020-06-17,0.0070792675332943126,3.5317519600821e-11,1.7446854682805574e-08,1
137,138,151,2020-06-18,0.006516647677261052,8.94272276934527e-11,4.1494233649762057e-08,1
138,139,152,2020-06-19,0.005959084172210973,1.5033598150750578e-10,6.659883980782506e-08,1
139,140,153,2020-06-20,0.005425416319399532,1.753644735050692e-10,7.680963939522032e-08,1
140,141,154,2020-06-21,0.004929751299601579,1.4845996389325209e-10,6.591622396860393e-08,1
141,142,155,2020-06-22,0.0044815438333878806,9.476874530795087e-11,4.3783160332273304e-08,1
142,143,156,2020-06-23,0.004085736102960571,4.759694977398973e-11,2.308452064038502e-08,1
143,144,157,2020-06-24,0.003742078728676786,2.088532984116812e-11,1.0609747559313405e-08,1
144,145,158,2020-06-25,0.003444402105267181,9.575896902574943e-12,5.008194080046695e-09,1
145,146,159,2020-06-26,0.0031825552700685917,5.637522444668557e-12,3.0611746874550263e-09,1
146,147,160,2020-06-27,0.002945423763571765,5.269486590306872e-12,2.8718701917172453e-09,1
147,148,161,2020-06-28,0.0027219448806096755,8.71380057548541e-12,4.6008867038562966e-09,1
148,149,162,2020-06-29,0.002502857260375135,2.383591764421965e-11,1.2037138410330923e-08,1
149,150,163,2020-06-30,0.0022831840218802317,9.485064193387847e-11,4.3783160332273304e-08,1
150,151,164,2020-07-01,0.0020610224444075204,4.906276105562367e-10,1.9919480988583209e-07,1
151,152,165,2020-07-02,0.0018351534453431133,3.0611986572559677e-09,1.0959091192976365e-06,1
152,153,166,2020-07-03,0.0016038169634889476,2.2347247330378204e-08,7.151119145721025e-06,1
153,154,167,2020-07-04,0.0013643675476860588,1.9952839039675346e-07,5.467077896871045e-05,1
154,155,168,2020-07-05,0.0011145391422956064,2.3439970585699478e-06,0.0005156793528853886,1
155,156,169,2020-07-06,0.0008562381275433342,3.796330418103031e-05,0.006871358056766486,1
156,157,170,2020-07-07,0.0005969889280303298,0.000834053913414458,0.10592484700363616,0
157,158,171,2020-07-08,0.00034721863259994085,0.021140378752534498,1.0,0
158,159,172,2020-07-09,0.00011862134802515466,0.34985785183186924,1.0,0
159,160,173,2020-07-10,-7.648533966048155e-05,0.48937221569103373,1.0,0
160,161,174,2020-07-11,-0.0002274139399375544,0.023525270027099334,1.0,0
161,162,175,2020-07-12,-0.000325621623124464,0.00037853273738319736,0.05261605049626444,0
