,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.002928211256186078,4.2131484149594105e-06,0.0003665439121014687,1
1,2,15,2020-02-03,0.0036066586207696076,3.537396655464446e-07,3.926510287565535e-05,1
2,3,16,2020-02-04,0.0042682457993183254,3.095703352071747e-08,4.2720706258590115e-06,1
3,4,17,2020-02-05,0.004900608374250382,2.9357140734902122e-09,5.137499628607871e-07,1
4,5,18,2020-02-06,0.005502314976532697,3.330555450506418e-10,7.360527545619184e-08,1
5,6,19,2020-02-07,0.0060816718381510124,5.413713241785171e-11,1.364255736929863e-08,1
6,7,20,2020-02-08,0.006654908986480181,1.5580447385554392e-11,4.36252526795523e-09,1
7,8,21,2020-02-09,0.007243601336615033,9.096866324052467e-12,2.672228925777993e-09,1
8,9,22,2020-02-10,0.007868974139370192,1.007598754001694e-11,2.9220363866049123e-09,1
9,10,23,2020-02-11,0.008547857710915905,1.5789599168593974e-11,4.405298168037719e-09,1
10,11,24,2020-02-12,0.009290390386203856,2.5500377796943265e-11,6.885102005174682e-09,1
11,12,25,2020-02-13,0.01009745974913243,3.4102619965492426e-11,8.832578571062539e-09,1
12,13,26,2020-02-14,0.01095930958347751,3.351447412911081e-11,8.71376327356881e-09,1
13,14,27,2020-02-15,0.011855287385819022,2.2412044522654927e-11,6.080547584779636e-09,1
14,15,28,2020-02-16,0.01275515294372079,9.479181601826454e-12,2.7679210277333245e-09,1
15,16,29,2020-02-17,0.013620586354089678,2.3570841129329857e-12,7.754806731549522e-10,1
16,17,30,2020-02-18,0.014405300070374397,3.111102758843393e-13,1.1666635345662725e-10,1
17,18,31,2020-02-19,0.015058416047572973,1.842735638507467e-14,8.273883016898526e-12,1
18,19,32,2020-02-20,0.015532663082552516,4.0077439142333547e-16,2.067995859744411e-13,1
19,20,33,2020-02-21,0.01578910520752142,5.528045122958671e-18,3.283658803037451e-15,1
20,21,34,2020-02-22,0.01580119874433869,4.027941038127952e-18,2.408708740800515e-15,1
21,22,35,2020-02-23,0.015557860122825095,3.8713559879184746e-16,2.00536240174177e-13,1
22,23,36,2020-02-24,0.015062193128118179,3.784904966497519e-14,1.6237242306274357e-11,1
23,24,37,2020-02-25,0.014328149227279171,1.5077654398774842e-12,5.171635458779771e-10,1
