,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-5.6946525308260466e-05,0.7855259174162603,1.0,0
1,2,15,2020-02-03,0.0003237025508976675,0.13833977645357137,1.0,0
2,3,16,2020-02-04,0.0007190340897473312,0.003927488886610427,0.3888213997744323,0
3,4,17,2020-02-05,0.001131280571952769,0.0001272373578760139,0.01857665424989803,1
4,5,18,2020-02-06,0.0015689942518262352,9.624866437879495e-06,0.0017806002910077065,1
5,6,19,2020-02-07,0.002048439952502923,1.929754508373295e-06,0.00041296746479188513,1
6,7,20,2020-02-08,0.0025892180764619994,8.467561930117451e-07,0.00019475392439270137,1
7,8,21,2020-02-09,0.003211259387041109,5.698124627883569e-07,0.00013504555368084057,1
8,9,22,2020-02-10,0.003933706911518294,4.319188447736269e-07,0.00010366052274567046,1
9,10,23,2020-02-11,0.004770355535377509,3.067905620963502e-07,7.547047827570214e-05,1
10,11,24,2020-02-12,0.005721937030821644,1.8312153777758123e-07,4.77947213599487e-05,1
11,12,25,2020-02-13,0.006773780523696557,8.687078678674411e-08,2.388946636635463e-05,1
12,13,26,2020-02-14,0.007893658015418619,3.1339960615604066e-08,9.307968302834408e-06,1
13,14,27,2020-02-15,0.00903630768235861,8.182108684748087e-09,2.6019105617498915e-06,1
14,15,28,2020-02-16,0.010146154052626154,1.450550503611719e-09,5.149454287821603e-07,1
15,16,29,2020-02-17,0.011166034470907632,1.6121549452297596e-10,6.577592176537419e-08,1
16,17,30,2020-02-18,0.012043085100093788,9.763266570487158e-12,4.5887352881289645e-09,1
17,18,31,2020-02-19,0.012730752782443065,2.6638079564917334e-13,1.45976676015747e-10,1
18,19,32,2020-02-20,0.013196772563625036,2.9822076608448326e-15,1.9324705642274517e-12,1
19,20,33,2020-02-21,0.013428191922893651,4.0602092500629365e-17,2.9071098230450625e-14,1
20,21,34,2020-02-22,0.013430679617797349,3.82065753946673e-17,2.7394114557976453e-14,1
21,22,35,2020-02-23,0.013224778088843054,9.98453834308201e-16,6.689640689864946e-13,1
22,23,36,2020-02-24,0.012839476154350108,1.964113026286736e-14,1.205965398140056e-11,1
23,24,37,2020-02-25,0.012308723359879271,1.6827554544063499e-13,9.356120326499305e-11,1
24,25,38,2020-02-26,0.011669117923176629,7.67163584780447e-13,3.996922276706129e-10,1
25,26,39,2020-02-27,0.010957819420861716,2.3688391897232092e-12,1.177313077292435e-09,1
26,27,40,2020-02-28,0.01020346145010457,6.270327837055447e-12,2.9909463782754483e-09,1
27,28,41,2020-02-29,0.0094229613526315,1.797294788756824e-11,8.231610132506255e-09,1
28,29,42,2020-03-01,0.008623554240446014,6.474575044587423e-11,2.8034909943063544e-08,1
29,30,43,2020-03-02,0.007810150124622575,3.027422039185597e-10,1.199578827969744e-07,1
30,31,44,2020-03-03,0.0069870389608991815,1.686082590206467e-09,5.901289065722634e-07,1
31,32,45,2020-03-04,0.006158884888912119,9.740145171735493e-09,3.077885874268416e-06,1
32,33,46,2020-03-05,0.005334604793751168,5.215758819449956e-08,1.4917070223626874e-05,1
33,34,47,2020-03-06,0.004527989125088214,2.407763321722812e-07,6.163874103610399e-05,1
34,35,48,2020-03-07,0.0037563843304256606,9.381006680484014e-07,0.0002129488516469871,1
