,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0050583412948788705,1.3627129381714407e-22,1.0561025270828665e-19,-1
1,2,15,2020-02-03,-0.005114361680250427,2.7148006766267933e-21,1.9899488959674394e-18,-1
2,3,16,2020-02-04,-0.005185657465086335,3.8164573758019055e-20,2.587558100793692e-17,-1
3,4,17,2020-02-05,-0.005273860432389342,3.744014992513929e-19,2.2855623358946296e-16,-1
4,5,18,2020-02-06,-0.005379679083699971,2.519148359651977e-18,1.3452252240541556e-15,-1
5,6,19,2020-02-07,-0.005502661988662065,1.1392423645427367e-17,5.5253254680322735e-15,-1
6,7,20,2020-02-08,-0.005641485870087109,3.493170212774944e-17,1.5858992765998246e-14,-1
7,8,21,2020-02-09,-0.005794236784230986,7.427917945204983e-17,3.2682838958901924e-14,-1
8,9,22,2020-02-10,-0.0059585356210047685,1.1226209470894177e-16,4.860948700897179e-14,-1
9,10,23,2020-02-11,-0.006131912395577935,1.2581836431968674e-16,5.422771502178499e-14,-1
10,11,24,2020-02-12,-0.006311908236893321,1.1075193025315388e-16,4.806633772986878e-14,-1
11,12,25,2020-02-13,-0.006496174023185512,8.186274385684119e-17,3.57740190654396e-14,-1
12,13,26,2020-02-14,-0.006682312543083159,5.391118402335632e-17,2.3990476890393564e-14,-1
13,14,27,2020-02-15,-0.006867912870516448,3.307597043622867e-17,1.5082642518920275e-14,-1
14,15,28,2020-02-16,-0.007050790874034347,1.9454771881916875e-17,9.085378468855181e-15,-1
15,16,29,2020-02-17,-0.007229561915222751,1.124834238692971e-17,5.477942742434769e-15,-1
16,17,30,2020-02-18,-0.007403910410403905,6.529034920851607e-18,3.2906336001092096e-15,-1
17,18,31,2020-02-19,-0.00757458749451182,3.8770812449812895e-18,1.997270222809159e-15,-1
18,19,32,2020-02-20,-0.007743007177102243,2.410312316429818e-18,1.299158338555672e-15,-1
19,20,33,2020-02-21,-0.007910664839206863,1.6336636800890196e-18,9.017823514091389e-16,-1
20,21,34,2020-02-22,-0.008079043873539518,1.2580904643921647e-18,7.131196493269838e-16,-1
21,22,35,2020-02-23,-0.008249651355582213,1.1420465246589994e-18,6.521085655802887e-16,-1
