,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.7636341026171912,0.4163647247237122,1.0,0
1,2,15,2020-02-03,-0.7259804466228239,0.4390014897435113,1.0,0
2,3,16,2020-02-04,-2.2424578912139306,0.004412744030519022,1.0,0
3,4,17,2020-02-05,-2.691452127639529,0.000987542324048675,0.5115469238572136,0
4,5,18,2020-02-06,-3.001647825979418,0.00027385308693276,0.15993020276873182,0
5,6,19,2020-02-07,-3.176081930344603,0.00011636794777159103,0.0726135994094728,0
6,7,20,2020-02-08,-3.217139289945793,9.338197628725858e-05,0.059297554942409195,0
7,8,21,2020-02-09,-3.126801101301908,0.0001502163960191693,0.09223286715576995,0
8,9,22,2020-02-10,-2.9067859666431586,0.0004203490664850522,0.2366565244310844,0
9,10,23,2020-02-11,-2.558661792577894,0.0016280493596125885,0.7798356432544299,0
10,11,24,2020-02-12,-2.0839896192157092,0.00724506417522607,1.0,0
11,12,25,2020-02-13,-1.4845817004376858,0.03350301913109852,1.0,0
12,13,26,2020-02-14,-0.763053999470258,0.15984549719674973,1.0,0
13,14,27,2020-02-15,0.07533272102928838,0.0955386067149115,1.0,0
14,15,28,2020-02-16,-0.04080338875579589,0.4231716202566206,1.0,0
15,16,29,2020-02-17,0.7907824253480062,0.14402120559358284,1.0,0
16,17,30,2020-02-18,1.5032156742826985,0.030741835360866856,1.0,0
17,18,31,2020-02-19,2.0932462932243743,0.006780796031302974,1.0,0
18,19,32,2020-02-20,2.5591673051320907,0.001561331752778109,0.7572459000973828,0
19,20,33,2020-02-21,2.8997343792703396,0.00041496486089580395,0.23404018154523343,0
20,21,34,2020-02-22,3.113796944427569,0.00015280389364579828,0.09366878680487434,0
21,22,35,2020-02-23,3.200126271663947,9.720178940515003e-05,0.06143153090405482,0
22,23,36,2020-02-24,3.1573027907637248,0.00012215109958906164,0.07597798394439634,0
23,24,37,2020-02-25,2.983598015313924,0.0002857887216010803,0.16604324725022765,0
24,25,38,2020-02-26,2.676784244396851,0.001017392903787529,0.5229399525467899,0
25,26,39,2020-02-27,1.3443274998137573,0.17141673661021095,1.0,0
26,27,40,2020-02-28,0.036681015315503634,0.9714148694023287,1.0,0
27,28,41,2020-02-29,-1.2744771036709484,0.19308398303045748,1.0,0
28,29,42,2020-03-01,-2.628020430516647,0.0009931404176929373,0.5124604555295557,0
29,30,43,2020-03-02,-2.930294422350147,0.00027633405656327787,0.16110275497639098,0
30,31,44,2020-03-03,-3.0995670917275886,0.00011812160469046644,0.0735897597221606,0
31,32,45,2020-03-04,-3.1376012931603863,9.588220897965249e-05,0.06078932049309967,0
32,33,46,2020-03-05,-3.0457120367278607,0.00015723968185372037,0.09607344561262314,0
33,34,47,2020-03-06,-2.824928021393165,0.0004520046519302216,0.2504105771693428,0
34,35,48,2020-03-07,-2.476089725069544,0.0018099445389962348,0.8489582826511779,0
35,36,49,2020-03-08,-1.9999127845778943,0.00838120901160237,1.0,0
36,37,50,2020-03-09,-1.3970292583247712,0.040713415768900314,1.0,0
37,38,51,2020-03-10,-0.6680133123893552,0.20821681113619095,1.0,0
38,39,52,2020-03-11,0.18660377055259988,7.709651355270668e-06,0.005088369894478641,1
39,40,53,2020-03-12,0.1400568728712103,2.57079466276726e-07,0.00017841314959604786,1
40,41,54,2020-03-13,0.1147448611829368,2.890153939659882e-08,2.1271532995896733e-05,1
41,42,55,2020-03-14,0.0975357318354403,6.399288973778737e-09,4.901855353914512e-06,1
42,43,56,2020-03-15,0.08463429276872413,2.5455453982141087e-09,1.9778887744123626e-06,1
43,44,57,2020-03-16,0.07444395638401143,1.501254770472601e-09,1.181487504361937e-06,1
44,45,58,2020-03-17,0.06632313618406886,8.596542406447026e-10,6.817058128312491e-07,1
45,46,59,2020-03-18,0.060155140609007264,2.6331168896882954e-10,2.1275584468681428e-07,1
46,47,60,2020-03-19,0.056110897340734496,2.5479455848646422e-11,2.0893153795890067e-08,1
47,48,61,2020-03-20,0.054468454663625876,2.2718909243998405e-12,1.8833975763274677e-09,1
48,49,62,2020-03-21,0.05546592403416024,1.5699154521034558e-11,1.295180247985351e-08,1
49,50,63,2020-03-22,0.05919679549333144,8.437682960953048e-10,6.69952027099672e-07,1
50,51,64,2020-03-23,0.06555615358131779,1.152217084777551e-08,8.67619464837496e-06,1
51,52,65,2020-03-24,0.07423324610158384,3.624447516751298e-08,2.663968924812204e-05,1
52,53,66,2020-03-25,0.08472851320553719,3.8197559198249296e-08,2.8037008451514983e-05,1
53,54,67,2020-03-26,0.09631701936316049,1.697374620542538e-08,1.2662414669247334e-05,1
54,55,68,2020-03-27,0.10798417620311658,3.355847798201269e-09,2.594070348009581e-06,1
55,56,69,2020-03-28,0.11860509687053836,2.815061854676658e-10,2.2689398548693864e-07,1
56,57,70,2020-03-29,0.12707304090957147,8.936337572768372e-12,7.381414835106675e-09,1
57,58,71,2020-03-30,0.13246223812251404,1.3000595016444532e-13,1.0920499813813407e-10,1
58,59,72,2020-03-31,0.13416473446599503,1.2268128645141551e-14,1.0415641219725177e-11,1
59,60,73,2020-04-01,0.13196426270322714,2.2678728227470096e-13,1.898209552639247e-10,1
60,61,74,2020-04-02,0.12605029170840804,1.6709363728628382e-11,1.3768515712389788e-08,1
61,62,75,2020-04-03,0.11698021758888753,5.664890907299449e-10,4.531912725839559e-07,1
62,63,76,2020-04-04,0.10560800512366025,8.201129231255938e-09,6.2082548280607445e-06,1
63,64,77,2020-04-05,0.0930010112909492,5.6468998091614085e-08,4.065767862596214e-05,1
64,65,78,2020-04-06,0.08035656879434526,1.8302687052675623e-07,0.00012811880936872935,1
65,66,79,2020-04-07,0.06891523490381088,2.3479111155582776e-07,0.00016364940475441196,1
66,67,80,2020-04-08,0.059856226498652125,8.48154529007645e-08,6.064304882404662e-05,1
67,68,81,2020-04-09,0.0541099891852177,7.246745378856168e-09,5.507526487930688e-06,1
68,69,82,2020-04-10,0.052129606121198636,1.0457581707655056e-09,8.27194713075515e-07,1
69,70,83,2020-04-11,0.053936887201214395,6.043190979078779e-09,4.635127480953423e-06,1
70,71,84,2020-04-12,0.059157418888045606,5.423230124468097e-08,3.910148919741498e-05,1
71,72,85,2020-04-13,0.0671030295034694,1.2019238633114953e-07,8.521640190878503e-05,1
72,73,86,2020-04-14,0.07688003341262556,7.852206152122112e-08,5.622179604919432e-05,1
73,74,87,2020-04-15,0.08749735474799725,2.0025256078101207e-08,1.4878765266029196e-05,1
74,75,88,2020-04-16,0.09796635741626328,2.253872490096324e-09,1.7557666697850364e-06,1
75,76,89,2020-04-17,0.10739061280971592,1.1009286450801003e-10,8.961559170952016e-08,1
76,77,90,2020-04-18,0.11504612723365164,2.0308071049059636e-12,1.6855698970719498e-09,1
77,78,91,2020-04-19,0.12044856552717381,1.160802913855126e-14,9.878432796907122e-12,1
78,79,92,2020-04-20,0.12339653674261665,3.686307372300714e-17,3.166538032806313e-14,1
79,80,93,2020-04-21,0.12397474341576814,6.5264792955098305e-18,5.645404590616003e-15,1
80,81,94,2020-04-22,0.1225050492460588,1.3015080217051423e-16,1.1153923746013069e-13,1
81,82,95,2020-04-23,0.11945411187526872,2.091964556934328e-15,1.7865377316219161e-12,1
82,83,96,2020-04-24,0.11532885409776863,1.1939508510505361e-14,1.0148582233929557e-11,1
83,84,97,2020-04-25,0.1105938464285332,3.1103367748742564e-14,2.6344552483184954e-11,1
84,85,98,2020-04-26,0.10560718127707813,4.825270652172797e-14,4.0773537010860136e-11,1
85,86,99,2020-04-27,0.10055139938806537,5.977627476352798e-14,5.045117590041762e-11,1
86,87,100,2020-04-28,0.09545853371003445,8.150687647305573e-14,6.854728311383987e-11,1
87,88,101,2020-04-29,0.09025942974133598,1.6676470462747344e-13,1.3974882247782276e-10,1
88,89,102,2020-04-30,0.08482853266566157,6.251860395773312e-13,5.22655529086649e-10,1
89,90,103,2020-05-01,0.0790191278168761,4.299852974986161e-12,3.560278263288541e-09,1
90,91,104,2020-05-02,0.07268795243482863,4.659252723827212e-11,3.8112687280906593e-08,1
91,92,105,2020-05-03,0.06571024554238641,6.694640126222504e-10,5.342322820725558e-07,1
92,93,106,2020-05-04,0.057986432848529806,1.1504366826061953e-08,8.674292586850712e-06,1
93,94,107,2020-05-05,0.04944098907287695,2.3333429120770244e-07,0.00016286733526297631,1
94,95,108,2020-05-06,0.04001302672337538,5.9904868642705324e-06,0.003965702304147093,1
95,96,109,2020-05-07,0.0296367362221227,0.00022122195968884636,0.13206950993424127,0
96,97,110,2020-05-08,0.018207923860104936,0.012037192659359883,1.0,0
97,98,111,2020-05-09,0.005529022313296668,0.4259651654163039,1.0,0
98,99,112,2020-05-10,-0.008812240113716847,0.262634755691847,1.0,0
99,100,113,2020-05-11,-0.025726045283844486,0.01279473194862126,1.0,0
100,101,114,2020-05-12,-0.04717799243549926,0.0012050939756502587,0.6013418938494791,0
101,102,115,2020-05-13,-0.0781833726822529,0.00043552524191762957,0.24432966071579018,0
102,103,116,2020-05-14,-0.14479323827899512,0.0014486977692050294,0.7084132091412594,0
103,104,117,2020-05-15,0.5567348600733932,0.2069940382669659,1.0,0
104,105,118,2020-05-16,1.1552565200882763,0.04168649917143514,1.0,0
105,106,119,2020-05-17,1.6504687078551332,0.008859194228419975,1.0,0
106,107,120,2020-05-18,2.0420025457977364,0.0019796211068674224,0.9243291483112145,0
107,108,121,2020-05-19,2.329413405249742,0.0005109301779848529,0.27794601682375997,0
108,109,122,2020-05-20,2.512160711143858,0.00018192029647586536,0.10987985907142268,0
109,110,123,2020-05-21,2.589572251739334,0.00011121801349444842,0.0696319818087665,0
110,111,124,2020-05-22,2.560784213181231,0.0001340860020881528,0.08313332129465473,0
111,112,125,2020-05-23,2.4246402066381196,0.00030272313884762125,0.17557942053162032,0
112,113,126,2020-05-24,2.1795127339335916,0.0010503223742171826,0.5377650555991975,0
113,114,127,2020-05-25,1.8229528452273267,0.004556043181893131,1.0,0
114,115,128,2020-05-26,1.350863285692963,0.021646966582154276,1.0,0
115,116,129,2020-05-27,0.7547836269714355,0.108864301062964,1.0,0
116,117,130,2020-05-28,0.0,1.0,1.0,0
117,118,131,2020-05-29,0.0,1.0,1.0,0
118,119,132,2020-05-30,0.0,1.0,1.0,0
119,120,133,2020-05-31,0.0,1.0,1.0,0
120,121,134,2020-06-01,0.0,1.0,1.0,0
121,122,135,2020-06-02,0.0,1.0,1.0,0
122,123,136,2020-06-03,0.0,1.0,1.0,0
123,124,137,2020-06-04,0.0,1.0,1.0,0
124,125,138,2020-06-05,0.0,1.0,1.0,0
125,126,139,2020-06-06,0.0,1.0,1.0,0
126,127,140,2020-06-07,0.0,1.0,1.0,0
127,128,141,2020-06-08,0.0,1.0,1.0,0
128,129,142,2020-06-09,0.0,1.0,1.0,0
129,130,143,2020-06-10,0.0,1.0,1.0,0
130,131,144,2020-06-11,0.0,1.0,1.0,0
131,132,145,2020-06-12,0.0,1.0,1.0,0
132,133,146,2020-06-13,0.0,1.0,1.0,0
133,134,147,2020-06-14,0.0,1.0,1.0,0
134,135,148,2020-06-15,0.0,1.0,1.0,0
135,136,149,2020-06-16,0.0,1.0,1.0,0
136,137,150,2020-06-17,0.0,1.0,1.0,0
137,138,151,2020-06-18,0.0,1.0,1.0,0
138,139,152,2020-06-19,0.0,1.0,1.0,0
139,140,153,2020-06-20,0.0,1.0,1.0,0
140,141,154,2020-06-21,0.0,1.0,1.0,0
141,142,155,2020-06-22,0.0,1.0,1.0,0
142,143,156,2020-06-23,0.0,1.0,1.0,0
143,144,157,2020-06-24,0.0,1.0,1.0,0
144,145,158,2020-06-25,0.0,1.0,1.0,0
145,146,159,2020-06-26,0.0,1.0,1.0,0
146,147,160,2020-06-27,0.0,1.0,1.0,0
147,148,161,2020-06-28,0.0,1.0,1.0,0
148,149,162,2020-06-29,0.0,1.0,1.0,0
149,150,163,2020-06-30,0.0,1.0,1.0,0
150,151,164,2020-07-01,0.0,1.0,1.0,0
151,152,165,2020-07-02,-0.7015574515618173,0.10886430106296381,1.0,0
152,153,166,2020-07-03,-1.2888500483326812,0.02122919711851851,1.0,0
153,154,167,2020-07-04,-1.7895645113458067,0.004178593343867123,1.0,0
154,155,168,2020-07-05,-1.4645820559785372,0.028391997919762886,1.0,0
155,156,169,2020-07-06,-1.1395996006112676,0.10274963406948755,1.0,0
156,157,170,2020-07-07,-0.8146171452439982,0.257339207361187,1.0,0
157,158,171,2020-07-08,-0.48963468987672876,0.5037216758518883,1.0,0
158,159,172,2020-07-09,-0.1646522345094591,0.8236053795802292,1.0,0
159,160,173,2020-07-10,0.16033022085781035,0.828171923166867,1.0,0
160,161,174,2020-07-11,0.4853126762250799,0.5075688702163359,1.0,0
161,162,175,2020-07-12,0.8102951315923494,0.26001920034087056,1.0,0
162,163,176,2020-07-13,1.1352775869596188,0.1042254543198907,1.0,0
163,164,177,2020-07-14,1.4602600423268883,0.02897693219736587,1.0,0
164,165,178,2020-07-15,1.7852424976941579,0.004313590454219961,1.0,0
165,166,179,2020-07-16,1.3007355858747152,0.02138361978046841,1.0,0
166,167,180,2020-07-17,0.7156039959296756,0.10886430106296381,1.0,0
167,168,181,2020-07-18,0.0,1.0,1.0,0
168,169,182,2020-07-19,0.0,1.0,1.0,0
169,170,183,2020-07-20,0.0,1.0,1.0,0
170,171,184,2020-07-21,0.0,1.0,1.0,0
171,172,185,2020-07-22,0.0,1.0,1.0,0
172,173,186,2020-07-23,0.0,1.0,1.0,0
173,174,187,2020-07-24,0.0,1.0,1.0,0
174,175,188,2020-07-25,0.0,1.0,1.0,0
175,176,189,2020-07-26,-0.6603744447523722,0.10886430106296381,1.0,0
176,177,190,2020-07-27,-1.1973340852285066,0.021423175144808793,1.0,0
177,178,191,2020-07-28,-1.6266194278382688,0.004422536139779731,1.0,0
178,179,192,2020-07-29,-1.9554070842527027,0.000982509159536758,0.5099222537995775,0
