,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.0040126325804966225,3.0974150626506284e-06,0.00045222259914699174,-1
1,2,15,2020-02-03,-0.005005704158575797,1.1033510727357132e-06,0.0001765361716377141,-1
2,3,16,2020-02-04,-0.006108029573850304,3.6199569778590967e-07,6.73311997881792e-05,-1
3,4,17,2020-02-05,-0.007297681841942468,1.1027847323500336e-07,2.359959327229072e-05,-1
4,5,18,2020-02-06,-0.008551498508110128,3.151077012324328e-08,7.625606369824873e-06,-1
5,6,19,2020-02-07,-0.009847192208494013,8.426857021917656e-09,2.258397681873932e-06,-1
6,7,20,2020-02-08,-0.011162204352851679,2.0763350876998073e-09,6.166715210468428e-07,-1
7,8,21,2020-02-09,-0.012468161728464518,4.621866685558618e-10,1.5021066728065508e-07,-1
8,9,22,2020-02-10,-0.013732980570886478,8.97042483420147e-11,3.193471240975723e-08,-1
9,10,23,2020-02-11,-0.014923663658998726,1.4235847894981694e-11,5.665867462202714e-09,-1
10,11,24,2020-02-12,-0.01600426820568401,1.7193574896138817e-12,7.582366529197219e-10,-1
11,12,25,2020-02-13,-0.0169430457998989,1.4869834726714906e-13,7.301088850817019e-11,-1
12,13,26,2020-02-14,-0.017718934054746022,8.435182646901213e-15,4.4875171681514456e-12,-1
13,14,27,2020-02-15,-0.018319334686047743,2.6203964897292537e-16,1.5696174973478228e-13,-1
14,15,28,2020-02-16,-0.018736691248941627,3.359808981984314e-18,2.2645112538574276e-15,-1
15,16,29,2020-02-17,-0.018966476928188394,2.3864491785892215e-20,1.7755181888703808e-17,-1
16,17,30,2020-02-18,-0.01900969470918211,5.074753592573884e-21,3.8466632231710035e-18,-1
17,18,31,2020-02-19,-0.018869346484215274,2.3699456757757407e-19,1.6874013211523273e-16,-1
18,19,32,2020-02-20,-0.018551005663934222,1.6127621165282175e-17,1.0434570893937568e-14,-1
19,20,33,2020-02-21,-0.018066886380724873,4.592779665152519e-16,2.6913688837793764e-13,-1
