,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.007341923008886202,3.032186862395437e-17,2.3014298285581368e-14,1
1,2,15,2020-02-03,0.0075301381034688294,5.917636821117689e-17,4.4204747053749133e-14,1
2,3,16,2020-02-04,0.00774258639566358,8.648941669408949e-17,6.408865777032032e-14,1
3,4,17,2020-02-05,0.00797835344798251,1.145588702767563e-16,8.397165191286237e-14,1
4,5,18,2020-02-06,0.008236307777556101,1.6975532943812176e-16,1.2375163516039076e-13,1
5,6,19,2020-02-07,0.008516188763508141,3.1995577621548033e-16,2.3132802620379226e-13,1
6,7,20,2020-02-08,0.008818103484325636,7.356582813282633e-16,5.215817214617386e-13,1
7,8,21,2020-02-09,0.009142645687367997,1.7245984442270926e-15,1.1956019311921109e-12,1
8,9,22,2020-02-10,0.009489644727979717,3.33877883070371e-15,2.2770471625399303e-12,1
9,10,23,2020-02-11,0.00985458309905166,4.417858260114682e-15,2.9820543255774103e-12,1
10,11,24,2020-02-12,0.01022660892216911,3.5022623770142433e-15,2.3815384163696853e-12,1
11,12,25,2020-02-13,0.010588771533847175,1.5488956492060154e-15,1.0764824761981807e-12,1
12,13,26,2020-02-14,0.01092157987943042,3.541386992908214e-16,2.5568814088797304e-13,1
13,14,27,2020-02-15,0.011205521464398325,3.670071252346295e-17,2.770903795521453e-14,1
14,15,28,2020-02-16,0.011421594460767601,1.3958878721862046e-18,1.1041473068992878e-15,1
15,16,29,2020-02-17,0.011549970197643306,2.3336779080330835e-20,1.9066148508630292e-17,1
16,17,30,2020-02-18,0.011568170082061431,8.237489441662677e-21,6.762978831605058e-18,1
17,18,31,2020-02-19,0.011449745999019182,1.8477959707278597e-18,1.4523676329920977e-15,1
18,19,32,2020-02-20,0.011169571409764857,7.635552207851647e-16,5.405970963158966e-13,1
19,20,33,2020-02-21,0.010710429752896945,1.1466551803161006e-13,7.155128325172468e-11,1
20,21,34,2020-02-22,0.010068666369884747,7.352347447886312e-12,3.911448842275518e-09,1
21,22,35,2020-02-23,0.009256521344563921,2.4891387771918883e-10,1.1126450334047741e-07,1
22,23,36,2020-02-24,0.008300702637259964,5.185034313553639e-09,1.9495729018961683e-06,1
23,24,37,2020-02-25,0.007236234035180466,7.490431114113061e-08,2.2546197653480314e-05,1
24,25,38,2020-02-26,0.006102360999605112,8.282199575011047e-07,0.0002087114292902784,1
25,26,39,2020-02-27,0.00494039808633461,7.661405433674211e-06,0.00160123373563791,1
26,27,40,2020-02-28,0.0037935240101969266,6.438118114452336e-05,0.01107356315685802,1
27,28,41,2020-02-29,0.0027053409892843867,0.0005388915782063,0.0743670377924694,0
28,29,42,2020-03-01,0.0017155233077161657,0.005085195758754928,0.5492011419455322,0
29,30,43,2020-03-02,0.0008565615439740724,0.06007321045161903,1.0,0
30,31,44,2020-03-03,0.0001457381508198132,0.6602435748551743,1.0,0
31,32,45,2020-03-04,-0.00042029670662049006,0.11069902141377272,1.0,0
32,33,46,2020-03-05,-0.0008639172088045127,0.0004738232427424303,0.0672829004694251,0
33,34,47,2020-03-06,-0.0012196705325696684,1.6767374953429079e-06,0.0003984423852300481,-1
34,35,48,2020-03-07,-0.0015268792083263508,3.571776493907089e-08,1.1715426900015252e-05,-1
35,36,49,2020-03-08,-0.001825131032356952,9.457325805057314e-09,3.3762653124054613e-06,-1
36,37,50,2020-03-09,-0.002149415864792949,1.4559693928872795e-08,5.05221379331886e-06,-1
37,38,51,2020-03-10,-0.0025276111511661897,3.667782169843687e-08,1.1993647695388857e-05,-1
38,39,52,2020-03-11,-0.0029797902927358533,7.596407886393277e-08,2.278922365917983e-05,-1
39,40,53,2020-03-12,-0.0035182825142228975,1.0411991772618674e-07,3.029889605832034e-05,-1
40,41,54,2020-03-13,-0.004145109007559667,9.227790882240774e-08,2.7221983102610284e-05,-1
41,42,55,2020-03-14,-0.004850695474787154,5.475728221628129e-08,1.7139029333696045e-05,-1
42,43,56,2020-03-15,-0.005616776040911822,2.261932133511323e-08,7.690569253938498e-06,-1
43,44,57,2020-03-16,-0.006418226758876494,6.788204846283656e-09,2.4980593834323853e-06,-1
44,45,58,2020-03-17,-0.0072302964115034,1.5503903891972704e-09,6.217065460681054e-07,-1
45,46,59,2020-03-18,-0.00803028515554189,2.8031660951238904e-10,1.2446057462350072e-07,-1
46,47,60,2020-03-19,-0.008802786576256764,4.2514761129627156e-11,2.0577144386739543e-08,-1
47,48,61,2020-03-20,-0.009543205706969832,6.250700100440498e-12,3.3430381611270217e-09,-1
48,49,62,2020-03-21,-0.010257662443168815,1.1647566303263206e-12,6.639112792860028e-10,-1
49,50,63,2020-03-22,-0.01096138771048895,3.780392484050143e-13,2.2606747054619855e-10,-1
50,51,64,2020-03-23,-0.011675050545264087,2.5760595615982054e-13,1.568820273013307e-10,-1
51,52,65,2020-03-24,-0.012416002343215458,3.20747645963918e-13,1.9309008287027862e-10,-1
52,53,66,2020-03-25,-0.013189168683060156,4.85434920141886e-13,2.8834834256428026e-10,-1
53,54,67,2020-03-26,-0.013984358000093995,5.971658965820988e-13,3.529250448800204e-10,-1
54,55,68,2020-03-27,-0.014778635037494839,4.631700713523999e-13,2.760493625260304e-10,-1
55,56,69,2020-03-28,-0.015539363951595022,1.9566745359776824e-13,1.2033548396262746e-10,-1
56,57,70,2020-03-29,-0.0162261795313331,3.949478416743735e-14,2.535565143549478e-11,-1
57,58,71,2020-03-30,-0.016795143534934002,3.2789788704996614e-15,2.2428215474217685e-12,-1
58,59,72,2020-03-31,-0.017205174481470315,9.971216688549956e-17,7.358757916149868e-14,-1
59,60,73,2020-04-01,-0.017421548464057333,2.597379298754716e-18,2.033747990924943e-15,-1
60,61,74,2020-04-02,-0.017421842029655563,2.579424719843417e-18,2.022268980357239e-15,-1
61,62,75,2020-04-03,-0.017200179993273987,1.0022382631174973e-16,7.386495999175955e-14,-1
62,63,76,2020-04-04,-0.01676852019228598,3.5688046978485656e-15,2.4196495851413275e-12,-1
