,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0024902365534872134,8.149071753415298e-20,6.796325842348358e-17,1
1,2,15,2020-02-03,0.002505222458581628,3.575517802389732e-21,3.0463411676360513e-18,1
2,3,16,2020-02-04,0.0025051346409121476,3.658033950808393e-21,3.1129868921379427e-18,1
3,4,17,2020-02-05,0.0024898932672936113,4.885031477316035e-20,4.098541409468153e-17,1
4,5,18,2020-02-06,0.002461438118585397,4.40729736510692e-19,3.636020326213209e-16,1
5,6,19,2020-02-07,0.0024234131189059854,1.2623428147093966e-18,1.0288093939881582e-15,1
6,7,20,2020-02-08,0.0023803491122398428,1.2470654973037678e-18,1.0176054457998746e-15,1
7,8,21,2020-02-09,0.0023365391469333027,5.494414902876789e-19,4.521903465067597e-16,1
8,9,22,2020-02-10,0.0022944170406132857,1.5780649649677984e-19,1.308215855958305e-16,1
9,10,23,2020-02-11,0.0022540283008900767,5.54209813699152e-20,4.644278238798893e-17,1
10,11,24,2020-02-12,0.002213775745653519,5.612657088823827e-20,4.697793983345543e-17,1
11,12,25,2020-02-13,0.0021712560706703106,2.5131354350579248e-19,2.0808761402279617e-16,1
12,13,26,2020-02-14,0.0021239476593068883,2.9903509502835374e-18,2.4102228659285313e-15,1
13,14,27,2020-02-15,0.002069803451964234,4.5433174307657707e-17,3.511984373981941e-14,1
14,15,28,2020-02-16,0.0020075454386471697,5.80935486240815e-16,4.357016146806113e-13,1
15,16,29,2020-02-17,0.0019367411286947335,5.322972956701338e-15,3.875124312478574e-12,1
16,17,30,2020-02-18,0.0018577910160216696,3.33446754928546e-14,2.370806427541962e-11,1
17,18,31,2020-02-19,0.001771869186309013,1.4178999316773557e-13,9.868583524474395e-11,1
18,19,32,2020-02-20,0.001680807099257585,4.121424852312495e-13,2.8272974486863717e-10,1
19,20,33,2020-02-21,0.0015868889419859004,8.33117149457374e-13,5.648534273320996e-10,1
20,21,34,2020-02-22,0.0014925576458834544,1.2144939104044303e-12,8.173544017021816e-10,1
21,22,35,2020-02-23,0.0014001225900381685,1.3911887310860891e-12,9.320964498276797e-10,1
22,23,36,2020-02-24,0.0013110743960710737,1.4464883960381576e-12,9.677007369495273e-10,1
23,24,37,2020-02-25,0.001225494126067574,1.6403054888527928e-12,1.0940837610648129e-09,1
24,25,38,2020-02-26,0.0011421443361361392,2.5204501533105387e-12,1.6634971011849555e-09,1
25,26,39,2020-02-27,0.0010586870290462819,6.570051595276121e-12,4.263963485334203e-09,1
26,27,40,2020-02-28,0.000971913024721394,3.441170532444817e-11,2.1920256291673485e-08,1
27,28,41,2020-02-29,0.0008780218432044391,3.802430456195277e-10,2.3422971610162908e-07,1
28,29,42,2020-03-01,0.0007730216406267303,8.232958766199943e-09,4.873911589590366e-06,1
29,30,43,2020-03-02,0.0006534029171501306,3.040769957654449e-07,0.0001672423476709947,1
30,31,44,2020-03-03,0.000517022271400697,1.656295385699293e-05,0.008496795328637372,1
31,32,45,2020-03-04,0.00036399046183494975,0.001110720460172474,0.4798312387945088,0
32,33,46,2020-03-05,0.00019714509218885865,0.05839230572269967,1.0,0
33,34,47,2020-03-06,2.1745748037579615e-05,0.8309428596411046,1.0,0
34,35,48,2020-03-07,-0.00015560261583924613,0.14796617457938605,1.0,0
35,36,49,2020-03-08,-0.00032835794337055636,0.005363311952013706,1.0,0
36,37,50,2020-03-09,-0.0004910953268829335,0.00013031478791130028,0.06294204256115804,0
37,38,51,2020-03-10,-0.0006396776505329258,2.7780935534874437e-06,0.001458499115580908,-1
38,39,52,2020-03-11,-0.0007714570800501164,5.159693934821803e-08,2.951344930718071e-05,-1
39,40,53,2020-03-12,-0.0009050292519926337,2.1082819325403124e-09,1.2712940053218083e-06,-1
40,41,54,2020-03-13,-0.001151269635356786,2.483126229649352e-07,0.00013682025525367929,-1
41,42,55,2020-03-14,-0.0017649273270498244,0.00015717565680103043,0.07512996395089255,0
42,43,56,2020-03-15,-0.0032479462877398153,0.0021435012305994323,0.8916965119293638,0
43,44,57,2020-03-16,-0.006035079044749321,0.0029957313612157146,1.0,0
44,45,58,2020-03-17,-0.010149811088598247,0.0016368213156689715,0.6874649525809681,0
45,46,59,2020-03-18,-0.01522384858525051,0.0005361203503199208,0.24125415764396438,0
46,47,60,2020-03-19,-0.020784003415505823,0.0001207332887500109,0.0586763783325053,0
47,48,61,2020-03-20,-0.026502063233172564,1.967069018368516e-05,0.010051722683863116,-1
48,49,62,2020-03-21,-0.0321762586977291,2.287498536226676e-06,0.001207799227127685,-1
49,50,63,2020-03-22,-0.037634890176469565,1.7548052510975951e-07,9.774265248613604e-05,-1
50,51,64,2020-03-23,-0.04271266460899222,7.625054750746316e-09,4.5216574671925656e-06,-1
51,52,65,2020-03-24,-0.047248884031120104,1.438089661319361e-10,8.95929859001962e-08,-1
52,53,66,2020-03-25,-0.05108586233733817,7.567260311750794e-13,5.13816975167879e-10,-1
53,54,67,2020-03-26,-0.05409108683816221,7.03747728949289e-16,5.264033012540682e-13,-1
54,55,68,2020-03-27,-0.05621300245060701,1.2448702032794659e-18,1.0170589560793236e-15,-1
55,56,69,2020-03-28,-0.057548799098761316,4.51589993575115e-18,3.5811086490506625e-15,-1
56,57,70,2020-03-29,-0.05851819875437399,6.952721425101799e-17,5.346642775903283e-14,-1
57,58,71,2020-03-30,-0.05956150595605553,3.73152085924592e-16,2.8210297695899157e-13,-1
58,59,72,2020-03-31,-0.06065502811916269,3.0303345968864566e-16,2.296993624439934e-13,-1
59,60,73,2020-04-01,-0.061080507529026364,8.314015329508889e-17,6.385163773062827e-14,-1
60,61,74,2020-04-02,-0.05939068026564569,1.32025146495739e-13,9.215355225402582e-11,-1
61,62,75,2020-04-03,-0.053421799064493715,1.3277490223510145e-08,7.740776800306415e-06,-1
62,63,76,2020-04-04,-0.04081285113592147,0.00021619342767709805,0.10139471758055899,0
63,64,77,2020-04-05,-0.02172094346889512,0.09612512753465965,1.0,0
64,65,78,2020-04-06,-0.0023958737648920366,0.8663385716890402,1.0,0
65,66,79,2020-04-07,0.010821212173320141,0.43457011166299175,1.0,0
66,67,80,2020-04-08,0.01609406193319294,0.22116546342477697,1.0,0
67,68,81,2020-04-09,0.012311680221002251,0.3797396395572138,1.0,0
68,69,82,2020-04-10,-0.002638226586929423,0.8850163613287303,1.0,0
69,70,83,2020-04-11,-0.03401509637029595,0.21774220305077138,1.0,0
70,71,84,2020-04-12,-0.11228448722974915,0.042354438431523964,1.0,0
71,72,85,2020-04-13,0.030168722196311077,0.7791478956162544,1.0,0
72,73,86,2020-04-14,0.1509077312429108,0.25315209554148843,1.0,0
