,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.010137764447357533,6.431205199728297e-19,4.437531587812525e-16,-1
1,2,15,2020-02-03,-0.010360516432592429,4.1022086144707186e-18,2.6008002615744357e-15,-1
2,3,16,2020-02-04,-0.010622165290173714,2.5319033693758962e-17,1.4685039542380197e-14,-1
3,4,17,2020-02-05,-0.010928440092605376,1.3491012965248028e-16,7.197994735696976e-14,-1
4,5,18,2020-02-06,-0.011283691182790889,5.788804953996154e-16,2.743893548194177e-13,-1
5,6,19,2020-02-07,-0.011689816466004189,1.9105689517685417e-15,8.062600976463246e-13,-1
6,7,20,2020-02-08,-0.012146350173861693,4.742477240684225e-15,1.8037531792925222e-12,-1
7,8,21,2020-02-09,-0.012651098302725493,8.932240029840589e-15,3.153661176690818e-12,-1
8,9,22,2020-02-10,-0.013200486615328313,1.3188986119484279e-14,4.391932377788265e-12,-1
9,10,23,2020-02-11,-0.013789771633102046,1.5868251860421074e-14,5.157181854636849e-12,-1
10,11,24,2020-02-12,-0.014414122439632481,1.6271426582226858e-14,5.271942212641502e-12,-1
11,12,25,2020-02-13,-0.015069284838364314,1.4942615258431716e-14,4.894239718148444e-12,-1
12,13,26,2020-02-14,-0.01575197209094631,1.293464519340347e-14,4.320171494596759e-12,-1
13,14,27,2020-02-15,-0.016460030626259538,1.1022247629078895e-14,3.769608689144982e-12,-1
14,15,28,2020-02-16,-0.017193134722876525,9.560309272697911e-15,3.3556685547169667e-12,-1
15,16,29,2020-02-17,-0.01795319806070716,8.7142354547038e-15,3.108726627381049e-12,-1
16,17,30,2020-02-18,-0.01874437390835467,8.560665470032303e-15,3.0647182382715645e-12,-1
17,18,31,2020-02-19,-0.019572380320081722,9.109897822943898e-15,3.206684033676252e-12,-1
18,19,32,2020-02-20,-0.020443462964077567,1.0324036067312115e-14,3.582440515357304e-12,-1
19,20,33,2020-02-21,-0.021363766992112922,1.2220414685167553e-14,4.118279748901465e-12,-1
20,21,34,2020-02-22,-0.022339312291800334,1.492146255533062e-14,4.894239718148444e-12,-1
21,22,35,2020-02-23,-0.023375972494651,1.8545044173712094e-14,5.9398233064703836e-12,-1
22,23,36,2020-02-24,-0.02447885376066904,2.3005701114270376e-14,7.292807253223709e-12,-1
23,24,37,2020-02-25,-0.025651517707338724,2.7967738678140983e-14,8.669998990223704e-12,-1
24,25,38,2020-02-26,-0.026896316986607903,3.281462301201892e-14,1.000846001866577e-11,-1
25,26,39,2020-02-27,-0.028214273998962647,3.668782042249542e-14,1.1006346126748625e-11,-1
26,27,40,2020-02-28,-0.029604636229305186,3.866122584784271e-14,1.1521045302657129e-11,-1
27,28,41,2020-02-29,-0.031064103586445634,3.81463687092591e-14,1.140576424406847e-11,-1
28,29,42,2020-03-01,-0.03258715588942814,3.518332678078354e-14,1.0660548014577412e-11,-1
29,30,43,2020-03-02,-0.034167318823457485,3.03459345142525e-14,9.34654783038977e-12,-1
30,31,44,2020-03-03,-0.03579706975754899,2.4416680849458555e-14,7.673951455929178e-12,-1
31,32,45,2020-03-04,-0.03747031947320764,1.85041224500635e-14,5.9398233064703836e-12,-1
32,33,46,2020-03-05,-0.03918440519601894,1.3611686170349922e-14,4.5054681223858244e-12,-1
33,34,47,2020-03-06,-0.04093870671178126,1.0043285584677143e-14,3.4950633834676458e-12,-1
34,35,48,2020-03-07,-0.04273341198809986,7.59352487289571e-15,2.748856003988247e-12,-1
35,36,49,2020-03-08,-0.04457101139964874,5.9794326695275825e-15,2.230328385733788e-12,-1
36,37,50,2020-03-09,-0.04645264668860706,4.901558131500062e-15,1.8527889737070234e-12,-1
37,38,51,2020-03-10,-0.04837464151645989,4.07891965072903e-15,1.5948575834350509e-12,-1
38,39,52,2020-03-11,-0.05033049074626944,3.3304336854518407e-15,1.3221821731243807e-12,-1
39,40,53,2020-03-12,-0.052316026168585154,2.6188155796589725e-15,1.0684767565008607e-12,-1
40,41,54,2020-03-13,-0.05432737414926965,1.959189875483149e-15,8.209005578274395e-13,-1
41,42,55,2020-03-14,-0.056358133443009086,1.3772676564154139e-15,5.99111430540705e-13,-1
42,43,56,2020-03-15,-0.05839925034013465,9.016011935970587e-16,4.120317454738558e-13,-1
43,44,57,2020-03-16,-0.06044035524565104,5.501651498491901e-16,2.613284461783653e-13,-1
44,45,58,2020-03-17,-0.062471272572578736,3.2119857030263296e-16,1.6027808658101386e-13,-1
45,46,59,2020-03-18,-0.06448836276104186,1.8908067129552266e-16,9.907827175885387e-14,-1
46,47,60,2020-03-19,-0.06650827024015289,1.2357785837934243e-16,6.636130994970688e-14,-1
47,48,61,2020-03-20,-0.06856805775955309,1.0205708298957156e-16,5.5519053146326926e-14,-1
48,49,62,2020-03-21,-0.07072080925318194,1.204802858629831e-16,6.481839379428491e-14,-1
49,50,63,2020-03-22,-0.07302646678757847,2.075405350506907e-16,1.0792107822635916e-13,-1
50,51,64,2020-03-23,-0.07553215210527597,4.597398061639168e-16,2.21134846764844e-13,-1
51,52,65,2020-03-24,-0.07826417808678401,1.0932177025033892e-15,4.875750953165116e-13,-1
52,53,66,2020-03-25,-0.08122942366575742,2.3988704065089716e-15,9.835368666686784e-13,-1
53,54,67,2020-03-26,-0.08442604670346605,4.41494029470861e-15,1.7129968343469404e-12,-1
54,55,68,2020-03-27,-0.08784342554532613,6.483501429004602e-15,2.3859285258736934e-12,-1
55,56,69,2020-03-28,-0.09145593319283565,7.405895435892743e-15,2.6883400432290657e-12,-1
56,57,70,2020-03-29,-0.09522592961153775,6.5716113422129355e-15,2.4117813625921475e-12,-1
57,58,71,2020-03-30,-0.09911261298073999,4.675490038448351e-15,1.7907126847257185e-12,-1
58,59,72,2020-03-31,-0.10308436987152622,2.8864841906386542e-15,1.1690260972086549e-12,-1
59,60,73,2020-04-01,-0.10712900495808111,1.7724987275173843e-15,7.526649460163015e-13,-1
60,61,74,2020-04-02,-0.11126591356523073,1.272562201781094e-15,5.599273687836814e-13,-1
61,62,75,2020-04-03,-0.11552021095676228,1.1622775902078525e-15,5.172135276424944e-13,-1
62,63,76,2020-04-04,-0.11985416587443679,1.1698321691770516e-15,5.194054831146109e-13,-1
63,64,77,2020-04-05,-0.12413240675747055,9.49383315123327e-16,4.3007064175086715e-13,-1
64,65,78,2020-04-06,-0.12813024293471675,4.560554423494293e-16,2.1981872321242494e-13,-1
65,66,79,2020-04-07,-0.1315342831687229,9.645444420707307e-17,5.256767209285482e-14,-1
66,67,80,2020-04-08,-0.13393833305028877,7.405286990038531e-18,4.583872646833851e-15,-1
67,68,81,2020-04-09,-0.13493824146639782,7.158123720609614e-19,4.924789119779414e-16,-1
68,69,82,2020-04-10,-0.13419299296362683,7.215561500078598e-18,4.47364813004873e-15,-1
69,70,83,2020-04-11,-0.13145808724735153,1.5801755225135938e-15,6.794754746808454e-13,-1
70,71,84,2020-04-12,-0.12659759108247717,2.0520946886986895e-13,5.479092818825501e-11,-1
71,72,85,2020-04-13,-0.11967268854660813,9.568184227990336e-12,2.0093186878779703e-09,-1
72,73,86,2020-04-14,-0.11095346382884239,1.8676234450252904e-10,3.492455842197293e-08,-1
73,74,87,2020-04-15,-0.1008891600592154,1.7827420480509162e-09,3.030661481686558e-07,-1
74,75,88,2020-04-16,-0.0900782060197954,9.139321452899591e-09,1.3983161822936374e-06,-1
75,76,89,2020-04-17,-0.07914728842123768,2.7110341483011537e-08,3.8767788320706495e-06,-1
76,77,90,2020-04-18,-0.06865261475314947,4.820290385005314e-08,6.555594923607227e-06,-1
77,78,91,2020-04-19,-0.05900697778235063,5.158604381531328e-08,6.9125298712519795e-06,-1
78,79,92,2020-04-20,-0.05050734942319353,3.2765588579597314e-08,4.619947989723221e-06,-1
79,80,93,2020-04-21,-0.04330340719398301,1.2796182826650123e-08,1.9322236068241683e-06,-1
80,81,94,2020-04-22,-0.037324709109905777,3.7214851052996145e-09,5.99159101953238e-07,-1
81,82,95,2020-04-23,-0.03232239406873591,1.5384085104967487e-09,2.6460626380544075e-07,-1
82,83,96,2020-04-24,-0.02792645644348092,2.9443061546664904e-09,4.799219032106379e-07,-1
83,84,97,2020-04-25,-0.02373347455846438,4.34780593236871e-08,6.043450245992507e-06,-1
84,85,98,2020-04-26,-0.019341573767004794,2.2180903289848177e-06,0.00023511757487239068,-1
85,86,99,2020-04-27,-0.014412648008889934,0.00019837066467918342,0.016068023839013856,-1
86,87,100,2020-04-28,-0.008695144339236295,0.019438289585800145,1.0,0
87,88,101,2020-04-29,-0.0020372984348314875,0.5955108668978759,1.0,0
88,89,102,2020-04-30,0.005595843031626979,0.21303696001882247,1.0,0
89,90,103,2020-05-01,0.014149691872633546,0.011507594429151058,0.6789480713199124,0
90,91,104,2020-05-02,0.02350074965991697,0.0006814098021967924,0.05246855476915301,0
91,92,105,2020-05-03,0.03346441783452995,5.384481574078654e-05,0.004846033416670789,1
92,93,106,2020-05-04,0.04376395533122373,5.112566927001487e-06,0.0005163692596271502,1
93,94,107,2020-05-05,0.054033678375943986,5.154193566986225e-07,5.927322602034159e-05,1
94,95,108,2020-05-06,0.063911374405106,4.9969425475267006e-08,6.745872439161046e-06,1
95,96,109,2020-05-07,0.07310579322445698,4.257363303342121e-09,6.811781285347394e-07,1
96,97,110,2020-05-08,0.08140847860206293,2.847362264057352e-10,5.2391465658655277e-08,1
97,98,111,2020-05-09,0.08864555384249187,1.3118246577699889e-11,2.689240548428477e-09,1
98,99,112,2020-05-10,0.09465080911097547,3.652747774585965e-13,9.314506825194211e-11,1
99,100,113,2020-05-11,0.09932414428105917,5.24382953708637e-15,1.966436076407389e-12,1
100,101,114,2020-05-12,0.10266853047296519,3.071528129442812e-17,1.763057146300174e-14,1
101,102,115,2020-05-13,0.10479020247892887,5.3381687157952916e-20,4.008964705562264e-17,1
102,103,116,2020-05-14,0.10588357799322229,2.931828030525597e-23,2.4627355456415016e-20,1
103,104,117,2020-05-15,0.10616836989714112,7.8563253972419e-25,6.717158214641825e-22,1
104,105,118,2020-05-16,0.1058588547344622,1.3509700080700642e-23,1.1402186868111342e-20,1
105,106,119,2020-05-17,0.10513140575528632,2.3912807944095556e-22,1.9680240937990643e-19,1
106,107,120,2020-05-18,0.1041003375613375,2.0962324135987148e-21,1.6790821632925706e-18,1
107,108,121,2020-05-19,0.10280759155551636,1.2921132801761102e-20,9.988035655761331e-18,1
108,109,122,2020-05-20,0.10127061331747492,6.552786049955227e-20,4.8883783932665995e-17,1
109,110,123,2020-05-21,0.09951305121190265,2.970958295536748e-19,2.1242351813087747e-16,1
110,111,124,2020-05-22,0.09757300648914005,1.2485357061707366e-18,8.352703874282227e-16,1
111,112,125,2020-05-23,0.09548748196717204,4.877088639073691e-18,3.0676887539773517e-15,1
112,113,126,2020-05-24,0.09327028209851457,1.704662483108739e-17,1.0086275483965972e-14,1
113,114,127,2020-05-25,0.09092127804765683,5.104672769080455e-17,2.8433027323778135e-14,1
114,115,128,2020-05-26,0.08843817123344046,1.2692078563049625e-16,6.8029541097946e-14,1
115,116,129,2020-05-27,0.08582832452231427,2.5872267251512898e-16,1.3143111763768552e-13,1
116,117,130,2020-05-28,0.0831182433697928,4.413901024208815e-16,2.1319141946928576e-13,1
117,118,131,2020-05-29,0.08035289236424062,6.709463949507906e-16,3.1400291283697e-13,1
118,119,132,2020-05-30,0.07757095926061586,9.759876238504632e-16,4.4114640598040934e-13,1
119,120,133,2020-05-31,0.07480133519735252,1.447569657319855e-15,6.282452312768171e-13,1
120,121,134,2020-06-01,0.07205532068337013,2.205791469693343e-15,9.154034599227373e-13,1
121,122,135,2020-06-02,0.06933751166414338,3.3338275037366843e-15,1.3221821731243807e-12,1
122,123,136,2020-06-03,0.06665618923206501,4.744083598317153e-15,1.8037531792925222e-12,1
123,124,137,2020-06-04,0.0640233056256316,6.019587814946732e-15,2.2392866671601844e-12,1
124,125,138,2020-06-05,0.06145933591659356,6.614877711003459e-15,2.421045242227266e-12,1
125,126,139,2020-06-06,0.05898840548647254,6.2990270227935725e-15,2.330639998433622e-12,1
126,127,140,2020-06-07,0.05663085758293408,5.269473420690673e-15,1.9707830593383117e-12,1
127,128,141,2020-06-08,0.05439911531370401,3.979445809564231e-15,1.563922203158743e-12,1
128,129,142,2020-06-09,0.052296506857574455,2.809762964163464e-15,1.1407637634503663e-12,1
129,130,143,2020-06-10,0.05031884016262888,1.932396249585076e-15,8.13538821075317e-13,1
130,131,144,2020-06-11,0.04845739936546027,1.3592545039762778e-15,5.938890559219222e-13,1
131,132,145,2020-06-12,0.046701395611064137,1.0422553667951243e-15,4.679726596910109e-13,1
132,133,146,2020-06-13,0.04503566536750258,9.140361121677202e-16,4.168004671484804e-13,1
133,134,147,2020-06-14,0.0434430584340737,9.26119186907315e-16,4.2045811085592106e-13,1
134,135,148,2020-06-15,0.04190779613026522,1.0522646067057159e-15,4.70362279197455e-13,1
135,136,149,2020-06-16,0.04041908787527163,1.2637841225546884e-15,5.573287980466176e-13,1
136,137,150,2020-06-17,0.03897233183177766,1.5127742148066549e-15,6.535184607964749e-13,1
137,138,151,2020-06-18,0.03756813814806039,1.7141790992935722e-15,7.336686544976489e-13,1
138,139,152,2020-06-19,0.036210693533323825,1.7709763435677681e-15,7.526649460163015e-13,1
139,140,153,2020-06-20,0.034906234823276705,1.6221408649689426e-15,6.958984310716763e-13,1
140,141,154,2020-06-21,0.033662700362885954,1.302670461817902e-15,5.714550131307046e-13,1
141,142,155,2020-06-22,0.03248618851578065,9.229140683761246e-16,4.199259011111367e-13,1
142,143,156,2020-06-23,0.031379246244141124,5.936453772390011e-16,2.807942634340475e-13,1
143,144,157,2020-06-24,0.03034101998447096,3.64108615511816e-16,1.8059787329386071e-13,1
144,145,158,2020-06-25,0.029367092985668874,2.2893595000063737e-16,1.1744414235032697e-13,1
145,146,159,2020-06-26,0.02844897500791157,1.6044894288745359e-16,8.471704184457549e-14,1
146,147,160,2020-06-27,0.027574843488988983,1.3479390890818308e-16,7.197994735696976e-14,1
147,148,161,2020-06-28,0.026731362952966572,1.41631281172402e-16,7.534784158371787e-14,1
148,149,162,2020-06-29,0.025905460614342058,1.8565448064070997e-16,9.746860233637274e-14,1
149,150,163,2020-06-30,0.02508625461581169,2.937710902395073e-16,1.4747308730023267e-13,1
150,151,164,2020-07-01,0.02426458303152249,5.322907774356244e-16,2.533704100593572e-13,1
151,152,165,2020-07-02,0.02343357702545485,1.0452979773899644e-15,4.682934938707041e-13,1
152,153,166,2020-07-03,0.022588750862858727,2.112432903279489e-15,8.787720877642674e-13,1
153,154,167,2020-07-04,0.02172877186612282,4.2205275030648126e-15,1.6417851986922122e-12,1
154,155,168,2020-07-05,0.02085548065564452,8.162849165890962e-15,2.9304628505548553e-12,1
155,156,169,2020-07-06,0.019972593470077904,1.5149987431937516e-14,4.93889590281163e-12,1
156,157,170,2020-07-07,0.01908465833303115,2.6809209720375376e-14,8.364473432757118e-12,1
157,158,171,2020-07-08,0.018197377875048885,4.5085233032421294e-14,1.3255058511531861e-11,1
158,159,172,2020-07-09,0.017317375586268974,7.158867441845662e-14,2.0617538232515507e-11,1
159,160,173,2020-07-10,0.01645177056499676,1.0584898827582055e-13,2.9426018740678113e-11,1
160,161,174,2020-07-11,0.015606870582079158,1.4413491522171567e-13,3.9492966770750096e-11,1
161,162,175,2020-07-12,0.014787521809144418,1.8022501902750174e-13,4.884098015645297e-11,1
162,163,176,2020-07-13,0.013997376740210564,2.0864885360080156e-13,5.5500595057813214e-11,1
163,164,177,2020-07-14,0.013238076393812461,2.3031099877207015e-13,6.080210367582652e-11,1
164,165,178,2020-07-15,0.012509207245687413,2.5316599049923046e-13,6.658265550129762e-11,1
165,166,179,2020-07-16,0.011809364294177322,2.8883678988339504e-13,7.509756536968271e-11,1
166,167,180,2020-07-17,0.011136729738123808,3.5295552127145086e-13,9.070956896676287e-11,1
167,168,181,2020-07-18,0.010489225887508002,4.719830299442572e-13,1.1846774051600857e-10,1
168,169,182,2020-07-19,0.009863800494862315,7.013352481021909e-13,1.7252847103313895e-10,1
169,170,183,2020-07-20,0.009256042122416442,1.1693612757879252e-12,2.736305385343745e-10,1
170,171,184,2020-07-21,0.008660630380395126,2.1914090841148527e-12,5.040240893464162e-10,1
171,172,185,2020-07-22,0.0080717036203842,4.616105706537629e-12,1.0109271497317408e-09,1
172,173,186,2020-07-23,0.007483540100338606,1.1052823555219227e-11,2.2989872994855992e-09,1
173,174,187,2020-07-24,0.0068912052592129515,3.1125157516209754e-11,6.256156660758161e-09,1
174,175,188,2020-07-25,0.00629089916879301,1.0646560148005472e-10,2.0441395484170506e-08,1
175,176,189,2020-07-26,0.005680064359296739,4.4988716222111963e-10,8.08794158666815e-08,1
176,177,190,2020-07-27,0.0050577708419439005,2.352334513918115e-09,3.904875293104071e-07,1
