,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-1.2254211008951836,0.004449550023424756,1.0,0
1,2,15,2020-02-03,-1.471375431458837,0.0009962637036282373,0.512079543664914,0
2,3,16,2020-02-04,-1.645548990647434,0.000270074471103462,0.15475267194228373,0
3,4,17,2020-02-05,-1.7519705247288895,0.00010546359689089766,0.06433279410344757,0
4,5,18,2020-02-06,-1.7967398653382038,6.857006920155853e-05,0.042513442904966295,-1
5,6,19,2020-02-07,-1.8018004230934404,6.543275529562767e-05,0.04069917379388041,-1
6,7,20,2020-02-08,-1.2058329938111036,0.03011966285676091,1.0,0
7,8,21,2020-02-09,-0.6098655645287665,0.30981424781826156,1.0,0
8,9,22,2020-02-10,-0.013898135246430191,0.9819434600777259,1.0,0
9,10,23,2020-02-11,0.5820692940359068,0.333381944608261,1.0,0
10,11,24,2020-02-12,1.1780367233182434,0.03509657030515089,1.0,0
11,12,25,2020-02-13,1.7740041526005799,0.00011166220065255688,0.06777895579610203,0
12,13,26,2020-02-14,1.793691237946145,9.337060642274254e-05,0.05732955234356392,0
13,14,27,2020-02-15,1.7579473289556622,0.0001303034139888122,0.07848239790235419,0
14,15,28,2020-02-16,1.657618810032797,0.00030954338031000784,0.17489200987515444,0
15,16,29,2020-02-17,1.4882991300016906,0.0010782174314032257,0.5486099947091884,0
16,17,30,2020-02-18,1.2462278108068656,0.004627556362116302,1.0,0
17,18,31,2020-02-19,0.9266069347870873,0.021763318008583082,1.0,0
18,19,32,2020-02-20,0.5208909220992302,0.10886430106296377,1.0,0
19,20,33,2020-02-21,0.0,1.0,1.0,0
20,21,34,2020-02-22,0.0,1.0,1.0,0
21,22,35,2020-02-23,0.0,1.0,1.0,0
22,23,36,2020-02-24,-0.6160063774057085,0.10886430106296381,1.0,0
23,24,37,2020-02-25,-1.006473568429099,0.024269890735139577,1.0,0
24,25,38,2020-02-26,-1.3069199358813082,0.005939237603103295,1.0,0
25,26,39,2020-02-27,-1.5296426776568512,0.0016659952445481818,0.8180036650731572,0
26,27,40,2020-02-28,-1.6816557722524035,0.0005952444445360912,0.31905102227134485,0
27,28,41,2020-02-29,-1.7702860863427352,0.00030320359838029864,0.17191644028162933,0
28,29,42,2020-03-01,-1.815171840450504,0.00021340637187710707,0.12505613391998474,0
29,30,43,2020-03-02,-1.2803241013290598,0.027050345479113818,1.0,0
30,31,44,2020-03-03,-0.7454763622076152,0.2309685286193442,1.0,0
31,32,45,2020-03-04,-0.21062862308617095,0.7422484896974277,1.0,0
32,33,46,2020-03-05,0.3242191160352736,0.6115267257495942,1.0,0
33,34,47,2020-03-06,0.859066855156718,0.16284614098607303,1.0,0
34,35,48,2020-03-07,1.3939145942781623,0.013696154419898323,1.0,0
35,36,49,2020-03-08,1.928762333399607,2.5242055535826487e-05,0.015902494987570688,1
36,37,50,2020-03-09,1.7528334832067722,9.707942788471996e-05,0.059509689293333334,0
37,38,51,2020-03-10,1.633021699344306,0.0002747766342239649,0.15689745814188397,0
38,39,52,2020-03-11,1.4562913712936192,0.0010287162399528176,0.5277314310957955,0
39,40,53,2020-03-12,1.2135460829276474,0.004550348662921693,1.0,0
40,41,54,2020-03-13,0.8984941152673647,0.02166214103742603,1.0,0
41,42,55,2020-03-14,0.5024356941319845,0.10886430106296381,1.0,0
42,43,56,2020-03-15,0.0,1.0,1.0,0
43,44,57,2020-03-16,0.0,1.0,1.0,0
44,45,58,2020-03-17,0.0,1.0,1.0,0
45,46,59,2020-03-18,0.0,1.0,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,0.0,1.0,1.0,0
52,53,66,2020-03-25,0.0,1.0,1.0,0
53,54,67,2020-03-26,0.0,1.0,1.0,0
54,55,68,2020-03-27,0.0,1.0,1.0,0
55,56,69,2020-03-28,0.0,1.0,1.0,0
56,57,70,2020-03-29,0.0,1.0,1.0,0
57,58,71,2020-03-30,0.0,1.0,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
67,68,81,2020-04-09,0.0,1.0,1.0,0
68,69,82,2020-04-10,0.0,1.0,1.0,0
69,70,83,2020-04-11,0.0,1.0,1.0,0
70,71,84,2020-04-12,0.0,1.0,1.0,0
71,72,85,2020-04-13,0.0,1.0,1.0,0
72,73,86,2020-04-14,0.0,1.0,1.0,0
73,74,87,2020-04-15,0.0,1.0,1.0,0
74,75,88,2020-04-16,0.0,1.0,1.0,0
75,76,89,2020-04-17,0.0,1.0,1.0,0
76,77,90,2020-04-18,0.0,1.0,1.0,0
77,78,91,2020-04-19,0.0,1.0,1.0,0
78,79,92,2020-04-20,0.0,1.0,1.0,0
79,80,93,2020-04-21,0.0,1.0,1.0,0
80,81,94,2020-04-22,-0.4352896756059402,0.10886430106296381,1.0,0
