,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0006594250921531681,0.796015961528822,1.0,0
1,2,15,2020-02-03,0.004742515518400864,0.032073444061155434,1.0,0
2,3,16,2020-02-04,0.00791284202094521,0.00012195492515133159,0.019390833099061724,1
3,4,17,2020-02-05,0.0101841635280817,1.5108003394813945e-07,3.958296889441254e-05,1
4,5,18,2020-02-06,0.011630643425118794,8.152589880115461e-11,3.481155878809302e-08,1
5,6,19,2020-02-07,0.012385932467825066,2.0869604710063905e-14,1.2542632430748407e-11,1
6,7,20,2020-02-08,0.012620261642469778,1.368396722311039e-16,9.674564826739045e-14,1
7,8,21,2020-02-09,0.012506522398353384,1.0036544455523593e-15,6.744557874111854e-13,1
8,9,22,2020-02-10,0.012196540918202664,7.0200788852103455e-15,4.401589461026887e-12,1
9,10,23,2020-02-11,0.011825937344945345,7.668470437644396e-15,4.777457082652459e-12,1
10,11,24,2020-02-12,0.011509452193581838,1.382328473439269e-15,9.220130917839924e-13,1
11,12,25,2020-02-13,0.011354003885324912,1.215544366906654e-16,8.666831336044444e-14,1
12,13,26,2020-02-14,0.011446451125998883,1.0288020868997698e-15,6.903262003097456e-13,1
13,14,27,2020-02-15,0.011830946278323007,1.970864674827884e-13,1.0839755711553362e-10,1
14,15,28,2020-02-16,0.012498928977174844,8.963974150988952e-12,4.19513990266283e-09,1
15,16,29,2020-02-17,0.01340052947967048,7.387958085269668e-11,3.1915978928364964e-08,1
16,17,30,2020-02-18,0.014468614478027029,1.5966950196405708e-10,6.610317381311963e-08,1
17,18,31,2020-02-19,0.01562468647767405,1.1394346025324963e-10,4.8084140226871343e-08,1
18,19,32,2020-02-20,0.016768930325285366,3.0275477779822265e-11,1.3593689523140197e-08,1
19,20,33,2020-02-21,0.01779605670519012,3.0158906086079225e-12,1.48080228882649e-09,1
20,21,34,2020-02-22,0.01860412500434403,1.1103324297445254e-13,6.284481552354014e-11,1
21,22,35,2020-02-23,0.019112552455549315,2.0532937228547208e-15,1.3572271508069705e-12,1
22,23,36,2020-02-24,0.019274795909148504,2.408310423943771e-16,1.6689591237930334e-13,1
23,24,37,2020-02-25,0.01907183906145399,2.837048053535567e-15,1.8582664750657963e-12,1
24,25,38,2020-02-26,0.01850484762834151,1.1162266227949431e-13,6.306680418791429e-11,1
25,26,39,2020-02-27,0.01761341414128708,2.0530240221026145e-12,1.022405963007102e-09,1
26,27,40,2020-02-28,0.016480949772419665,1.69357410213698e-11,7.756569387787368e-09,1
27,28,41,2020-02-29,0.015206942657635725,7.855648928857911e-11,3.362403419335314e-08,1
28,29,42,2020-03-01,0.013888797999308972,2.2597746381159616e-10,9.174685030750804e-08,1
29,30,43,2020-03-02,0.012613756548235131,3.8865454071101504e-10,1.5118661633658485e-07,1
30,31,44,2020-03-03,0.011459762725017336,3.470092442567995e-10,1.377626699699494e-07,1
31,32,45,2020-03-04,0.010495917990069128,1.2600881196418393e-10,5.304970983692144e-08,1
32,33,46,2020-03-05,0.009782079240129329,1.353448034363191e-11,6.252929918757942e-09,1
33,34,47,2020-03-06,0.009380682727403467,5.134277919262823e-13,2.695495907612982e-10,1
34,35,48,2020-03-07,0.009360550365498805,3.8147661191232313e-13,2.029455575373559e-10,1
35,36,49,2020-03-08,0.009768686207839274,3.080875515680263e-11,1.3802322310247579e-08,1
36,37,50,2020-03-09,0.01062822139551889,1.3497251006889208e-09,4.832015860466336e-07,1
37,38,51,2020-03-10,0.011933116343251818,1.129367344846873e-08,3.546213462819181e-06,1
38,39,52,2020-03-11,0.013647607302797293,2.7284624302473012e-08,8.021679544927065e-06,1
39,40,53,2020-03-12,0.015701079401594382,2.799193083151426e-08,8.201635733633678e-06,1
40,41,54,2020-03-13,0.017997938665452237,1.5407420620996543e-08,4.683855868782949e-06,1
41,42,55,2020-03-14,0.02041652858166624,5.143208796098645e-09,1.681829276324257e-06,1
42,43,56,2020-03-15,0.022827067219545097,1.080326053865137e-09,3.910780314991796e-07,1
43,44,57,2020-03-16,0.0251080755703149,1.4002745739413955e-10,5.867150464814447e-08,1
44,45,58,2020-03-17,0.027150341299372202,1.0335690116536072e-11,4.8267672844223455e-09,1
45,46,59,2020-03-18,0.02885498284867576,3.7048732661316743e-13,1.978402324114314e-10,1
46,47,60,2020-03-19,0.030140663955903695,5.292685793981537e-15,3.3661481649722574e-12,1
47,48,61,2020-03-20,0.03096767387494121,2.850939433187854e-17,2.0840367256603212e-14,1
48,49,62,2020-03-21,0.031355381763123115,2.237658960984595e-19,1.7386610126850304e-16,1
49,50,63,2020-03-22,0.031357043818854236,2.1795102708083583e-19,1.6956589906889028e-16,1
50,51,64,2020-03-23,0.03104471053368073,4.190883536616292e-18,3.1515444195354516e-15,1
51,52,65,2020-03-24,0.030495642492620382,4.13691325496266e-17,3.007535936357854e-14,1
52,53,66,2020-03-25,0.02979268372756864,1.3277361401832867e-16,9.40037187249767e-14,1
53,54,67,2020-03-26,0.029026196796616256,1.5120221317518343e-16,1.067487625016795e-13,1
54,55,68,2020-03-27,0.028286866722622418,6.343819887625131e-17,4.592925598640595e-14,1
55,56,69,2020-03-28,0.027641159353555943,9.459633808866405e-18,7.019048286178872e-15,1
56,57,70,2020-03-29,0.02712014021991422,4.461094565520093e-19,3.4439650045815116e-16,1
57,58,71,2020-03-30,0.02673187067609485,5.653075454926844e-21,4.522460363941475e-18,1
58,59,72,2020-03-31,0.02646848571134281,1.847237332812537e-23,1.5350542235672182e-20,1
59,60,73,2020-04-01,0.02629878231570828,2.836034256077972e-26,2.410629117666276e-23,1
60,61,74,2020-04-02,0.026169837808036115,1.2252739270910467e-27,1.0463839337357538e-24,1
61,62,75,2020-04-03,0.02602293031058905,2.5739320736580786e-25,2.172398670167418e-22,1
62,63,76,2020-04-04,0.025808382596542275,2.7652967946104566e-22,2.2786045587590163e-19,1
63,64,77,2020-04-05,0.025488671871367826,7.864899877779837e-20,6.166081504179393e-17,1
64,65,78,2020-04-06,0.025039564489010135,6.420541547191721e-18,4.789723994205024e-15,1
65,66,79,2020-04-07,0.024444815413399632,2.0080102040023506e-16,1.4015911223936407e-13,1
66,67,80,2020-04-08,0.023695265430350766,2.843355551593479e-15,1.8595545307421354e-12,1
67,68,81,2020-04-09,0.022796503285835604,2.1378812842722096e-14,1.2827287705633257e-11,1
68,69,82,2020-04-10,0.02177396809162413,1.0002388036183248e-13,5.691358792588268e-11,1
69,70,83,2020-04-11,0.02066433257961014,3.276685251085874e-13,1.7628566650842004e-10,1
70,71,84,2020-04-12,0.01950793748986816,7.691727085232756e-13,3.9766229030653345e-10,1
71,72,85,2020-04-13,0.018349056692533994,1.2465106219942487e-12,6.294878641070956e-10,1
72,73,86,2020-04-14,0.017234171010048954,1.365642280702196e-12,6.882837094739067e-10,1
73,74,87,2020-04-15,0.016205869183335574,9.935378717747382e-13,5.076978524768912e-10,1
74,75,88,2020-04-16,0.015293574934126695,4.55867640502188e-13,2.397863789041509e-10,1
75,76,89,2020-04-17,0.014508099167079689,1.257788010469325e-13,7.04361285862822e-11,1
76,77,90,2020-04-18,0.013839817137660476,2.040464167901464e-14,1.2303998932445829e-11,1
77,78,91,2020-04-19,0.013267395561976425,2.1531274855662053e-15,1.4189110129881293e-12,1
78,79,92,2020-04-20,0.012762125489303628,2.359644207354213e-16,1.6375930799038236e-13,1
79,80,93,2020-04-21,0.012291335729739509,9.095064474040773e-17,6.557541485783397e-14,1
80,81,94,2020-04-22,0.011823298107618526,4.100594166657024e-16,2.804806409993404e-13,1
81,82,95,2020-04-23,0.011320509614666905,1.0145100120764946e-14,6.269671874632737e-12,1
82,83,96,2020-04-24,0.01074086530451363,3.8640663206297737e-13,2.0518192162544098e-10,1
83,84,97,2020-04-25,0.010045884820934057,1.3029678609458999e-11,6.032741196179516e-09,1
84,85,98,2020-04-26,0.009212799835733018,3.3456393914228485e-10,1.3315644777862936e-07,1
85,86,99,2020-04-27,0.008240779900491473,6.434207223021332e-09,2.0846831402589117e-06,1
86,87,100,2020-04-28,0.0071494540688269315,9.432025489955088e-08,2.5183508058180083e-05,1
87,88,101,2020-04-29,0.005976082692863592,1.116346101711415e-06,0.00024782883457993415,1
88,89,102,2020-04-30,0.0047677916157693795,1.1944332469030824e-05,0.0022216458392397332,1
89,90,103,2020-05-01,0.003574014174622107,0.00013052798375014346,0.020492893448772524,1
90,91,104,2020-05-02,0.0024419179151418525,0.0015874387359751552,0.21906654556457142,0
91,92,105,2020-05-03,0.0014115038780204041,0.022003489287904687,1.0,0
92,93,106,2020-05-04,0.0005148818574625681,0.2802322169680966,1.0,0
93,94,107,2020-05-05,-0.00022803083358358318,0.5419431800766087,1.0,0
94,95,108,2020-05-06,-0.0008102978352728965,0.011063064714206096,1.0,0
95,96,109,2020-05-07,-0.001238007516123005,2.2664969819146457e-05,0.004125024507084655,-1
96,97,110,2020-05-08,-0.0015260124008675108,1.6673128450643433e-08,5.05195792054496e-06,-1
97,98,111,2020-05-09,-0.0016947413388797598,5.6072202726857015e-12,2.6914657308891367e-09,-1
98,99,112,2020-05-10,-0.0017672150232350148,4.249938859054513e-15,2.7369606252311065e-12,-1
99,100,113,2020-05-11,-0.0017666482590616335,4.5536531742518376e-15,2.9234453378696796e-12,-1
100,101,114,2020-05-12,-0.0017172194612864353,8.037952633735469e-14,4.597708906496688e-11,-1
101,102,115,2020-05-13,-0.0016461938081054998,1.8728065053239585e-13,1.033789190938825e-10,-1
102,103,116,2020-05-14,-0.0015875050780252092,2.810379255088858e-14,1.6703493751599544e-11,-1
103,104,117,2020-05-15,-0.001583780975372236,1.8621640201243998e-14,1.1284713961953863e-11,-1
104,105,118,2020-05-16,-0.0016759561594093442,4.6935220422920666e-11,2.0604561765662172e-08,-1
105,106,119,2020-05-17,-0.0018956840311931073,1.8728598742738518e-08,5.618579622821555e-06,-1
106,107,120,2020-05-18,-0.002256784464223667,4.4523571770515547e-07,0.00010718497678593327,-1
107,108,121,2020-05-19,-0.002759368188049835,1.8236176126599595e-06,0.0003902541691092313,-1
108,109,122,2020-05-20,-0.0033970219353265238,2.548431266287241e-06,0.0005249768408551716,-1
109,110,123,2020-05-21,-0.004159876198722214,1.7465129855824725e-06,0.0003755002919002316,-1
110,111,124,2020-05-22,-0.005032843204142602,7.176888731633626e-07,0.00016415631315102347,-1
111,112,125,2020-05-23,-0.005983882297425603,1.899078963386363e-07,4.893930001798583e-05,-1
112,113,126,2020-05-24,-0.006957369624654125,3.1553781805988065e-08,9.087489160124562e-06,-1
113,114,127,2020-05-25,-0.00788821018483637,3.1279173687193653e-09,1.0634919053645842e-06,-1
114,115,128,2020-05-26,-0.008721227858291996,1.7283519791535683e-10,7.138093673904238e-08,-1
115,116,129,2020-05-27,-0.009415170104171412,4.76928289143225e-12,2.3131022023446415e-09,-1
116,117,130,2020-05-28,-0.009938053693653595,5.757827619577299e-14,3.3280243641156784e-11,-1
117,118,131,2020-05-29,-0.010280623687780075,2.888456291584677e-16,1.9872579286102578e-13,-1
118,119,132,2020-05-30,-0.01046029318489293,1.4476915475976498e-18,1.1002455761742138e-15,-1
119,120,133,2020-05-31,-0.010512166208333085,1.6991972618707028e-19,1.3253738642591483e-16,-1
120,121,134,2020-06-01,-0.010474740213534913,4.976192883690521e-19,3.8366447133253915e-16,-1
121,122,135,2020-06-02,-0.010379981912507072,1.320839537533987e-18,1.005158888063364e-15,-1
122,123,136,2020-06-03,-0.010247885415575865,1.053600483207665e-18,8.060043696538637e-16,-1
123,124,137,2020-06-04,-0.010087637380082172,2.1760088487387026e-19,1.6951108931674493e-16,-1
124,125,138,2020-06-05,-0.009904869852091176,3.0080583861254183e-20,2.3853903001974567e-17,-1
125,126,139,2020-06-06,-0.00970346209165883,6.165296580364679e-20,4.8459231121666375e-17,-1
126,127,140,2020-06-07,-0.009481834620969996,1.9126487946989865e-18,1.4517004351765307e-15,-1
127,128,141,2020-06-08,-0.009243471602998295,4.7917149031386284e-17,3.4739933047755056e-14,-1
128,129,142,2020-06-09,-0.009005394068766154,3.741474836556883e-16,2.562910263041465e-13,-1
129,130,143,2020-06-10,-0.008793141388841578,8.543174079600905e-16,5.775185677810212e-13,-1
130,131,144,2020-06-11,-0.008631186822933103,5.821691110773892e-16,3.970393337547794e-13,-1
131,132,145,2020-06-12,-0.00854146647357078,1.9252095564186698e-16,1.3457214799366502e-13,-1
132,133,146,2020-06-13,-0.00853995819953361,1.858604573799479e-16,1.3010232016596354e-13,-1
133,134,147,2020-06-14,-0.008629012092619423,1.457297159202938e-15,9.705599080291567e-13,-1
134,135,148,2020-06-15,-0.008792925224852352,1.3814117030864728e-14,8.426611388827484e-12,-1
135,136,149,2020-06-16,-0.009001307862094384,4.1906242106503583e-14,2.4473245390198094e-11,-1
136,137,150,2020-06-17,-0.009209027526433405,3.091432668172828e-14,1.825963505674483e-11,-1
137,138,151,2020-06-18,-0.009356171392933195,7.796830751894664e-15,4.834035066174692e-12,-1
138,139,152,2020-06-19,-0.009372264524611892,5.772669739639103e-15,3.654099945191552e-12,-1
139,140,153,2020-06-20,-0.009194092106022577,1.7870656953131636e-13,9.900343952034926e-11,-1
140,141,154,2020-06-21,-0.008779120829773822,2.3216111123403588e-11,1.0563330561148633e-08,-1
141,142,155,2020-06-22,-0.008119631924581627,1.6711038796717353e-09,5.898996695241225e-07,-1
142,143,156,2020-06-23,-0.007243759036387516,5.2770581590460545e-08,1.4881304008509874e-05,-1
143,144,157,2020-06-24,-0.0061993484508054385,8.909030818611964e-07,0.000199562290336908,-1
144,145,158,2020-06-25,-0.00504557260074286,1.0226988526515166e-05,0.0019226738429848512,-1
145,146,159,2020-06-26,-0.0038490988838017944,0.00010017543281209458,0.016228420115559323,-1
146,147,160,2020-06-27,-0.0026785411378776208,0.0010258584941007624,0.14567190616230827,0
147,148,161,2020-06-28,-0.0015872868679075794,0.013446457199661295,1.0,0
148,149,162,2020-06-29,-0.0006054567006186424,0.21878406086698154,1.0,0
149,150,163,2020-06-30,0.0002530991103747564,0.5271057049041751,1.0,0
150,151,164,2020-07-01,0.0009832305097273787,0.009990197057976422,1.0,0
151,152,165,2020-07-02,0.0015835448735654117,7.199881676766103e-05,0.012311797667270035,1
152,153,166,2020-07-03,0.0020453265515253108,8.248854220651576e-07,0.0001864241053867256,1
153,154,167,2020-07-04,0.002351441477227134,1.2399431540955353e-08,3.856223209237114e-06,1
154,155,168,2020-07-05,0.002489217118971255,4.009110209127574e-10,1.555534761141499e-07,1
155,156,169,2020-07-06,0.0024564206708984375,1.2670129700667642e-09,4.561246692240351e-07,1
156,157,170,2020-07-07,0.002252805897604075,2.1292902211235594e-07,5.375519843999814e-05,1
157,158,171,2020-07-08,0.0018889409098134776,3.486175025675395e-05,0.006205391545702203,1
158,159,172,2020-07-09,0.0013922495330771702,0.0025369420175366197,0.3323394042972972,0
159,160,173,2020-07-10,0.0008030386999961893,0.07575627158792247,1.0,0
160,161,174,2020-07-11,0.00016554350355403935,0.7051483447090492,1.0,0
161,162,175,2020-07-12,-0.0004746040145703172,0.2646911599433581,1.0,0
162,163,176,2020-07-13,-0.0010762844773643308,0.010057186052884986,1.0,0
163,164,177,2020-07-14,-0.0016030774307732726,8.77553428229796e-05,0.014567386908614614,-1
164,165,178,2020-07-15,-0.002032750520535125,2.0734502982057808e-07,5.266563757442683e-05,-1
165,166,179,2020-07-16,-0.002360188959070596,1.3724830594544463e-10,5.764428849708675e-08,-1
166,167,180,2020-07-17,-0.002605893371521859,1.1546266504764113e-13,6.495598595420248e-11,-1
167,168,181,2020-07-18,-0.0028153673028786003,1.1657860140229098e-13,6.540059538668524e-11,-1
168,169,182,2020-07-19,-0.003044747388611341,1.0767435543255772e-11,5.01762496315719e-09,-1
169,170,183,2020-07-20,-0.0033292278149115962,3.743150065059243e-10,1.4681913761936863e-07,-1
170,171,184,2020-07-21,-0.0036698865766578276,2.3953504417007486e-09,8.311866032701598e-07,-1
171,172,185,2020-07-22,-0.004037868073401786,3.4046985236500354e-09,1.147383402470062e-06,-1
172,173,186,2020-07-23,-0.004389682969871252,1.3749706093514371e-09,4.90864507538463e-07,-1
173,174,187,2020-07-24,-0.004680057456519068,1.9256716979601255e-10,7.856740527677312e-08,-1
174,175,188,2020-07-25,-0.004864702233663336,1.643021172867404e-11,7.541467183461383e-09,-1
175,176,189,2020-07-26,-0.004911547707491318,6.1651167684062946e-12,2.9530909320666152e-09,-1
176,177,190,2020-07-27,-0.00481175333815051,4.810406541236472e-11,2.1069580650615746e-08,-1
177,178,191,2020-07-28,-0.004565460627433068,1.314173629445248e-09,4.7178833297084407e-07,-1
178,179,192,2020-07-29,-0.004175322758032247,3.063956422436688e-08,8.885473625066396e-06,-1
179,180,193,2020-07-30,-0.003649366945196328,5.035933805452092e-07,0.00011884803780866937,-1
180,181,194,2020-07-31,-0.0030013831824149398,7.062876390309322e-06,0.0013772608961103178,-1
181,182,195,2020-08-01,-0.002245717101947908,0.00012811312499819112,0.020241873749714197,-1
182,183,196,2020-08-02,-0.0013990246981370642,0.005287376880171,0.671496863781717,0
183,184,197,2020-08-03,-0.00047754415880438923,0.2974061856221273,1.0,0
184,185,198,2020-08-04,0.0005083595032288932,0.32117330848302506,1.0,0
185,186,199,2020-08-05,0.0015510901903016362,0.016527937506786935,1.0,0
186,187,200,2020-08-06,0.0026415992916409966,0.00107847405038802,0.15206484110471083,0
187,188,201,2020-08-07,0.0037610951164195935,9.650451448208414e-05,0.015730235860579714,1
188,189,202,2020-08-08,0.00488117345903677,8.929669017405464e-06,0.0016940974179360372,1
189,190,203,2020-08-09,0.0059582777424581,6.563091410026697e-07,0.00015292002985362204,1
190,191,204,2020-08-10,0.006926148503360416,3.066626408899363e-08,8.885473625066396e-06,1
191,192,205,2020-08-11,0.007712554107549124,7.30734207590843e-10,2.7475606205415697e-07,1
192,193,206,2020-08-12,0.008260802550381086,7.442591157422878e-12,3.5277882086184446e-09,1
193,194,207,2020-08-13,0.00853203702838519,9.440238870658276e-14,5.380936156275217e-11,1
194,195,208,2020-08-14,0.008511659543324047,1.4463456872380247e-13,8.027218564171037e-11,1
195,196,209,2020-08-15,0.008220356757998013,6.608425785006631e-12,3.1522190994481632e-09,1
196,197,210,2020-08-16,0.007708574628139492,1.8955064308171407e-10,7.752621302042106e-08,1
197,198,211,2020-08-17,0.0070391048963667005,2.3013803907323332e-09,8.031817563655843e-07,1
198,199,212,2020-08-18,0.006273240139881288,1.4964396312588124e-08,4.5641408753393775e-06,1
199,200,213,2020-08-19,0.005452674027457905,6.738838337269834e-08,1.8599193810864743e-05,1
200,201,214,2020-08-20,0.004596500630616254,2.9384430343688565e-07,7.257954294891075e-05,1
201,202,215,2020-08-21,0.003714090755040271,1.834167870533487e-06,0.00039067775642363274,1
202,203,216,2020-08-22,0.0028173735382728254,2.3906829685535872e-05,0.004303229343396457,1
203,204,217,2020-08-23,0.0019203223510852495,0.000773893631829173,0.11221457661523009,0
204,205,218,2020-08-24,0.001028277503549753,0.04081322983537654,1.0,0
205,206,219,2020-08-25,0.00014667021621143241,0.7603961086445856,1.0,0
206,207,220,2020-08-26,-0.0007128435811932645,0.1654919081811566,1.0,0
207,208,221,2020-08-27,-0.0015433499512824266,0.00725458149940135,0.870549779928162,0
208,209,222,2020-08-28,-0.002346849590643881,0.00023753958723083196,0.036343556846317286,-1
209,210,223,2020-08-29,-0.0031202846164345363,7.18790906147433e-06,0.00139445435792602,-1
210,211,224,2020-08-30,-0.003861471499323076,2.1247114007904403e-07,5.375519843999814e-05,-1
211,212,225,2020-08-31,-0.004581548393383622,7.897332969354834e-09,2.5350438831629017e-06,-1
212,213,226,2020-09-01,-0.005296133777912291,7.972860002505638e-10,2.965903920932097e-07,-1
213,214,227,2020-09-02,-0.006018183039557174,3.8659684484990094e-10,1.5077276949146136e-07,-1
214,215,228,2020-09-03,-0.006768364747350274,5.138607138434027e-10,1.9680865340202324e-07,-1
215,216,229,2020-09-04,-0.007566812413239348,8.101713243226373e-10,3.0057356132369846e-07,-1
216,217,230,2020-09-05,-0.008422091664778267,9.82737157584885e-10,3.58699062518483e-07,-1
217,218,231,2020-09-06,-0.009323261866750004,7.575729121999841e-10,2.8257469625059407e-07,-1
218,219,232,2020-09-07,-0.010247538415601777,3.311938521739041e-10,1.3214634701738775e-07,-1
219,220,233,2020-09-08,-0.011153622093020354,7.442958041908108e-11,3.2079149160623946e-08,-1
220,221,234,2020-09-09,-0.011971629250223027,7.522147444249066e-12,3.5579757411298086e-09,-1
221,222,235,2020-09-10,-0.012611530636080266,2.810469227193238e-13,1.5204638519115418e-10,-1
222,223,236,2020-09-11,-0.012978839369365655,5.098999441620654e-15,3.2531616437539774e-12,-1
223,224,237,2020-09-12,-0.01298424375389002,4.613340260416679e-15,2.957151106927091e-12,-1
224,225,238,2020-09-13,-0.012554690966264739,1.5293555636718164e-12,7.677364929632518e-10,-1
225,226,239,2020-09-14,-0.011652712067880482,5.655483696728801e-10,2.1434283210602155e-07,-1
226,227,240,2020-09-15,-0.010279207734653992,8.928851395249884e-08,2.4286475795079684e-05,-1
227,228,241,2020-09-16,-0.008456485918144685,8.441241866979952e-06,0.0016207184384601507,-1
228,229,242,2020-09-17,-0.006219681920448943,0.0006369266245079905,0.09426514042718259,0
229,230,243,2020-09-18,-0.003615370326628417,0.036491045668411416,1.0,0
230,231,244,2020-09-19,-0.0007066825915932999,0.6793106394881925,1.0,0
231,232,245,2020-09-20,0.0024247520318636017,0.19023834892019062,1.0,0
232,233,246,2020-09-21,0.005674486793444686,0.007437985499612961,0.8851202744539424,0
