,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.09803469696013149,0.00015629825192372385,0.08799591583305653,0
1,2,15,2020-02-03,-0.1395105071796394,3.157511582704293e-05,0.0189766446120528,-1
2,3,16,2020-02-04,-0.19269264125339114,1.7014773729561476e-05,0.010430056296221185,-1
3,4,17,2020-02-05,-0.2713694566249392,2.86300721777471e-05,0.017263933523181504,-1
4,5,18,2020-02-06,-0.38019174211820084,3.885928838108296e-05,0.023160135875125443,-1
5,6,19,2020-02-07,-0.39821736671337804,1.5083047874005537e-05,0.009276074442513405,-1
6,7,20,2020-02-08,-0.3665220685718022,0.00012127173179789615,0.0694887023201945,0
7,8,21,2020-02-09,-0.3042242304842713,0.0026544593053387387,1.0,0
8,9,22,2020-02-10,-0.2219213108019049,0.03716475959183132,1.0,0
9,10,23,2020-02-11,-0.1270121121622482,0.24884703137638128,1.0,0
10,11,24,2020-02-12,-0.025452540383400397,0.8202866077098829,1.0,0
11,12,25,2020-02-13,0.07744448221851605,0.489880104462013,1.0,0
12,13,26,2020-02-14,0.17652083965367507,0.10991111746039196,1.0,0
13,14,27,2020-02-15,0.26635664507461293,0.012619380338805846,1.0,0
14,15,28,2020-02-16,0.3407555152830511,0.0007957091226745481,0.41854299852681226,0
15,16,29,2020-02-17,0.3918093936543023,4.89990658212457e-05,0.029056446031998702,1
16,17,30,2020-02-18,0.4075339074157982,1.8123274090525984e-05,0.011091443743401902,1
17,18,31,2020-02-19,0.3641089503365509,0.00010294139590516376,0.05960306822908982,0
18,19,32,2020-02-20,0.24292298568558468,5.2135895501576695e-05,0.030812314241431826,1
19,20,33,2020-02-21,0.16718170527361012,9.688936802954442e-05,0.05619583345713577,0
20,21,34,2020-02-22,0.11120469671778653,0.0005878892251320378,0.3145207354456402,0
21,22,35,2020-02-23,0.06489738585257478,0.009571820403307701,1.0,0
22,23,36,2020-02-24,0.02407646804879491,0.2355955611998158,1.0,0
23,24,37,2020-02-25,-0.01333902943743856,0.4768135512594178,1.0,0
24,25,38,2020-02-26,-0.04831186198543295,0.016719509696401593,1.0,0
25,26,39,2020-02-27,-0.08078379566056015,0.00038366873494958783,0.20871579181257577,0
26,27,40,2020-02-28,-0.10929986131659211,1.0803654365813508e-05,0.006698265706804375,-1
