,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-2.3238981512177257,0.004538944679861127,1.0,0
1,2,15,2020-02-03,-2.782758344630462,0.0010367501135664803,0.44787604906071954,0
2,3,16,2020-02-04,-3.101548601408629,0.0002927873510837226,0.13754478296628314,0
3,4,17,2020-02-05,-3.2837949304735137,0.00012479945035854897,0.061401329576406094,0
4,5,18,2020-02-06,-3.332385468701807,9.742901290306546e-05,0.04861707743862967,-1
5,6,19,2020-02-07,-3.2502159815593856,0.0001470013681439354,0.07129566354980867,0
6,7,20,2020-02-08,-3.041224307154905,0.00037343837127330683,0.1736488426420877,0
7,8,21,2020-02-09,-2.714424004816543,0.0012531072598318386,0.5350767999481951,0
8,9,22,2020-02-10,-1.3347780231561455,0.18142337853202525,1.0,0
9,10,23,2020-02-11,0.04486795850425243,0.9655220275549591,1.0,0
10,11,24,2020-02-12,1.4245139401646503,0.15143246867039162,1.0,0
11,12,25,2020-02-13,2.8041599218250477,0.000655960493690603,0.29452626166708074,0
12,13,26,2020-02-14,3.075513110741183,0.00023345217796130998,0.11112323670958354,0
13,14,27,2020-02-15,3.260784593851333,9.766577293340496e-05,0.04861707743862967,1
14,15,28,2020-02-16,3.324556349484862,6.980517780569844e-05,0.03553083550310051,1
15,16,29,2020-02-17,3.260526774355318,9.808637067634983e-05,0.048650839855469516,1
16,17,30,2020-02-18,3.065418549157555,0.00025135358862490354,0.11863889383095447,0
17,18,31,2020-02-19,2.736546476915685,0.0009520103358486675,0.4141244960941704,0
18,19,32,2020-02-20,2.271005796721089,0.0043562648474304395,1.0,0
19,20,33,2020-02-21,1.6649917304029636,0.021325090813589815,1.0,0
20,21,34,2020-02-22,0.9124662554124319,0.10886430106296381,1.0,0
21,22,35,2020-02-23,0.0,1.0,1.0,0
22,23,36,2020-02-24,0.0,1.0,1.0,0
23,24,37,2020-02-25,0.0,1.0,1.0,0
24,25,38,2020-02-26,0.0,1.0,1.0,0
25,26,39,2020-02-27,-0.9173854989038751,0.10886430106296392,1.0,0
26,27,40,2020-02-28,-1.6767289076043592,0.021300993956657778,1.0,0
27,28,41,2020-02-29,-2.2900275797501477,0.004337196867208591,1.0,0
28,29,42,2020-03-01,-2.7632272630395485,0.0009403043838139694,0.40997271134289065,0
29,30,43,2020-03-02,-3.1006275755486494,0.00024373885721647807,0.11528847946339413,0
30,31,44,2020-03-03,-3.30664922179686,9.133037500497978e-05,0.04575651787749487,-1
31,32,45,2020-03-04,-3.389087770988816,5.927895208254761e-05,0.030469381370429472,-1
32,33,46,2020-03-05,-3.4095384067721732,5.352780905734936e-05,0.02772740509170697,-1
33,34,47,2020-03-06,-2.2878190293498513,0.02850872244187702,1.0,0
34,35,48,2020-03-07,-1.1660996519275297,0.3018173198233457,1.0,0
35,36,49,2020-03-08,-0.04438027450520732,0.9693689095234566,1.0,0
36,37,50,2020-03-09,1.0773391029171149,0.34179999023401275,1.0,0
37,38,51,2020-03-10,2.199058480339437,0.03695619599052706,1.0,0
38,39,52,2020-03-11,3.320777857761759,0.00013275878261583256,0.0647862859165263,0
39,40,53,2020-03-12,3.38397550567961,9.762067342942399e-05,0.04861707743862967,1
40,41,54,2020-03-13,3.325543684077013,0.000130437250073045,0.06391425253579204,0
41,42,55,2020-03-14,3.137241234233618,0.00030819769386101017,0.14392832303309175,0
42,43,56,2020-03-15,2.8146960023919765,0.0010802659152037701,0.46451434353762117,0
43,44,57,2020-03-16,2.3538478456732403,0.004658822209456847,1.0,0
44,45,58,2020-03-17,1.7492107890016606,0.021899344140385555,1.0,0
45,46,59,2020-03-18,0.9898806781115888,0.10886430106296381,1.0,0
46,47,60,2020-03-19,0.0,1.0,1.0,0
47,48,61,2020-03-20,0.0,1.0,1.0,0
48,49,62,2020-03-21,0.0,1.0,1.0,0
49,50,63,2020-03-22,0.0,1.0,1.0,0
50,51,64,2020-03-23,0.0,1.0,1.0,0
51,52,65,2020-03-24,0.0,1.0,1.0,0
52,53,66,2020-03-25,0.0,1.0,1.0,0
53,54,67,2020-03-26,0.0,1.0,1.0,0
54,55,68,2020-03-27,0.0,1.0,1.0,0
55,56,69,2020-03-28,0.0,1.0,1.0,0
56,57,70,2020-03-29,0.0,1.0,1.0,0
57,58,71,2020-03-30,0.0,1.0,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
67,68,81,2020-04-09,0.0,1.0,1.0,0
