,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.08431869279818682,4.199396466988104e-05,0.023642602109143027,-1
1,2,15,2020-02-03,-0.11170189028661914,5.244072396461034e-06,0.0030415619899473996,-1
2,3,16,2020-02-04,-0.13999124911140548,8.778257505357571e-07,0.0005258176245709186,-1
3,4,17,2020-02-05,-0.16683642608802268,1.2040204898673145e-07,7.513087856772043e-05,-1
4,5,18,2020-02-06,-0.186940350188892,7.649434142541038e-09,5.018028797506921e-06,-1
5,6,19,2020-02-07,-0.19384870069449572,9.252726757452882e-10,6.236337834523243e-07,-1
6,7,20,2020-02-08,-0.18420717794541255,3.9193828600173604e-08,2.500566264691076e-05,-1
7,8,21,2020-02-09,-0.15874791102055222,1.600368028497033e-05,0.009106094082148117,-1
8,9,22,2020-02-10,-0.12043811699560492,0.0021007584749757635,0.97685269086373,0
9,10,23,2020-02-11,-0.07300539511358525,0.07078250167248373,1.0,0
10,11,24,2020-02-12,-0.020331939561918342,0.6195035450762496,1.0,0
11,12,25,2020-02-13,0.03371321911694375,0.41229408553534663,1.0,0
12,13,26,2020-02-14,0.0852852250507295,0.03659153522691565,1.0,0
13,14,27,2020-02-15,0.1305457240088825,0.0009587071062807746,0.4735093871774543,0
14,15,28,2020-02-16,0.1657041432995434,7.65158635133872e-06,0.0044149653247224415,1
15,16,29,2020-02-17,0.1872210308248071,3.619461309540827e-08,2.3128357767965884e-05,1
16,17,30,2020-02-18,0.1923492350492229,6.094153418741724e-09,4.0099529495320545e-06,1
17,18,31,2020-02-19,0.1805654659067953,9.638347779724589e-08,6.033605710107593e-05,1
18,19,32,2020-02-20,0.1554486502458485,1.6726742804939163e-06,0.0009918958483328924,1
19,20,33,2020-02-21,0.12372184377376327,1.6631284805172397e-05,0.009446569769337922,1
20,21,34,2020-02-22,0.09101354168400429,0.00015745758040421005,0.08644421164191132,0
21,22,35,2020-02-23,0.0600893078559656,0.0020422818314208943,0.9517033334421368,0
22,23,36,2020-02-24,0.03194378004404742,0.03890293423916111,1.0,0
23,24,37,2020-02-25,0.006922880334958496,0.5814583681612087,1.0,0
24,25,38,2020-02-26,-0.014748071618465093,0.19033819204407568,1.0,0
25,26,39,2020-02-27,-0.032769259337367705,0.00322072191003747,1.0,0
26,27,40,2020-02-28,-0.04672068317840915,2.626523006234807e-05,0.014839854985226658,-1
27,28,41,2020-02-29,-0.05609946179972796,1.62347260000125e-07,0.0001006553012000775,-1
28,29,42,2020-03-01,-0.06040481146221281,2.249054554381265e-09,1.49337222410916e-06,-1
29,30,43,2020-03-02,-0.05925078534081547,1.0138817852473687e-08,6.620648057665317e-06,-1
30,31,44,2020-03-03,-0.05256396741017038,2.8289437828241435e-06,0.0016634189443005963,-1
31,32,45,2020-03-04,-0.040704005826174186,0.0006166815300861099,0.31635762493417435,0
32,33,46,2020-03-05,-0.0244363861982328,0.04707637119881048,1.0,0
33,34,47,2020-03-06,-0.004845049080892806,0.7074040016062795,1.0,0
34,35,48,2020-03-07,0.016774314181026564,0.23253820877784204,1.0,0
35,36,49,2020-03-08,0.03902357407703102,0.011913525272646079,1.0,0
36,37,50,2020-03-09,0.060508881638924365,0.00032446183480248756,0.17293815794972586,0
37,38,51,2020-03-10,0.07994699660653015,5.964391911568361e-06,0.0034474185248865126,1
38,39,52,2020-03-11,0.09627338898555057,6.854205816789386e-08,4.331858076210892e-05,1
39,40,53,2020-03-12,0.10874621548222649,3.866699488976567e-10,2.621622253526112e-07,1
40,41,54,2020-03-13,0.11702609328913072,7.906797837215856e-13,5.661267251446553e-10,1
41,42,55,2020-03-14,0.12119959696722307,1.1936516356241664e-15,9.214990627018564e-13,1
42,43,56,2020-03-15,0.12172064911174049,3.6064212911569683e-16,2.863498505178633e-13,1
43,44,57,2020-03-16,0.11927792570769383,1.1684886396529625e-14,8.76366479739722e-12,1
44,45,58,2020-03-17,0.11463736415865246,2.3743372305171173e-13,1.7285175038164613e-10,1
45,46,59,2020-03-18,0.10851551109898087,1.9374831334908536e-12,1.3794879910454877e-09,1
46,47,60,2020-03-19,0.10150200990663423,8.589426909078191e-12,6.012598836354734e-09,1
47,48,61,2020-03-20,0.09403255907295781,2.6144794652545044e-11,1.819677707817135e-08,1
48,49,62,2020-03-21,0.0863969917285583,6.426957470617585e-11,4.4217467397848985e-08,1
49,50,63,2020-03-22,0.07876164654185522,1.456283964409876e-10,9.975545156207651e-08,1
50,51,64,2020-03-23,0.07119287950506957,3.4701021464498256e-10,2.3561993574394315e-07,1
51,52,65,2020-03-24,0.06367605879153163,1.0086472350667264e-09,6.778109419648402e-07,1
52,53,66,2020-03-25,0.056128395275688046,4.2305160511086565e-09,2.7921405937317133e-06,1
53,54,67,2020-03-26,0.04840533333596835,3.050551426500321e-08,1.955403464386706e-05,1
54,55,68,2020-03-27,0.040300120268285555,4.448383123640851e-07,0.00026957201729263557,1
