,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.15173320357774622,1.001005922500319e-05,0.006316347370977013,-1
1,2,15,2020-02-03,-0.20244603061236335,6.744048026706486e-06,0.004275726448931912,-1
2,3,16,2020-02-04,-0.274399893600484,1.1290114251063997e-05,0.007112771978170318,-1
3,4,17,2020-02-05,-0.36636770229118826,1.2180996851841489e-05,0.007649666022956455,-1
4,5,18,2020-02-06,-0.38941393060882756,3.1480605132278068e-06,0.0020147587284657965,-1
5,6,19,2020-02-07,-0.36369809990587787,2.5858610494119462e-05,0.016006479895859946,-1
6,7,20,2020-02-08,-0.30715583262342455,0.0008602417817670095,0.45162693542768,0
7,8,21,2020-02-09,-0.23026570842831873,0.017771530998169627,1.0,0
8,9,22,2020-02-10,-0.14040353689097382,0.16183503138688046,1.0,0
9,10,23,2020-02-11,-0.04350463953263301,0.6690823671444289,1.0,0
10,11,24,2020-02-12,0.05515100938903038,0.5869322572595292,1.0,0
11,12,25,2020-02-13,0.15045534500700897,0.13065843642168912,1.0,0
12,13,26,2020-02-14,0.2370619612537417,0.01333206401427161,1.0,0
13,14,27,2020-02-15,0.3088891141486571,0.0006401151103649115,0.34130280199388097,0
14,15,28,2020-02-16,0.3582886783117622,2.54384467150919e-05,0.01577183696335698,1
15,16,29,2020-02-17,0.3741933791509779,7.248843601363569e-06,0.004588517999663139,1
16,17,30,2020-02-18,0.3370868825284757,4.5968231452659885e-05,0.02804062118612253,1
17,18,31,2020-02-19,0.23675168066741167,5.3715597344531135e-05,0.03265908318547493,1
18,19,32,2020-02-20,0.16324984184517113,0.00010262735075488673,0.06126852840066738,0
19,20,33,2020-02-21,0.10877841878825611,0.0005640860213972931,0.304042365533141,0
20,21,34,2020-02-22,0.06429648219156475,0.007850400973832768,1.0,0
21,22,35,2020-02-23,0.025756105275365513,0.1797442207980142,1.0,0
22,23,36,2020-02-24,-0.008932012208748098,0.6011124647192736,1.0,0
23,24,37,2020-02-25,-0.04090688364091918,0.02231993228477605,1.0,0
24,25,38,2020-02-26,-0.07066817133844423,0.00044755101399463447,0.2452579556690597,0
25,26,39,2020-02-27,-0.09805459540462118,1.329602391759271e-05,0.008323310972413036,-1
26,27,40,2020-02-28,-0.12202004285869297,5.030853050807808e-07,0.0003331169744886048,-1
27,28,41,2020-02-29,-0.14045313819754174,1.4700575113428464e-08,1.033450430474021e-05,-1
28,29,42,2020-03-01,-0.15055115961398416,3.704294555080553e-10,2.7782209163104145e-07,-1
29,30,43,2020-03-02,-0.14995375940034048,5.303455646269971e-10,3.9510744564711283e-07,-1
30,31,44,2020-03-03,-0.13784033184088432,1.4856491171966077e-07,0.00010042988032249068,-1
31,32,45,2020-03-04,-0.11507351821344775,4.128940373780596e-05,0.02535169389501286,-1
32,33,46,2020-03-05,-0.08367792426768228,0.003753280711247825,1.0,0
33,34,47,2020-03-06,-0.04630140956322608,0.10848454062059454,1.0,0
34,35,48,2020-03-07,-0.005879167605362015,0.8366884790600722,1.0,0
35,36,49,2020-03-08,0.034538126095888876,0.22188013301628312,1.0,0
36,37,50,2020-03-09,0.07187540382009641,0.010012420169969099,1.0,0
37,38,51,2020-03-10,0.1031156862660791,0.00012644989814203177,0.07473188980194077,0
38,39,52,2020-03-11,0.12544288960929395,5.269915954773957e-07,0.00034834144461055855,1
39,40,53,2020-03-12,0.13651887677477606,3.4185447228983805e-09,2.4750263793784273e-06,1
40,41,54,2020-03-13,0.13491933482218377,8.148433363211788e-09,5.8424267214228516e-06,1
41,42,55,2020-03-14,0.12048655844979392,8.795580823333798e-07,0.0005769901020106972,1
42,43,56,2020-03-15,0.09381228053443189,0.0001399293471246375,0.08255831480353612,0
43,44,57,2020-03-16,0.05354083561949231,0.03426521991576272,1.0,0
44,45,58,2020-03-17,-0.0175320991790898,0.6450821147428846,1.0,0
45,46,59,2020-03-18,0.5990232642350924,0.1330228546408415,1.0,0
46,47,60,2020-03-19,1.122868988987312,0.028396378316252108,1.0,0
47,48,61,2020-03-20,1.5544212716856067,0.006306587285504199,1.0,0
48,49,62,2020-03-21,1.8937458390810475,0.0014718545283984466,0.744758391369614,0
49,50,63,2020-03-22,2.140673011082143,0.00039888037941446675,0.21938420867795672,0
50,51,64,2020-03-23,2.294839358905569,0.00015029172984013244,0.08852182887583801,0
51,52,65,2020-03-24,2.35568305030996,9.759315842986685e-05,0.05845830189949024,0
52,53,66,2020-03-25,2.3224026727931686,0.00012409845278729448,0.07359038250286562,0
53,54,67,2020-03-26,2.193872862639213,0.0002908314710970791,0.16461061264094679,0
54,55,68,2020-03-27,1.9684868267303355,0.001030816728440159,0.5349938820604425,0
55,56,69,2020-03-28,1.643841391231599,0.0045195407707440205,1.0,0
56,57,70,2020-03-29,1.2159980040550606,0.021585939050523913,1.0,0
57,58,71,2020-03-30,0.6771531398027888,0.10886430106296381,1.0,0
58,59,72,2020-03-31,0.0,1.0,1.0,0
59,60,73,2020-04-01,0.0,1.0,1.0,0
60,61,74,2020-04-02,0.0,1.0,1.0,0
61,62,75,2020-04-03,0.0,1.0,1.0,0
62,63,76,2020-04-04,0.0,1.0,1.0,0
63,64,77,2020-04-05,0.0,1.0,1.0,0
64,65,78,2020-04-06,0.0,1.0,1.0,0
65,66,79,2020-04-07,0.0,1.0,1.0,0
66,67,80,2020-04-08,0.0,1.0,1.0,0
67,68,81,2020-04-09,0.0,1.0,1.0,0
68,69,82,2020-04-10,0.0,1.0,1.0,0
69,70,83,2020-04-11,0.0,1.0,1.0,0
70,71,84,2020-04-12,0.0,1.0,1.0,0
71,72,85,2020-04-13,0.0,1.0,1.0,0
72,73,86,2020-04-14,0.0,1.0,1.0,0
73,74,87,2020-04-15,0.0,1.0,1.0,0
74,75,88,2020-04-16,0.0,1.0,1.0,0
75,76,89,2020-04-17,0.0,1.0,1.0,0
76,77,90,2020-04-18,0.0,1.0,1.0,0
77,78,91,2020-04-19,0.0,1.0,1.0,0
78,79,92,2020-04-20,0.0,1.0,1.0,0
79,80,93,2020-04-21,0.0,1.0,1.0,0
80,81,94,2020-04-22,0.0,1.0,1.0,0
81,82,95,2020-04-23,0.0,1.0,1.0,0
82,83,96,2020-04-24,0.0,1.0,1.0,0
83,84,97,2020-04-25,0.0,1.0,1.0,0
84,85,98,2020-04-26,0.0,1.0,1.0,0
85,86,99,2020-04-27,0.0,1.0,1.0,0
86,87,100,2020-04-28,0.0,1.0,1.0,0
87,88,101,2020-04-29,0.0,1.0,1.0,0
88,89,102,2020-04-30,0.0,1.0,1.0,0
89,90,103,2020-05-01,0.0,1.0,1.0,0
90,91,104,2020-05-02,0.0,1.0,1.0,0
91,92,105,2020-05-03,0.0,1.0,1.0,0
92,93,106,2020-05-04,0.0,1.0,1.0,0
93,94,107,2020-05-05,0.0,1.0,1.0,0
94,95,108,2020-05-06,0.0,1.0,1.0,0
95,96,109,2020-05-07,0.0,1.0,1.0,0
96,97,110,2020-05-08,0.0,1.0,1.0,0
97,98,111,2020-05-09,0.0,1.0,1.0,0
98,99,112,2020-05-10,0.0,1.0,1.0,0
99,100,113,2020-05-11,0.0,1.0,1.0,0
100,101,114,2020-05-12,0.0,1.0,1.0,0
101,102,115,2020-05-13,0.0,1.0,1.0,0
102,103,116,2020-05-14,0.0,1.0,1.0,0
103,104,117,2020-05-15,0.0,1.0,1.0,0
