,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.02905331597042368,3.0611007840510254e-17,1.9407378970883502e-14,1
1,2,15,2020-02-03,0.0297398248768112,3.471277154436797e-18,2.2945141990827227e-15,1
2,3,16,2020-02-04,0.030308344526536173,2.255014215571832e-19,1.5875300077625697e-16,1
3,4,17,2020-02-05,0.03075177918112309,7.74476873590572e-21,5.746618402042044e-18,1
4,5,18,2020-02-06,0.03107433627162533,1.237548824789976e-22,9.888015110071908e-20,1
5,6,19,2020-02-07,0.03128695585392808,7.8320235549629185e-25,6.508411574174185e-22,1
6,7,20,2020-02-08,0.031403453769997,2.6957405965648407e-27,2.28868376648355e-24,1
7,8,21,2020-02-09,0.03143638570908958,1.8626323781089869e-28,1.5981385804175108e-25,1
8,9,22,2020-02-10,0.03139174929186535,3.404827688352051e-27,2.887293879722539e-24,1
9,10,23,2020-02-11,0.03126363968478519,2.471755240062434e-25,2.0663873806921948e-22,1
10,11,24,2020-02-12,0.031041122593831703,1.6972027138241132e-23,1.3747341981975317e-20,1
11,12,25,2020-02-13,0.030712741563210293,1.0559230193173004e-21,8.025014946811483e-19,1
12,13,26,2020-02-14,0.03025850152359389,6.316979938057517e-20,4.5545425353394697e-17,1
13,14,27,2020-02-15,0.029646071984873165,3.708193317786688e-18,2.4436993964214275e-15,1
14,15,28,2020-02-16,0.02883638106861689,1.8984403951011785e-16,1.1523533198264153e-13,1
15,16,29,2020-02-17,0.027793175522753722,7.253300672520226e-15,3.895022461143361e-12,1
16,17,30,2020-02-18,0.026495099172224954,1.8839539274820524e-13,8.64734852714262e-11,1
17,18,31,2020-02-19,0.02493447389180703,3.407933258380592e-12,1.410884368969565e-09,1
18,19,32,2020-02-20,0.023114965835951736,4.625738304357686e-11,1.6606400512644094e-08,1
19,20,33,2020-02-21,0.021051219137807716,5.11371853694369e-10,1.5852527464525439e-07,1
20,21,34,2020-02-22,0.018770407374333265,4.980752955904143e-09,1.2949957685350773e-06,1
21,22,35,2020-02-23,0.01631799349025488,4.572401977843068e-08,1.0333628469925333e-05,1
22,23,36,2020-02-24,0.013753160144889875,4.185199385675472e-07,7.993730826640152e-05,1
23,24,37,2020-02-25,0.011140821169745302,4.009104347839607e-06,0.000653484008697856,1
24,25,38,2020-02-26,0.008547902043061537,4.329067114560134e-05,0.005584496577782573,1
25,26,39,2020-02-27,0.006038426172201036,0.0005910433662021349,0.05822958813029765,0
26,27,40,2020-02-28,0.003662529013807974,0.011125995077385601,0.7231896800300641,0
27,28,41,2020-02-29,0.0014482528214715862,0.22159293780497402,1.0,0
