,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.010441911314250136,8.948163129020462e-18,6.800603978055551e-15,-1
1,2,15,2020-02-03,-0.010123822514961012,4.2193238286773644e-15,2.8100696698991247e-12,-1
2,3,16,2020-02-04,-0.009668563223720537,6.640323343749935e-13,3.831466569343713e-10,-1
3,4,17,2020-02-05,-0.009043738993775058,4.452930173279365e-11,2.2042004357732855e-08,-1
4,5,18,2020-02-06,-0.008235866144635376,1.629034531284407e-09,6.597589851701848e-07,-1
5,6,19,2020-02-07,-0.007249429517177611,4.176798011109023e-08,1.3282217675326693e-05,-1
6,7,20,2020-02-08,-0.006098057007584682,9.608900346052201e-07,0.0002431051787551207,-1
7,8,21,2020-02-09,-0.004802956119722235,2.4822908545578727e-05,0.004617060989477643,-1
8,9,22,2020-02-10,-0.003395570843432892,0.0008330917325983544,0.10330337484219594,0
9,10,23,2020-02-11,-0.001916060455290465,0.032637785992940226,1.0,0
10,11,24,2020-02-12,-0.0004058756523051,0.6219051075809189,1.0,0
11,12,25,2020-02-13,0.0010941819291226675,0.19256891743990528,1.0,0
12,13,26,2020-02-14,0.0025441266960231825,0.0060325076101153405,0.5911857457913033,0
13,14,27,2020-02-15,0.003907963515918797,0.00015000586719411888,0.02295089768070019,1
14,15,28,2020-02-16,0.0051568484782847385,4.295426382480582e-06,0.0009566008455503843,1
15,16,29,2020-02-17,0.0062629419665824445,1.2750620833126282e-07,3.723181283272875e-05,1
16,17,30,2020-02-18,0.00720642265093406,3.2293200159714264e-09,1.249235267494218e-06,1
17,18,31,2020-02-19,0.007978478084715449,5.696641894510132e-11,2.7742646026264343e-08,1
18,19,32,2020-02-20,0.008582045195162945,5.887909396884276e-13,3.41498745019288e-10,1
19,20,33,2020-02-21,0.009032380515749259,3.2279654834077654e-15,2.175648735816834e-12,1
20,21,34,2020-02-22,0.009364407407054494,1.1513985702945375e-17,8.71608717712965e-15,1
21,22,35,2020-02-23,0.009631323844576888,1.8682325291074204e-19,1.4927177907568288e-16,1
22,23,36,2020-02-24,0.009889187433056853,9.37218248370331e-19,7.347791067223394e-16,1
23,24,37,2020-02-25,0.010180813722566746,7.143903702861177e-17,5.2507692216029654e-14,1
24,25,38,2020-02-26,0.010535715397509273,2.9003886770771962e-15,1.9635631343812617e-12,1
25,26,39,2020-02-27,0.010971715883750153,4.062868361218286e-14,2.5474184624838653e-11,1
26,27,40,2020-02-28,0.011490562785084427,2.121454483770299e-13,1.2792370537134903e-10,1
27,28,41,2020-02-29,0.012083855154789607,4.692144303536893e-13,2.7449044175690825e-10,1
28,29,42,2020-03-01,0.012732575665277463,4.799304276448194e-13,2.8027936974457456e-10,1
29,30,43,2020-03-02,0.013407472391354456,2.502831886939947e-13,1.5016991321639684e-10,1
30,31,44,2020-03-03,0.014079445784336212,7.182945852634467e-14,4.424694645222832e-11,1
31,32,45,2020-03-04,0.01472190804060924,1.1928476839909635e-14,7.729652992261443e-12,1
32,33,46,2020-03-05,0.015312923323797255,1.1991750858869218e-15,8.202357587466546e-13,1
33,34,47,2020-03-06,0.015835819793546372,8.764817587609211e-17,6.424611291717552e-14,1
34,35,48,2020-03-07,0.016286205430062563,6.913288839810151e-18,5.267926095935335e-15,1
35,36,49,2020-03-08,0.016671325876385607,8.687671568856203e-19,6.828509853120976e-16,1
