,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-8.062151737881587e-05,3.205536951538733e-07,8.911392725277677e-05,-1
1,2,15,2020-02-03,-9.245185519194288e-05,5.19601453796565e-09,1.8082130592120462e-06,-1
2,3,16,2020-02-04,-0.00010041587740136142,4.4867275932997595e-11,1.9831335962384936e-08,-1
3,4,17,2020-02-05,-0.00010392983604763957,8.28424034628205e-13,4.332657701105512e-10,-1
4,5,18,2020-02-06,-0.00010266205679051905,4.878697333473241e-12,2.3612895094010488e-09,-1
5,6,19,2020-02-07,-9.658959152339856e-05,8.496392967244798e-10,3.2456221134875127e-07,-1
6,7,20,2020-02-08,-8.598447134890069e-05,1.0643868904705175e-07,3.118653589078616e-05,-1
7,8,21,2020-02-09,-7.135893391451337e-05,7.619907822425443e-06,0.0018516376008493826,-1
8,9,22,2020-02-10,-5.3440096055700107e-05,0.00040350402807737637,0.08110430964355266,0
9,10,23,2020-02-11,-3.3154021858702465e-05,0.01701336333255399,1.0,0
10,11,24,2020-02-12,-1.1653575043210354e-05,0.36162257655579655,1.0,0
11,12,25,2020-02-13,9.755079737693062e-06,0.4293626772564212,1.0,0
12,13,26,2020-02-14,2.9725060689983666e-05,0.018405701214527583,1.0,0
13,14,27,2020-02-15,4.700825820001683e-05,0.00028273205869614034,0.05854715596033547,0
14,15,28,2020-02-16,6.061122866259915e-05,2.569543373573634e-06,0.0006500944735141293,1
15,16,29,2020-02-17,6.986448529284883e-05,1.4508936463544869e-08,4.747740316283917e-06,1
16,17,30,2020-02-18,7.444706117179273e-05,1.435184930263359e-10,5.9560174605929394e-08,1
17,18,31,2020-02-19,7.439534727687598e-05,1.5372796953893578e-10,6.364337938911941e-08,1
18,19,32,2020-02-20,7.010809098849961e-05,7.693887894726434e-09,2.606327149074689e-06,1
19,20,33,2020-02-21,6.222180042442616e-05,4.1720734213673516e-07,0.00011348039706119197,1
20,21,34,2020-02-22,5.1554122654849576e-05,1.319987133752502e-05,0.003088769892980855,1
21,22,35,2020-02-23,3.913740980058048e-05,0.0002823056287420778,0.05854715596033547,0
22,23,36,2020-02-24,2.6292539939596128e-05,0.00447947703185112,0.7615110954146903,0
23,24,37,2020-02-25,1.4477981412785268e-05,0.05170769547668643,1.0,0
24,25,38,2020-02-26,5.009479672989015e-06,0.37053798393789084,1.0,0
25,26,39,2020-02-27,-1.0375165048382363e-06,0.7971383762738254,1.0,0
26,27,40,2020-02-28,-2.9266841319495464e-06,0.3882893323743487,1.0,0
27,28,41,2020-02-29,-2.5220135305471746e-07,0.9537998995876845,1.0,0
28,29,42,2020-03-01,7.1688935362382944e-06,0.27517116172575284,1.0,0
29,30,43,2020-03-02,1.926357894757353e-05,0.04276348445953967,1.0,0
30,31,44,2020-03-03,3.566326952558579e-05,0.005573024423942954,0.9306950787984732,0
31,32,45,2020-03-04,5.5713574045414834e-05,0.000683803919373048,0.13265796035837132,0
32,33,46,2020-03-05,7.855582096036506e-05,7.917063767494566e-05,0.017259199013138153,1
33,34,47,2020-03-06,0.00010315679268822371,8.44207982293536e-06,0.002042983317150357,1
34,35,48,2020-03-07,0.00012835896666108862,8.17487055161803e-07,0.000215816582562716,1
35,36,49,2020-03-08,0.00015301489576178198,7.210033769537311e-08,2.1413800295525812e-05,1
36,37,50,2020-03-09,0.00017622363815056072,5.680710722588391e-09,1.9712066207381716e-06,1
37,38,51,2020-03-10,0.00019744154771255738,3.8747950935602586e-10,1.5382936521434226e-07,1
38,39,52,2020-03-11,0.00021649687244745672,2.342087713734637e-11,1.0656499097492597e-08,1
39,40,53,2020-03-12,0.00023346472515661676,1.3829308163047381e-12,7.122093703969401e-10,1
40,41,54,2020-03-13,0.00024853385286729545,9.887498513947574e-14,5.4381241826711656e-11,1
41,42,55,2020-03-14,0.0002619383513719217,1.1708527251376979e-14,6.837779914804155e-12,1
42,43,56,2020-03-15,0.0002739773974493382,2.773386920385336e-15,1.716726503718523e-12,1
43,44,57,2020-03-16,0.0002849886216405092,1.2051392679082967e-15,7.658551517718441e-13,1
44,45,58,2020-03-17,0.0002952862172535692,7.316806930147822e-16,4.712023663015197e-13,1
45,46,59,2020-03-18,0.00030506195936568664,4.577519679841721e-16,2.989120350936644e-13,1
46,47,60,2020-03-19,0.00031446254727089364,2.4617641398884588e-16,1.6434826767311892e-13,1
47,48,61,2020-03-20,0.00032373834418841806,1.1376727200507682e-16,7.724797769144716e-14,1
48,49,62,2020-03-21,0.00033316680017879305,5.152924583077819e-17,3.5812825852390843e-14,1
49,50,63,2020-03-22,0.0003430168349959846,3.111567602328638e-17,2.2029898624486758e-14,1
50,51,64,2020-03-23,0.00035349811982817174,3.766599196517196e-17,2.6403860367585543e-14,1
51,52,65,2020-03-24,0.0003647486753037109,9.894270812576587e-17,6.737998423364655e-14,1
52,53,66,2020-03-25,0.000376923513657862,3.6922477034668557e-16,2.4258067411777244e-13,1
53,54,67,2020-03-26,0.00039005079586268453,1.1929516059427804e-15,7.599101729855511e-13,1
54,55,68,2020-03-27,0.00040394994827934634,2.4639295439092616e-15,1.5325641763115608e-12,1
55,56,69,2020-03-28,0.00041810625155388066,2.6937401708819195e-15,1.6701189059467902e-12,1
56,57,70,2020-03-29,0.0004316051721626546,1.315458279751467e-15,8.3400054936243e-13,1
57,58,71,2020-03-30,0.0004431963823733257,2.326711674583871e-16,1.55657011029661e-13,1
58,59,72,2020-03-31,0.00045136875188244807,1.3226943531593246e-17,9.523399342747137e-15,1
59,60,73,2020-04-01,0.00045437373535424554,1.3920176154374875e-18,1.0384451411163656e-15,1
60,61,74,2020-04-02,0.0004504449577320775,4.261590985529461e-17,2.9788520988850934e-14,1
61,62,75,2020-04-03,0.000438139964139287,1.68798694256087e-14,9.756564528001829e-12,1
62,63,76,2020-04-04,0.00041651288247274604,3.1187668095746606e-12,1.5500271043586063e-09,1
63,64,77,2020-04-05,0.00038522955415315875,2.4274360041488675e-10,9.806841456761424e-08,1
64,65,78,2020-04-06,0.0003446028026782105,1.0679763503013458e-08,3.5777207735095085e-06,1
65,66,79,2020-04-07,0.00029554936881537926,3.3729420648366554e-07,9.343049519597535e-05,1
66,67,80,2020-04-08,0.0002396289573883657,9.086817850356814e-06,0.002162662648384922,1
67,68,81,2020-04-09,0.00017917422599813743,0.00023068351171665275,0.04821285394878042,1
68,69,82,2020-04-10,0.00011705648493534181,0.00574137724958088,0.947461638815871,0
69,70,83,2020-04-11,5.627878052560345e-05,0.11874587527149323,1.0,0
70,71,84,2020-04-12,-4.7376989248356684e-07,0.9878819629833918,1.0,0
71,72,85,2020-04-13,-5.111332162138075e-05,0.07703638260184012,1.0,0
72,73,86,2020-04-14,-9.432352862939782e-05,0.0009232838380489426,0.1754239292292991,0
73,74,87,2020-04-15,-0.00012969157936191391,4.977154333450549e-06,0.0012393114290291868,-1
74,75,88,2020-04-16,-0.00015759383301357103,1.8542851103371532e-08,5.9742584987222766e-06,-1
75,76,89,2020-04-17,-0.00017912857632609787,5.140796292172459e-11,2.2568095722637094e-08,-1
76,77,90,2020-04-18,-0.00019594709501436668,2.120938709368793e-13,1.1453069030591481e-10,-1
77,78,91,2020-04-19,-0.00021008771774671365,2.23941391204002e-14,1.2831841715989315e-11,-1
78,79,92,2020-04-20,-0.0002238692421336257,1.7765047626074806e-13,9.64642086095862e-11,-1
79,80,93,2020-04-21,-0.00024001494823003048,4.91308257432955e-12,2.3730188834011724e-09,-1
80,81,94,2020-04-22,-0.00026139895809715335,9.900443523221774e-11,4.237389827938919e-08,-1
81,82,95,2020-04-23,-0.00029059532227194155,1.057208882463251e-09,3.975105398061824e-07,-1
82,83,96,2020-04-24,-0.0003299702330915708,6.154489478020052e-09,2.123298869916918e-06,-1
83,84,97,2020-04-25,-0.00038180601036159586,2.1964525223762447e-08,6.984719021156458e-06,-1
84,85,98,2020-04-26,-0.00044848913431181356,5.3963156854613715e-08,1.6188947056384116e-05,-1
85,86,99,2020-04-27,-0.0005325409249408335,9.917052136523894e-08,2.915613328138025e-05,-1
86,87,100,2020-04-28,-0.0006364543497744004,1.4275393040786703e-07,4.154139374868931e-05,-1
87,88,101,2020-04-29,-0.0007625234915688086,1.645121221261716e-07,4.754400329446359e-05,-1
88,89,102,2020-04-30,-0.000912358906489811,1.5368627531790294e-07,4.4569019842191854e-05,-1
89,90,103,2020-05-01,-0.0010870848417621174,1.1921893510990587e-07,3.481192905209251e-05,-1
90,91,104,2020-05-02,-0.0012875386419757102,7.946070072394206e-08,2.352036741428685e-05,-1
91,92,105,2020-05-03,-0.0015142899300281322,4.730176345941766e-08,1.4474339618581803e-05,-1
92,93,106,2020-05-04,-0.0017675390370669127,2.612898910647752e-08,8.178373590327463e-06,-1
93,94,107,2020-05-05,-0.0020473608162642543,1.3812148925692319e-08,4.544196996552773e-06,-1
94,95,108,2020-05-06,-0.002353593203527303,7.16201867195707e-09,2.4480678229842043e-06,-1
95,96,109,2020-05-07,-0.002685562149424858,3.7060105870226677e-09,1.3082217372190016e-06,-1
96,97,110,2020-05-08,-0.0030419828230370156,1.923909359866659e-09,7.099225537907972e-07,-1
97,98,111,2020-05-09,-0.0034207302103386092,9.93222750156465e-10,3.7543819955914377e-07,-1
98,99,112,2020-05-10,-0.003818745634022745,4.990269216107435e-10,1.9711563403624367e-07,-1
99,100,113,2020-05-11,-0.004232218475278041,2.3743105334920276e-10,9.615957660642712e-08,-1
100,101,114,2020-05-12,-0.004656773677113427,1.0428437404679691e-10,4.452942771798228e-08,-1
101,102,115,2020-05-13,-0.005087615339598236,4.14768545627151e-11,1.845720028040822e-08,-1
102,103,116,2020-05-14,-0.005519507176673232,1.4871733592803873e-11,6.870740919875389e-09,-1
103,104,117,2020-05-15,-0.0059474324954475934,4.8628286436892455e-12,2.358471892189284e-09,-1
104,105,118,2020-05-16,-0.006366915620088831,1.482088274518363e-12,7.617933731024385e-10,-1
105,106,119,2020-05-17,-0.006774699714292075,4.365114918769492e-13,2.3178760218666003e-10,-1
106,107,120,2020-05-18,-0.007168965047688215,1.308218607141672e-13,7.129791408922112e-11,-1
107,108,121,2020-05-19,-0.007549266543017204,4.224846977622178e-14,2.3828136953789087e-11,-1
108,109,122,2020-05-20,-0.00791633283071626,1.54152731431423e-14,8.940858423022533e-12,-1
109,110,123,2020-05-21,-0.008271895046289031,6.527781234508366e-15,3.8775020532979695e-12,-1
110,111,124,2020-05-22,-0.00861842155743762,3.2069767570649823e-15,1.969083728837899e-12,-1
111,112,125,2020-05-23,-0.008958445149975089,1.7805535957963234e-15,1.1146265509684985e-12,-1
112,113,126,2020-05-24,-0.009293171139372022,1.0554729243610998e-15,6.755026715911039e-13,-1
113,114,127,2020-05-25,-0.009621839801768235,6.166680038417673e-16,4.0021753449330695e-13,-1
114,115,128,2020-05-26,-0.009941765991333049,3.2532479926389353e-16,2.1438904271490583e-13,-1
115,116,129,2020-05-27,-0.010248383867207876,1.418116065799419e-16,9.600645765462067e-14,-1
116,117,130,2020-05-28,-0.01053551535344048,4.665908287561079e-17,3.2474721681425113e-14,-1
117,118,131,2020-05-29,-0.010796040618356536,1.0436363979202648e-17,7.56636388492192e-15,-1
118,119,132,2020-05-30,-0.011022288839067492,1.400424671687354e-18,1.0433163804070789e-15,-1
119,120,133,2020-05-31,-0.011206938667940564,9.45684838319541e-20,7.306004484779496e-17,-1
120,121,134,2020-06-01,-0.011343668368000902,2.5151855005902343e-21,2.03730025547809e-18,-1
121,122,135,2020-06-02,-0.011427733468063634,2.5729919494471743e-23,2.143302293889496e-20,-1
122,123,136,2020-06-03,-0.01145671869908262,1.2299077394211387e-24,1.03681222433202e-21,-1
123,124,137,2020-06-04,-0.011430429769547112,1.9070642412090637e-23,1.5904915771683592e-20,-1
124,125,138,2020-06-05,-0.011350966375911632,1.3603872925251775e-21,1.1073552561154944e-18,-1
125,126,139,2020-06-06,-0.011222881016744958,3.856371771054851e-20,3.027251840278058e-17,-1
126,127,140,2020-06-07,-0.0110523680725933,4.451280937047732e-19,3.3651683884080856e-16,-1
