,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.0020098818042567886,4.714738692011643e-07,3.583201405928849e-05,1
1,2,15,2020-02-03,0.0016379884037434416,4.2963473323059554e-05,0.0022341006127990968,1
2,3,16,2020-02-04,0.001172945981730938,0.0023039373954580997,0.0788499586487272,0
3,4,17,2020-02-05,0.0006443300552189861,0.07310649082751122,1.0,0
4,5,18,2020-02-06,8.131825566597344e-05,0.8106938754547748,1.0,0
5,6,19,2020-02-07,-0.0004955664272202573,0.1476382283795623,1.0,0
6,7,20,2020-02-08,-0.0010746471861968622,0.0036904684401042388,0.11809499008333564,0
7,8,21,2020-02-09,-0.0016577390625163871,6.867163184633916e-05,0.003433581592316958,-1
8,9,22,2020-02-10,-0.0022539193362515163,2.8002224206368188e-06,0.00018201445734139323,-1
9,10,23,2020-02-11,-0.0028758062044771434,4.208447546933695e-07,3.2979713236474666e-05,-1
10,11,24,2020-02-12,-0.0035393152430705332,1.8209033620135835e-07,1.5375959343874984e-05,-1
11,12,25,2020-02-13,-0.004259679557545994,1.2474791881978056e-07,1.1476808531419811e-05,-1
12,13,26,2020-02-14,-0.0050476879888311935,8.792105053400563e-08,8.176657699662523e-06,-1
13,14,27,2020-02-15,-0.005908421311705568,5.2403004554175095e-08,5.34510646452586e-06,-1
14,15,28,2020-02-16,-0.006841101773900931,2.4736006600101422e-08,2.653587496595523e-06,-1
15,16,29,2020-02-17,-0.007839367081018782,9.18843669673409e-09,1.0908340674588788e-06,-1
16,17,30,2020-02-18,-0.008893241907076155,2.783724754443426e-09,3.6188421807764535e-07,-1
17,18,31,2020-02-19,-0.009989374674891728,7.463830689428138e-10,1.08225544996708e-07,-1
18,19,32,2020-02-20,-0.011112729426959525,2.021567836104392e-10,3.1536458243228514e-08,-1
19,20,33,2020-02-21,-0.012251683832118563,6.293345108399288e-11,1.113922084186674e-08,-1
20,21,34,2020-02-22,-0.013397451392048173,2.4743537659185177e-11,4.5775544669492574e-09,-1
21,22,35,2020-02-23,-0.014546568724821398,1.1927738134190264e-11,2.349764412435482e-09,-1
22,23,36,2020-02-24,-0.015694913253359397,6.214260738077886e-12,1.3298517979486676e-09,-1
23,24,37,2020-02-25,-0.01683151036479881,2.9840073207857115e-12,6.799991923024673e-10,-1
24,25,38,2020-02-26,-0.01793868365511448,1.1546236188861149e-12,2.7480042129489534e-10,-1
25,26,39,2020-02-27,-0.018996315551993378,3.3130360848388073e-13,8.514502738035735e-11,-1
26,27,40,2020-02-28,-0.019987194501543182,6.842234046363141e-14,1.9089832989353164e-11,-1
27,28,41,2020-02-29,-0.020903286644144228,1.0472417276678093e-14,3.3511735285369897e-12,-1
28,29,42,2020-03-01,-0.021742716001266007,1.2871147498582822e-15,4.955391786954386e-13,-1
29,30,43,2020-03-02,-0.022511545791711135,1.5628713542003695e-16,6.767232963687599e-14,-1
30,31,44,2020-03-03,-0.02322616305262599,2.8286753295350666e-17,1.4284810414152088e-14,-1
31,32,45,2020-03-04,-0.02391061389814819,1.2850517241414002e-17,6.7979236207080066e-15,-1
32,33,46,2020-03-05,-0.024591269043485884,1.724943031804527e-17,8.986953195701586e-15,-1
33,34,47,2020-03-06,-0.02529165547960068,4.527654433982229e-17,2.203751480564606e-14,-1
34,35,48,2020-03-07,-0.02602970756926486,1.3309156755896967e-16,5.816101502326975e-14,-1
35,36,49,2020-03-08,-0.02681883600988618,3.161919012600353e-16,1.3216821472669477e-13,-1
36,37,50,2020-03-09,-0.027667625632538755,5.381692656763061e-16,2.1526770627052244e-13,-1
37,38,51,2020-03-10,-0.0285769453250596,6.550967609655701e-16,2.567979302985035e-13,-1
38,39,52,2020-03-11,-0.02954057212753274,6.110883224548358e-16,2.4137988736966015e-13,-1
39,40,53,2020-03-12,-0.030550780450067323,4.957438561748618e-16,1.9928903018229446e-13,-1
40,41,54,2020-03-13,-0.03160008376240353,4.0041363920544437e-16,1.6369006271812296e-13,-1
41,42,55,2020-03-14,-0.03268362804562307,3.469577122852491e-16,1.4364049288609314e-13,-1
42,43,56,2020-03-15,-0.03379440473869047,3.315580835374761e-16,1.3825972083512754e-13,-1
43,44,57,2020-03-16,-0.03492462857749414,3.3853720397889143e-16,1.4049293965123994e-13,-1
44,45,58,2020-03-17,-0.03606692868641273,3.373077591173912e-16,1.4032002779283475e-13,-1
45,46,59,2020-03-18,-0.037202846663300315,2.7458330043864587e-16,1.155995694846699e-13,-1
46,47,60,2020-03-19,-0.03829097827071991,1.4272400652594465e-16,6.194221883225998e-14,-1
47,48,61,2020-03-20,-0.039262948726037666,3.5490238481857777e-17,1.7603158287001457e-14,-1
48,49,62,2020-03-21,-0.04002758929871386,3.1693562533483876e-18,1.765331433115052e-15,-1
49,50,63,2020-03-22,-0.04048722936657252,1.204336802774422e-19,7.50301828128465e-17,-1
50,51,64,2020-03-23,-0.040560553173583244,4.619875533123731e-20,3.002919096530425e-17,-1
51,52,65,2020-03-24,-0.04019441513618963,3.1712320016429325e-18,1.765331433115052e-15,-1
52,53,66,2020-03-25,-0.039379064603189136,4.002202022447994e-16,1.6369006271812296e-13,-1
53,54,67,2020-03-26,-0.0381357007866936,1.7555192371361368e-14,5.406999250379301e-12,-1
54,55,68,2020-03-27,-0.036493433397908004,3.2077479360662583e-13,8.308067154411609e-11,-1
55,56,69,2020-03-28,-0.03448441333547677,3.2295376390512256e-12,7.266459687865257e-10,-1
56,57,70,2020-03-29,-0.0321414605441426,2.2322797037451154e-11,4.196685843040817e-09,-1
57,58,71,2020-03-30,-0.029499747971159437,1.2804064931357077e-10,2.1382788435366318e-08,-1
58,59,72,2020-03-31,-0.026595573220857396,7.513364537853689e-10,1.08225544996708e-07,-1
59,60,73,2020-04-01,-0.023456171978815915,5.651907395394225e-09,7.008365170288839e-07,-1
60,61,74,2020-04-02,-0.02009514050175554,6.552986114285523e-08,6.487456253142668e-06,-1
61,62,75,2020-04-03,-0.016518456908260207,1.2608977304739417e-06,8.700194340270198e-05,-1
62,63,76,2020-04-04,-0.012735905994712953,3.835954873785625e-05,0.0020330560831063813,-1
63,64,77,2020-04-05,-0.008767072051162159,0.0016058614020733274,0.06102273327878644,0
64,65,78,2020-04-06,-0.004656542234653368,0.06293119727108917,1.0,0
65,66,79,2020-04-07,-0.0004705763920577866,0.8422165355985471,1.0,0
66,67,80,2020-04-08,0.0036910514280700836,0.1306598183379849,1.0,0
67,68,81,2020-04-09,0.007708706389068659,0.0038297049287901183,0.11872085279249367,0
68,69,82,2020-04-10,0.011469860005129813,8.175444431853227e-05,0.003924213327289549,1
