,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.07564241533430598,0.00015151809063216357,0.08257735939452915,0
1,2,15,2020-02-03,-0.1034018370953901,1.2266910012465608e-05,0.006955337977067999,-1
2,3,16,2020-02-04,-0.13101106770364407,1.357243812481249e-06,0.0008007738493639369,-1
3,4,17,2020-02-05,-0.15574203931798086,1.193062733145457e-07,7.194168280867105e-05,-1
4,5,18,2020-02-06,-0.17250161083679097,5.391637814785492e-09,3.3859485476852887e-06,-1
5,6,19,2020-02-07,-0.1760237961355303,1.422919244778776e-09,9.092453974136379e-07,-1
6,7,20,2020-02-08,-0.1640592120398559,1.6400705390864038e-07,9.807621823736695e-05,-1
7,8,21,2020-02-09,-0.13766447982637026,5.957113664295029e-05,0.03312155197348036,-1
8,9,22,2020-02-10,-0.09969476505558926,0.006071097665476436,1.0,0
9,10,23,2020-02-11,-0.05366773510624155,0.15234673846357766,1.0,0
10,11,24,2020-02-12,-0.0032728844334605927,0.9317533111028502,1.0,0
11,12,25,2020-02-13,0.04777985132468901,0.21671373792259696,1.0,0
12,13,26,2020-02-14,0.09578493865701791,0.012988859144703536,1.0,0
13,14,27,2020-02-15,0.13705091776189812,0.00024381274993343538,0.13141507221412166,0
14,15,28,2020-02-16,0.1679878723279042,1.4811745514170327e-06,0.0008694494616817982,1
15,16,29,2020-02-17,0.18539359560541002,8.258175066523895e-09,5.144843066444386e-06,1
16,17,30,2020-02-18,0.18710902320809028,4.340347571547758e-09,2.7430996652181834e-06,1
17,18,31,2020-02-19,0.17338081258920954,9.907603679694725e-08,5.9941002262153085e-05,1
18,19,32,2020-02-20,0.14805144927218775,1.8142414876353113e-06,0.0010595170287790218,1
19,20,33,2020-02-21,0.11698453091354126,2.1486583499077923e-05,0.012118433093479949,1
20,21,34,2020-02-22,0.08474465979545187,0.00027191080533650743,0.14574419166036798,0
21,22,35,2020-02-23,0.05362686857840966,0.004979209857848431,1.0,0
22,23,36,2020-02-24,0.024581616746316263,0.11495727369672072,1.0,0
23,24,37,2020-02-25,-0.0018930755529757463,0.8883841613161482,1.0,0
24,25,38,2020-02-26,-0.02527641412742248,0.05292102148753814,1.0,0
25,26,39,2020-02-27,-0.044807832991484504,0.0007770050484540823,0.3822864838394085,0
26,27,40,2020-02-28,-0.05944532687434416,7.594680006327555e-06,0.004336562283613034,-1
27,28,41,2020-02-29,-0.06800885107926201,7.367511874294421e-08,4.494182243319597e-05,-1
28,29,42,2020-03-01,-0.0694759743106444,1.9541161633991635e-08,1.207643788980683e-05,-1
29,30,43,2020-03-02,-0.06329285433908292,2.5169153340606157e-06,0.0014623278090892177,-1
30,31,44,2020-03-03,-0.04961861635089891,0.0007878349265453492,0.38682694893376646,0
31,32,45,2020-03-04,-0.02934798187335988,0.06691256675452611,1.0,0
32,33,46,2020-03-05,-0.0039287252713173055,0.8231211217641513,1.0,0
