,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,0.04628024914556659,0.02047798376690844,1.0,0
1,2,15,2020-02-03,0.010399098521417002,0.5771285217300743,1.0,0
2,3,16,2020-02-04,-0.028447898761672714,0.17763655564716335,1.0,0
3,4,17,2020-02-05,-0.0736494027171223,0.00811819458591199,1.0,0
4,5,18,2020-02-06,-0.13471538940562183,0.0010532368075370075,0.5592687448021509,0
5,6,19,2020-02-07,0.7218795375510664,0.18156850785348713,1.0,0
6,7,20,2020-02-08,1.4528243455357222,0.036600208030177224,1.0,0
7,8,21,2020-02-09,2.0575776679522555,0.007727644604982063,1.0,0
8,9,22,2020-02-10,2.535457041852945,0.0017067130757494795,0.853272774563661,0
9,10,23,2020-02-11,2.885639244947058,0.0004346696012818259,0.2560203951549955,0
10,11,24,2020-02-12,3.107165425927317,0.00015356906606763557,0.1005877382743013,0
11,12,25,2020-02-13,2.2567309435884466,0.022687792675595318,1.0,0
12,13,26,2020-02-14,1.4717411567479237,0.16824419758198705,1.0,0
13,14,27,2020-02-15,0.710128433114699,0.5212770885786705,1.0,0
14,15,28,2020-02-16,-0.04042503346304791,0.9711787761768675,1.0,0
15,16,29,2020-02-17,-0.7881873730362273,0.4760528640185342,1.0,0
16,17,30,2020-02-18,-1.5408939074781396,0.14836145920219204,1.0,0
17,18,31,2020-02-19,-2.30799235883043,0.0196432494953204,1.0,0
18,19,32,2020-02-20,-3.106952553025105,0.00020704459176256975,0.1320944495445195,0
19,20,33,2020-02-21,-2.870438674690588,0.0005990132273175754,0.3402395131163828,0
20,21,34,2020-02-22,-2.5035398852342343,0.0023629760590920313,1.0,0
21,22,35,2020-02-23,-2.0073008631465163,0.010676025828764644,1.0,0
22,23,36,2020-02-24,-1.3826334047921895,0.05049114598030352,1.0,0
23,24,37,2020-02-25,-0.6303555029224921,0.2516578180568221,1.0,0
24,25,38,2020-02-26,0.24878328847528058,8.294448119527132e-05,0.055655746882027055,0
25,26,39,2020-02-27,0.1669985964066722,5.425383346698869e-06,0.0038086191093826063,1
26,27,40,2020-02-28,0.12551610595649265,4.487636857183988e-06,0.003163783984314711,1
27,28,41,2020-02-29,0.09438747904372748,1.220556536145817e-05,0.00840963453404468,1
28,29,42,2020-03-01,0.06779874142827894,0.00010570322779481197,0.07050405293913958,0
29,30,43,2020-03-02,0.04313363841901809,0.003010926896197092,1.0,0
30,31,44,2020-03-03,0.01880034513898958,0.14345410075843934,1.0,0
31,32,45,2020-03-04,-0.006275476292358878,0.6344948871882989,1.0,0
32,33,46,2020-03-05,-0.03271941956099173,0.03740880616628722,1.0,0
33,34,47,2020-03-06,-0.06054614826229951,0.001706545549127322,0.853272774563661,0
34,35,48,2020-03-07,-0.08869772737071556,0.00010402640102187693,0.06959366228363567,0
35,36,49,2020-03-08,-0.11434430132631898,6.1594874231154776e-06,0.004305481708757719,-1
36,37,50,2020-03-09,-0.13277073025153371,2.405041425402648e-07,0.0001770110489096349,-1
37,38,51,2020-03-10,-0.13924483961521378,2.687214684151445e-08,2.0530320186917038e-05,-1
38,39,52,2020-03-11,-0.13150255503671235,6.451574509456304e-07,0.000462577892328017,-1
39,40,53,2020-03-12,-0.11007897686994267,0.0001591276505861568,0.10391035583276038,0
40,41,54,2020-03-13,-0.07718369870238986,0.01443291647720017,1.0,0
41,42,55,2020-03-14,-0.035772999858733175,0.2858007041983167,1.0,0
42,43,56,2020-03-15,0.010868573294007932,0.7584277249084749,1.0,0
43,44,57,2020-03-16,0.05934022232791352,0.10860388145555896,1.0,0
44,45,58,2020-03-17,0.10616699416324016,0.005153439212305598,1.0,0
45,46,59,2020-03-18,0.1478427278621566,8.751394641437264e-05,0.058634344097629666,0
46,47,60,2020-03-19,0.18093411214789806,4.60129495958355e-07,0.0003345141435617241,1
47,48,61,2020-03-20,0.20237805401665962,7.766370264960118e-10,6.158731620113374e-07,1
48,49,62,2020-03-21,0.2101742512252466,1.507346528493364e-11,1.2345168068360652e-08,1
49,50,63,2020-03-22,0.20455180235137763,1.3796670136828523e-10,1.1106319460146961e-07,1
50,51,64,2020-03-23,0.18873632102581023,1.989734351217624e-09,1.5699004031107054e-06,1
51,52,65,2020-03-24,0.16755402270436504,1.1247756277307611e-08,8.739506627468014e-06,1
52,53,66,2020-03-25,0.14482439305375033,4.111787685376271e-08,3.124958640885966e-05,1
53,54,67,2020-03-26,0.12246038998447667,1.4575549038395186e-07,0.00010756755190335647,1
