,start,end,date,slope,p_value,p_value Holm (alpha=0.05),up/down trend
0,1,14,2020-02-02,-0.001769656909040807,4.304318127204585e-05,0.005853872652998236,-1
1,2,15,2020-02-03,-0.002240649958849548,1.5332588530776188e-06,0.0003081850294686014,-1
2,3,16,2020-02-04,-0.0026467081802091534,4.230376365688341e-08,1.142201618735852e-05,-1
3,4,17,2020-02-05,-0.0029692900304548768,6.992591253077611e-10,2.5243254423610176e-07,-1
4,5,18,2020-02-06,-0.00319720362067005,5.402607373578189e-12,2.658082827800469e-09,-1
5,6,19,2020-02-07,-0.003328795832964141,2.672469244341471e-14,1.5927916696275166e-11,-1
6,7,20,2020-02-08,-0.0033717307540744035,1.6806835238552972e-15,1.0874022399343773e-12,-1
7,8,21,2020-02-09,-0.0033433162054712176,7.500462370379071e-15,4.695289443857299e-12,-1
8,9,22,2020-02-10,-0.003270265422853001,4.012516341943915e-14,2.3513345763791342e-11,-1
9,10,23,2020-02-11,-0.0031839688631012044,4.761391845356373e-14,2.7616072703066965e-11,-1
10,11,24,2020-02-12,-0.003114574502478722,1.2639712405400764e-14,7.735503992105268e-12,-1
11,12,25,2020-02-13,-0.003088539846499707,3.650161589717471e-15,2.3361034174191814e-12,-1
12,13,26,2020-02-14,-0.0031266295131499224,3.2528068455362147e-14,1.9289144594029752e-11,-1
13,14,27,2020-02-15,-0.0032436266367392485,1.7382814559077475e-12,8.934766683365822e-10,-1
14,15,28,2020-02-16,-0.0034486615918013423,3.830317533190417e-11,1.700660984736545e-08,-1
15,16,29,2020-02-17,-0.0037438779789898445,2.4925441832179807e-10,9.720922314550125e-08,-1
16,17,30,2020-02-18,-0.004124418420192933,6.228431875612618e-10,2.279606066474218e-07,-1
17,18,31,2020-02-19,-0.00457992008307861,7.855700993421566e-10,2.8044852546514994e-07,-1
18,19,32,2020-02-20,-0.0050950901901874205,6.114623278747981e-10,2.256295989858005e-07,-1
19,20,33,2020-02-21,-0.005651249457338957,3.327972615507232e-10,1.2712855391237626e-07,-1
20,21,34,2020-02-22,-0.006228124579111821,1.3793548326568473e-10,5.586387072260231e-08,-1
21,22,35,2020-02-23,-0.006805586410807559,4.567698495827913e-11,2.0143550366601098e-08,-1
22,23,36,2020-02-24,-0.0073635564579164255,1.1770036081320079e-11,5.543686994301757e-09,-1
23,24,37,2020-02-25,-0.007881636045581867,2.151773354077083e-12,1.093100863871158e-09,-1
24,25,38,2020-02-26,-0.008339759122116035,2.4617551700441097e-13,1.366274119374481e-10,-1
25,26,39,2020-02-27,-0.00872120692992136,1.496902167471159e-14,9.086196156549935e-12,-1
26,27,40,2020-02-28,-0.009013607342642178,3.938792052914793e-16,2.6389906754529114e-13,-1
27,28,41,2020-02-29,-0.009208866409831117,3.920179146948668e-18,2.924453643623706e-15,-1
28,29,42,2020-03-01,-0.009303849089848229,4.604386132160954e-20,3.6512782028036365e-17,-1
29,30,43,2020-03-02,-0.009300855189259997,5.534410006748341e-20,4.372183905331189e-17,-1
30,31,44,2020-03-03,-0.00920948830468733,1.829912254769629e-18,1.3870734891153787e-15,-1
