date,Husten,Ausfluss,Übelkeit,Schock,Hypoxämie,Erbrechen,Muskelschmerzen,Durchfall,Lungenentzündung,Halsentzündung,Fieber,Kopfschmerzen,Lymphopenie,Entzündung,trockener Husten,Atemnot,Sputum,Müdigkeit,respiratorische Insuffizienz,Angst,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend
2020-02-02,1,-1,-1,1,1,0,0,0,1,0,1,1,0,-1,1,1,0,-1,-1,1,1,3.746371020791662e-18,1.6858669593562482e-15,1
2020-02-03,1,-1,-1,1,1,1,-1,0,1,0,1,1,0,-1,1,1,0,-1,0,1,1,1.9181798654660676e-19,1.0588352857372694e-16,1
2020-02-04,1,-1,-1,1,1,1,-1,1,1,0,1,1,0,-1,1,1,0,-1,0,1,1,2.171931507405773e-19,1.1880465345509577e-16,1
2020-02-05,1,-1,-1,1,1,1,-1,1,1,0,1,1,0,-1,1,1,1,-1,0,1,1,6.601711602173082e-18,2.825532565730079e-15,1
2020-02-06,1,-1,-1,1,1,1,-1,1,1,1,1,1,0,-1,1,1,1,-1,0,1,1,1.8963178929779626e-16,5.916511826091243e-14,1
2020-02-07,1,-1,-1,1,1,1,-1,1,1,1,1,1,0,-1,1,1,1,-1,0,1,1,1.5718041474955535e-15,3.66230366366464e-13,1
2020-02-08,1,-1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,1,-1,0,1,1,1.1820569482363526e-15,2.8842189536967006e-13,1
2020-02-09,1,-1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,1,-1,0,1,1,3.115860291409754e-16,8.973677639260092e-14,1
2020-02-10,1,-1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,1,-1,0,1,1,1.388407455149711e-16,4.5145558330904336e-14,1
2020-02-11,1,-1,-1,1,1,0,-1,1,1,1,1,1,0,-1,1,1,1,-1,0,1,1,1.3018468375608283e-16,4.270057627199517e-14,1
2020-02-12,1,-1,-1,1,1,0,-1,1,1,1,1,1,1,-1,1,1,1,-1,0,1,1,4.6775292301790965e-17,1.697943110555012e-14,1
